Hybridization REF	TCGA-AA-A00A-01A-01R-A002-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.625166666666667
CREB3L1	0.96425
RPS11	0.8525
PNMA1	-1.48175
MMP2	0.154333333333333
C10orf90	-1.81175
ZHX3	-0.396
ERCC5	0.426
GPR98	-1.944125
RXFP3	0.661
APBB2	0.13
PRO0478	-0.44175
KLHL13	-2.591
PRSSL1	-0.6395
PDCL3	0.304166666666667
DECR1	0.644875
SALL1	-2.76766666666667
CADM4	-1.1065
RPS18	0.312142857142857
HNRPD	-0.773666666666667
CFHR5	-0.550666666666667
SLC10A7	0.517375
OR2K2	-0.129
LMAN1	-0.578125
SUHW1	-3.723
CHD8	-0.3131
SUMO1	0.3791
GP1BA	0.5454
DDB1	-0.4745
MYO9B	-0.0894
MMP7	8.053
CRNKL1	0.34375
C9orf45	-2.11983333333333
XAB2	0.453375
RTN1	0.6925
KLHL14	-1.845
TBX10	-0.7
CENPQ	-1.30325
UTY	1.76114285714286
ZBTB12	0.2535
DTNBP1	0.44225
KBTBD8	0.826
ZEB1	-0.569333333333333
ZG16	3.1885
MIER1	0.623
ADAM5P	0.2195
CHD9	-0.8404375
STK16	0.57725
KIAA1486	-0.533
TOB2	0.720166666666667
BANK1	1.88
OR2V2	0.39075
GRM2	0.0895
PROSC	0.228125
SPIN2B	0.1805
PIR	-2.78166666666667
IPO9	-0.4713
EVC	-0.649166666666667
CXCL13	4.49866666666667
KIAA1199	2.5161
SORL1	2.0735
NAT10	0.05825
CHD1	0.43925
SYN3	1.3365
SLC22A2	-0.66825
SERPINF1	-1.0165
WDR34	-0.19025
OR7A17	0.0235
C9orf11	0.2065
RNF216L	-0.2262
LHB	0.2705
STK25	-0.17825
TAOK3	0.83725
LOC152573	-2.01225
C3orf39	0.059875
C14orf108	0.9241
CDC25B	0.03
BMP3	1.1165
TMEM180	0.238
MAP1LC3C	-0.6665
CRYGC	-0.4115
POU3F1	-1.5586
C20orf32	-0.551
CCDC95	-0.2555
HIGD1B	1.47175
USP6NL	0.478375
ABCD4	0.369
DIMT1L	-0.3455
TEK	0.530875
SLC25A46	-0.08475
LARP7	-1.2153
CD160	1.194
MT1JP	-1.18766666666667
PHF20	-0.718375
CPNE4	-1.563
GTPBP1	-0.275285714285714
RAB33B	0.737333333333333
ALDOC	-1.391625
ZNF212	-0.463
NUDT1	-1.13633333333333
RFPL2	-1.26875
ZNF83	-2.09516666666667
GDPD5	-0.377375
PDCD4	0.5827
CEP350	-1.037
OR10A2	0.3685
CST7	0.641
CIAO1	-0.55175
SELL	0.574
OR8J3	0.737
LTBP4	0.993666666666667
SIRT6	0.839
CCL19	3.5515
PPIL1	-0.574166666666667
GBP7	0.663
STK17A	-0.6327
ABR	1.62975
OR9G1	0.1905
FOXE1	-0.91425
CNGA3	0.1605
GML	0.233
CD38	-1.30575
ZDHHC6	0.627833333333333
NEFH	-3.1295
CTDSP2	0.292666666666667
PGBD5	0.612166666666667
CCNY	0.185928571428571
RMND5B	-0.121416666666667
ZNF257	-3.32375
FLJ22167	-0.08025
EXOSC7	-0.267
ROR2	0.920375
MAOA	3.997375
TNNT3	-0.604
GYPC	-1.8055
C7orf33	1.1045
PLIN	0.145166666666667
LOC90826	0.6335
RNF4	0.0743
F8A1	-0.253833333333333
PLEKHG4	0.463
GRB2	-0.56335
HIST1H2AD	-1.2845
DUS3L	0.111
EIF1	-0.342833333333333
RP5-1077B9.4	-0.787166666666666
FPGT	1.43525
GDF10	-1.3325
COQ9	0.86525
GCC2	0.509857142857143
RARRES3	3.37025
PLXNA1	0.0762
KIAA0100	-0.2862
PMF1	-0.09925
FNDC1	5.13175
HS2ST1	0.259583333333333
CRELD2	0.5005
C8G	3.8465
CD82	-0.072
LIM2	-1.265
UNQ6490	0.3375
MMP16	-0.602
DRD3	0.03725
C5orf26	-0.4265
C11orf73	-0.555125
PTP4A2	-0.229625
OR4M2	0.4655
HPCA	-0.844333333333333
SEC14L1	-0.849
CHFR	-1.0005
EMILIN1	0.9645
NDUFS4	0.0335
COL18A1	-0.925375
PDZD3	3.0976
C9orf16	0.1905
ERBB2IP	0.259166666666667
EMX2	-0.07175
FUS	-1.3995
TF	-4.0061
CLCN4	-0.032
CXorf56	-0.38375
C11orf72	0.375
ELAC2	-0.232583333333333
NPR1	-1.4055
ASS1	1.72
USP42	-0.251125
POLR2J	-0.8265
SEC23IP	0.878833333333333
UQCRC1	1.2275
LOC729603	0.19075
C1orf71	-0.107
POLG	-1.2745
ADAM23	-3.5605
TFR2	-0.941
RICTOR	-0.9291
MGC39606	-0.52175
C19orf55	0.05
SNAPC1	-1.65983333333333
GNA11	0.920875
CCDC52	-0.0161666666666667
FSIP1	-0.17
UPF3A	-0.42675
IGSF11	-2.78033333333333
LAGE3	-0.89625
CHST6	-0.014
UNC13B	0.911625
TTLL4	-0.350875
ZNF687	-0.479125
SDC2	-1.4536
COX7A2	0.4895
LAMB4	-0.209
FAM24A	0.359
LRRTM3	-0.735833333333333
GPHB5	0.51575
OR4C13	0.04
EIF3EIP	0.902714285714286
HABP4	-0.905
TMEM125	4.1385
CNTN2	-0.3145
ASNSD1	-0.0265
FUT4	2.16475
ACF	-2.07275
LOC158381	-0.2655
CDH8	-0.56175
AGPS	0.2515
C4orf18	0.5585
PECI	-2.292
UNG	-0.170875
GSTP1	0.63025
DCUN1D5	-1.04533333333333
DKFZP564J0863	-0.52725
SLC9A3R1	-0.21225
BCDO2	-0.65275
CHMP7	0.253375
REM2	0.1395
DNHD1	-0.372375
FKBP4	-0.6025
ZNF350	0.3675
MGC11102	0.1725
BST1	0.159
KISS1R	1.3855
NCR2	0.389
DEFB125	0.0105
UBE2W	0.108
KRT15	-1.237625
C10orf99	3.753
SCN11A	0.253375
GFI1	0.76425
RDHE2	2.235
FHL1	-2.28783333333333
OSGEP	0.680666666666667
GATA1	-3.21533333333333
SMC6	-0.9135
TTTY14	2.024
LPIN3	0.5545
RPL4	-0.2118
RBPMS	-1.3053
PRPF3	-0.545666666666667
EMR1	-2.784
SPATA19	0.27925
XCR1	0.3115
IRX3	-2.237
RBM6	-0.56825
KLF4	1.2016
UNC5CL	2.41875
SEBOX	0.1055
BTK	-1.527
KRCC1	1.22925
C6orf27	0.3165
SYTL5	-1.113
PRND	0.0955
LOC653319	-1.018
PIGL	-0.025
HUS1	0.329333333333333
SFRS6	1.04775
C17orf77	2.623
UIMC1	-0.0591666666666667
FXYD2	-1.854
LOC283152	-0.49525
ZNF667	-2.29225
ZCCHC12	-0.94625
TFEC	1.7531
ATP7B	0.742166666666667
POLD2	-1.23316666666667
RG9MTD1	0.37625
ACOT2	0.015
HIST1H4I	-0.852125
PPARGC1A	2.2015
ETFA	-0.1531
POLRMT	0.40175
ZNF146	-0.27225
MIA2	0.272
KLHL6	-0.8455
HOXB5	2.211875
NENF	0.605666666666667
CUGBP1	-0.75975
PRSS22	2.43133333333333
CASC4	0.9281
CUL4B	-0.2466
CENPJ	-1.1305
PITX1	0.448666666666667
FLJ31033	0.739333333333333
