Hybridization REF	TCGA-AA-3986-01A-02R-1022-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.257583333333333
CREB3L1	1.08675
RPS11	0.9475
PNMA1	-1.60425
MMP2	-0.154166666666667
C10orf90	-2.62925
ZHX3	-0.8535
ERCC5	0.7025
GPR98	-1.12025
RXFP3	0.5565
APBB2	-0.30975
PRO0478	-0.831375
KLHL13	-2.7745
PRSSL1	-1.0065
PDCL3	0.524666666666667
DECR1	0.3935
SALL1	-1.84383333333333
CADM4	-0.652166666666667
RPS18	0.542357142857143
HNRPD	-0.165166666666667
CFHR5	1.12016666666667
SLC10A7	0.589125
OR2K2	0.314
LMAN1	-0.070625
SUHW1	-3.126
CHD8	-0.9185
SUMO1	0.1727
GP1BA	1.6122
DDB1	-0.7495
MYO9B	-0.2772
MMP7	6.3115
CRNKL1	0.6
C9orf45	-1.44583333333333
XAB2	-0.4185
RTN1	0.853625
KLHL14	-1.363125
TBX10	1.663
CENPQ	-1.038
UTY	1.79235714285714
ZBTB12	0.6865
DTNBP1	0.467875
KBTBD8	0.9435
ZEB1	-0.782166666666667
ZG16	5.48875
MIER1	0.6829
ADAM5P	0.848
CHD9	-0.3345
STK16	0.72875
KIAA1486	-0.2505
TOB2	0.451666666666667
BANK1	5.5335
OR2V2	0.724
GRM2	0.0981666666666667
PROSC	0.490625
SPIN2B	0.43675
PIR	-2.89177777777778
IPO9	-0.484777777777778
EVC	-1.168
CXCL13	5.81216666666667
KIAA1199	1.2232
SORL1	1.73975
NAT10	-0.342
CHD1	-0.06875
SYN3	1.17875
SLC22A2	-0.6215
SERPINF1	-0.491333333333333
WDR34	-1.021
OR7A17	0.19325
C9orf11	-0.0285
RNF216L	-0.3746
LHB	0.125
STK25	-0.161875
TAOK3	0.840875
LOC152573	-1.23725
C3orf39	-1.217125
C14orf108	1.1931
CDC25B	0.189454545454545
BMP3	0.1725
TMEM180	-0.0045
MAP1LC3C	-0.04825
CRYGC	-0.429
POU3F1	-1.7533
C20orf32	-2.006
CCDC95	-0.6315
HIGD1B	2.59275
USP6NL	1.564375
ABCD4	0.755
DIMT1L	0.0484166666666667
TEK	0.84025
SLC25A46	0.275
LARP7	-1.0589
CD160	1.674
MT1JP	-0.746166666666667
PHF20	-0.2981875
CPNE4	-2.16425
GTPBP1	-0.639642857142857
RAB33B	0.7375
ALDOC	-1.277625
ZNF212	-0.5495
NUDT1	-1.258
RFPL2	-1.6535
ZNF83	0.296333333333333
GDPD5	-1.381
PDCD4	1.07285
CEP350	-0.21075
OR10A2	0.2055
CST7	1.59
CIAO1	-0.3645
SELL	1.979125
OR8J3	0.717
LTBP4	-0.303833333333333
SIRT6	0.40075
CCL19	5.10525
PPIL1	-0.210833333333333
GBP7	-0.00183333333333333
STK17A	-0.6405
ABR	1.058
OR9G1	0.185
FOXE1	-1.126625
CNGA3	-0.6675
GML	0.5925
CD38	1.311
ZDHHC6	0.964666666666667
NEFH	-3.08925
CTDSP2	0.373333333333333
PGBD5	-1.50683333333333
CCNY	0.284357142857143
RMND5B	-0.227583333333333
ZNF257	-2.5095
FLJ22167	-0.113
EXOSC7	-0.515
ROR2	-0.568875
MAOA	2.476125
TNNT3	-0.0105
GYPC	-1.737
C7orf33	0.4475
PLIN	-0.0933333333333333
LOC90826	0.18325
RNF4	-0.243
F8A1	0.181
PLEKHG4	-0.10125
GRB2	-0.25625
HIST1H2AD	-0.8825
DUS3L	0.0981666666666667
EIF1	-0.27
RP5-1077B9.4	-0.996166666666667
FPGT	1.4925
GDF10	-1.828
COQ9	0.3475
GCC2	1.29485714285714
RARRES3	1.61425
PLXNA1	-0.2725
KIAA0100	-0.1999
PMF1	0.22975
FNDC1	5.03875
HS2ST1	0.37325
CRELD2	0.473
C8G	-1.338
CD82	0.03325
LIM2	-1.21
UNQ6490	-0.2785
MMP16	-1.3965
DRD3	0.06025
C5orf26	-0.42325
C11orf73	-0.21975
PTP4A2	0.342
OR4M2	1.1665
HPCA	-0.357
SEC14L1	-0.829166666666667
CHFR	0.71625
EMILIN1	0.363625
NDUFS4	-0.13275
COL18A1	-1.62925
PDZD3	3.4444
C9orf16	0.303333333333333
ERBB2IP	-0.195
EMX2	-0.3455
FUS	-1.1565
TF	-3.956
CLCN4	-0.137
CXorf56	-0.19175
C11orf72	0.25625
ELAC2	-0.79825
NPR1	-1.9675
ASS1	0.607333333333333
USP42	-0.2805
POLR2J	-0.3455
SEC23IP	0.727
UQCRC1	0.5555
LOC729603	-0.2575
C1orf71	-0.388875
POLG	-1.5425
ADAM23	-3.25475
TFR2	-1.6075
RICTOR	-0.5533
MGC39606	-0.61075
C19orf55	-0.14975
SNAPC1	-1.84166666666667
GNA11	0.817375
CCDC52	0.143333333333333
FSIP1	-0.0255
UPF3A	0.628625
IGSF11	-3.12133333333333
LAGE3	-0.56775
CHST6	-2.519
UNC13B	0.920375
TTLL4	-0.07775
ZNF687	-0.091375
SDC2	-1.5064
COX7A2	0.46225
LAMB4	-0.80175
FAM24A	-0.418
LRRTM3	-1.43183333333333
GPHB5	0.51
OR4C13	-0.585
EIF3EIP	0.335428571428571
HABP4	-0.754
TMEM125	3.70775
CNTN2	-0.324875
ASNSD1	0.1925
FUT4	2.009875
ACF	1.886
LOC158381	0.4375
CDH8	-0.2655
AGPS	0.298833333333333
C4orf18	1.844125
PECI	-0.729083333333333
UNG	-0.059
GSTP1	0.571875
DCUN1D5	-1.183
DKFZP564J0863	-0.78975
SLC9A3R1	-0.24675
BCDO2	-0.274375
CHMP7	0.086
REM2	0.7005
DNHD1	-0.7165
FKBP4	-1.492625
ZNF350	0.9075
MGC11102	-0.477125
BST1	0.40525
KISS1R	0.447
NCR2	0.5345
DEFB125	-0.0865
UBE2W	0.516875
KRT15	-1.828875
C10orf99	3.1195
SCN11A	-0.012125
GFI1	0.69425
RDHE2	1.09283333333333
FHL1	-0.6495
OSGEP	0.436166666666667
GATA1	-3.46
SMC6	-0.777
TTTY14	-0.0475
LPIN3	0.2705
RPL4	-0.2226
RBPMS	-1.1884
PRPF3	-0.703333333333333
EMR1	-1.426
SPATA19	-0.01025
XCR1	0.145
IRX3	-2.61544444444444
RBM6	0.02325
KLF4	1.3184
UNC5CL	3.88375
SEBOX	0.7875
BTK	0.173
KRCC1	1.44925
C6orf27	0.5295
SYTL5	-0.6005
PRND	0.666875
LOC653319	-0.642
PIGL	-0.579375
HUS1	0.0625
SFRS6	0.575833333333333
C17orf77	0.0925
UIMC1	-0.183333333333333
FXYD2	-1.2338
LOC283152	0.41225
ZNF667	-2.7995
ZCCHC12	-0.08325
TFEC	3.2831
ATP7B	1.661
POLD2	-1.3625
RG9MTD1	0.49
ACOT2	-0.467833333333333
HIST1H4I	-0.375125
PPARGC1A	-0.2951
ETFA	0.0629
POLRMT	-0.46825
ZNF146	0.190375
MIA2	0.7355
KLHL6	0.616166666666667
HOXB5	2.341375
NENF	0.876333333333334
CUGBP1	-1.132
PRSS22	1.78733333333333
CASC4	0.748
CUL4B	-0.1142
CENPJ	-0.4067
PITX1	0.551833333333333
FLJ31033	1.01833333333333
CELSR3	0.341333333333333
ZNF568	-0.744
ITSN1	-0.926666666666667
EHBP1L1	-0.636
C19orf2	0.14325
DCTN1	-0.72475
LIN28B	-3.10833333333333
TNKS2	0.33775
C1QBP	0.3815
CADPS2	1.5315
SRMS	0.62425
GJA9	0.250833333333333
MGC24975	-0.881666666666667
TRIM45	-2.33
TSP50	-0.72175
TCP1	-0.82375
TMED7	0.8769
CMA1	1.015
CENPL	-0.7325
PTCRA	-0.1715
FST	-4.8145
VWCE	-3.133
PAWR	0.55225
ABCC12	0.6062
LDLR	-0.6996
ASTN2	-0.2192
LOC441212	-0.72475
GPATCH8	0.21375
TANC2	-2.97733333333333
KIF4A	-1.40625
C18orf18	2.2675
PGM1	-1.069
KIAA0258	0.56425
CPD	0.88425
SNCAIP	3.29675
DCT	-4.49333333333333
HLA-DOA	2.94954545454545
OR11L1	0.9745
UPK1B	-0.32
DNAJB4	-0.952
UGT1A8	3.178
HIST1H4L	-0.1785
PECR	-1.138
HSPA2	0.39675
WFIKKN1	-3.111
SERP1	0.73025
SYDE2	-0.28825
TACR2	0.7775
NUP85	-0.479
CD177	2.45483333333333
LGR5	2.0495
PIGG	0.11125
PTHR1	-3.01966666666667
RAB5A	0.414
FLJ13224	0.352
USP9Y	1.613
C7orf53	-0.6255
LRP1B	-1.6935
XAF1	2.2087
ABCG8	-1.255
ANKDD1A	-0.304833333333333
DAND5	-2.9985
SPAG6	0.169333333333333
LINCR	2.55325
ZDHHC22	-1.368375
CCDC60	0.2045
THOC7	-0.657666666666667
TCTA	0.3805
OR8K3	0.39175
NY-REN-7	-0.50625
B2M	1.96483333333333
C6orf141	-2.69775
LPPR4	2.06975
SQLE	-0.763125
SEPHS1	-0.4115
BTBD14B	0.263357142857143
PLRG1	0.16975
SPG7	-0.419125
ZNF614	-0.113833333333333
PARD6G	-0.777666666666667
INPP5B	-0.39
GRPEL2	-0.000374999999999993
PPID	-0.4962
TRIM56	-0.327
UBE2J1	1.158125
IL20RA	6.3055
LOC387856	0.07175
C1orf107	0.829333333333333
UTS2R	0.44925
C19orf22	0.29175
SAFB2	-0.0145
KIAA0652	0.044375
KLRG1	0.140166666666667
MS4A8B	3.9425
FRAG1	0.64775
KIAA1546	0.756
E2F4	-0.3574
CLEC4M	0.272166666666667
BTBD14A	-1.09575
