Hybridization REF	TCGA-AA-A02E-01A-01R-A00A-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.117416666666667
CREB3L1	1.259
RPS11	0.1145
PNMA1	-1.30175
MMP2	0.965833333333333
C10orf90	-2.06066666666667
ZHX3	-0.0418333333333334
ERCC5	1.26725
GPR98	-1.34957142857143
RXFP3	0.224
APBB2	0.0445
PRO0478	-0.543625
KLHL13	-2.925
PRSSL1	-0.544833333333333
PDCL3	0.283833333333333
DECR1	0.30925
SALL1	-1.94833333333333
CADM4	-0.119333333333333
RPS18	0.657428571428571
HNRPD	-1.17591666666667
CFHR5	0.492
SLC10A7	0.455625
OR2K2	-0.6875
LMAN1	-1.541
SUHW1	-2.12
CHD8	-0.7934
SUMO1	0.6965
GP1BA	-0.1186
DDB1	-0.272333333333333
MYO9B	-0.2028
MMP7	8.51825
CRNKL1	1.264375
C9orf45	-1.07583333333333
XAB2	0.202625
RTN1	-0.04425
KLHL14	-1.08771428571429
TBX10	1.6535
CENPQ	-0.65625
UTY	2.00228571428571
ZBTB12	0.1035
DTNBP1	1.0325
KBTBD8	0.106333333333333
ZEB1	0.393666666666667
ZG16	0.8625
MIER1	0.2971
ADAM5P	-0.183
CHD9	-0.1901875
STK16	0.62375
KIAA1486	0.098
TOB2	0.7685
BANK1	0.921
OR2V2	0.000750000000000001
GRM2	-0.212166666666667
PROSC	-0.03325
SPIN2B	1.128
PIR	-1.83833333333333
IPO9	-0.4911
EVC	0.4025
CXCL13	0.296
KIAA1199	1.4672
SORL1	1.84775
NAT10	0.03975
CHD1	-0.00925000000000001
SYN3	1.526
SLC22A2	0.087
SERPINF1	-0.0861666666666667
WDR34	-0.50575
OR7A17	0.03875
C9orf11	-0.3885
RNF216L	-0.1478
LHB	-0.345
STK25	-0.550625
TAOK3	1.06125
LOC152573	-1.044
C3orf39	0.00812500000000001
C14orf108	-0.1703
CDC25B	0.728909090909091
BMP3	0.243
TMEM180	0.115
MAP1LC3C	-0.298
CRYGC	-0.2415
POU3F1	-1.46077777777778
C20orf32	-1.2765
CCDC95	-0.3295
HIGD1B	1.858
USP6NL	1.04825
ABCD4	-0.1995
DIMT1L	0.0519166666666667
TEK	0.47525
SLC25A46	0.276
LARP7	-1.9153
CD160	-0.2212
MT1JP	-1.93366666666667
PHF20	0.00349999999999999
CPNE4	-0.8155
GTPBP1	-0.151714285714286
RAB33B	0.997166666666667
ALDOC	-1.408
ZNF212	-0.1895
NUDT1	-0.559333333333333
RFPL2	-0.597
ZNF83	-0.6845
GDPD5	0.39075
PDCD4	1.35435
CEP350	-0.4875
OR10A2	0.326
CST7	0.03675
CIAO1	-1.04675
SELL	-0.059875
OR8J3	-0.126
LTBP4	-0.235333333333333
SIRT6	1.31075
CCL19	1.544
PPIL1	-0.322333333333333
GBP7	-0.1656
STK17A	-1.3812
ABR	1.155
OR9G1	-0.099
FOXE1	-0.304875
CNGA3	-0.1425
GML	0.1325
CD38	-3.35225
ZDHHC6	0.261333333333333
NEFH	-3.43175
CTDSP2	0.764833333333333
PGBD5	-0.519
CCNY	0.0327142857142857
RMND5B	-0.0259166666666667
ZNF257	-2.406
FLJ22167	0.390875
EXOSC7	-0.00616666666666667
ROR2	0.703875
MAOA	2.880625
TNNT3	0.128
GYPC	-2.175
C7orf33	-0.646
PLIN	-0.1725
LOC90826	-0.61375
RNF4	-0.7109
F8A1	0.225
PLEKHG4	0.31775
GRB2	-0.33385
HIST1H2AD	-0.47875
DUS3L	-0.358833333333333
EIF1	-0.294166666666667
RP5-1077B9.4	-0.900833333333333
FPGT	1.12475
GDF10	-0.526666666666667
COQ9	0.4995
GCC2	0.129
RARRES3	0.26575
PLXNA1	-0.2945
KIAA0100	-0.7351
PMF1	-0.17475
FNDC1	4.5305
HS2ST1	0.0893333333333333
CRELD2	-0.5355
C8G	-1.298
CD82	0.433
LIM2	-1.313
UNQ6490	0.048
MMP16	-0.0955
DRD3	-0.3765
C5orf26	-0.177
C11orf73	0.13175
PTP4A2	0.5305
OR4M2	0.1625
HPCA	-1.17583333333333
SEC14L1	-1.0985
CHFR	0.74975
EMILIN1	0.90575
NDUFS4	-0.195
COL18A1	-0.627875
PDZD3	2.9117
C9orf16	-0.0065
ERBB2IP	0.510166666666667
EMX2	-0.23475
FUS	-1.2775
TF	-5.0078
CLCN4	0.0528333333333333
CXorf56	-0.0365
C11orf72	0.32075
ELAC2	-1.27691666666667
NPR1	-1.525
ASS1	-0.632
USP42	-0.479
POLR2J	-0.5595
SEC23IP	0.715166666666667
UQCRC1	0.41125
LOC729603	0.12675
C1orf71	-0.77225
POLG	-1.6525
ADAM23	-2.86525
TFR2	-1.50675
RICTOR	-0.3199
MGC39606	-0.00624999999999999
C19orf55	-0.54575
SNAPC1	-1.9115
GNA11	0.9395
CCDC52	0.530833333333333
FSIP1	2.545
UPF3A	0.18975
IGSF11	-1.29183333333333
LAGE3	-0.36675
CHST6	-0.9075
UNC13B	0.840375
TTLL4	-0.774375
ZNF687	-0.428
SDC2	-0.6669
COX7A2	0.52425
LAMB4	-0.399
FAM24A	1.358
LRRTM3	-0.5375
GPHB5	-0.07375
OR4C13	-0.0245
EIF3EIP	0.661214285714286
HABP4	-0.7155
TMEM125	3.82625
CNTN2	-0.47125
ASNSD1	-0.607
FUT4	1.88775
ACF	0.7885
LOC158381	0.148
CDH8	0.133333333333333
AGPS	-0.458166666666667
C4orf18	1.441125
PECI	-2.23933333333333
UNG	0.34225
GSTP1	1.399875
DCUN1D5	-0.4665
DKFZP564J0863	-1.04975
SLC9A3R1	-0.861375
BCDO2	0.092
CHMP7	-0.59
REM2	0.3605
DNHD1	-0.553375
FKBP4	-1.010625
ZNF350	0.37475
MGC11102	0.403375
BST1	1.56
KISS1R	-0.4495
NCR2	0.1435
DEFB125	0.021
UBE2W	0.639375
