Hybridization REF	TCGA-AA-A017-01A-01R-A00A-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.3375
CREB3L1	1.931
RPS11	0.8325
PNMA1	-2.33175
MMP2	-0.141333333333333
C10orf90	-2.26125
ZHX3	0.2015
ERCC5	1.1455
GPR98	-2.42557142857143
RXFP3	0.8585
APBB2	-0.8995
PRO0478	0.34225
KLHL13	-2.8765
PRSSL1	-0.387666666666667
PDCL3	0.089
DECR1	0.439875
SALL1	-2.732
CADM4	-0.612666666666667
RPS18	0.286071428571428
HNRPD	-0.919666666666667
CFHR5	0.76475
SLC10A7	-0.180375
OR2K2	0.4395
LMAN1	-1.579625
SUHW1	-1.982
CHD8	-1.2255
SUMO1	0.538
GP1BA	0.2858
DDB1	-0.251833333333333
MYO9B	-0.0419
MMP7	6.2875
CRNKL1	-0.217375
C9orf45	-0.401333333333333
XAB2	-0.1365
RTN1	-0.00871428571428572
KLHL14	-1.602
TBX10	0.554
CENPQ	-1.805
UTY	-0.530769230769231
ZBTB12	0.1425
DTNBP1	1.096125
KBTBD8	-0.928666666666667
ZEB1	-0.986
ZG16	-0.123
MIER1	-0.1041
ADAM5P	0.0835
CHD9	-0.8785
STK16	0.33575
KIAA1486	-0.381
TOB2	0.702916666666667
BANK1	0.37425
OR2V2	-0.028
GRM2	0.2495
PROSC	0.18725
SPIN2B	1.8245
PIR	-1.65566666666667
IPO9	-0.734555555555556
EVC	-0.295333333333333
CXCL13	1.33833333333333
KIAA1199	1.0603
SORL1	3.02425
NAT10	-0.1725
CHD1	-0.23
SYN3	3.9175
SLC22A2	-0.227
SERPINF1	-0.701666666666667
WDR34	-0.94275
OR7A17	0.35475
C9orf11	-0.1065
RNF216L	-0.0723
LHB	0.4745
STK25	0.466875
TAOK3	0.994
LOC152573	-0.668
C3orf39	-0.19125
C14orf108	-0.7549
CDC25B	-0.109818181818182
BMP3	0.193
TMEM180	0.3615
MAP1LC3C	0.05
CRYGC	-0.632
POU3F1	-1.4143
C20orf32	-0.2985
CCDC95	-0.3065
HIGD1B	2.40425
USP6NL	1.05875
ABCD4	-0.645166666666667
DIMT1L	-0.347416666666667
TEK	0.147125
SLC25A46	-0.24575
LARP7	-1.6623
CD160	-0.180333333333333
MT1JP	-1.7205
PHF20	0.1513125
CPNE4	-1.02
GTPBP1	0.0317857142857143
RAB33B	0.404333333333333
ALDOC	-1.829875
ZNF212	0.63875
NUDT1	-0.880833333333333
RFPL2	-1.4935
ZNF83	-0.2435
GDPD5	2.684875
PDCD4	1.3864
CEP350	-0.63975
OR10A2	0.64275
CST7	1.918
CIAO1	-0.60975
SELL	0.32525
OR8J3	0.999
LTBP4	0.135166666666667
SIRT6	1.277
CCL19	2.22275
PPIL1	-1.24566666666667
GBP7	-0.02975
STK17A	-1.4253
ABR	2.06475
OR9G1	0.22
FOXE1	-0.28725
CNGA3	-0.557
GML	0.5475
CD38	-2.84525
ZDHHC6	0.3415
NEFH	-3.9445
CTDSP2	1.11441666666667
PGBD5	-2.298
CCNY	0.113428571428571
RMND5B	-0.376833333333333
ZNF257	-3.41275
FLJ22167	0.1255
EXOSC7	-0.389833333333333
ROR2	0.507125
MAOA	3.327625
TNNT3	0.213833333333333
GYPC	-1.70025
C7orf33	-0.268
PLIN	0.369166666666667
LOC90826	-1.29025
RNF4	-0.2141
F8A1	0.643833333333333
PLEKHG4	-0.04975
GRB2	-0.3528
HIST1H2AD	-1.56575
DUS3L	-0.1015
EIF1	-0.177333333333333
RP5-1077B9.4	-0.453166666666667
FPGT	1.11675
GDF10	-1.844
COQ9	0.073
GCC2	-0.0836428571428572
RARRES3	0.212625
PLXNA1	-0.3021
KIAA0100	-0.2007
PMF1	-0.28075
FNDC1	5.5985
HS2ST1	0.225
CRELD2	-0.07825
C8G	-0.7315
CD82	0.57525
LIM2	-0.725
UNQ6490	-0.289
MMP16	-0.00375000000000002
DRD3	0.46175
C5orf26	-0.01425
C11orf73	-0.172375
PTP4A2	-0.24525
OR4M2	0.86
HPCA	-0.622333333333333
SEC14L1	-1.02716666666667
CHFR	-0.310625
EMILIN1	0.747375
NDUFS4	-0.44275
COL18A1	-0.42575
PDZD3	4.1239
C9orf16	0.863666666666667
ERBB2IP	0.229
EMX2	0.2515
FUS	-1.2065
TF	-4.4793
CLCN4	1.29066666666667
CXorf56	0.24525
C11orf72	0.6275
ELAC2	-0.527166666666667
NPR1	-1.46325
ASS1	0.783
USP42	-0.03675
POLR2J	0.1545
SEC23IP	0.4385
UQCRC1	-0.30325
LOC729603	0.0025
C1orf71	-1.032875
POLG	-2.3625
ADAM23	-3.68425
TFR2	-0.911
RICTOR	-0.5699
MGC39606	-0.0025
C19orf55	-0.13575
SNAPC1	-2.65783333333333
GNA11	1.09075
CCDC52	-0.231
FSIP1	-0.9025
UPF3A	0.927875
IGSF11	-1.96483333333333
LAGE3	0.34425
CHST6	-1.6215
UNC13B	0.782
TTLL4	-0.794625
ZNF687	-0.1975
SDC2	-1.1767
COX7A2	-0.2665
LAMB4	-0.425666666666667
FAM24A	1.119
LRRTM3	-0.760166666666667
GPHB5	0.5015
OR4C13	0.224
EIF3EIP	0.0756428571428572
HABP4	-0.881
TMEM125	4.5255
CNTN2	-0.210875
ASNSD1	-0.23925
FUT4	1.25075
ACF	0.27675
LOC158381	-0.4965
CDH8	-0.34925
AGPS	-1.17116666666667
C4orf18	0.251
PECI	-2.34041666666667
UNG	-0.36575
GSTP1	0.52525
DCUN1D5	-1.42266666666667
DKFZP564J0863	-1.71675
SLC9A3R1	-0.29125
BCDO2	-0.404125
CHMP7	-0.851
REM2	-0.117
DNHD1	-0.552375
FKBP4	-0.770625
ZNF350	0.812
MGC11102	0.0765
BST1	0.2355
KISS1R	0.418
NCR2	0.4075
DEFB125	-0.301
UBE2W	-0.390875
KRT15	0.5205
C10orf99	4.8525
SCN11A	0.07375
GFI1	-2.477
RDHE2	1.3095
FHL1	-1.9805
OSGEP	-0.143
GATA1	-3.97566666666667
SMC6	-1.659
TTTY14	0.02575
LPIN3	0.8575
RPL4	-2.0423
RBPMS	-0.3641
PRPF3	-0.4585
EMR1	-1.8995
SPATA19	-0.05925
XCR1	0.319
IRX3	-2.6192
RBM6	-0.24825
KLF4	-0.8986
UNC5CL	4.424
SEBOX	0.342
BTK	-2.328
KRCC1	1.42475
C6orf27	0.8865
SYTL5	-0.4305
PRND	0.719285714285714
LOC653319	-0.638
PIGL	0.57225
HUS1	0.608666666666667
SFRS6	0.11225
C17orf77	0.472
UIMC1	-0.0201666666666667
FXYD2	-1.1
LOC283152	-0.22525
ZNF667	-2.1065
ZCCHC12	-0.48475
TFEC	0.3086
ATP7B	2.23916666666667
POLD2	-1.11233333333333
RG9MTD1	-0.135
ACOT2	-1.1105
HIST1H4I	-1.113125
PPARGC1A	1.0664
ETFA	-1.8544
POLRMT	0.362
ZNF146	-0.0815
MIA2	-1.976
KLHL6	-2.22333333333333
HOXB5	1.43975
NENF	0.435333333333333
CUGBP1	-1.14925
PRSS22	2.6205
CASC4	0.0545
CUL4B	0.9428
