Hybridization REF	TCGA-A6-2684-11A-01R-1758-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.7825
CREB3L1	1.881
RPS11	1.33275
PNMA1	-0.96
MMP2	-0.402666666666667
C10orf90	-2.81025
ZHX3	-0.668
ERCC5	0.14925
GPR98	-0.978625
RXFP3	0.6125
APBB2	0.35175
PRO0478	-0.671
KLHL13	-0.67725
PRSSL1	-0.306166666666667
PDCL3	0.672666666666667
DECR1	1.678875
SALL1	-2.40733333333333
CADM4	-0.528666666666667
RPS18	0.6355
HNRPD	-1.70558333333333
CFHR5	0.279333333333333
SLC10A7	0.406142857142857
OR2K2	0.2235
LMAN1	-1.31075
SUHW1	-4.2565
CHD8	-0.6767
SUMO1	0.8858
GP1BA	1.7177
DDB1	-1.48283333333333
MYO9B	0.0874
MMP7	0.61675
CRNKL1	0.1055
C9orf45	-1.63833333333333
XAB2	-0.024375
RTN1	0.531875
KLHL14	-1.299125
TBX10	1.795
CENPQ	-1.14275
UTY	-0.912153846153846
ZBTB12	-0.727
DTNBP1	0.465375
KBTBD8	0.365166666666667
ZEB1	0.360833333333333
ZG16	6.10725
MIER1	2.4061
ADAM5P	1.265
CHD9	0.172375
STK16	1.389
KIAA1486	-0.428
TOB2	1.10733333333333
BANK1	4.722
OR2V2	0.32575
GRM2	0.434
PROSC	1.83375
SPIN2B	0.5295
PIR	-1.64344444444444
IPO9	-1.10077777777778
EVC	-1.37983333333333
CXCL13	5.55483333333333
KIAA1199	-3.4044
SORL1	1.93625
NAT10	-0.8785
CHD1	-0.9035
SYN3	1.5735
SLC22A2	-0.30475
SERPINF1	-1.538
WDR34	-1.37125
OR7A17	0.59425
C9orf11	0.0455
RNF216L	-0.0709
LHB	-0.00499999999999999
STK25	-0.242125
TAOK3	1.517875
LOC152573	0.10375
C3orf39	-0.562875
C14orf108	1.6522
CDC25B	-2.34490909090909
BMP3	5.3325
TMEM180	0.145
MAP1LC3C	-0.1325
CRYGC	-0.0675
POU3F1	-1.19111111111111
C20orf32	-1.19
CCDC95	-0.1515
HIGD1B	2.65625
USP6NL	-0.334125
ABCD4	0.826
DIMT1L	-0.905583333333333
TEK	1.024625
SLC25A46	0.555
LARP7	-0.626
CD160	3.21566666666667
MT1JP	3.29516666666667
PHF20	-1.2735625
CPNE4	-1.64825
GTPBP1	-0.361785714285714
RAB33B	0.704333333333333
ALDOC	-2.22775
ZNF212	-0.487
NUDT1	-1.448
RFPL2	-2.152
ZNF83	-1.06666666666667
GDPD5	-2.120875
PDCD4	2.7795
CEP350	-0.4925
OR10A2	0.70225
CST7	1.3125
CIAO1	-0.78075
SELL	1.309375
OR8J3	2.169
LTBP4	1.059
SIRT6	1.86475
CCL19	5.149
PPIL1	-1.10866666666667
GBP7	-0.4908
STK17A	0.1287
ABR	1.5995
OR9G1	0.146
FOXE1	-0.973875
CNGA3	1.649
GML	0.504
CD38	0.402
ZDHHC6	0.472833333333333
NEFH	-2.08375
CTDSP2	1.03716666666667
PGBD5	-0.884333333333333
CCNY	0.196357142857143
RMND5B	0.2795
ZNF257	-1.675
FLJ22167	-1.1845
EXOSC7	-0.8165
ROR2	-0.66675
MAOA	4.862875
TNNT3	0.965
GYPC	-1.169
C7orf33	0.6455
PLIN	0.186
LOC90826	-0.4875
RNF4	-0.6334
F8A1	0.115166666666667
PLEKHG4	-1.83875
GRB2	-0.0515
HIST1H2AD	-0.321
DUS3L	-0.713166666666667
EIF1	0.17
RP5-1077B9.4	-1.20466666666667
FPGT	1.7875
GDF10	-1.21866666666667
COQ9	0.88025
GCC2	1.13835714285714
RARRES3	2.640625
PLXNA1	-1.2459
KIAA0100	-0.2681
PMF1	0.1505
FNDC1	3.90625
HS2ST1	-0.20675
CRELD2	-0.29225
C8G	0.219
CD82	-0.051
LIM2	-0.9525
UNQ6490	2.415
MMP16	-0.5025
DRD3	0.93775
C5orf26	0.08525
C11orf73	-0.237875
PTP4A2	0.16075
OR4M2	0.48
HPCA	-0.405
SEC14L1	-0.583166666666667
CHFR	0.0935
EMILIN1	0.227625
NDUFS4	0.91675
COL18A1	-1.9775
PDZD3	4.077
C9orf16	0.172166666666667
ERBB2IP	0.7015
EMX2	0.57625
FUS	-2.48525
TF	-3.6608
CLCN4	-0.590166666666667
CXorf56	1.046
C11orf72	0.26225
ELAC2	-1.34175
NPR1	-1.41
ASS1	0.917833333333333
USP42	-0.00687499999999995
POLR2J	-0.3775
SEC23IP	-0.0816666666666667
UQCRC1	1.57625
LOC729603	0.9905
C1orf71	0.07275
POLG	-2.3095
ADAM23	-3.81875
TFR2	-1.53525
RICTOR	-0.910125
MGC39606	0.10025
C19orf55	0.021375
SNAPC1	-1.49683333333333
GNA11	2.703625
CCDC52	-0.577
FSIP1	2.034
UPF3A	-0.80175
IGSF11	-2.7094
LAGE3	-1.06125
CHST6	0.7125
UNC13B	1.157875
TTLL4	-1.719
ZNF687	-0.139625
SDC2	-1.9501
COX7A2	1.44575
LAMB4	0.2525
FAM24A	0.796
LRRTM3	-1.46575
GPHB5	0.88825
OR4C13	-0.848
EIF3EIP	0.819142857142857
HABP4	-1.085
TMEM125	4.8595
CNTN2	-0.225625
ASNSD1	-0.57475
FUT4	1.129625
ACF	2.36575
LOC158381	0.749
CDH8	-1.02675
AGPS	0.197666666666667
C4orf18	0.2145
PECI	0.535416666666667
UNG	-0.18125
GSTP1	-0.235375
DCUN1D5	-2.1925
DKFZP564J0863	-0.218
SLC9A3R1	0.451875
BCDO2	0.3525
CHMP7	-0.186875
REM2	0.2255
DNHD1	-1.027125
FKBP4	-1.156375
ZNF350	2.138
MGC11102	-0.30775
BST1	1.7055
KISS1R	-0.042
NCR2	-0.7295
DEFB125	0.9915
UBE2W	1.103
KRT15	-2.422125
C10orf99	3.3515
SCN11A	0.177571428571429
GFI1	0.47925
RDHE2	3.13616666666667
FHL1	-0.569
OSGEP	0.657833333333333
GATA1	-2.59583333333333
SMC6	-1.38375
TTTY14	-0.282
LPIN3	0.9055
RPL4	-0.5206
RBPMS	-1.6433
PRPF3	-0.849333333333333
EMR1	0.0625
SPATA19	0.13675
XCR1	0.397
IRX3	-2.2226
RBM6	-1.04425
KLF4	3.0829
UNC5CL	-0.373
SEBOX	0.2645
BTK	-0.10625
KRCC1	2.7535
C6orf27	0.858
SYTL5	-1.796
PRND	0.0201428571428571
LOC653319	-1.97
PIGL	-0.78875
HUS1	0.811333333333333
SFRS6	0.008
C17orf77	1.056
UIMC1	-0.389833333333333
FXYD2	-1.7608
LOC283152	1.15375
ZNF667	-1.8125
ZCCHC12	-0.7785
TFEC	2.5839
ATP7B	0.502166666666667
