Hybridization REF	TCGA-AA-3852-01A-01R-0905-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-1.00941666666667
CREB3L1	2.145
RPS11	1.065625
PNMA1	-0.88425
MMP2	0.167166666666667
C10orf90	-2.0545
ZHX3	-1.02233333333333
ERCC5	0.145
GPR98	-0.55075
RXFP3	0.508
APBB2	-0.00275
PRO0478	-1.239125
KLHL13	-1.47175
PRSSL1	-0.427833333333333
PDCL3	0.3325
DECR1	0.537625
SALL1	-3.295
CADM4	-0.6235
RPS18	0.847571428571429
HNRPD	-0.751
CFHR5	0.341166666666667
SLC10A7	0.124
OR2K2	0.7125
LMAN1	-0.2715
SUHW1	-3.3085
CHD8	-0.8227
SUMO1	0.0534
GP1BA	-0.0545
DDB1	-1.15183333333333
MYO9B	-0.3564
MMP7	7.93025
CRNKL1	0.00774999999999999
C9orf45	-1.684
XAB2	-0.245
RTN1	0.401125
KLHL14	0.652125
TBX10	-0.046
CENPQ	-0.83675
UTY	1.87385714285714
ZBTB12	-0.3525
DTNBP1	0.0195
KBTBD8	0.00933333333333333
ZEB1	-0.491
ZG16	5.5285
MIER1	0.5986
ADAM5P	0.2655
CHD9	-0.2968125
STK16	1.18075
KIAA1486	-0.527
TOB2	0.861
BANK1	4.8765
OR2V2	0.2025
GRM2	0.039
PROSC	0.740125
SPIN2B	0.7205
PIR	-0.700111111111111
IPO9	-0.5718
EVC	-0.71
CXCL13	3.43583333333333
KIAA1199	1.875
SORL1	0.50875
NAT10	-0.19975
CHD1	-0.2485
SYN3	-0.5915
SLC22A2	0.3515
SERPINF1	-0.359833333333333
WDR34	-0.71225
OR7A17	0.3195
C9orf11	-0.152
RNF216L	-0.0956
LHB	0.1495
STK25	-0.34525
TAOK3	1.29225
LOC152573	-0.88175
C3orf39	-1.60125
C14orf108	1.5042
CDC25B	-0.268454545454546
BMP3	0.4755
TMEM180	-0.0535
MAP1LC3C	-0.4835
CRYGC	-0.602
POU3F1	-1.5577
C20orf32	-1.1235
CCDC95	-0.2655
HIGD1B	3.2125
USP6NL	0.7
ABCD4	0.394833333333333
DIMT1L	-0.00475
TEK	0.61425
SLC25A46	0.21175
LARP7	-1.4258
CD160	0.225666666666667
MT1JP	0.883333333333333
PHF20	-0.9239375
CPNE4	-0.98275
GTPBP1	-0.892428571428571
RAB33B	1.4295
ALDOC	-1.7615
ZNF212	-0.337
NUDT1	-0.103166666666667
RFPL2	-1.866
ZNF83	-0.782
GDPD5	-1.48175
PDCD4	0.78965
CEP350	-0.97325
OR10A2	0.24375
CST7	0.8245
CIAO1	-0.669
SELL	1.067125
OR8J3	2.0885
LTBP4	0.105833333333333
SIRT6	0.335
CCL19	3.0535
PPIL1	-0.350166666666667
GBP7	-0.165166666666667
STK17A	-0.5896
ABR	0.8885
OR9G1	0.104
FOXE1	-0.851
CNGA3	0.4595
GML	-0.1585
CD38	-1.03275
ZDHHC6	0.301
NEFH	-3.5165
CTDSP2	0.222
PGBD5	-2.216
CCNY	0.122357142857143
RMND5B	-0.222166666666667
ZNF257	-3.71275
FLJ22167	0.04125
EXOSC7	-0.507166666666667
ROR2	-0.308875
