Hybridization REF	TCGA-AA-3688-01A-01R-0905-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.24025
CREB3L1	0.8475
RPS11	1.319875
PNMA1	-2.26475
MMP2	-0.791166666666667
C10orf90	-2.679
ZHX3	0.146833333333333
ERCC5	0.4755
GPR98	-1.850125
RXFP3	0.805
APBB2	-0.2305
PRO0478	-1.095875
KLHL13	-3.653
PRSSL1	-0.490333333333333
PDCL3	0.623833333333333
DECR1	0.344375
SALL1	-2.40533333333333
CADM4	-0.0103333333333333
RPS18	0.684285714285714
HNRPD	-0.306666666666667
CFHR5	0.143666666666667
SLC10A7	0.634375
OR2K2	-0.1515
LMAN1	-1.004125
SUHW1	-4.11675
CHD8	-1.7732
SUMO1	0.6544
GP1BA	-0.1545
DDB1	-0.963166666666667
MYO9B	-0.4088
MMP7	5.61175
CRNKL1	1.166875
C9orf45	-1.47683333333333
XAB2	-0.4155
RTN1	0.173375
KLHL14	-1.722
TBX10	2.257
CENPQ	-0.2985
UTY	0.0835
ZBTB12	-0.018
DTNBP1	0.319125
KBTBD8	1.18983333333333
ZEB1	-0.421666666666667
ZG16	5.30575
MIER1	0.3729
ADAM5P	-0.181
CHD9	-0.24175
STK16	1.15675
KIAA1486	-0.245
TOB2	0.395166666666667
BANK1	2.6085
OR2V2	0.129
GRM2	0.279166666666667
PROSC	0.027875
SPIN2B	1.8565
PIR	-0.365666666666667
IPO9	-0.1917
EVC	-1.44083333333333
CXCL13	1.61316666666667
KIAA1199	1.6879
SORL1	1.28725
NAT10	0.05325
CHD1	-0.44925
SYN3	2.29
SLC22A2	-0.6135
SERPINF1	-1.53516666666667
WDR34	-0.35725
OR7A17	0.61425
C9orf11	0.193
RNF216L	-0.5034
LHB	-0.0495
STK25	-0.126375
TAOK3	0.736125
LOC152573	-1.78
C3orf39	0.20425
C14orf108	0.2753
CDC25B	0.988
BMP3	0.063
TMEM180	0.333
MAP1LC3C	-0.34375
CRYGC	-0.128
POU3F1	-1.3174
C20orf32	-1.18
CCDC95	-0.2485
HIGD1B	2.90575
USP6NL	1.2865
ABCD4	-0.651666666666667
DIMT1L	-0.39325
TEK	0.120625
SLC25A46	0.148
LARP7	-1.1926
CD160	0.58
MT1JP	-0.549
PHF20	-0.0375
CPNE4	-1.7655
GTPBP1	-0.663
RAB33B	0.7905
ALDOC	-1.298875
ZNF212	-0.6385
NUDT1	-0.381
RFPL2	-0.995
ZNF83	-0.802333333333333
GDPD5	-0.648625
PDCD4	0.74515
CEP350	-0.40475
OR10A2	0.21175
CST7	0.53025
CIAO1	-0.40375
SELL	0.6475
OR8J3	0.8725
LTBP4	-0.322166666666667
SIRT6	0.79375
CCL19	3.3245
PPIL1	-0.259166666666667
GBP7	-0.01
STK17A	-0.9091
ABR	0.7005
OR9G1	0.39
FOXE1	-0.725625
CNGA3	-0.0615
GML	0.168
CD38	-0.928
ZDHHC6	1.068
NEFH	-3.78075
CTDSP2	0.256166666666667
PGBD5	-1.39816666666667
CCNY	0.373071428571429
RMND5B	-0.201
ZNF257	-3.30525
FLJ22167	0.024
EXOSC7	-0.2275
ROR2	-0.832
MAOA	4.049625
TNNT3	-0.3795
GYPC	-2.24
C7orf33	0.897
PLIN	0.664166666666667
LOC90826	-0.094
RNF4	-0.1937
F8A1	-0.0211666666666667
PLEKHG4	-0.26275
GRB2	-0.16395
HIST1H2AD	-0.895
DUS3L	-0.0483333333333333
EIF1	-0.0115
RP5-1077B9.4	-0.715166666666667
FPGT	1.409
GDF10	4.09783333333333
COQ9	0.52025
GCC2	-0.133214285714286
RARRES3	0.404125
PLXNA1	-0.3312
KIAA0100	-0.6889
PMF1	0.057
FNDC1	4.1
HS2ST1	0.315833333333333
CRELD2	-0.04275
C8G	-0.8345
CD82	-0.07775
LIM2	-1.49
UNQ6490	-0.0805
MMP16	-0.6975
DRD3	0.43
C5orf26	-1.032
C11orf73	0.136125
PTP4A2	-0.0135
OR4M2	1.054
HPCA	-0.692
SEC14L1	-1.3955
CHFR	0.4955
EMILIN1	0.1535
NDUFS4	-0.71875
COL18A1	-1.539875
PDZD3	2.521
C9orf16	0.594
ERBB2IP	-0.21
EMX2	-0.0735
FUS	-1.54425
TF	-4.1262
CLCN4	1.17916666666667
CXorf56	1.43225
C11orf72	0.496
ELAC2	-1.36883333333333
NPR1	-1.78975
ASS1	0.663166666666667
USP42	0.2145
POLR2J	0.116
SEC23IP	0.5675
UQCRC1	0.3935
LOC729603	-0.09825
C1orf71	-0.0505
POLG	-1.5215
ADAM23	-4.0815
TFR2	-1.444
RICTOR	-0.3995
MGC39606	0.03575
C19orf55	-0.22775
SNAPC1	-2.17516666666667
GNA11	1.07375
CCDC52	-0.168166666666667
FSIP1	2.551
UPF3A	0.206625
IGSF11	-1.96366666666667
LAGE3	0.59175
CHST6	-2.0695
UNC13B	0.27875
TTLL4	-0.819625
ZNF687	-0.167625
SDC2	-1.6529
COX7A2	0.79425
LAMB4	-0.3315
FAM24A	0.108
LRRTM3	-0.672666666666667
GPHB5	0.82525
OR4C13	0.2625
EIF3EIP	0.603714285714286
HABP4	-0.144
TMEM125	3.82525
CNTN2	-0.20025
ASNSD1	0.01375
FUT4	2.136125
ACF	1.4435
LOC158381	0.558
CDH8	0.21325
AGPS	-0.0126666666666667
C4orf18	-0.02425
PECI	-0.928583333333333
UNG	-0.164125
GSTP1	0.116875
DCUN1D5	-0.7475
DKFZP564J0863	-1.2775
SLC9A3R1	-0.3795
BCDO2	-0.571125
CHMP7	-0.84975
REM2	-0.307
DNHD1	-0.61075
FKBP4	-1.65325
ZNF350	0.955
MGC11102	0.4035
BST1	0.07425
KISS1R	0.98
NCR2	0.574
DEFB125	0.2685
UBE2W	0.517625
KRT15	-1.588375
C10orf99	3.346
SCN11A	0.529
GFI1	-1.2505
RDHE2	2.63783333333333
FHL1	-1.6675
OSGEP	-0.274833333333333
GATA1	-3.3145
SMC6	-0.6295
TTTY14	-0.29025
LPIN3	0.30025
RPL4	-0.6046
RBPMS	-1.1719
PRPF3	0.379666666666667
EMR1	-1.856
SPATA19	-0.19625
XCR1	0.313
IRX3	-1.9592
RBM6	-0.29225
KLF4	0.8373
UNC5CL	1.49925
SEBOX	-0.2875
BTK	-1.55075
KRCC1	1.45225
C6orf27	0.3895
SYTL5	-0.628
PRND	0.345375
LOC653319	-0.761
PIGL	-0.333375
HUS1	1.02083333333333
SFRS6	0.21825
C17orf77	0.4115
UIMC1	-0.3415
FXYD2	-2.0771
LOC283152	0.8095
ZNF667	-2.59025
ZCCHC12	-0.095
TFEC	1.5476
ATP7B	1.5695
POLD2	-0.723166666666667
RG9MTD1	0.69775
ACOT2	-1.255
HIST1H4I	-0.43825
PPARGC1A	-0.4046
ETFA	-0.0735
POLRMT	-0.43925
ZNF146	-0.284125
MIA2	-0.6115
KLHL6	-1.41
HOXB5	2.179
NENF	0.292
CUGBP1	-0.7685
PRSS22	0.934
CASC4	1.0956
CUL4B	0.7754
CENPJ	0.1241
PITX1	-0.323
FLJ31033	0.472666666666667
CELSR3	0.6285
ZNF568	-0.918
ITSN1	-0.379916666666667
EHBP1L1	-0.4705
C19orf2	0.14925
DCTN1	-1.39425
LIN28B	-3.39416666666667
TNKS2	-0.285
C1QBP	0.02925
CADPS2	0.6335
SRMS	0.6085
GJA9	0.115833333333333
MGC24975	-0.160666666666667
TRIM45	-1.9315
TSP50	-0.366
TCP1	-0.63775
TMED7	0.3923
CMA1	0.766
CENPL	0.281
PTCRA	-0.4005
FST	-5.19125
VWCE	-4.323
PAWR	0.61475
ABCC12	0.0953333333333333
LDLR	-1.1656
ASTN2	-0.5335
LOC441212	-0.307125
GPATCH8	-0.364
TANC2	-2.64441666666667
KIF4A	-0.168
C18orf18	1.26075
PGM1	-0.869
KIAA0258	0.341
CPD	0.693125
SNCAIP	-1.8705
DCT	-4.35433333333333
HLA-DOA	1.89045454545455
OR11L1	0.7955
UPK1B	-0.261
DNAJB4	-1.58425
UGT1A8	2.62375
HIST1H4L	0.918
PECR	-0.724
HSPA2	0.3655
WFIKKN1	-1.572
SERP1	0.504125
SYDE2	0.192
TACR2	0.7785
NUP85	-0.389
CD177	1.47383333333333
LGR5	1.472
PIGG	0.20275
PTHR1	-2.91816666666667
RAB5A	0.0803
FLJ13224	0.061
USP9Y	-1.04233333333333
C7orf53	-0.278
LRP1B	-0.63275
XAF1	0.5466
ABCG8	-0.4485
ANKDD1A	-0.621666666666667
DAND5	-2.813
SPAG6	0.119166666666667
LINCR	1.224
ZDHHC22	-1.62875
CCDC60	-0.4685
THOC7	-0.423
TCTA	0.5619
OR8K3	0.5315
NY-REN-7	0.1135
B2M	1.527
C6orf141	-1.7435
LPPR4	2.0845
SQLE	-0.35225
SEPHS1	-0.11525
BTBD14B	0.290571428571429
PLRG1	0.12975
SPG7	-0.5785
ZNF614	-0.244333333333333
PARD6G	-0.356333333333333
INPP5B	-1.2383
GRPEL2	0.251375
PPID	-0.6319
TRIM56	-0.57825
UBE2J1	0.74025
IL20RA	5.63025
LOC387856	-0.1225
C1orf107	1.32208333333333
UTS2R	0.963
C19orf22	0.37125
SAFB2	0.089625
KIAA0652	-0.53725
KLRG1	-1.68616666666667
MS4A8B	4.72666666666667
FRAG1	0.281
KIAA1546	-0.5035
