Hybridization REF	TCGA-AA-A024-01A-02R-A00A-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.775666666666667
CREB3L1	2.62575
RPS11	0.730875
PNMA1	-1.326
MMP2	-1.31433333333333
C10orf90	-2.6505
ZHX3	-0.6555
ERCC5	0.78925
GPR98	-0.587857142857143
RXFP3	0.378
APBB2	0.06525
PRO0478	-0.563375
KLHL13	-0.727
PRSSL1	-0.621833333333333
PDCL3	0.103166666666667
DECR1	0.36775
SALL1	-3.0875
CADM4	-0.689333333333333
RPS18	0.388214285714286
HNRPD	-1.39808333333333
CFHR5	1.04875
SLC10A7	0.345625
OR2K2	0.054
LMAN1	-1.199
SUHW1	-2.439
CHD8	-0.1689
SUMO1	0.6334
GP1BA	0.1178
DDB1	-0.494833333333333
MYO9B	-0.5621
MMP7	4.71725
CRNKL1	-0.1155
C9orf45	-1.94383333333333
XAB2	0.12625
RTN1	0.648333333333333
KLHL14	-1.813
TBX10	3.915
CENPQ	-2.27225
UTY	1.8785
ZBTB12	-0.6265
DTNBP1	-0.154875
KBTBD8	0.196333333333333
ZEB1	-0.535833333333333
ZG16	6.2975
MIER1	0.5321
ADAM5P	0.5335
CHD9	-0.01275
STK16	0.7005
KIAA1486	0.16
TOB2	1.27641666666667
BANK1	2.3585
OR2V2	0.199
GRM2	0.107833333333333
PROSC	0.23725
SPIN2B	1.4745
PIR	-2.09122222222222
IPO9	-0.8095
EVC	-1.732
CXCL13	0.7675
KIAA1199	2.757
SORL1	3.08525
NAT10	-0.44925
CHD1	-0.1265
SYN3	0.95475
SLC22A2	0.1065
SERPINF1	-2.6555
WDR34	-0.94375
OR7A17	0.19425
C9orf11	-0.22
RNF216L	-0.6441
LHB	0.149
STK25	-0.075
TAOK3	1.31625
LOC152573	-1.47625
C3orf39	-1.26825
C14orf108	0.6519
CDC25B	-1.38181818181818
BMP3	-0.352
TMEM180	0.3745
MAP1LC3C	-0.23
CRYGC	-0.7255
POU3F1	-1.272
C20orf32	-1.357
CCDC95	-0.257
HIGD1B	1.20175
USP6NL	0.823375
ABCD4	0.291666666666667
DIMT1L	-0.911833333333333
TEK	-0.329625
SLC25A46	-0.554
LARP7	-1.7529
CD160	0.388666666666667
MT1JP	-0.634666666666667
PHF20	-0.7498125
CPNE4	-2.004
GTPBP1	-0.2655
RAB33B	1.0185
ALDOC	-1.24825
ZNF212	-0.4575
NUDT1	-1.7775
RFPL2	-1.197
ZNF83	-1.08
GDPD5	-1.5245
PDCD4	1.69565
CEP350	-0.3055
OR10A2	1.209
CST7	-0.452
CIAO1	-0.93475
SELL	0.123
OR8J3	4.0315
LTBP4	0.8395
SIRT6	1.26825
CCL19	2.5775
PPIL1	-1.344
GBP7	0.348833333333333
STK17A	-1.3166
ABR	1.6505
OR9G1	1.747
FOXE1	0.12125
CNGA3	0.232
GML	0.359
CD38	-2.9435
ZDHHC6	0.3995
