Hybridization REF	TCGA-AA-3811-01A-01R-1022-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.251416666666667
CREB3L1	1.981
RPS11	1.143625
PNMA1	-2.012
MMP2	-0.609
C10orf90	-2.728
ZHX3	-0.405666666666667
ERCC5	1.169
GPR98	-1.04816666666667
RXFP3	0.627
APBB2	0.03225
PRO0478	-0.872625
KLHL13	-1.32525
PRSSL1	-0.682166666666667
PDCL3	0.6295
DECR1	0.474
SALL1	-2.10166666666667
CADM4	-0.498666666666667
RPS18	0.731
HNRPD	-0.496916666666667
CFHR5	0.4065
SLC10A7	-0.012875
OR2K2	-0.7445
LMAN1	-0.06725
SUHW1	-3.3285
CHD8	-1.1628
SUMO1	0.0258
GP1BA	0.1385
DDB1	-0.253666666666667
MYO9B	-0.165
MMP7	1.89225
CRNKL1	0.605375
C9orf45	-1.79216666666667
XAB2	0.216625
RTN1	0.856125
KLHL14	-1.683875
TBX10	-0.5005
CENPQ	0.098
UTY	-1.45081818181818
ZBTB12	0.5945
DTNBP1	0.219625
KBTBD8	0.1225
ZEB1	-0.482833333333333
ZG16	5.28525
MIER1	0.6296
ADAM5P	1.737
CHD9	-0.18
STK16	0.72075
KIAA1486	-0.272
TOB2	0.34475
BANK1	4.5535
OR2V2	0.0825
GRM2	-0.217166666666667
PROSC	0.712625
SPIN2B	0.3125
PIR	-0.380777777777778
IPO9	-0.2832
EVC	-1.61033333333333
CXCL13	5.04716666666667
KIAA1199	0.0646
SORL1	0.03675
NAT10	-0.01025
CHD1	-0.4945
SYN3	-0.426
SLC22A2	-1.02875
SERPINF1	-1.33383333333333
WDR34	-0.7445
OR7A17	0.449
C9orf11	-0.032
RNF216L	0.0983
LHB	-0.435
STK25	0.010625
TAOK3	1.192375
LOC152573	-1.002
C3orf39	-0.295
C14orf108	0.1955
CDC25B	0.0399090909090909
BMP3	1.5015
TMEM180	0.049
MAP1LC3C	-0.219
CRYGC	3.624
POU3F1	-1.99455555555556
C20orf32	-1.3495
CCDC95	0.0345
HIGD1B	3.08025
USP6NL	1.263875
ABCD4	-0.462833333333333
DIMT1L	-0.630333333333333
TEK	0.347875
SLC25A46	-0.714
LARP7	-1.2958
CD160	0.688166666666667
MT1JP	0.746833333333333
PHF20	0.0681875
CPNE4	-2.1895
GTPBP1	-0.849357142857143
RAB33B	0.3212
ALDOC	-0.839125
ZNF212	-0.55225
NUDT1	-0.6505
RFPL2	3.556
ZNF83	-0.2595
GDPD5	1.589125
PDCD4	0.53
CEP350	-0.46175
OR10A2	0.501
CST7	1.163
CIAO1	-0.413
SELL	0.883875
OR8J3	1.9745
LTBP4	0.363333333333333
SIRT6	0.204
