Hybridization REF	TCGA-AA-A01C-01A-01R-A00A-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.198583333333333
CREB3L1	1.1465
RPS11	0.914125
PNMA1	-1.698
MMP2	0.339833333333333
C10orf90	-1.8355
ZHX3	-0.264833333333333
ERCC5	1.3085
GPR98	-1.6805
RXFP3	0.689
APBB2	0.007
PRO0478	-0.275875
KLHL13	-2.22775
PRSSL1	-0.566166666666667
PDCL3	0.0253333333333334
DECR1	-0.22325
SALL1	-2.22933333333333
CADM4	-0.841333333333333
RPS18	0.666857142857143
HNRPD	-0.426916666666667
CFHR5	0.1232
SLC10A7	0.050375
OR2K2	-0.448
LMAN1	-1.796625
SUHW1	-2.89925
CHD8	-0.3776
SUMO1	0.7704
GP1BA	0.022
DDB1	-0.209
MYO9B	-0.1048
MMP7	7.7375
CRNKL1	0.929625
C9orf45	-1.52166666666667
XAB2	0.31625
RTN1	-0.0378571428571428
KLHL14	-1.083625
TBX10	1.7915
CENPQ	-1.378
UTY	1.41685714285714
ZBTB12	-0.5495
DTNBP1	0.4975
KBTBD8	-0.312833333333333
ZEB1	0.0055
ZG16	4.44525
MIER1	-0.2391
ADAM5P	2.221
CHD9	0.05025
STK16	0.28625
KIAA1486	-0.1145
TOB2	0.638583333333333
BANK1	1.61325
OR2V2	0.26775
GRM2	0.135
PROSC	0.3565
SPIN2B	1.63825
PIR	-1.59744444444444
IPO9	-0.7292
EVC	-0.526666666666667
CXCL13	1.38416666666667
KIAA1199	1.5178
SORL1	1.8345
NAT10	0.15825
CHD1	-0.57975
SYN3	2.06075
SLC22A2	-0.199
SERPINF1	-0.983666666666667
WDR34	0.188
OR7A17	0.386
C9orf11	-1.857
RNF216L	-0.6338
LHB	0.423
STK25	0.094
TAOK3	1.048
LOC152573	-1.567
C3orf39	-0.077125
C14orf108	0.4736
CDC25B	0.803272727272727
BMP3	0.6685
TMEM180	0.5475
MAP1LC3C	-0.24325
CRYGC	-1.0565
POU3F1	-1.4236
C20orf32	-1.56
CCDC95	0.274
HIGD1B	2.0135
USP6NL	0.96725
ABCD4	-0.216833333333333
DIMT1L	-0.711666666666667
TEK	0.309875
SLC25A46	-0.65275
LARP7	-1.859
CD160	0.1948
MT1JP	-1.46466666666667
PHF20	-0.0844375
CPNE4	-1.239
GTPBP1	-0.624071428571429
RAB33B	0.310333333333333
ALDOC	-0.5365
ZNF212	0.17525
NUDT1	-0.9685
RFPL2	-1.537
ZNF83	-1.11633333333333
GDPD5	1.115625
PDCD4	1.24715
CEP350	-1.0905
OR10A2	0.481
CST7	-0.237
CIAO1	-0.3185
SELL	0.38375
OR8J3	0.525
LTBP4	0.219
SIRT6	1.36125
CCL19	2.13425
PPIL1	-0.329
GBP7	-0.00216666666666668
STK17A	-1.4773
ABR	1.69825
OR9G1	-0.0715
FOXE1	-0.068875
CNGA3	0.579
GML	0.425
CD38	-2.44575
ZDHHC6	0.9315
NEFH	-4.25625
CTDSP2	1.04158333333333
PGBD5	-2.18833333333333
CCNY	0.287857142857143
RMND5B	-0.185916666666667
ZNF257	0.39825
FLJ22167	-0.369375
EXOSC7	-0.2345
ROR2	-0.253125
MAOA	2.76725
TNNT3	0.0543333333333333
GYPC	-2.025
C7orf33	0.8555
PLIN	0.366333333333333
LOC90826	-1.51075
RNF4	-0.7083
F8A1	0.600666666666667
PLEKHG4	0.61175
GRB2	-0.06615
HIST1H2AD	-0.87625
DUS3L	0.100666666666667
EIF1	-0.282
RP5-1077B9.4	-0.985666666666667
FPGT	0.2035
GDF10	2.35783333333333
COQ9	0.74975
GCC2	-0.326642857142857
RARRES3	0.07975
PLXNA1	-0.3242
KIAA0100	-0.4109
PMF1	-0.4715
FNDC1	5.19075
HS2ST1	-0.416
CRELD2	-0.12675
C8G	-1.448
CD82	0.1785
LIM2	-0.885
UNQ6490	0.1375
MMP16	-0.70775
DRD3	0.3585
C5orf26	-0.35775
C11orf73	-0.13575
PTP4A2	0.19275
OR4M2	0.2145
HPCA	-0.768666666666667
SEC14L1	-1.30066666666667
CHFR	-0.042875
EMILIN1	1.030875
NDUFS4	-0.70125
COL18A1	-0.49675
PDZD3	3.0184
C9orf16	0.847333333333333
ERBB2IP	-0.00566666666666667
EMX2	0.1305
FUS	-0.53275
TF	-4.9394
CLCN4	-0.516333333333333
CXorf56	0.366
C11orf72	0.48725
ELAC2	-0.954
NPR1	-1.4385
ASS1	1.2865
USP42	-0.7125
POLR2J	0.0415
SEC23IP	0.2855
UQCRC1	0.90175
LOC729603	0.026
C1orf71	-1.322875
POLG	-1.585
ADAM23	-4.14725
TFR2	-1.05725
RICTOR	-0.7852
MGC39606	0.1525
C19orf55	-0.187875
