Hybridization REF	TCGA-AA-A00F-01A-01R-A002-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.413833333333333
CREB3L1	1.927
RPS11	0.67225
PNMA1	-1.64275
MMP2	0.094
C10orf90	-2.416
ZHX3	-0.478166666666667
ERCC5	1.736
GPR98	-1.33375
RXFP3	0.961
APBB2	-0.69175
PRO0478	0.277125
KLHL13	-3.26575
PRSSL1	-0.796833333333333
PDCL3	0.0883333333333333
DECR1	-0.50625
SALL1	-2.145
CADM4	0.254666666666667
RPS18	0.5405
HNRPD	-0.73825
CFHR5	0.4555
SLC10A7	-0.1965
OR2K2	-0.623
LMAN1	-1.778125
SUHW1	-3.74325
CHD8	-0.6621
SUMO1	0.3289
GP1BA	0.2378
DDB1	-0.5145
MYO9B	0.273
MMP7	8.0705
CRNKL1	-0.706375
C9orf45	-1.737
XAB2	-0.053
RTN1	0.079875
KLHL14	-1.589625
TBX10	2.7405
CENPQ	-1.15025
UTY	1.89492857142857
ZBTB12	0.9
DTNBP1	0.888125
KBTBD8	0.178333333333333
ZEB1	0.403166666666667
ZG16	6.36725
MIER1	0.3442
ADAM5P	0.6425
CHD9	0.1555
STK16	0.558
KIAA1486	-1.1305
TOB2	0.65825
BANK1	2.2575
OR2V2	0.14525
GRM2	0.0571666666666667
PROSC	-0.16675
SPIN2B	0.8995
PIR	-1.79777777777778
IPO9	-0.3372
EVC	-0.6415
CXCL13	2.68333333333333
KIAA1199	0.2823
SORL1	1.9675
NAT10	0.472
CHD1	-0.6055
SYN3	1.50975
SLC22A2	-0.63275
SERPINF1	-0.827333333333333
WDR34	-0.51325
OR7A17	0.004
C9orf11	0.272
RNF216L	0.2191
LHB	0.141
STK25	-0.13025
TAOK3	1.148
LOC152573	-0.45525
C3orf39	-0.48375
C14orf108	0.3342
CDC25B	-0.618909090909091
BMP3	2.3055
TMEM180	-0.1735
MAP1LC3C	-0.523
CRYGC	-2.423
POU3F1	-1.6255
C20orf32	-1.156
CCDC95	0.0835
HIGD1B	2.07875
USP6NL	0.3775
ABCD4	0.217333333333333
DIMT1L	-0.671166666666667
TEK	0.570875
SLC25A46	-0.752
LARP7	-1.3858
CD160	0.556666666666667
MT1JP	1.05783333333333
PHF20	-0.099125
CPNE4	-2.09425
GTPBP1	-0.451357142857143
RAB33B	0.212833333333333
ALDOC	-1.82575
ZNF212	0.274
NUDT1	-0.5605
RFPL2	-1.69633333333333
ZNF83	-0.306166666666667
GDPD5	0.44125
PDCD4	1.1761
CEP350	-0.098
OR10A2	0.65
CST7	-0.6995
CIAO1	-0.6035
SELL	-0.05075
OR8J3	2.401
LTBP4	0.3765
SIRT6	1.33125
CCL19	4.21725
PPIL1	-0.402333333333333
GBP7	0.3614
STK17A	-1.1674
ABR	1.4475
OR9G1	-0.0695
FOXE1	-0.827375
CNGA3	0.2105
GML	0.383
CD38	-2.1545
ZDHHC6	0.299666666666667
NEFH	-3.44225
CTDSP2	0.932333333333333
PGBD5	-1.6885
CCNY	0.126142857142857
RMND5B	-0.25725
ZNF257	-3.4805
FLJ22167	-0.276875
EXOSC7	-0.131166666666667
ROR2	-0.491375
MAOA	3.161125
TNNT3	-0.667
GYPC	-1.93
C7orf33	0.892
PLIN	-0.0868333333333333
LOC90826	-0.612
RNF4	-0.4293
F8A1	0.4425
PLEKHG4	-1.17975
GRB2	-0.59975
HIST1H2AD	-0.742
DUS3L	-0.0405
EIF1	-0.748166666666667
RP5-1077B9.4	-0.974666666666667
FPGT	0.586
GDF10	-2.046
COQ9	0.457
GCC2	0.290214285714286
RARRES3	1.0945
PLXNA1	0.0143
KIAA0100	-0.4261
PMF1	-0.62675
FNDC1	5.54775
HS2ST1	-0.05075
CRELD2	-0.0495
C8G	0.4485
CD82	0.33
LIM2	-1.314
UNQ6490	-1.119
MMP16	-0.9455
DRD3	0.23875
C5orf26	-1.0825
C11orf73	-0.186375
PTP4A2	0.597875
OR4M2	1.2725
HPCA	-1.23633333333333
SEC14L1	-1.12616666666667
CHFR	-0.426375
EMILIN1	0.631375
NDUFS4	-1.36325
COL18A1	-0.64475
PDZD3	3.8231
C9orf16	0.599833333333333
ERBB2IP	-0.1975
EMX2	-0.10425
FUS	-0.707
TF	-4.3614
CLCN4	-0.698833333333333
CXorf56	0.13425
C11orf72	0.61975
ELAC2	-1.18625
NPR1	-1.71875
ASS1	0.0776666666666667
USP42	0.49125
POLR2J	0.2215
SEC23IP	0.236833333333333
UQCRC1	0.65625
LOC729603	0.6485
C1orf71	-0.39675
POLG	-1.6045
ADAM23	-3.64125
TFR2	-1.0255
RICTOR	-0.2102
MGC39606	-0.46525
C19orf55	-0.20025
SNAPC1	-1.58266666666667
GNA11	1.552
CCDC52	0.596833333333333
FSIP1	0.762
UPF3A	0.90275
IGSF11	-2.7105
LAGE3	-0.3895
CHST6	-0.8035
UNC13B	0.9085
TTLL4	-0.613875
ZNF687	-0.28075
SDC2	-1.1876
COX7A2	0.21675
LAMB4	-0.358
FAM24A	-0.4285
LRRTM3	-1.44166666666667
GPHB5	0.33075
OR4C13	0.0645
EIF3EIP	-0.0264285714285715
HABP4	-1.0985
TMEM125	3.79325
CNTN2	-0.146375
ASNSD1	-0.25425
FUT4	2.24225
ACF	0.8355
LOC158381	-0.6515
CDH8	-0.66575
AGPS	-0.164
C4orf18	1.943125
PECI	-2.46791666666667
UNG	-0.291875
GSTP1	1.013875
DCUN1D5	-0.2995
DKFZP564J0863	0.3015
SLC9A3R1	-0.50175
BCDO2	-0.467
CHMP7	-1.05225
REM2	-0.1175
DNHD1	-0.27175
FKBP4	-0.565
ZNF350	1.3235
MGC11102	0.3055
BST1	0.2895
KISS1R	1.183
NCR2	0.2275
DEFB125	0.207
UBE2W	0.107125
KRT15	-1.313875
C10orf99	4.095
SCN11A	-0.347125
GFI1	-1.1255
RDHE2	2.50566666666667
FHL1	-1.288
OSGEP	-0.199166666666667
GATA1	-3.11316666666667
SMC6	-0.437
TTTY14	1.577
LPIN3	0.48075
RPL4	-1.0948
RBPMS	-0.3888
PRPF3	-0.228666666666667
EMR1	-2.4555
SPATA19	0.1335
XCR1	-0.0975
IRX3	-2.206
RBM6	0.996
KLF4	1.2308
UNC5CL	1.9735
SEBOX	0.4045
BTK	-1.962
KRCC1	1.688
