Hybridization REF	TCGA-AA-A00Q-01A-01R-A002-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.191833333333333
CREB3L1	1.54525
RPS11	1.248875
PNMA1	-1.3755
MMP2	-0.475833333333333
C10orf90	-2.14775
ZHX3	-0.4785
ERCC5	1.11075
GPR98	-1.331
RXFP3	0.611
APBB2	-0.5735
PRO0478	-0.046625
KLHL13	-3.9865
PRSSL1	-0.441
PDCL3	0.275833333333333
DECR1	0.221125
SALL1	-4.02333333333333
CADM4	-0.638666666666667
RPS18	0.711071428571429
HNRPD	-0.3905
CFHR5	0.9466
SLC10A7	-0.0435
OR2K2	-0.26
LMAN1	-1.488375
SUHW1	-3.0915
CHD8	-0.9708
SUMO1	0.5362
GP1BA	0.388
DDB1	-0.613833333333333
MYO9B	-0.0018
MMP7	3.64
CRNKL1	-0.844875
C9orf45	-1.3685
XAB2	0.192625
RTN1	0.250125
KLHL14	-1.352625
TBX10	1.549
CENPQ	-2.13625
UTY	-0.796928571428571
ZBTB12	0.1085
DTNBP1	0.786375
KBTBD8	-0.309166666666667
ZEB1	-0.378833333333333
ZG16	0.07975
MIER1	0.2059
ADAM5P	1.269
CHD9	-0.3060625
STK16	0.6505
KIAA1486	-0.955
TOB2	0.537333333333333
BANK1	2.5835
OR2V2	0.3555
GRM2	0.224666666666667
PROSC	0.699
SPIN2B	1.2725
PIR	-2.03477777777778
IPO9	-0.5046
EVC	-0.5935
CXCL13	2.88933333333333
KIAA1199	2.2479
SORL1	1.989
NAT10	-0.1645
CHD1	-0.03025
SYN3	2.19525
SLC22A2	-0.764
SERPINF1	-1.35433333333333
WDR34	-0.74575
OR7A17	0.3695
C9orf11	-0.242
RNF216L	-0.0508
LHB	0.218
STK25	-0.25375
TAOK3	1.087125
LOC152573	-0.67925
C3orf39	-0.501125
C14orf108	0.1901
CDC25B	-1.54781818181818
BMP3	-0.0405
TMEM180	0.122
MAP1LC3C	-0.375
CRYGC	-1.2315
POU3F1	-1.253
C20orf32	-0.9265
CCDC95	-0.101
HIGD1B	3.361
USP6NL	1.0135
ABCD4	-0.176666666666667
DIMT1L	-0.288
TEK	0.178375
SLC25A46	-0.4165
LARP7	-1.184
CD160	0.145
MT1JP	-0.0921666666666666
PHF20	-0.17325
CPNE4	-1.729
GTPBP1	-0.398928571428571
RAB33B	0.805166666666667
ALDOC	-1.542
ZNF212	0.06175
NUDT1	-0.583333333333333
RFPL2	-1.17275
ZNF83	-0.3105
GDPD5	0.2765
PDCD4	1.19045
CEP350	-0.46875
OR10A2	0.46375
CST7	0.0995
CIAO1	-0.74125
SELL	0.0702500000000001
OR8J3	0.6275
LTBP4	0.5825
SIRT6	0.8655
CCL19	3.4695
PPIL1	-0.7025
GBP7	0.167666666666667
STK17A	-1.1293
ABR	2.03875
OR9G1	0.2145
FOXE1	-0.653
CNGA3	0.397
GML	0.3775
CD38	-1.745
ZDHHC6	0.468833333333333
NEFH	-2.99525
CTDSP2	0.799166666666667
PGBD5	-0.650166666666667
CCNY	0.211571428571429
RMND5B	-0.40475
ZNF257	-4.1435
FLJ22167	-0.03725
EXOSC7	0.0525
ROR2	0.424875
MAOA	3.300625
TNNT3	-0.220666666666667
GYPC	-1.73275
C7orf33	0.8855
PLIN	0.391333333333333
LOC90826	-0.339
RNF4	-0.0999
F8A1	0.4655
PLEKHG4	0.428
GRB2	-0.40935
HIST1H2AD	-1.77825
DUS3L	-0.135333333333333
EIF1	-0.416666666666667
RP5-1077B9.4	-0.975666666666667
FPGT	0.7405
GDF10	-1.67233333333333
COQ9	0.40675
GCC2	0.524928571428571
RARRES3	1.146
PLXNA1	-0.1013
KIAA0100	-0.5027
PMF1	-0.295
FNDC1	4.62875
HS2ST1	-0.235583333333333
CRELD2	-0.4565
C8G	-0.662
CD82	0.44625
LIM2	-1.146
UNQ6490	-0.537
MMP16	-0.851
DRD3	0.4055
C5orf26	-0.253
C11orf73	-0.44675
PTP4A2	0.145375
OR4M2	0.1735
HPCA	-0.839833333333333
SEC14L1	-1.18483333333333
CHFR	-2.1675
EMILIN1	0.54625
NDUFS4	-0.56925
COL18A1	-0.850625
PDZD3	3.6637
C9orf16	0.2995
ERBB2IP	0.529666666666667
EMX2	-0.688
FUS	-0.96725
TF	-3.8159
CLCN4	-0.787166666666667
CXorf56	-0.59975
C11orf72	0.442
ELAC2	-0.641
NPR1	-1.6595
ASS1	0.0101666666666667
USP42	0.0125
POLR2J	0.215
SEC23IP	0.264833333333333
UQCRC1	0.7585
LOC729603	0.45
