Hybridization REF	TCGA-AA-A00N-01A-02R-A00A-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.762909090909091
CREB3L1	1.8565
RPS11	0.78125
PNMA1	-1.21825
MMP2	1.00916666666667
C10orf90	-1.2935
ZHX3	-0.171333333333333
ERCC5	0.14875
GPR98	-0.72025
RXFP3	0.0005
APBB2	1.2145
PRO0478	-0.852375
KLHL13	0.12675
PRSSL1	-0.8485
PDCL3	0.206
DECR1	0.221125
SALL1	-1.77733333333333
CADM4	-0.878
RPS18	0.1845
HNRPD	-0.331
CFHR5	0.896
SLC10A7	0.689
OR2K2	0.52
LMAN1	0.00787499999999999
SUHW1	-2.582
CHD8	-0.1004
SUMO1	0.8815
GP1BA	0.8974
DDB1	-0.378333333333333
MYO9B	-0.2394
MMP7	7.80625
CRNKL1	0.293125
C9orf45	-1.73533333333333
XAB2	-0.0165
RTN1	0.52225
KLHL14	-1.253625
TBX10	0.25
CENPQ	-1.71675
UTY	1.27807142857143
ZBTB12	-0.466
DTNBP1	0.5545
KBTBD8	0.3415
ZEB1	-0.233
ZG16	5.243
MIER1	0.4272
ADAM5P	-0.1585
CHD9	-0.1913125
STK16	1.086
KIAA1486	0.096
TOB2	0.894916666666667
BANK1	2.57775
OR2V2	0.729
GRM2	-0.231
PROSC	0.74125
SPIN2B	-0.35975
PIR	-1.78866666666667
IPO9	-0.6599
EVC	0.483666666666667
CXCL13	2.75383333333333
KIAA1199	2.108
SORL1	1.907
NAT10	-0.6305
CHD1	-0.00925
SYN3	0.59975
SLC22A2	1.20225
SERPINF1	0.0343333333333333
WDR34	-0.52925
OR7A17	0.4535
C9orf11	-0.582
RNF216L	-0.1761
LHB	-0.581
STK25	-0.50175
TAOK3	0.953875
LOC152573	0.73525
C3orf39	-0.468875
C14orf108	1.046
CDC25B	-0.513181818181818
BMP3	-0.3445
TMEM180	-0.1985
MAP1LC3C	-0.2135
CRYGC	-0.97
POU3F1	-1.7366
C20orf32	-0.5825
CCDC95	-0.674
HIGD1B	2.7365
USP6NL	0.737625
ABCD4	0.569666666666667
DIMT1L	-0.530916666666667
TEK	0.93725
SLC25A46	0.513
LARP7	-1.9538
CD160	0.0921666666666667
MT1JP	-0.8
PHF20	-0.5898125
CPNE4	-0.1985
GTPBP1	-0.412357142857143
RAB33B	1.0678
ALDOC	-1.588
ZNF212	-0.217
NUDT1	-0.754166666666667
RFPL2	-0.879
ZNF83	-0.5
GDPD5	-0.598
PDCD4	1.1081
CEP350	-0.28325
OR10A2	0.26275
CST7	0.342
CIAO1	-0.54675
SELL	0.759875
OR8J3	3.0005
LTBP4	-0.150666666666667
SIRT6	0.9455
CCL19	1.47275
PPIL1	-0.246833333333333
GBP7	-0.514
STK17A	-0.3838
ABR	1.2325
OR9G1	-0.00600000000000001
FOXE1	-0.73025
CNGA3	0.939
GML	-0.0645
CD38	-2.0795
ZDHHC6	0.380333333333333
NEFH	-4.51575
CTDSP2	0.8545
PGBD5	-0.197166666666667
CCNY	0.512785714285714
RMND5B	0.10375
ZNF257	-2.25925
FLJ22167	-0.275125
EXOSC7	-0.276333333333333
ROR2	0.098
MAOA	3.17175
TNNT3	-0.907
GYPC	-1.98275
C7orf33	0.682
PLIN	-0.0518333333333333
LOC90826	0.27525
RNF4	-0.0798
F8A1	0.429333333333333
PLEKHG4	0.7205
GRB2	0.04855
HIST1H2AD	-0.89475
DUS3L	-1.25083333333333
EIF1	0.154833333333333
RP5-1077B9.4	-1.45066666666667
FPGT	1.552
GDF10	-0.8162
COQ9	0.66875
GCC2	0.38
RARRES3	2.436375
PLXNA1	-0.1578
KIAA0100	-0.4863
PMF1	0.02875
FNDC1	5.41975
HS2ST1	-0.189833333333333
CRELD2	0.547
C8G	-1.43
CD82	0.16925
LIM2	-0.7125
UNQ6490	1.0545
MMP16	-0.471666666666667
DRD3	-0.65625
C5orf26	0.57375
C11orf73	-0.784
PTP4A2	0.802875
OR4M2	-0.016
HPCA	-0.896666666666667
SEC14L1	-0.496666666666667
CHFR	0.347375
EMILIN1	0.66225
NDUFS4	0.01625
COL18A1	-0.52625
PDZD3	2.1665
C9orf16	-0.1785
ERBB2IP	0.411166666666667
EMX2	0.13075
FUS	-1.24675
TF	-4.6232
CLCN4	0.993333333333333
CXorf56	-0.6325
C11orf72	0.12225
ELAC2	-0.399166666666667
NPR1	-0.85225
ASS1	0.0415
USP42	-0.659125
POLR2J	-0.894
SEC23IP	0.898333333333333
UQCRC1	0.91
LOC729603	0.0785
C1orf71	-0.625
POLG	-1.18
ADAM23	-3.4805
TFR2	-1.248
RICTOR	-0.386
MGC39606	-0.12675
C19orf55	-0.927
SNAPC1	-1.48233333333333
GNA11	0.667625
CCDC52	0.288
FSIP1	-0.431
UPF3A	-1.03425
IGSF11	-1.08183333333333
LAGE3	-0.618
CHST6	-0.2865
UNC13B	1.259
TTLL4	-0.6245
ZNF687	-0.151
SDC2	-0.4812
COX7A2	0.6725
LAMB4	-0.43675
FAM24A	0.0925
LRRTM3	-0.619
GPHB5	-0.34525
OR4C13	-0.3845
EIF3EIP	0.450714285714286
HABP4	-0.8275
TMEM125	4.49125
