Hybridization REF	TCGA-A6-2678-01A-01R-0821-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-1.38025
CREB3L1	1.706
RPS11	1.103
PNMA1	-2.72475
MMP2	-0.917833333333333
C10orf90	-1.32025
ZHX3	-0.930833333333334
ERCC5	0.4805
GPR98	-0.486
RXFP3	0.71
APBB2	1.03875
PRO0478	-1.363
KLHL13	-1.96825
PRSSL1	0.264666666666667
PDCL3	0.447666666666667
DECR1	0.87075
SALL1	-2.741
CADM4	-0.333333333333333
RPS18	-0.0877857142857143
HNRPD	-0.7185
CFHR5	0.2878
SLC10A7	0.303
OR2K2	-0.3335
LMAN1	-0.781125
SUHW1	-2.2835
CHD8	-1.6046
SUMO1	0.6675
GP1BA	0.2418
DDB1	-1.01433333333333
MYO9B	-0.5253
MMP7	6.73675
CRNKL1	0.321125
C9orf45	-2.18833333333333
XAB2	0.16425
RTN1	-0.0421428571428571
KLHL14	-1.6735
TBX10	0.986
CENPQ	-0.78575
UTY	-1.00509090909091
ZBTB12	-1.013
DTNBP1	-0.519375
KBTBD8	0.563666666666667
ZEB1	-0.819666666666667
ZG16	6.11475
MIER1	1.1288
ADAM5P	-2.104
CHD9	-0.643125
STK16	1.00675
KIAA1486	0.096
TOB2	0.592666666666667
BANK1	4.2025
OR2V2	0.06575
GRM2	0.332666666666667
PROSC	0.117625
SPIN2B	0.79125
PIR	-1.26733333333333
IPO9	-0.9289
EVC	-1.432
CXCL13	4.1515
KIAA1199	2.156
SORL1	1.5755
NAT10	-0.14475
CHD1	-0.28575
SYN3	2.49625
SLC22A2	0.153
SERPINF1	-0.809666666666667
WDR34	-0.2605
OR7A17	0.249
C9orf11	0.087
RNF216L	-0.1762
LHB	0.3415
STK25	-1.093625
TAOK3	1.010875
LOC152573	-0.5305
C3orf39	-0.68375
C14orf108	0.6859
CDC25B	-0.929818181818182
BMP3	0.414
TMEM180	0.2565
MAP1LC3C	-0.36125
CRYGC	-0.3425
POU3F1	-1.0899
C20orf32	-0.8565
CCDC95	0.2775
HIGD1B	2.069
USP6NL	1.1615
ABCD4	-1.048
DIMT1L	-0.217
TEK	0.2425
SLC25A46	0.51825
LARP7	-2.0588
CD160	0.306833333333333
MT1JP	-0.8425
PHF20	-1.0319375
CPNE4	-1.69925
