Hybridization REF	TCGA-AA-A02H-01A-01R-A00A-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.324333333333333
CREB3L1	0.5465
RPS11	0.827125
PNMA1	-2.2655
MMP2	-0.3965
C10orf90	-1.92275
ZHX3	0.0103333333333333
ERCC5	1.568
GPR98	-1.42425
RXFP3	0.1375
APBB2	0.2565
PRO0478	-0.254
KLHL13	-4.068
PRSSL1	-0.3165
PDCL3	-0.0493333333333333
DECR1	0.072625
SALL1	-1.13033333333333
CADM4	-0.669333333333333
RPS18	0.608
HNRPD	-0.239333333333333
CFHR5	0.3084
SLC10A7	0.532875
OR2K2	0.4465
LMAN1	-1.141
SUHW1	-1.281
CHD8	-0.4445
SUMO1	0.2601
GP1BA	0.0694
DDB1	-0.311833333333333
MYO9B	-0.1995
MMP7	4.53925
CRNKL1	0.702125
C9orf45	-1.24666666666667
XAB2	-0.07625
RTN1	-0.026125
KLHL14	-1.039625
TBX10	0.5355
CENPQ	-1.347
UTY	-0.357692307692308
ZBTB12	-0.7575
DTNBP1	0.660875
KBTBD8	0.114333333333333
ZEB1	-0.536666666666667
ZG16	5.57725
MIER1	-0.3291
ADAM5P	-0.738
CHD9	0.1664375
STK16	0.26675
KIAA1486	0.1095
TOB2	1.196
BANK1	2.30975
OR2V2	0.439
GRM2	-0.0658333333333333
PROSC	0.74175
SPIN2B	0.5985
PIR	-2.07611111111111
IPO9	-0.654666666666667
EVC	-0.474666666666667
CXCL13	1.669
KIAA1199	2.0579
SORL1	1.75225
NAT10	0.3825
CHD1	-0.3805
SYN3	1.3925
SLC22A2	-0.132
SERPINF1	-0.798166666666667
WDR34	-1.203
OR7A17	0.40425
C9orf11	-0.518
RNF216L	0.3892
LHB	-0.512
STK25	-0.316
TAOK3	0.677375
LOC152573	-0.72175
C3orf39	-0.46275
C14orf108	0.199
CDC25B	0.253818181818182
BMP3	0.116
TMEM180	-0.313
MAP1LC3C	-0.1605
CRYGC	-1.282
POU3F1	-1.4673
C20orf32	-0.7275
CCDC95	-0.291
HIGD1B	1.84575
USP6NL	0.82425
ABCD4	-0.389166666666667
DIMT1L	-0.361416666666667
TEK	0.051625
SLC25A46	-0.6935
LARP7	-1.919
CD160	-0.199666666666667
MT1JP	-1.21516666666667
PHF20	0.4104375
CPNE4	-0.935333333333333
GTPBP1	-0.0919285714285714
RAB33B	1.2305
ALDOC	-2.0145
ZNF212	0.4045
NUDT1	-0.954
RFPL2	-0.179
ZNF83	0.425666666666667
GDPD5	1.773875
PDCD4	1.1915
CEP350	0.17175
OR10A2	0.238
CST7	-0.282
CIAO1	-0.572
SELL	0.176
OR8J3	1.0725
LTBP4	0.4025
SIRT6	0.84325
CCL19	2.737
PPIL1	-1.01183333333333
GBP7	0.553833333333333
STK17A	-0.8595
ABR	1.4135
OR9G1	0.259
FOXE1	-0.204625
CNGA3	0.6885
GML	0.453
CD38	-2.508
ZDHHC6	1.05333333333333
NEFH	-4.06975
CTDSP2	0.91925
