Hybridization REF	TCGA-AV-A03E-20A-01R-A002-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.4715
CREB3L1	1.5795
RPS11	-0.792875
PNMA1	1.57775
MMP2	2.74966666666667
C10orf90	3.63725
ZHX3	0.903
ERCC5	1.16575
GPR98	-1.490625
RXFP3	0.828
APBB2	0.89175
PRO0478	-1.275
KLHL13	0.62775
PRSSL1	-0.917333333333333
PDCL3	-0.271166666666667
DECR1	-0.142375
SALL1	2.11933333333333
CADM4	0.442333333333333
RPS18	-0.955285714285714
HNRPD	-0.185666666666667
CFHR5	-0.2866
SLC10A7	0.253375
OR2K2	-0.2775
LMAN1	1.37
SUHW1	-2.93875
CHD8	-1.7247
SUMO1	0.4581
GP1BA	-0.352
DDB1	-0.673166666666667
MYO9B	0.4127
MMP7	4.75025
CRNKL1	-0.67725
C9orf45	-2.2545
XAB2	0.353375
RTN1	2.591375
KLHL14	-0.92725
TBX10	-0.7005
CENPQ	0.29225
UTY	-0.334428571428571
ZBTB12	-0.808
DTNBP1	-1.9865
KBTBD8	-0.505333333333333
ZEB1	1.37033333333333
ZG16	-1.54
MIER1	0.9669
ADAM5P	0.4155
CHD9	0.3099375
STK16	0.85675
KIAA1486	0.2815
TOB2	-0.077
BANK1	2.331
OR2V2	0.2485
GRM2	0.1225
PROSC	-0.13825
SPIN2B	0.18075
PIR	-0.275222222222222
IPO9	-0.132
EVC	2.33383333333333
CXCL13	0.215833333333333
KIAA1199	-0.0564
SORL1	-5.486
NAT10	-0.53875
CHD1	-0.464
SYN3	0.44575
SLC22A2	-0.276
SERPINF1	-4.2785
WDR34	-1.0455
OR7A17	0.75
C9orf11	0.699
RNF216L	0.1461
LHB	0.679
STK25	-0.411875
TAOK3	1.330625
LOC152573	-2.45725
C3orf39	0.883
C14orf108	0.5582
CDC25B	-1.55181818181818
BMP3	0.537
TMEM180	0.524
MAP1LC3C	0.55375
CRYGC	-0.3705
POU3F1	-1.3564
C20orf32	-0.594
CCDC95	0.106
HIGD1B	-0.38275
USP6NL	0.16175
ABCD4	-0.493333333333333
DIMT1L	0.27725
TEK	0.198625
SLC25A46	0.4685
LARP7	-1.4056
CD160	0.212333333333333
MT1JP	3.63766666666667
PHF20	0.150375
CPNE4	1.052
GTPBP1	-0.934071428571428
RAB33B	1.42266666666667
ALDOC	0.904875
ZNF212	-0.3065
NUDT1	-0.7005
RFPL2	-1.1535
ZNF83	-5.76516666666667
GDPD5	-2.2355
PDCD4	0.13855
CEP350	-0.96575
OR10A2	0.46375
CST7	-2.196
CIAO1	0.3185
SELL	0.227
OR8J3	0.3585
LTBP4	0.141166666666667
SIRT6	-0.02675
CCL19	0.6505
PPIL1	-1.54083333333333
GBP7	-0.480333333333333
STK17A	1.315
ABR	1.63075
OR9G1	-0.1225
FOXE1	-0.16325
CNGA3	3.4655
GML	0.3885
CD38	-2.2315
ZDHHC6	0.398833333333333
NEFH	-4.20025
CTDSP2	-0.496416666666667
PGBD5	-2.037
CCNY	0.726428571428571
RMND5B	-0.46875
ZNF257	-4.753
FLJ22167	0.71325
EXOSC7	-0.2925
ROR2	-1.73375
MAOA	1.33975
TNNT3	0.0353333333333333
GYPC	-0.78375
C7orf33	0.8325
PLIN	0.381333333333333
LOC90826	0.3225
RNF4	0.2918
F8A1	-0.945166666666667
PLEKHG4	-0.2805
GRB2	-0.0704
HIST1H2AD	-1.26675
DUS3L	-0.642333333333333
EIF1	0.456333333333333
RP5-1077B9.4	-1.34433333333333
FPGT	1.5495
GDF10	-2.045
COQ9	-0.15075
GCC2	0.296714285714286
RARRES3	0.4275
PLXNA1	0.2624
KIAA0100	0.0941
PMF1	-0.94925
FNDC1	-0.30825
HS2ST1	-0.226666666666667
CRELD2	0.26875
C8G	-2.204
CD82	2.908
LIM2	-1.4845
UNQ6490	-0.5425
MMP16	0.9955
DRD3	0.40975
C5orf26	-1.23975
C11orf73	-0.326125
PTP4A2	0.512875
OR4M2	0.954
HPCA	0.9535
SEC14L1	-0.589166666666667
CHFR	-4.020625
EMILIN1	-0.764375
NDUFS4	0.5085
COL18A1	-3.185125
PDZD3	0.1221
C9orf16	0.2955
ERBB2IP	-0.056
EMX2	0.14125
FUS	-1.24425
TF	-4.4523
CLCN4	2.2825
CXorf56	-0.18625
C11orf72	0.34375
ELAC2	-1.36916666666667
NPR1	-2.8625
ASS1	-0.3235
USP42	-0.528125
POLR2J	-0.419
SEC23IP	1.05116666666667
UQCRC1	0.55175
LOC729603	0.2645
C1orf71	-0.508
POLG	-1.117
ADAM23	0.2525
TFR2	-0.782
RICTOR	-1.1374
MGC39606	0.246
C19orf55	0.03925
SNAPC1	1.2825
GNA11	0.45175
CCDC52	0.333333333333333
FSIP1	1.557
UPF3A	0.725375
IGSF11	-2.37116666666667
LAGE3	0.249
CHST6	-1.189
UNC13B	-0.8155
TTLL4	-0.842125
ZNF687	-0.396125
SDC2	0.3866
COX7A2	-0.49925
LAMB4	0.12575
FAM24A	-0.107
LRRTM3	-0.893166666666667
GPHB5	0.41975
OR4C13	0.54
EIF3EIP	0.180142857142857
HABP4	0.865
TMEM125	-3.846
CNTN2	-0.000874999999999994
ASNSD1	0.072
FUT4	-0.52975
ACF	-3.641
LOC158381	0.654
CDH8	-0.7505
AGPS	-0.396833333333333
C4orf18	-2.280625
PECI	-0.299
UNG	-0.5495
GSTP1	-0.78
DCUN1D5	-1.21283333333333
DKFZP564J0863	0.3635
SLC9A3R1	-1.627125
BCDO2	-1.072375
CHMP7	0.5485
REM2	0.1075
DNHD1	0.09675
FKBP4	-1.009875
ZNF350	-1.97
MGC11102	0.68725
BST1	0.41125
KISS1R	0.3275
NCR2	0.354
DEFB125	0.2585
UBE2W	1.2805
KRT15	-1.579375
C10orf99	0.4085
SCN11A	-0.148875
GFI1	-3.936
RDHE2	-0.879666666666667
FHL1	-0.6995
OSGEP	-1.119
GATA1	-3.66716666666667
SMC6	-0.43925
TTTY14	-0.92225
LPIN3	-0.2095
RPL4	-0.6482
RBPMS	0.4398
PRPF3	-0.682
EMR1	1.3745
SPATA19	0.116
XCR1	0.705
IRX3	0.4924
RBM6	-1.3075
KLF4	-1.4529
UNC5CL	-2.83775
SEBOX	0.752
BTK	-4.313
KRCC1	1.093
C6orf27	0.15
SYTL5	-0.613
PRND	0.296375
LOC653319	-0.4735
PIGL	0.191
HUS1	0.939
SFRS6	-1.3375
C17orf77	0.769
UIMC1	-0.207333333333333
FXYD2	-1.9603
LOC283152	0.78175
ZNF667	-2.84925
ZCCHC12	-0.496
TFEC	-0.3095
ATP7B	-2.14716666666667
POLD2	-0.9685
RG9MTD1	-0.2695
ACOT2	-0.0905
HIST1H4I	-1.188
PPARGC1A	0.3523
ETFA	-0.3567
POLRMT	0.16475
ZNF146	-0.314375
MIA2	-0.6965
KLHL6	-4.64966666666667
HOXB5	-1.779375
NENF	0.654833333333333
CUGBP1	-0.09
PRSS22	-0.816
CASC4	1.5925
CUL4B	1.0886
CENPJ	-0.6781
PITX1	-0.349666666666667
FLJ31033	1.27033333333333
CELSR3	0.140333333333333
ZNF568	-2.513
ITSN1	0.357916666666667
EHBP1L1	0.362333333333333
C19orf2	-0.41025
DCTN1	-0.54675
LIN28B	-2.9965
TNKS2	0.24925
C1QBP	-0.27525
CADPS2	1.665
SRMS	0.72475
GJA9	0.409
MGC24975	-2.46833333333333
TRIM45	-0.615333333333333
TSP50	0.201
TCP1	-0.0055
TMED7	1.0378
CMA1	0.857
CENPL	0.091
PTCRA	-0.0905
FST	-2.634
VWCE	-2.987
PAWR	-2.377
ABCC12	0.4
LDLR	1.0876
ASTN2	1.5333
LOC441212	0.118375
GPATCH8	-0.27725
TANC2	0.0146666666666667
KIF4A	-0.8235
C18orf18	-0.59625
PGM1	0.43225
KIAA0258	0.3645
CPD	1
SNCAIP	-1.77625
DCT	-4.09183333333333
HLA-DOA	1.46054545454545
OR11L1	0.7075
UPK1B	0.108166666666667
DNAJB4	0.39125
UGT1A8	-0.46525
HIST1H4L	-0.0485
PECR	-0.140333333333333
HSPA2	1.61
WFIKKN1	-3.054
SERP1	-0.08525
SYDE2	-1.38075
TACR2	0.1755
NUP85	-0.40575
CD177	-0.636833333333333
LGR5	-2.08966666666667
PIGG	-0.07075
PTHR1	-2.8325
RAB5A	0.7063
FLJ13224	-0.0725
USP9Y	-1.11616666666667
C7orf53	-0.5475
LRP1B	1.285
XAF1	-0.7632
ABCG8	-1.5855
ANKDD1A	0.3465
DAND5	-1.639
SPAG6	0.366666666666667
LINCR	0.809
ZDHHC22	-1.5085
CCDC60	0.199
THOC7	-0.736
TCTA	1.0714
OR8K3	0.38225
NY-REN-7	-0.06175
B2M	1.70283333333333
C6orf141	-1.273
LPPR4	6.23625
SQLE	-0.055625
SEPHS1	-0.8315
BTBD14B	0.476785714285714
PLRG1	0.29675
SPG7	-0.6075625
ZNF614	-0.110333333333333
PARD6G	-1.04583333333333
INPP5B	0.0681
GRPEL2	0.191625
PPID	-0.5386
TRIM56	-0.41975
UBE2J1	1.059375
IL20RA	-1.60725
LOC387856	2.00325
C1orf107	0.484916666666667
UTS2R	0.1375
C19orf22	-1.1525
SAFB2	0.081625
KIAA0652	0.373
KLRG1	0.944666666666667
MS4A8B	0.268666666666667
FRAG1	-0.426
KIAA1546	-0.448
E2F4	-0.5786
CLEC4M	0.077
BTBD14A	-0.828
KIAA0999	-0.3036
GYPA	-3.75
TAC1	-0.2026
TRAIP	-0.4155
KIAA0232	0.5115
ERCC8	0.902375
GPX4	0.53225
KIAA0368	0.683875
GPR157	-1.6235
CTAGE4	-1.688
C9orf30	1.85433333333333
OR52A1	0.3645
HSP90B3P	0.5875
ALG9	-0.4895
BTBD10	1.3095
SDK2	-0.41925
BAIAP3	-2.5345
RABGGTB	-0.416
ANKRD40	-0.297833333333333
KRT74	0.355
CALCOCO2	0.647642857142857
SNCA	-1.4405
TMSL8	-2.48225
C2orf53	0.337
ESRRB	-0.24725
ARHGAP26	-1.18675
TDRD9	-3.35225
HRAS	0.291
KLRC4	-1.3305
JAGN1	0.1215
BSDC1	-0.20675
RNF43	-1.9216
NDUFAF1	0.54475
PHF12	0.53375
OR1L3	0.24725
FOLR2	0.342083333333333
LYZL6	0.2745
tcag7.1260	3.542
WSB1	-1.34683333333333
PROS1	1.432
OSTN	0.7895
PSMB8	0.158
SOCS4	0.596875
DDIT4L	6.03225
MAS1	0.1345
MGC34796	0.0305
CSHL1	0.392666666666667
TBCCD1	-0.889333333333333
ZBTB7C	-0.037
AP2S1	1.125875
P15RS	-0.2957
VAT1	0.3818
SHANK3	-1.17833333333333
TUFM	-0.397666666666667
THEG	-0.3025
KRT34	4.5065
SGSM3	-0.69475
TOMM22	0.419
SOCS3	1.63266666666667
CPO	-0.6495
POP4	0.99175
BHLHB3	3.408
MALL	-2.15225
OR1B1	0.5375
PARK2	0.4945
GPR124	-1.65375
LCE1E	0.326
RUVBL2	-1.02725
CGRRF1	1.6034
ACPL2	0.43975
WNT10B	-1.090375
BAIAP2L2	-2.589625
ISCA1	0.07
C1orf125	-0.399875
RPAP1	-0.32125
RAI16	-0.241
RPL27	-0.3005
NLRP9	0.4405
EPN1	0.3175
LOC388610	-0.074875
SLC35A1	0.1555
GAL	-5.17925
SLC14A2	0.42875
RDH11	0.631666666666667
FAM138F	-0.566
AUH	-0.209
FLJ40243	0.3135
C14orf129	1.113
MBD2	-0.474166666666667
ABHD14B	-0.31325
PIGT	0.61225
ALS2CR4	0.891625
ALAS1	0.619
FOXO1	-1.63666666666667
CRLF3	0.109375
C20orf107	0.096
FARS2	-0.15775
CCDC28A	-0.14725
NPHP3	0.17475
OR13F1	0.619
TSEN54	-1.57375
DEFB106B	0.497
OR8B4	0.5355
STH	-0.74025
ZC3H14	0.13925
CBX2	0.053
TMEM49	-0.22725
C6orf21	0.7165
FLJ20920	0.151375
CRTAP	1.34092857142857
DDX50	0.278
STYXL1	0.478
BLVRB	0.9035
LOC147650	1.461
MMP24	0.7895
GRID1	-0.201166666666667
BANF1	0.052
CTAGEP	-1.241
HMBS	-1.6665
SLC25A24	-0.903666666666667
