Hybridization REF	TCGA-07-0249-20A-01R-1113-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.116916666666667
CREB3L1	1.622
RPS11	-0.745
PNMA1	1.59725
MMP2	2.553
C10orf90	3.62175
ZHX3	0.892666666666667
ERCC5	1.2095
GPR98	-1.89614285714286
RXFP3	0.4855
APBB2	1.03575
PRO0478	-1.521875
KLHL13	0.59075
PRSSL1	-0.9755
PDCL3	-0.398833333333333
DECR1	-0.01575
SALL1	2.1235
CADM4	0.321666666666667
RPS18	-0.784142857142857
HNRPD	-0.225416666666667
CFHR5	2.5035
SLC10A7	0.639625
OR2K2	-0.245
LMAN1	1.1745
SUHW1	-2.04775
CHD8	-1.786
SUMO1	0.6584
GP1BA	0.0178
DDB1	-0.793666666666667
MYO9B	0.465
MMP7	4.6945
CRNKL1	-0.735125
C9orf45	-2.1242
XAB2	-0.40925
RTN1	2.95816666666667
KLHL14	-1.034375
TBX10	-1.0715
CENPQ	0.26825
UTY	-0.332666666666667
ZBTB12	0.3765
DTNBP1	-1.765125
KBTBD8	-0.451166666666667
ZEB1	0.773666666666667
ZG16	-1.3495
MIER1	0.819
ADAM5P	0.647
CHD9	0.3124375
STK16	0.23725
KIAA1486	0.4495
TOB2	0.1745
BANK1	3.56366666666667
OR2V2	0.334666666666667
GRM2	0.312833333333333
PROSC	-0.521875
SPIN2B	0.3335
PIR	-0.00888888888888889
IPO9	-0.4926
EVC	2.34216666666667
CXCL13	-0.0711666666666667
KIAA1199	-0.135
SORL1	-5.954
NAT10	-1.05275
CHD1	-0.65025
SYN3	0.67425
SLC22A2	-0.48275
SERPINF1	-5.132
WDR34	-1.145
OR7A17	0.4325
C9orf11	0.609
RNF216L	0.381
LHB	0.4205
STK25	-0.497625
TAOK3	1.099375
LOC152573	-2.1495
C3orf39	0.7955
C14orf108	0.4398
CDC25B	-1.65127272727273
BMP3	-0.3105
TMEM180	0.477
MAP1LC3C	0.20525
CRYGC	-0.92
POU3F1	-1.4158
C20orf32	-0.576
CCDC95	-0.0865
HIGD1B	-0.12775
USP6NL	0.103
ABCD4	-0.361
DIMT1L	0.309166666666667
TEK	0.113285714285714
SLC25A46	0.6235
LARP7	-1.4485
CD160	-0.3106
MT1JP	3.543
PHF20	0.0371875
CPNE4	1.2955
GTPBP1	-0.790571428571429
RAB33B	1.10675
ALDOC	0.797
ZNF212	-0.23575
NUDT1	-0.953833333333333
RFPL2	-0.80975
ZNF83	-5.062
GDPD5	-1.952625
PDCD4	0.3802
CEP350	-1.29925
OR10A2	0.452
CST7	-2.5295
CIAO1	0.1335
SELL	0.322428571428572
OR8J3	0.2065
LTBP4	-0.707
SIRT6	-0.1665
CCL19	0.2145
PPIL1	-1.58683333333333
GBP7	-0.0872
STK17A	1.1285
ABR	1.65125
OR9G1	1.136
FOXE1	0.347625
CNGA3	4.3865
GML	0.0795
CD38	-2.1765
ZDHHC6	0.495666666666667
NEFH	-4.908
CTDSP2	-0.329916666666667
PGBD5	-2.0485
CCNY	0.787285714285714
RMND5B	-0.576416666666667
ZNF257	-2.77425
FLJ22167	0.60975
EXOSC7	-0.210833333333333
ROR2	-1.34675
MAOA	1.4245
TNNT3	0.2595
GYPC	-1.10875
C7orf33	1.521
PLIN	0.380333333333333
LOC90826	0.16175
RNF4	0.316
F8A1	-1.24583333333333
PLEKHG4	-0.05875
GRB2	-0.30535
HIST1H2AD	-1.02375
DUS3L	-0.842833333333333
EIF1	0.450166666666667
RP5-1077B9.4	-1.61416666666667
FPGT	1.181
GDF10	-3.51166666666667
COQ9	-0.20025
GCC2	0.343285714285714
RARRES3	0.294625
PLXNA1	0.1846
KIAA0100	0.0281
PMF1	-1.339
FNDC1	0.343
HS2ST1	-0.410916666666667
CRELD2	0.194
C8G	-2.7805
CD82	3.15225
LIM2	-0.9525
UNQ6490	0.9275
MMP16	0.60325
DRD3	-0.01125
C5orf26	-0.9625
C11orf73	-0.26875
PTP4A2	0.951
OR4M2	0.8375
HPCA	0.297333333333333
SEC14L1	-0.680333333333333
CHFR	-5.136875
EMILIN1	-1.426625
NDUFS4	0.59275
COL18A1	-3.806875
PDZD3	0.042
C9orf16	0.194
ERBB2IP	0.111166666666667
EMX2	0.2445
