Hybridization REF	TCGA-A6-2674-01A-02R-0821-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.20375
CREB3L1	2.49875
RPS11	0.483125
PNMA1	-0.46325
MMP2	2.156
C10orf90	-2.48225
ZHX3	-0.0635
ERCC5	1.141
GPR98	-1.50225
RXFP3	0.7685
APBB2	0.5485
PRO0478	-0.776
KLHL13	-2.949
PRSSL1	-0.484833333333333
PDCL3	0.415833333333333
DECR1	-0.436125
SALL1	-2.93533333333333
CADM4	-0.169833333333333
RPS18	0.925857142857143
HNRPD	-0.677583333333333
CFHR5	0.00419999999999996
SLC10A7	0.48025
OR2K2	0.486
LMAN1	-0.20275
SUHW1	-2.87225
CHD8	-0.8062
SUMO1	0.1559
GP1BA	0.2543
DDB1	-0.733833333333333
MYO9B	0.4477
MMP7	6.15525
CRNKL1	0.45225
C9orf45	-2.174
XAB2	-0.72275
RTN1	1.030875
KLHL14	-0.734875
TBX10	-1.261
CENPQ	-1.2975
UTY	0.893928571428571
ZBTB12	0.4805
DTNBP1	0.620125
KBTBD8	-0.409333333333333
ZEB1	0.0471666666666667
ZG16	4.0205
MIER1	-0.2519
ADAM5P	-0.372
CHD9	-0.4074375
STK16	-0.64075
KIAA1486	-0.6655
TOB2	0.42075
BANK1	3.65575
OR2V2	0.228
GRM2	-0.187666666666667
PROSC	-0.057125
SPIN2B	0.622
PIR	-1.10088888888889
IPO9	-0.5134
EVC	-0.0843333333333333
CXCL13	5.59066666666667
KIAA1199	2.1922
SORL1	2.241
NAT10	0.01425
CHD1	-0.43725
SYN3	-0.0295
SLC22A2	-0.197
SERPINF1	1.054
WDR34	-1.91575
OR7A17	-0.41875
C9orf11	0.0605
RNF216L	-0.3463
LHB	-1.1805
STK25	0.04325
TAOK3	0.74025
LOC152573	-2.275
C3orf39	-0.757625
C14orf108	0.084
CDC25B	0.650545454545455
BMP3	0.2865
TMEM180	0.4035
MAP1LC3C	-0.0365
CRYGC	-0.535
POU3F1	-1.2505
C20orf32	0.5325
CCDC95	-0.527
HIGD1B	3.29875
USP6NL	0.1575
ABCD4	0.551166666666667
DIMT1L	-0.77575
TEK	1.53175
SLC25A46	-0.08325
LARP7	-2.3896
CD160	0.389166666666667
MT1JP	0.73
PHF20	-0.702875
CPNE4	-0.93675
GTPBP1	-0.475642857142857
RAB33B	0.539333333333333
ALDOC	-1.008375
ZNF212	-0.66775
NUDT1	-0.806833333333333
RFPL2	-1.226
ZNF83	-0.3205
GDPD5	0.166125
PDCD4	0.8472
CEP350	-0.216
OR10A2	0.085
CST7	2.18
CIAO1	-0.5545
SELL	2.478875
OR8J3	2.3115
LTBP4	0.592
SIRT6	0.832
CCL19	5.359
PPIL1	0.0716666666666667
GBP7	0.218166666666667
STK17A	-0.4464
ABR	1.16725
OR9G1	-0.022
FOXE1	-0.635625
CNGA3	0.469
GML	-0.0285
CD38	0.318
ZDHHC6	0.5755
NEFH	-3.169
CTDSP2	0.742916666666667
PGBD5	-1.47116666666667
CCNY	0.339071428571429
RMND5B	-0.805583333333333
ZNF257	-2.1275
FLJ22167	-0.652
EXOSC7	-0.628166666666667
ROR2	0.854
MAOA	1.952625
TNNT3	0.369
GYPC	-2.4145
C7orf33	0.4465
PLIN	1.65366666666667
LOC90826	-0.54225
RNF4	-0.5248
F8A1	0.192666666666667
PLEKHG4	-0.7395
GRB2	-0.0155
HIST1H2AD	-0.52975
DUS3L	-0.0216666666666667
EIF1	0.525
RP5-1077B9.4	-1.02966666666667
FPGT	0.37125
GDF10	-0.0511666666666667
COQ9	-0.6805
GCC2	0.0250714285714286
RARRES3	0.316625
PLXNA1	0.4026
KIAA0100	-0.4121
PMF1	-0.422
FNDC1	7.6785
HS2ST1	0.381416666666667
CRELD2	0.8085
C8G	-2.0745
CD82	0.75325
LIM2	-0.0715
UNQ6490	-0.2265
MMP16	-0.26275
DRD3	0.101
C5orf26	-0.76925
C11orf73	-0.45375
PTP4A2	0.101125
OR4M2	0.5715
HPCA	0.0716666666666667
SEC14L1	-0.306333333333333
CHFR	0.667
EMILIN1	1.273875
NDUFS4	-1.0145
COL18A1	-0.3165
PDZD3	0.8207
C9orf16	-0.149333333333333
ERBB2IP	-0.0671666666666667
EMX2	2.2795
FUS	-1.9905
TF	-4.7389
CLCN4	1.13416666666667
CXorf56	0.38775
