Hybridization REF	TCGA-A6-2682-11A-01R-1758-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-1.078
CREB3L1	2.205
RPS11	1.15175
PNMA1	-0.8385
MMP2	-0.887
C10orf90	-2.35425
ZHX3	-0.370666666666667
ERCC5	0.7435
GPR98	-1.23
RXFP3	1.017
APBB2	0.17125
PRO0478	-0.591625
KLHL13	-1.13575
PRSSL1	-0.553666666666667
PDCL3	0.127
DECR1	1.49425
SALL1	-2.09183333333333
CADM4	-0.947
RPS18	0.732214285714286
HNRPD	-1.18875
CFHR5	-0.101166666666667
SLC10A7	0.1915
OR2K2	0.805
LMAN1	-1.02625
SUHW1	-3.7955
CHD8	-0.7532
SUMO1	0.53
GP1BA	1.9593
DDB1	-0.980166666666667
MYO9B	0.0478
MMP7	0.48725
CRNKL1	0.033
C9orf45	-1.27533333333333
XAB2	-0.308625
RTN1	0.90125
KLHL14	-0.541875
TBX10	3.401
CENPQ	-1.24
UTY	2.18992857142857
ZBTB12	0.48
DTNBP1	0.36775
KBTBD8	1.44466666666667
ZEB1	-0.7285
ZG16	6.32975
MIER1	1.5729
ADAM5P	0.349
CHD9	-0.0550625
STK16	0.809
KIAA1486	-0.5535
TOB2	1.33691666666667
BANK1	5.44925
OR2V2	0.334
GRM2	-0.149333333333333
PROSC	1.197375
SPIN2B	0.194
PIR	-2.21355555555556
IPO9	-1.1337
EVC	-1.1415
CXCL13	6.17916666666667
KIAA1199	-1.9682
SORL1	2.4055
NAT10	-0.6555
CHD1	-0.2275
SYN3	1.414
SLC22A2	-0.48825
SERPINF1	-0.884
WDR34	-1.0195
OR7A17	0.6435
C9orf11	-0.586
RNF216L	-0.1461
LHB	0.4415
STK25	-0.351
TAOK3	1.507125
LOC152573	-0.669
C3orf39	-0.677375
C14orf108	1.4397
CDC25B	-1.87272727272727
BMP3	4.514
TMEM180	0.209
MAP1LC3C	-0.541
CRYGC	-0.396
POU3F1	-1.0627
C20orf32	-1.173
CCDC95	-0.385
HIGD1B	2.6585
USP6NL	-0.011875
ABCD4	0.447666666666667
DIMT1L	-0.784833333333333
TEK	1.195625
SLC25A46	0.2395
LARP7	-0.7461
CD160	2.00166666666667
MT1JP	3.71583333333333
PHF20	-1.090125
CPNE4	-1.46325
GTPBP1	-0.0211428571428572
RAB33B	0.351833333333333
ALDOC	-2.286625
ZNF212	-0.301
NUDT1	-1.35066666666667
RFPL2	-1.1995
ZNF83	-1.02616666666667
GDPD5	-1.504
PDCD4	2.4277
CEP350	-0.43725
OR10A2	0.364
CST7	1.24125
CIAO1	-1.13525
SELL	1.427375
OR8J3	2.1735
LTBP4	1.018
SIRT6	1.34925
CCL19	5.36
PPIL1	-1.184
GBP7	-0.154333333333333
STK17A	0.2714
ABR	1.58025
OR9G1	-0.888
FOXE1	-0.526
CNGA3	1.2825
GML	0.2605
CD38	0.484
ZDHHC6	0.178833333333333
NEFH	-2.60025
CTDSP2	0.7695
PGBD5	-0.933166666666667
CCNY	0.225785714285714
RMND5B	0.140666666666667
ZNF257	-1.729
FLJ22167	-1.138625
EXOSC7	-0.967833333333333
ROR2	-0.250125
MAOA	4.88475
TNNT3	0.791666666666667
GYPC	-1.01375
C7orf33	0.1
PLIN	1.448
LOC90826	-0.2125
RNF4	-0.3065
F8A1	0.250333333333333
PLEKHG4	-1.94725
GRB2	-0.257
HIST1H2AD	-0.74025
DUS3L	-0.799
EIF1	0.254
RP5-1077B9.4	-1.25983333333333
FPGT	1.54175
GDF10	-0.724166666666667
COQ9	0.81325
GCC2	0.877714285714286
RARRES3	2.125125
PLXNA1	-1.0558
KIAA0100	-0.1512
PMF1	0.12075
FNDC1	2.88975
HS2ST1	0.427916666666667
CRELD2	0.50875
C8G	1.8185
CD82	-0.0335
LIM2	-1.7055
UNQ6490	-0.1445
MMP16	-0.5705
DRD3	0.68675
C5orf26	-0.3865
C11orf73	-0.5875
PTP4A2	0.316375
OR4M2	0.5235
HPCA	-1.069
SEC14L1	-0.150666666666667
CHFR	0.0155
EMILIN1	0.69825
NDUFS4	0.7015
COL18A1	-1.7535
PDZD3	3.5363
C9orf16	-0.0346666666666667
ERBB2IP	0.823666666666667
EMX2	2.12625
FUS	-2.40475
TF	-3.5001
CLCN4	-0.868166666666667
CXorf56	0.814
C11orf72	0.73625
ELAC2	-1.1705
NPR1	-1.4805
ASS1	-0.322
USP42	0.061
POLR2J	-0.427
SEC23IP	0.599166666666667
UQCRC1	1.25675
LOC729603	0.43825
C1orf71	0.23075
POLG	-2.2735
ADAM23	-3.54575
TFR2	-1.23475
RICTOR	-0.6994
MGC39606	-0.241
C19orf55	-0.360375
SNAPC1	-1.712
GNA11	2.097875
CCDC52	-0.593
FSIP1	3.1785
UPF3A	-0.9135
IGSF11	-2.12183333333333
LAGE3	-0.79875
CHST6	0.028
UNC13B	1.02575
TTLL4	-1.4155
ZNF687	-0.41275
SDC2	-1.8467
COX7A2	1.1945
LAMB4	-0.3355
FAM24A	0.281
LRRTM3	-1.4986
GPHB5	0.662
OR4C13	-0.82
EIF3EIP	1.00507142857143
HABP4	-1.268
TMEM125	4.5405
CNTN2	0.374125
ASNSD1	-0.653
FUT4	1.36975
ACF	2.13375
LOC158381	1.075
CDH8	-1.12625
AGPS	0.195
C4orf18	0.809
PECI	0.542916666666667
UNG	-0.30025
GSTP1	-0.36675
DCUN1D5	-1.85133333333333
DKFZP564J0863	-0.635
SLC9A3R1	0.38175
BCDO2	0.039
CHMP7	-0.38825
REM2	-0.6075
DNHD1	-0.859875
FKBP4	-1.28825
ZNF350	1.65725
MGC11102	-0.243375
BST1	2.411
KISS1R	1.609
NCR2	0.8595
DEFB125	-0.2215
UBE2W	0.862875
KRT15	-2.003125
C10orf99	3.8365
SCN11A	0.052625
GFI1	0.45325
RDHE2	3.44516666666667
FHL1	-0.317333333333333
OSGEP	0.506
GATA1	-2.47216666666667
SMC6	-0.97675
TTTY14	2.155
LPIN3	0.43725
RPL4	-0.5111
RBPMS	-1.6388
PRPF3	-1.205
EMR1	-1.3285
SPATA19	-0.383
XCR1	0.453
IRX3	-1.7432
RBM6	-0.81275
KLF4	2.8715
UNC5CL	0.28925
SEBOX	-0.065
BTK	0.6525
KRCC1	2.26575
C6orf27	0.9855
SYTL5	-0.9595
PRND	0.327125
LOC653319	-1.7085
PIGL	-1.3175
HUS1	1.02766666666667
SFRS6	-0.306083333333333
C17orf77	0.376
UIMC1	-0.526833333333333
FXYD2	-1.6773
LOC283152	0.656
ZNF667	-1.59175
ZCCHC12	-0.71875
TFEC	2.1529
ATP7B	0.7635
POLD2	-1.98483333333333
RG9MTD1	0.1395
ACOT2	0.185333333333333
HIST1H4I	-0.59575
PPARGC1A	2.5815
ETFA	0.6479
POLRMT	-0.29975
ZNF146	-0.92525
MIA2	2.3155
KLHL6	1.35616666666667
HOXB5	2.113
NENF	0.0465
CUGBP1	-0.78475
PRSS22	-0.3032
CASC4	1.5204
CUL4B	-0.1659
CENPJ	-1.6325
PITX1	-1.34683333333333
