Hybridization REF	TCGA-07-0249-20A-01R-0905-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.742666666666667
CREB3L1	1.88425
RPS11	-0.654875
PNMA1	1.4545
MMP2	2.73416666666667
C10orf90	3.3245
ZHX3	0.853333333333333
ERCC5	1.1805
GPR98	-1.284375
RXFP3	1.065
APBB2	0.758
PRO0478	-1.440625
KLHL13	0.4035
PRSSL1	-0.883333333333333
PDCL3	-0.434166666666667
DECR1	-0.35575
SALL1	2.10766666666667
CADM4	0.320666666666667
RPS18	-0.894
HNRPD	-0.146833333333333
CFHR5	0.3645
SLC10A7	0.16975
OR2K2	0.141
LMAN1	1.35925
SUHW1	-2.91075
CHD8	-1.6475
SUMO1	0.4513
GP1BA	-0.3742
DDB1	-0.569166666666667
MYO9B	0.5042
MMP7	4.3725
CRNKL1	-0.820375
C9orf45	-2.0925
XAB2	0.166125
RTN1	2.419625
KLHL14	-1.282875
TBX10	-1.683
CENPQ	0.179
UTY	-0.310857142857143
ZBTB12	-0.366
DTNBP1	-1.855125
KBTBD8	-0.408166666666667
ZEB1	0.9625
ZG16	-1.8705
MIER1	0.6208
ADAM5P	0.638
CHD9	0.141625
STK16	1.2805
KIAA1486	-1.3225
TOB2	0.00941666666666667
BANK1	2.7355
OR2V2	0.22125
GRM2	0.0348333333333333
PROSC	-0.44625
SPIN2B	0.2835
PIR	-0.273222222222222
IPO9	-0.3534
EVC	2.44183333333333
CXCL13	0.0668333333333333
KIAA1199	-0.2622
SORL1	-5.428
NAT10	-0.778
CHD1	-0.60875
SYN3	0.623
SLC22A2	-0.38725
SERPINF1	-4.3465
WDR34	-1.0325
OR7A17	0.27375
C9orf11	-0.132
RNF216L	0.0208
LHB	0.7095
STK25	-0.319875
TAOK3	1.273125
LOC152573	-2.68575
C3orf39	1.073
C14orf108	0.4657
CDC25B	-1.37972727272727
BMP3	0.41
TMEM180	0.471
MAP1LC3C	0.45525
CRYGC	-0.118
POU3F1	-1.559
C20orf32	-1.548
CCDC95	0.1555
HIGD1B	-0.24625
USP6NL	0.04775
ABCD4	-0.408
DIMT1L	0.21825
TEK	0.2225
SLC25A46	0.4255
LARP7	-1.5623
CD160	-0.00316666666666667
MT1JP	3.35216666666667
PHF20	0.129
CPNE4	1.06575
GTPBP1	-0.767714285714286
RAB33B	1.26066666666667
ALDOC	1.050625
ZNF212	-0.23375
NUDT1	-0.8315
RFPL2	-1.7845
ZNF83	-5.74983333333333
GDPD5	-2.2475
PDCD4	0.2428
CEP350	-1.1935
OR10A2	0.36175
CST7	-2.04775
CIAO1	0.23925
SELL	0.2475
OR8J3	-0.004
LTBP4	0.0301666666666667
SIRT6	0.3035
CCL19	0.6835
PPIL1	-1.4505
GBP7	0.112833333333333
STK17A	1.2338
ABR	1.63275
OR9G1	0.0445
FOXE1	-0.619375
CNGA3	3.362
GML	0.405
CD38	-2.46925
ZDHHC6	0.612666666666667
NEFH	-4.1375
CTDSP2	-0.320583333333333
PGBD5	-2.087
CCNY	0.903071428571429
RMND5B	-0.4355
ZNF257	-4.2235
FLJ22167	0.730875
EXOSC7	-0.155833333333333
ROR2	-1.65925
MAOA	1.284625
TNNT3	-0.0916666666666667
GYPC	-0.738
C7orf33	1.211
PLIN	-0.0506666666666666
LOC90826	-0.03
RNF4	0.1636
F8A1	-1.07416666666667
PLEKHG4	-0.238
GRB2	-0.0551
HIST1H2AD	-1.18725
DUS3L	-0.627666666666667
EIF1	0.208
RP5-1077B9.4	-1.3035
FPGT	1.4635
GDF10	-2.27533333333333
COQ9	-0.2255
GCC2	0.0174285714285714
RARRES3	0.46825
PLXNA1	0.3488
KIAA0100	0.06
PMF1	-0.8905
FNDC1	-0.02825
HS2ST1	-0.218
CRELD2	0.353
C8G	-2.602
CD82	2.77125
LIM2	-1.1665
UNQ6490	0.131
MMP16	1.042
DRD3	0.23975
C5orf26	-1.20325
C11orf73	-0.161875
PTP4A2	0.58775
OR4M2	0.1525
HPCA	1.05866666666667
SEC14L1	-0.5565
CHFR	-4.037875
EMILIN1	-0.99175
NDUFS4	0.58475
COL18A1	-3.242
PDZD3	-0.3396
C9orf16	0.535333333333333
ERBB2IP	-0.403666666666667
EMX2	-0.54475
FUS	-1.27575
TF	-4.5278
CLCN4	2.06583333333333
CXorf56	-0.03525
C11orf72	0.15575
ELAC2	-1.24491666666667
NPR1	-2.905
ASS1	-0.144166666666667
USP42	-0.617
POLR2J	-0.488
SEC23IP	0.997666666666667
UQCRC1	0.50075
LOC729603	0.46225
C1orf71	-0.539625
