Hybridization REF	TCGA-AA-3673-01A-01R-0905-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.306666666666667
CREB3L1	1.34225
RPS11	1.044375
PNMA1	-1.36925
MMP2	-0.179666666666667
C10orf90	-2.91525
ZHX3	-0.406166666666667
ERCC5	0.554
GPR98	-1.039
RXFP3	0.512
APBB2	0.35525
PRO0478	-0.999
KLHL13	-3.6415
PRSSL1	-0.551333333333333
PDCL3	0.878
DECR1	1.220625
SALL1	-2.506
CADM4	-0.552666666666667
RPS18	0.846928571428571
HNRPD	-0.309416666666667
CFHR5	0.368333333333333
SLC10A7	0.462625
OR2K2	-0.231
LMAN1	-1.144375
SUHW1	-3.6695
CHD8	-1.1045
SUMO1	0.7299
GP1BA	0.7455
DDB1	-0.575333333333333
MYO9B	-0.2851
MMP7	7.38175
CRNKL1	0.961625
C9orf45	-1.494
XAB2	-0.4285
RTN1	0.68675
KLHL14	-1.7305
TBX10	1.77
CENPQ	-0.4705
UTY	-1.6265
ZBTB12	-0.299
DTNBP1	0.21025
KBTBD8	0.058
ZEB1	-0.319166666666667
ZG16	5.003
MIER1	0.639
ADAM5P	0.1845
CHD9	-0.3039375
STK16	1.295
KIAA1486	-0.8815
TOB2	0.56225
BANK1	3.78825
OR2V2	-0.363
GRM2	0.236666666666667
PROSC	1.515
SPIN2B	1.3105
PIR	-1.95022222222222
IPO9	-0.8739
EVC	-0.9075
CXCL13	4.59216666666667
KIAA1199	2.1479
SORL1	1.692
NAT10	0.34675
CHD1	-0.2285
SYN3	-0.04075
SLC22A2	5.27925
SERPINF1	-0.927166666666667
WDR34	-0.17375
OR7A17	0.31075
C9orf11	-0.0835
RNF216L	-0.5292
LHB	-0.187
STK25	0.383625
TAOK3	1.024625
LOC152573	0.09675
C3orf39	-0.57475
C14orf108	0.9617
CDC25B	0.448636363636364
BMP3	0.908
TMEM180	0.0485
MAP1LC3C	-0.6245
CRYGC	-0.706
POU3F1	-1.6495
C20orf32	-1.7125
CCDC95	-0.0885
HIGD1B	3.64125
USP6NL	1.365875
ABCD4	0.0965
DIMT1L	-0.08975
TEK	0.865375
SLC25A46	0.291
LARP7	-1.3042
CD160	0.699833333333333
MT1JP	0.633166666666667
PHF20	-0.3963125
CPNE4	-1.859
GTPBP1	-0.798142857142857
RAB33B	1.5995
ALDOC	-2.45625
ZNF212	-0.65825
NUDT1	-1.14116666666667
RFPL2	-2.13025
ZNF83	-1.29016666666667
GDPD5	0.272625
PDCD4	0.93905
CEP350	-0.848
OR10A2	0.34325
CST7	2.67925
CIAO1	-0.3705
SELL	0.83275
OR8J3	0.679
LTBP4	0.170833333333333
SIRT6	0.77725
CCL19	4.802
PPIL1	-0.320666666666667
GBP7	-0.0643333333333333
STK17A	-0.8956
ABR	0.7585
OR9G1	0.1545
