Hybridization REF	TCGA-AA-A00E-01A-01R-A002-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.201
CREB3L1	2.3005
RPS11	-0.080375
PNMA1	-1.23175
MMP2	-0.4415
C10orf90	-2.42
ZHX3	-0.507833333333333
ERCC5	0.1665
GPR98	-2.19475
RXFP3	0.419
APBB2	1.07375
PRO0478	-0.854875
KLHL13	-0.62825
PRSSL1	-0.491833333333333
PDCL3	0.291
DECR1	-0.028625
SALL1	-3.32266666666667
CADM4	0.7415
RPS18	-0.507214285714286
HNRPD	-0.380833333333333
CFHR5	0.702333333333333
SLC10A7	1.3585
OR2K2	0.715
LMAN1	0.803125
SUHW1	-3.4
CHD8	-0.8071
SUMO1	0.2623
GP1BA	1.4128
DDB1	-0.151166666666667
MYO9B	-0.3122
MMP7	2.024
CRNKL1	0.092875
C9orf45	-1.77033333333333
XAB2	-0.418
RTN1	0.649125
KLHL14	-1.1605
TBX10	0.0465
CENPQ	-0.99925
UTY	1.82421428571429
ZBTB12	0.735
DTNBP1	0.052625
KBTBD8	0.2465
ZEB1	-0.642666666666667
ZG16	5.13875
MIER1	0.9678
ADAM5P	0.2825
CHD9	-0.40225
STK16	0.317
KIAA1486	-0.323
TOB2	0.570416666666667
BANK1	4.52525
OR2V2	0.6145
GRM2	0.291
PROSC	-0.148625
SPIN2B	-0.55075
PIR	-2.18744444444444
IPO9	-0.3309
EVC	-1.26683333333333
CXCL13	5.6895
KIAA1199	1.4219
SORL1	-0.3395
NAT10	-0.1385
CHD1	0.06425
SYN3	-0.17125
SLC22A2	-0.3495
SERPINF1	-1.3145
WDR34	-0.69475
OR7A17	0.3745
C9orf11	0.2575
RNF216L	-0.2448
LHB	0.2305
STK25	-0.159875
TAOK3	0.807
LOC152573	-1.53325
C3orf39	0.5975
C14orf108	1.0728
CDC25B	0.502727272727273
BMP3	1.7655
TMEM180	0
MAP1LC3C	-0.09175
CRYGC	-0.558
POU3F1	-1.7326
C20orf32	-1.3365
CCDC95	-0.822
HIGD1B	1.51525
USP6NL	0.632625
ABCD4	0.222666666666667
DIMT1L	-0.336
TEK	0.51175
SLC25A46	0.35575
LARP7	-2.2424
CD160	0.673833333333333
MT1JP	0.118166666666667
PHF20	-0.5014375
CPNE4	-1.4545
GTPBP1	-0.306071428571429
RAB33B	1.08583333333333
ALDOC	-2.048875
ZNF212	-0.86075
NUDT1	-0.8025
RFPL2	-1.59975
ZNF83	-1.82816666666667
GDPD5	-0.331
PDCD4	0.13595
CEP350	0.03075
OR10A2	0.45175
CST7	1.04325
CIAO1	-0.44225
SELL	1.471625
OR8J3	1.7215
LTBP4	0.4505
SIRT6	0.41625
CCL19	4.26025
PPIL1	-0.3365
GBP7	-0.2194
STK17A	-0.0822
ABR	1.29175
OR9G1	-0.7975
FOXE1	-0.757125
CNGA3	0.047
GML	0.551
CD38	-0.168
ZDHHC6	0.568
NEFH	-3.38175
CTDSP2	0.1065
PGBD5	-2.15966666666667
CCNY	0.1445
RMND5B	0.0758333333333333
ZNF257	-2.46325
FLJ22167	0.040625
EXOSC7	0.191
ROR2	-0.57325
MAOA	1.7295
TNNT3	-0.188
GYPC	-2.14075
C7orf33	0.0285
PLIN	0.0755
LOC90826	0.59175
RNF4	0.173
F8A1	-0.0246666666666667
PLEKHG4	0.6165
GRB2	0.0893
HIST1H2AD	-0.276
DUS3L	-0.796833333333333
EIF1	-0.0136666666666667
RP5-1077B9.4	-0.7355
FPGT	1.4325
GDF10	-1.5285
COQ9	0.06675
GCC2	0.617
RARRES3	2.390375
PLXNA1	-0.2641
KIAA0100	0.2267
PMF1	-0.78
FNDC1	4.656
HS2ST1	0.149583333333333
CRELD2	1.8415
C8G	-0.6425
CD82	-0.113
LIM2	-0.892
UNQ6490	0.3345
MMP16	-0.431
DRD3	0.096
C5orf26	-1.97675
C11orf73	-0.63775
PTP4A2	0.3445
OR4M2	0.651
HPCA	-0.939833333333333
SEC14L1	-0.3955
CHFR	-1.135375
EMILIN1	0.443
NDUFS4	-0.33375
COL18A1	-1.257375
PDZD3	2.4424
C9orf16	-0.819333333333333
ERBB2IP	-0.197833333333333
EMX2	0.278
FUS	-0.931
TF	-3.9485
CLCN4	0.616
CXorf56	-0.0505
C11orf72	0.54675
ELAC2	-0.152083333333333
NPR1	-1.76225
ASS1	0.39
USP42	0.0165
POLR2J	-0.3085
SEC23IP	1.282
UQCRC1	0.40925
LOC729603	0.44025
C1orf71	-0.649875
POLG	-0.1435
ADAM23	-3.86125
TFR2	-1.51425
RICTOR	-1.0458
MGC39606	-0.88425
C19orf55	-0.505875
SNAPC1	-1.36416666666667
GNA11	0.626125
CCDC52	0.509833333333333
FSIP1	0.061
UPF3A	-0.643625
IGSF11	-2.66366666666667
LAGE3	-0.32075
CHST6	0.728
UNC13B	1.11
TTLL4	-0.33
ZNF687	-0.466625
SDC2	-1.5765
COX7A2	0.37275
LAMB4	-0.0705
FAM24A	0.3005
LRRTM3	-1.42033333333333
GPHB5	-0.002
OR4C13	-0.3125
EIF3EIP	-0.0361428571428571
HABP4	-0.763
TMEM125	3.97625
CNTN2	0.093
ASNSD1	-0.2105
FUT4	2.22775
ACF	-0.38375
LOC158381	0.1885
CDH8	-0.648666666666667
AGPS	0.695833333333333
C4orf18	0.486625
PECI	-2.63358333333333
UNG	-0.546875
GSTP1	0.38125
DCUN1D5	-0.542833333333333
DKFZP564J0863	0.36425
SLC9A3R1	0.24625
BCDO2	-0.39325
CHMP7	0.4465
REM2	0.558
DNHD1	-0.27525
FKBP4	-0.376125
ZNF350	-1.46175
MGC11102	0.603625
BST1	0.8535
KISS1R	0.1865
NCR2	0.2235
DEFB125	0.961
UBE2W	0.53125
KRT15	-0.98625
C10orf99	2.7595
SCN11A	0.203625
GFI1	0.678
RDHE2	4.818
FHL1	-2.29966666666667
OSGEP	0.2185
GATA1	-3.65666666666667
SMC6	-0.95675
TTTY14	-0.34425
LPIN3	0.41225
RPL4	-0.5106
RBPMS	-1.0546
PRPF3	-0.672
EMR1	-2.0745
SPATA19	0.7225
XCR1	0.146
IRX3	-0.6539
RBM6	-0.3315
KLF4	1.5339
UNC5CL	2.3275
SEBOX	0.3655
BTK	-0.35925
KRCC1	1.16525
C6orf27	0.2585
SYTL5	-0.94
PRND	0.19425
LOC653319	-0.519
PIGL	-0.060625
HUS1	0.324333333333333
SFRS6	1.34566666666667
C17orf77	1.3755
UIMC1	0.04
FXYD2	-1.8792
LOC283152	-1.1415
ZNF667	-2.1255
ZCCHC12	0.2515
TFEC	2.6351
ATP7B	0.912333333333333
POLD2	-1.03533333333333
RG9MTD1	0.01425
ACOT2	-0.647833333333333
HIST1H4I	-0.668875
PPARGC1A	0.7306
ETFA	-0.2033
POLRMT	-0.4235
ZNF146	0.315875
MIA2	0.487
KLHL6	-0.083
HOXB5	2.542125
NENF	0.423166666666667
CUGBP1	0.286
PRSS22	1.51483333333333
CASC4	1.2107
CUL4B	-0.1294
CENPJ	-0.0748
PITX1	0.6865
FLJ31033	0.640666666666667
CELSR3	-1.62633333333333
ZNF568	-1.0115
ITSN1	-0.411833333333333
EHBP1L1	-0.3125
C19orf2	0.0675
DCTN1	-0.713
LIN28B	-3.74933333333333
TNKS2	-0.1015
C1QBP	-0.0335
CADPS2	2.88125
SRMS	1.5725
GJA9	0.246
MGC24975	-0.955
TRIM45	-1.4985
TSP50	-0.0705
TCP1	0.0105
TMED7	0.8524
CMA1	0.4105
CENPL	-0.209666666666667
PTCRA	-0.0545
FST	-5.07275
VWCE	-3.10225
PAWR	1.0705
ABCC12	0.521333333333333
LDLR	0.1286
ASTN2	-0.6859
LOC441212	-0.3765
GPATCH8	0.124
TANC2	-1.05266666666667
KIF4A	-0.7955
C18orf18	-0.50575
PGM1	-0.366
KIAA0258	1.23525
CPD	1.0905
SNCAIP	-1.235
DCT	-4.483
HLA-DOA	2.51090909090909
OR11L1	0.355
UPK1B	-0.0586666666666667
DNAJB4	-0.2025
UGT1A8	2.456
HIST1H4L	-0.304
PECR	-0.841166666666667
HSPA2	-0.026
WFIKKN1	-2.136
SERP1	1.102
SYDE2	0.68925
TACR2	0.1865
NUP85	-0.45875
CD177	0.904
LGR5	1.48466666666667
PIGG	0.147583333333333
PTHR1	-2.5335
RAB5A	0.4175
FLJ13224	-0.1025
USP9Y	-0.723833333333333
C7orf53	0.695
LRP1B	-0.995333333333333
XAF1	2.6853
ABCG8	0.434
ANKDD1A	-0.062
DAND5	-1.6875
SPAG6	-0.3886
LINCR	1.0765
ZDHHC22	-1.51525
CCDC60	0.361
THOC7	-0.603833333333333
TCTA	0.1107
OR8K3	0.25475
NY-REN-7	-0.8805
B2M	0.663833333333333
C6orf141	-0.8455
LPPR4	0.72025
SQLE	-0.25025
SEPHS1	-0.53275
BTBD14B	0.0837857142857143
PLRG1	0.169
SPG7	-0.3824375
ZNF614	1.27133333333333
PARD6G	-0.746666666666667
INPP5B	-0.1951
GRPEL2	0.826875
PPID	-0.4959
TRIM56	0.14925
UBE2J1	1.22775
IL20RA	3.6565
LOC387856	0.0943333333333333
C1orf107	0.123166666666667
UTS2R	0.15825
C19orf22	0.6475
SAFB2	0.536625
KIAA0652	0.030625
KLRG1	-0.607833333333333
MS4A8B	4.03916666666667
FRAG1	0.2385
KIAA1546	0.667
E2F4	0.0228
CLEC4M	0.234666666666667
BTBD14A	0.597
KIAA0999	0.5298
GYPA	-3.53266666666667
TAC1	1.0991
TRAIP	-0.485333333333333
KIAA0232	0.7073
ERCC8	-0.47325
GPX4	-0.92
KIAA0368	-0.867625
GPR157	-0.734
CTAGE4	1.4
C9orf30	-0.586
OR52A1	0.6665
HSP90B3P	1.594
ALG9	-0.0919
BTBD10	0.8805
SDK2	-0.1105
BAIAP3	-2.8295
RABGGTB	-0.458125
ANKRD40	0.256
KRT74	1.053
CALCOCO2	0.690357142857143
SNCA	-2.2215
TMSL8	-5.6775
C2orf53	-0.592
ESRRB	-0.1045
ARHGAP26	1.10675
TDRD9	-2.8865
HRAS	-0.00633333333333333
KLRC4	-1.9815
JAGN1	0.213833333333333
BSDC1	-0.07775
RNF43	0.5037
NDUFAF1	-0.04475
PHF12	0.26
OR1L3	0.12575
FOLR2	1.4065
LYZL6	0.225666666666667
tcag7.1260	-0.1775
WSB1	-0.853666666666667
PROS1	1.3738
OSTN	0.0255
PSMB8	1.7025
SOCS4	0.84925
DDIT4L	-1.03375
MAS1	1.606
MGC34796	0.8955
CSHL1	0.325
TBCCD1	0.3495
ZBTB7C	0.118
AP2S1	-0.7805
P15RS	0.4708
VAT1	-1.2219
SHANK3	0.174833333333333
TUFM	-0.270833333333333
THEG	-0.641
KRT34	-1.66
SGSM3	0.19625
TOMM22	0.636375
SOCS3	1.4925
CPO	-0.3335
POP4	0.5385
BHLHB3	0.29625
MALL	3.745
OR1B1	0.198
PARK2	0.174666666666667
GPR124	-0.07725
LCE1E	0.13
RUVBL2	-0.4775
CGRRF1	-0.1398
ACPL2	0.4245
WNT10B	-0.162
BAIAP2L2	2.02825
ISCA1	-0.4705
C1orf125	2.68175
RPAP1	-0.28225
RAI16	-0.827666666666667
RPL27	-0.742375
NLRP9	0.266
EPN1	-0.187
LOC388610	2.128375
SLC35A1	1.5227
GAL	-4.55325
SLC14A2	0.28275
RDH11	0.125166666666667
FAM138F	-0.2935
AUH	-0.32125
FLJ40243	0.28725
C14orf129	2.8335
MBD2	-0.0285
ABHD14B	0.4955
PIGT	0.6835
ALS2CR4	-0.318
ALAS1	1.2171
FOXO1	1.52683333333333
CRLF3	0.513125
C20orf107	0.3155
FARS2	-0.057
CCDC28A	-0.33275
NPHP3	-1.14425
OR13F1	0.339
TSEN54	-0.036
DEFB106B	0.0629
OR8B4	0.7915
STH	-1.2115
ZC3H14	-0.034375
CBX2	0.225
TMEM49	0.05725
C6orf21	0.341
FLJ20920	-1.367625
CRTAP	-0.745714285714286
DDX50	-0.2605
STYXL1	-0.228
BLVRB	-1.22
LOC147650	-2.47266666666667
MMP24	-0.24875
GRID1	0.506833333333333
BANF1	-0.807166666666667
CTAGEP	0.69225
HMBS	-0.20375
SLC25A24	0.655666666666667
C14orf50	2.95725
MRO	0.0271666666666667
SLC25A15	-0.18575
FAM84B	0.7821
TDP1	0.543
C16orf78	0.000166666666666648
C11orf57	-0.006625
RFK	0.96525
ZFYVE9	0.073625
STCH	0.3519
WIBG	0.54375
LOC283871	-0.044
GBA2	0.0336
NDUFB3	0.0155
HSD17B13	0.32975
GRIN3A	2.02116666666667
FMNL1	-0.902166666666667
SEPT7	-0.459
GNLY	5.138
GRAMD1C	-0.434166666666667
ZNF165	0.2675
USP38	1.51075
FAM83A	-2.97316666666667
C14orf24	0.953666666666667
ARMCX3	1.000375
ARHGDIB	-1.10666666666667
AK1	-0.07725
KIAA1045	-0.0636666666666666
DNAJB13	-0.1685
NEU2	0.5595
HIST1H4B	0.477333333333333
FAM20B	-0.1194
HES2	2.08671428571429
FAM73B	-0.1601
LOC388381	0.11825
INTS7	0.154090909090909
AMPH	0.05325
ZNF775	-0.842625
UCKL1	-0.674
C10orf97	1.01825
C1orf161	0.0675
ALDH1L1	-0.57075
FLJ39378	-0.356125
SLC23A1	-1.2935
RBM4B	-0.55075
THAP4	0.0443333333333333
