Hybridization REF	TCGA-AA-3558-01A-01R-0821-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-1.33016666666667
CREB3L1	1.12325
RPS11	1.347625
PNMA1	-2.09825
MMP2	-1.88633333333333
C10orf90	-2.5405
ZHX3	-0.304666666666667
ERCC5	0.84725
GPR98	-2.0812
RXFP3	0.4085
APBB2	-0.34375
PRO0478	-1.321
KLHL13	-3.06175
PRSSL1	-0.5125
PDCL3	0.448833333333333
DECR1	1.115375
SALL1	-4.1935
CADM4	-0.813833333333333
RPS18	0.959
HNRPD	-0.3575
CFHR5	0.419166666666667
SLC10A7	0.505125
OR2K2	-0.1865
LMAN1	-0.871625
SUHW1	-2.719
CHD8	-0.8765
SUMO1	0.2319
GP1BA	0.0059
DDB1	-0.874833333333333
MYO9B	-0.911
MMP7	5.37325
CRNKL1	1.13375
C9orf45	-1.168
XAB2	-0.00674999999999999
RTN1	1.12375
KLHL14	-1.4815
TBX10	0.431
CENPQ	-1.1555
UTY	2.00330769230769
ZBTB12	0.039
DTNBP1	0.0927499999999999
KBTBD8	0.5195
ZEB1	-1.70516666666667
ZG16	5.27025
MIER1	0.7416
ADAM5P	0.0345
CHD9	-0.52575
STK16	0.82425
KIAA1486	0.192
TOB2	0.51175
BANK1	0.88925
OR2V2	0.50575
GRM2	0.0991666666666667
PROSC	1.161875
SPIN2B	0.99675
PIR	-2.51533333333333
IPO9	-0.6415
EVC	-1.98933333333333
CXCL13	0.455666666666667
KIAA1199	2.1907
SORL1	1.334
NAT10	0.08775
CHD1	0.084
SYN3	0.555
SLC22A2	-0.44875
SERPINF1	-2.39583333333333
WDR34	-0.27725
OR7A17	0.325
C9orf11	0.2555
RNF216L	-0.8129
LHB	-0.1375
STK25	-0.279375
TAOK3	0.998
LOC152573	-1.753
C3orf39	-0.822375
C14orf108	1.2434
CDC25B	-0.106545454545455
BMP3	1.338
TMEM180	0.2285
MAP1LC3C	-0.06475
CRYGC	-0.1215
POU3F1	-1.6907
C20orf32	-0.8745
CCDC95	-0.137
HIGD1B	1.355
USP6NL	1.319875
ABCD4	0.0433333333333333
DIMT1L	0.0615833333333334
TEK	0.075125
SLC25A46	0.60125
LARP7	-1.5905
CD160	0.434166666666667
MT1JP	-0.7135
PHF20	-0.837875
CPNE4	-1.418
GTPBP1	-1.0175
RAB33B	0.908
ALDOC	-1.28275
ZNF212	-0.73575
NUDT1	-0.6565
RFPL2	-1.042
ZNF83	-0.567333333333333
GDPD5	-2.09575
PDCD4	0.991
CEP350	-0.59925
OR10A2	0.20275
CST7	-0.16025
CIAO1	-0.60725
SELL	-0.00250000000000003
OR8J3	2.003
LTBP4	-0.544666666666667
SIRT6	0.79075
CCL19	0.77725
PPIL1	-0.250666666666667
GBP7	-0.129
STK17A	-1.4627
ABR	1.23525
OR9G1	-0.146
FOXE1	-0.202875
CNGA3	1.2525
GML	0.074
CD38	-3.45825
ZDHHC6	1.32516666666667
NEFH	-4.4835
CTDSP2	-0.0875833333333333
PGBD5	-3.332
CCNY	0.196357142857143
RMND5B	-0.17
ZNF257	-3.83825
FLJ22167	0.22825
EXOSC7	0.1605
ROR2	-1.050875
MAOA	4.056125
TNNT3	-0.277666666666667
GYPC	-2.2535
C7orf33	0.2245
PLIN	0.6855
LOC90826	0.019
RNF4	-0.2478
F8A1	-0.748666666666667
PLEKHG4	-0.37225
GRB2	-0.7307
HIST1H2AD	-0.63075
DUS3L	-0.373
EIF1	-0.617666666666667
RP5-1077B9.4	-1.61316666666667
FPGT	1.42375
GDF10	-0.267666666666667
COQ9	0.792
GCC2	0.456285714285714
RARRES3	-1.404875
PLXNA1	-0.6857
KIAA0100	-0.765
PMF1	-0.21225
FNDC1	3.052
HS2ST1	0.0428333333333333
CRELD2	-0.86875
C8G	-1.3055
CD82	-0.26025
LIM2	-0.515
UNQ6490	0.0625
MMP16	-0.714
DRD3	0.23725
C5orf26	0.6
C11orf73	-0.022125
PTP4A2	-0.026625
OR4M2	0.494
HPCA	-1.44416666666667
SEC14L1	-1.417
CHFR	-0.976375
EMILIN1	-0.98225
NDUFS4	0.0925
COL18A1	-1.898875
PDZD3	3.2127
C9orf16	0.116666666666667
ERBB2IP	-0.173166666666667
EMX2	0.42975
FUS	-1.483
TF	-4.2961
CLCN4	-0.201666666666667
CXorf56	0.95525
C11orf72	0.61725
ELAC2	-0.95825
NPR1	-1.766
ASS1	0.772
USP42	-0.7115
POLR2J	-0.7205
SEC23IP	0.4985
UQCRC1	0.61025
LOC729603	-0.2435
C1orf71	-0.21875
POLG	-1.4365
ADAM23	-4.3895
TFR2	-0.8355
RICTOR	-0.7131
MGC39606	-1.045
C19orf55	0.03475
SNAPC1	-1.54583333333333
GNA11	0.916375
CCDC52	1.06533333333333
FSIP1	1.4725
UPF3A	0.1925
IGSF11	-2.29483333333333
LAGE3	-1.54725
CHST6	-1.1175
UNC13B	1.35625
TTLL4	-0.332625
ZNF687	-0.4855
SDC2	-1.5079
COX7A2	0.5405
LAMB4	-0.029
FAM24A	0.4175
LRRTM3	-0.533333333333333
GPHB5	0.87525
OR4C13	-0.2715
EIF3EIP	1.21585714285714
HABP4	-0.695
TMEM125	3.80275
CNTN2	-0.104625
ASNSD1	-0.125
FUT4	1.90275
ACF	1.5055
LOC158381	0.3085
CDH8	-0.9785
AGPS	0.0996666666666666
C4orf18	0.519125
PECI	-1.90683333333333
UNG	0.2655
GSTP1	0.191
DCUN1D5	-0.994333333333333
DKFZP564J0863	-0.6935
SLC9A3R1	-0.818875
BCDO2	-0.69225
CHMP7	-0.14
REM2	-0.3765
DNHD1	-0.5395
FKBP4	-1.146
ZNF350	-0.00975
MGC11102	-0.38875
BST1	0.00749999999999999
KISS1R	0.456
NCR2	0.2505
DEFB125	-0.014
UBE2W	0.841125
KRT15	-2.219625
C10orf99	3.7565
SCN11A	0.089
GFI1	0.18525
