Hybridization REF	TCGA-AA-3696-01A-01R-0905-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.305833333333333
CREB3L1	1.0225
RPS11	0.897375
PNMA1	-2.328
MMP2	-0.5055
C10orf90	-1.93525
ZHX3	-0.321333333333333
ERCC5	-0.2685
GPR98	-0.9655
RXFP3	0.599
APBB2	0.498
PRO0478	-0.94
KLHL13	0.09625
PRSSL1	-0.531166666666667
PDCL3	0.869
DECR1	0.9575
SALL1	-1.98316666666667
CADM4	0.0388333333333333
RPS18	0.542857142857143
HNRPD	-0.655416666666667
CFHR5	0.5476
SLC10A7	0.18325
OR2K2	0.1145
LMAN1	-0.701
SUHW1	-1.23175
CHD8	-1.1828
SUMO1	0.4367
GP1BA	0.0519
DDB1	-1.05683333333333
MYO9B	-0.4894
MMP7	6.0105
CRNKL1	0.52575
C9orf45	-1.75166666666667
XAB2	-0.303875
RTN1	-0.032
KLHL14	-0.963625
TBX10	1.94
CENPQ	-1.3265
UTY	-0.555928571428571
ZBTB12	0.4445
DTNBP1	-0.063875
KBTBD8	-0.232666666666667
ZEB1	-0.300333333333333
ZG16	4.4105
MIER1	0.5483
ADAM5P	0.332
CHD9	-0.042
STK16	0.9205
KIAA1486	0.1865
TOB2	0.585083333333333
BANK1	2.3835
OR2V2	-0.269
GRM2	0.114
PROSC	0.57025
SPIN2B	0.9385
PIR	-1.54988888888889
IPO9	0.1617
EVC	-1.29266666666667
CXCL13	-0.0801666666666667
KIAA1199	2.5853
SORL1	0.8305
NAT10	-0.21225
CHD1	-0.23725
SYN3	1.989
SLC22A2	-0.0405
SERPINF1	-0.877833333333333
WDR34	-1.28875
OR7A17	0.41675
C9orf11	0.001
RNF216L	-0.0191
LHB	0.0895
STK25	0.203625
TAOK3	0.85125
LOC152573	-0.122
C3orf39	-0.8705
C14orf108	0.7198
CDC25B	-0.550909090909091
BMP3	0.205
TMEM180	-0.073
MAP1LC3C	-0.04025
CRYGC	-0.1155
POU3F1	-1.1733
C20orf32	-0.778
CCDC95	-0.4525
HIGD1B	1.453
USP6NL	0.82875
ABCD4	-0.266666666666667
DIMT1L	-0.0841666666666667
TEK	0.057375
SLC25A46	-0.35925
LARP7	-1.5196
CD160	0.1165
MT1JP	-0.741666666666667
PHF20	-0.4640625
CPNE4	-0.80875
GTPBP1	-0.767857142857143
RAB33B	0.8025
ALDOC	-2.253625
ZNF212	-0.44425
NUDT1	-0.8445
RFPL2	-0.28375
ZNF83	-0.166666666666667
GDPD5	-0.064
PDCD4	-0.01805
CEP350	-0.33025
OR10A2	0.6
CST7	-0.87825
CIAO1	-0.22425
SELL	0.4985
OR8J3	0.4155
LTBP4	0.0855
SIRT6	0.1055
CCL19	0.7355
PPIL1	-0.4835
GBP7	-0.0306
STK17A	-0.5007
ABR	1.4125
OR9G1	-0.1365
FOXE1	-0.317125
CNGA3	-0.1295
GML	0.552
CD38	-3.133
ZDHHC6	-0.367
NEFH	-3.1925
CTDSP2	0.53675
PGBD5	-1.38183333333333
CCNY	0.0495714285714286
RMND5B	-0.02225
ZNF257	-2.33025
FLJ22167	0.3105
EXOSC7	-0.2045
ROR2	-0.3025
MAOA	2.923125
TNNT3	-0.120166666666667
GYPC	-2.1425
C7orf33	0.069
PLIN	0.2885
LOC90826	-0.1095
RNF4	-0.5131
F8A1	0.0108333333333333
PLEKHG4	0.22075
GRB2	-0.41425
HIST1H2AD	-1.6585
DUS3L	0.2645
EIF1	-0.0786666666666667
RP5-1077B9.4	-0.736833333333333
FPGT	1.43925
GDF10	-0.756166666666667
COQ9	0.3815
GCC2	0.780071428571429
RARRES3	-0.259375
PLXNA1	-0.0391
KIAA0100	-0.7375
PMF1	0.1185
FNDC1	4.257
HS2ST1	-0.214333333333333
CRELD2	-0.29175
C8G	-1.048
CD82	-0.3655
LIM2	-0.793
UNQ6490	0.2245
MMP16	-0.3805
DRD3	0.218
C5orf26	-0.14425
C11orf73	-0.238625
PTP4A2	-0.253
OR4M2	1.226
HPCA	-0.927
SEC14L1	-1.3175
CHFR	-0.54625
EMILIN1	0.2885
NDUFS4	0.10675
COL18A1	-1.4205
PDZD3	1.7162
C9orf16	0.102833333333333
ERBB2IP	-0.278833333333333
EMX2	0.358
FUS	-1.5185
TF	-3.5834
CLCN4	0.919166666666667
CXorf56	0.9545
C11orf72	0.402
ELAC2	-1.04066666666667
NPR1	-1.34825
ASS1	-0.7125
USP42	-0.159875
POLR2J	0.026
SEC23IP	0.713333333333333
UQCRC1	0.6825
LOC729603	0.06775
C1orf71	0.0715
POLG	-1.3855
ADAM23	-3.14475
