Hybridization REF	TCGA-AY-4071-01A-01R-1113-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.5415
CREB3L1	1.22325
RPS11	0.700375
PNMA1	-1.7655
MMP2	-1.21233333333333
C10orf90	-3.559
ZHX3	0.293166666666667
ERCC5	0.67975
GPR98	-0.102857142857143
RXFP3	0.551
APBB2	-1.44775
PRO0478	-0.74625
KLHL13	0.89925
PRSSL1	0.0833333333333333
PDCL3	0.162666666666667
DECR1	0.763
SALL1	-2.00933333333333
CADM4	-1.02466666666667
RPS18	0.8605
HNRPD	-1.44375
CFHR5	-0.372666666666667
SLC10A7	0.87
OR2K2	
LMAN1	-0.59
SUHW1	-1.9775
CHD8	-1.3759
SUMO1	0.5569
GP1BA	0.185333333333333
DDB1	-1.215
MYO9B	-0.0389
MMP7	5.78525
CRNKL1	-0.50875
C9orf45	-3.04516666666667
XAB2	-0.655875
RTN1	0.739166666666667
KLHL14	-1.421
TBX10	0.673
CENPQ	-0.6665
UTY	-1.2512
ZBTB12	0.8095
DTNBP1	0.705125
KBTBD8	0.81
ZEB1	-0.0433333333333333
ZG16	5.8125
MIER1	0.7314
ADAM5P	
CHD9	0.100625
STK16	0.127
KIAA1486	0.3475
TOB2	0.664916666666667
BANK1	5.04875
OR2V2	0.36525
GRM2	0.305666666666667
PROSC	0.703375
SPIN2B	2.04225
PIR	-0.946
IPO9	-0.789333333333333
EVC	-0.7985
CXCL13	3.71666666666667
KIAA1199	0.135444444444444
SORL1	1.616
NAT10	-0.718
CHD1	-0.1805
SYN3	3.6955
SLC22A2	0.04275
SERPINF1	-1.11183333333333
WDR34	-1.5015
OR7A17	0.54775
C9orf11	-0.947
RNF216L	0.3034
LHB	0.0265
STK25	-0.753875
TAOK3	0.807
LOC152573	-2.147
C3orf39	-0.222125
C14orf108	-0.1347
CDC25B	0.0514545454545454
BMP3	-0.059
TMEM180	0.104
MAP1LC3C	0.11325
CRYGC	-1.2695
POU3F1	-1.5517
C20orf32	-0.515
CCDC95	-0.142
HIGD1B	2.79225
USP6NL	0.498375
ABCD4	0.17
DIMT1L	-0.22075
TEK	0.159625
SLC25A46	0.27975
LARP7	-1.7746
CD160	2.3725
MT1JP	-0.510833333333333
PHF20	-0.211125
CPNE4	-0.8885
GTPBP1	-0.368071428571429
RAB33B	0.7704
ALDOC	-1.3255
ZNF212	-0.458
NUDT1	-0.903166666666667
RFPL2	-5.01475
ZNF83	-0.784666666666667
GDPD5	-0.041875
PDCD4	0.7237
CEP350	-0.948
OR10A2	0.94975
CST7	1.9125
CIAO1	-0.19875
SELL	1.3945
OR8J3	0.504
LTBP4	-0.0558333333333333
SIRT6	1.137
CCL19	4.2485
PPIL1	-1.1845
GBP7	-1.33283333333333
STK17A	-0.4108
ABR	1.1835
OR9G1	0.782
FOXE1	-0.161375
CNGA3	0.944
GML	0.2595
CD38	0.72725
ZDHHC6	0.762166666666667
NEFH	-3.71725
CTDSP2	0.487666666666667
PGBD5	-1.54716666666667
CCNY	-0.0312857142857143
RMND5B	-0.283333333333333
ZNF257	-3.96633333333333
FLJ22167	0.3475
EXOSC7	-0.626333333333333
ROR2	-1.0255
MAOA	3.54275
TNNT3	-0.547
GYPC	-1.8785
C7orf33	
