Hybridization REF	TCGA-AA-A01I-01A-02R-A00A-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.537
CREB3L1	0.66125
RPS11	0.8355
PNMA1	-2.31075
MMP2	-1.26083333333333
C10orf90	-2.868
ZHX3	0.0253333333333333
ERCC5	0.5995
GPR98	0.170428571428571
RXFP3	0.696
APBB2	0.8475
PRO0478	-0.8215
KLHL13	1.98825
PRSSL1	-0.437166666666667
PDCL3	0.875
DECR1	0.692625
SALL1	-2.34766666666667
CADM4	-0.65
RPS18	0.720214285714286
HNRPD	-0.7205
CFHR5	0.0343333333333334
SLC10A7	0.125875
OR2K2	0.653
LMAN1	-0.569375
SUHW1	-3.30175
CHD8	-0.6432
SUMO1	1.1805
GP1BA	0.3728
DDB1	-0.9045
MYO9B	-0.546
MMP7	7.156
CRNKL1	0.459375
C9orf45	-1.18783333333333
XAB2	0.0105
RTN1	0.426125
KLHL14	-1.304375
TBX10	1.099
CENPQ	-1.37925
UTY	1.66028571428571
ZBTB12	-0.335
DTNBP1	0.5215
KBTBD8	0.524
ZEB1	-1.713
ZG16	5.0325
MIER1	0.3674
ADAM5P	0.3795
CHD9	-0.808375
STK16	1.19425
KIAA1486	0.0705
TOB2	0.41075
BANK1	4.1345
OR2V2	0.425
GRM2	-0.0321666666666667
PROSC	0.22575
SPIN2B	1.32475
PIR	-0.673777777777778
IPO9	-0.9739
EVC	-1.51583333333333
CXCL13	2.99616666666667
KIAA1199	2.4436
SORL1	0.38075
NAT10	-0.55775
CHD1	-0.2575
SYN3	2.75525
SLC22A2	0.2035
SERPINF1	-2.04916666666667
WDR34	-0.80025
OR7A17	-0.20175
C9orf11	-0.6955
RNF216L	-0.711
LHB	-0.1075
STK25	-0.295375
TAOK3	0.777125
LOC152573	-1.20925
C3orf39	-0.543875
C14orf108	0.7784
CDC25B	0.671
BMP3	0.028
TMEM180	-0.194
MAP1LC3C	-0.25375
CRYGC	-0.5525
POU3F1	-1.3937
C20orf32	-1.296
CCDC95	-0.6245
HIGD1B	1.9815
USP6NL	1.140875
ABCD4	0.137666666666667
DIMT1L	-0.316833333333333
TEK	-0.066125
SLC25A46	0.24
LARP7	-1.6383
CD160	-0.32275
MT1JP	-0.945
PHF20	-0.5881875
CPNE4	-0.85725
GTPBP1	-0.279571428571429
RAB33B	0.846
ALDOC	-2.73
ZNF212	-0.76925
NUDT1	-0.884166666666667
RFPL2	-1.002
ZNF83	-3.05366666666667
GDPD5	0.3135
PDCD4	1.09475
CEP350	-0.88325
OR10A2	0.36225
CST7	-0.49725
CIAO1	-0.518
SELL	-0.0168571428571427
OR8J3	1.095
LTBP4	-0.3215
SIRT6	1.0645
CCL19	2.368
PPIL1	-0.297833333333333
GBP7	0.326666666666667
STK17A	-0.9909
ABR	1.69275
OR9G1	-0.2045
FOXE1	-0.125875
CNGA3	-0.303
GML	0.3525
CD38	-2.02125
ZDHHC6	0.483666666666667
NEFH	-4.2425
CTDSP2	0.916833333333333
PGBD5	0.0208333333333333
CCNY	0.0307857142857143
RMND5B	-0.0869166666666666
ZNF257	-4.08425
FLJ22167	-0.309125
EXOSC7	-0.0478333333333333
ROR2	0.981875
MAOA	3.3765
TNNT3	-0.311833333333333
GYPC	-2.38575
C7orf33	0.6165
PLIN	0.327166666666667
LOC90826	0.457
RNF4	-0.4808
F8A1	-0.0581666666666667
PLEKHG4	0.84225
GRB2	-0.6295
HIST1H2AD	-1.74175
DUS3L	-0.0735
EIF1	-0.113166666666667
RP5-1077B9.4	-1.145
FPGT	1.39675
GDF10	-1.4346
COQ9	0.4045
GCC2	0.748571428571428
RARRES3	1.82875
PLXNA1	-0.6077
KIAA0100	-0.418
PMF1	-0.64625
FNDC1	2.3585
HS2ST1	0.0436666666666667
CRELD2	0.04975
C8G	-1.1465
CD82	-0.09275
LIM2	-1.799
UNQ6490	0.906
MMP16	-0.08775
DRD3	-0.10475
C5orf26	-0.08725
C11orf73	-0.214
PTP4A2	0.732625
OR4M2	-0.5505
HPCA	-1.304
SEC14L1	-1.03983333333333
CHFR	-0.8795
EMILIN1	-0.23125
NDUFS4	-0.03075
COL18A1	-1.93225
PDZD3	2.7831
C9orf16	0.0546666666666667
ERBB2IP	0.345
EMX2	0.004
FUS	-1.542
TF	-4.5439
CLCN4	1.73983333333333
CXorf56	0.69275
C11orf72	0.605
ELAC2	-0.873
NPR1	-2.1115
ASS1	0.604166666666667
USP42	-0.8775
POLR2J	-0.909
SEC23IP	0.3625
UQCRC1	0.69
LOC729603	0.116
C1orf71	-0.55525
POLG	-1.722
ADAM23	-3.94775
TFR2	-1.28325
RICTOR	-0.991111111111111
MGC39606	0.064
C19orf55	-0.3455
SNAPC1	-1.35383333333333
GNA11	0.106375
CCDC52	-0.420333333333333
FSIP1	1.879
UPF3A	-0.421
IGSF11	-1.75383333333333
LAGE3	0.211
CHST6	-2.1575
UNC13B	0.785875
TTLL4	-0.190875
ZNF687	-0.520625
SDC2	-2.3863
COX7A2	0.6385
LAMB4	0.25525
FAM24A	0.6745
LRRTM3	-0.333666666666667
GPHB5	0.406
OR4C13	-0.695
EIF3EIP	0.437428571428571
HABP4	-0.802
TMEM125	3.82925
CNTN2	-0.53075
ASNSD1	-0.0205
FUT4	1.678125
ACF	0.796
LOC158381	0.407
CDH8	-1.4045
AGPS	1.18966666666667
C4orf18	1.230375
