Hybridization REF	TCGA-AA-A004-01A-01R-A00A-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.519416666666667
CREB3L1	1.164
RPS11	0.55325
PNMA1	-1.48675
MMP2	-0.718166666666667
C10orf90	-1.749
ZHX3	0.124666666666667
ERCC5	0.40825
GPR98	-1.18642857142857
RXFP3	0.397
APBB2	1.06875
PRO0478	0.033
KLHL13	-0.87825
PRSSL1	-0.308333333333333
PDCL3	-0.2125
DECR1	0.361125
SALL1	-1.14933333333333
CADM4	-0.92
RPS18	-0.761571428571429
HNRPD	-0.498
CFHR5	0.9692
SLC10A7	0.454166666666667
OR2K2	-1.488
LMAN1	-1.54625
SUHW1	-2.556
CHD8	-0.151
SUMO1	0.6227
GP1BA	0.6369
DDB1	-0.717333333333333
MYO9B	-0.0848999999999999
MMP7	8.743
CRNKL1	0.677375
C9orf45	-0.605666666666667
XAB2	0.086375
RTN1	0.55725
KLHL14	-0.68225
TBX10	0.1215
CENPQ	-1.36725
UTY	2.22292857142857
ZBTB12	0.342
DTNBP1	0.6005
KBTBD8	-0.274
ZEB1	0.407333333333333
ZG16	6.085
MIER1	0.2214
ADAM5P	0.4205
CHD9	-0.296666666666667
STK16	0.581
KIAA1486	0.215
TOB2	0.462166666666667
BANK1	3.1515
OR2V2	-0.188
GRM2	-0.0555
PROSC	0.29775
SPIN2B	-0.4835
PIR	-1.94788888888889
IPO9	-0.575888888888889
EVC	-0.9915
CXCL13	3.44233333333333
KIAA1199	0.7079
SORL1	0.7645
NAT10	-0.443
CHD1	-0.19475
SYN3	0.1865
SLC22A2	0.00900000000000001
SERPINF1	-1.4875
WDR34	0.907
OR7A17	0.093
C9orf11	-0.8295
RNF216L	0.0353
LHB	-0.004
STK25	-0.28975
TAOK3	0.972125
LOC152573	-1.1885
C3orf39	-1.170875
C14orf108	0.3424
CDC25B	1.01454545454545
BMP3	0.7715
TMEM180	0.211
MAP1LC3C	-0.015
CRYGC	-0.004
POU3F1	-1.2667
C20orf32	-0.8805
CCDC95	0.0755
HIGD1B	1.98425
USP6NL	0.168875
ABCD4	0.514666666666667
DIMT1L	-0.539083333333333
TEK	0.596875
SLC25A46	-0.31525
LARP7	-1.7369
CD160	0.462333333333333
MT1JP	-1.28766666666667
PHF20	-0.2394375
CPNE4	-1.45566666666667
GTPBP1	-0.454142857142857
RAB33B	0.945166666666667
ALDOC	-2.646
ZNF212	0.437
NUDT1	-0.202
RFPL2	-0.70825
ZNF83	-2.1265
GDPD5	0.730625
PDCD4	0.51495
CEP350	-0.6895
OR10A2	0.2475
CST7	-0.03275
CIAO1	-0.807
SELL	0.0274285714285714
OR8J3	1.7385
LTBP4	-0.696833333333333
SIRT6	1.24325
CCL19	3.29875
PPIL1	-1.31266666666667
GBP7	0.547166666666667
STK17A	-0.851
ABR	1.20675
OR9G1	-0.6565
FOXE1	-0.298875
CNGA3	0.1515
GML	0.052
CD38	-1.025
ZDHHC6	0.544666666666667
NEFH	-4.20275
CTDSP2	0.39875
PGBD5	-1.5565
CCNY	-0.123785714285714
RMND5B	0.01175
ZNF257	-3.144
FLJ22167	-0.291875
EXOSC7	-1.11483333333333
ROR2	-0.6085
MAOA	1.934875
TNNT3	0.95
GYPC	-1.87625
C7orf33	1.23
PLIN	-0.00283333333333334
LOC90826	-0.681
RNF4	-0.0257
F8A1	0.902166666666667
PLEKHG4	0.17
GRB2	-0.34855
HIST1H2AD	-0.8
DUS3L	0.257166666666667
EIF1	0.241166666666667
RP5-1077B9.4	-0.881333333333333
FPGT	0.567
GDF10	-1.1455
COQ9	0.43125
GCC2	1.12921428571429
RARRES3	2.54125
PLXNA1	-0.782444444444444
KIAA0100	0.1036
PMF1	-0.15275
FNDC1	2.82275
HS2ST1	0.13575
CRELD2	0.4375
C8G	-0.252
CD82	0.25875
LIM2	-0.475
UNQ6490	0.793
MMP16	-0.333
DRD3	-0.147
C5orf26	-0.1295
C11orf73	-0.361875
PTP4A2	0.61225
OR4M2	0.463
HPCA	-1.40683333333333
SEC14L1	-0.371833333333333
CHFR	-0.382625
EMILIN1	0.549625
NDUFS4	-0.81025
COL18A1	-0.0485
PDZD3	2.762
C9orf16	1.05783333333333
ERBB2IP	0.0535
EMX2	-0.2325
FUS	-0.914
TF	-4.4053
CLCN4	0.214333333333333
CXorf56	0.145
C11orf72	0.228
ELAC2	-0.777833333333333
NPR1	-0.95925
ASS1	1.6765
USP42	0.143875
POLR2J	-0.342
SEC23IP	-0.0523333333333333
UQCRC1	-0.1845
LOC729603	-0.122
C1orf71	-0.604
POLG	-0.9595
ADAM23	-4.176
TFR2	-1.1205
RICTOR	-0.5356
MGC39606	-0.306
C19orf55	-0.266625
SNAPC1	-1.65283333333333
GNA11	1.456625
CCDC52	-1.08616666666667
FSIP1	-0.812
UPF3A	-0.214
IGSF11	-2.293
LAGE3	0.76325
CHST6	-1.375
UNC13B	-0.753375
TTLL4	-0.64975
ZNF687	-0.291375
SDC2	-1.4054
COX7A2	0.2425
LAMB4	0.2155
FAM24A	1.0215
LRRTM3	-0.6936
GPHB5	-0.35675
OR4C13	0.387
EIF3EIP	0.131928571428571
HABP4	0.4925
TMEM125	3.78225
CNTN2	-0.041375
ASNSD1	-0.149
FUT4	1.504125
ACF	1.1815
LOC158381	-0.2815
CDH8	-0.306333333333333
AGPS	-0.429333333333333
C4orf18	0.646625
PECI	-2.52991666666667
UNG	-0.64425
GSTP1	0.78725
DCUN1D5	-1.092
DKFZP564J0863	-0.55875
SLC9A3R1	-0.184375
BCDO2	0.58575
CHMP7	-0.28725
REM2	0.3115
DNHD1	-0.3725
FKBP4	-1.057875
ZNF350	-1.3785
MGC11102	0.431625
BST1	-0.017
KISS1R	-0.1475
NCR2	0.3965
DEFB125	-0.132
UBE2W	0.385
KRT15	-1.151125
C10orf99	3.9085
SCN11A	-0.1365
GFI1	-0.47825
RDHE2	1.52566666666667
FHL1	-1.67983333333333
OSGEP	0.464166666666667
GATA1	-3.92116666666667
SMC6	-0.73
TTTY14	0.4375
LPIN3	-0.221
RPL4	-1.0588
RBPMS	-0.6582
PRPF3	-0.335333333333333
EMR1	-1.665
SPATA19	-0.2215
XCR1	-0.129
IRX3	-2.1105
RBM6	-0.32025
KLF4	0.5007
UNC5CL	6.195
SEBOX	0.239
BTK	-1.285
KRCC1	0.95725
C6orf27	0.501
SYTL5	-0.12
PRND	0.470142857142857
LOC653319	-0.686
PIGL	0.643875
HUS1	0.295
SFRS6	0.193833333333333
C17orf77	0.2485
UIMC1	0.1085
FXYD2	-1.6982
LOC283152	0.2515
ZNF667	-2.10125
ZCCHC12	-0.61675
TFEC	0.6923
ATP7B	-0.2025
POLD2	-1.338
RG9MTD1	-1.1475
ACOT2	-0.375166666666667
HIST1H4I	-0.9585
PPARGC1A	1.3582
ETFA	-1.1783
POLRMT	0.45
ZNF146	-0.63125
MIA2	0.463
KLHL6	-0.603
HOXB5	0.911875
NENF	0.531833333333333
CUGBP1	-0.268
PRSS22	3.042
CASC4	0.8305
CUL4B	0.2032
CENPJ	-0.6456
PITX1	0.409
FLJ31033	-0.0573333333333333
CELSR3	0.345333333333333
ZNF568	-1.35675
ITSN1	-1.27925
EHBP1L1	-0.242833333333333
C19orf2	0.0095
DCTN1	-1.00875
LIN28B	-3.5722
TNKS2	-0.028
C1QBP	0.069375
CADPS2	1.77475
SRMS	-0.351
GJA9	0.299333333333333
MGC24975	0.196833333333333
TRIM45	-1.39683333333333
TSP50	0.05275
TCP1	-1.1785
TMED7	0.2281
CMA1	-0.5735
CENPL	-0.681
PTCRA	-0.275
FST	-5.586
VWCE	-3.34025
PAWR	0.44625
ABCC12	0.2362
LDLR	0.0101
ASTN2	1.0199
LOC441212	0.3605
GPATCH8	-0.031
TANC2	-2.11990909090909
KIF4A	-0.61575
C18orf18	0.22375
PGM1	-1.5365
KIAA0258	-0.048
CPD	0.51025
SNCAIP	2.6055
DCT	-4.868
HLA-DOA	1.25990909090909
OR11L1	0.3785
UPK1B	0.6285
DNAJB4	-1.651125
UGT1A8	1.17075
HIST1H4L	-0.493
PECR	-1.29566666666667
HSPA2	0.93225
WFIKKN1	-1.5145
SERP1	-1.00075
SYDE2	0.71225
TACR2	0.306
NUP85	0.052
CD177	1.91483333333333
LGR5	1.27216666666667
PIGG	-0.399
PTHR1	-1.61483333333333
RAB5A	-0.9104
FLJ13224	0.499
USP9Y	0.347833333333333
C7orf53	1.703
LRP1B	-0.4175
XAF1	1.565
ABCG8	-0.961
ANKDD1A	-0.156166666666667
DAND5	-0.5015
SPAG6	0.142166666666667
LINCR	4.11575
ZDHHC22	-1.077625
CCDC60	0.5075
THOC7	-1.92733333333333
TCTA	0.2191
OR8K3	0.12925
NY-REN-7	-0.0627500000000001
B2M	1.72316666666667
C6orf141	-1.804625
LPPR4	1.29475
SQLE	-2.002375
SEPHS1	-0.22525
BTBD14B	0.480357142857143
PLRG1	-0.27075
SPG7	-0.5588125
ZNF614	-1.51133333333333
PARD6G	-0.193
INPP5B	-1.0469
GRPEL2	0.364625
PPID	-0.2893
TRIM56	0.83475
UBE2J1	0.273625
IL20RA	3.915
LOC387856	-0.00475
