Hybridization REF	TCGA-A6-2683-11A-01R-1758-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.808916666666667
CREB3L1	1.83
RPS11	1.00425
PNMA1	-0.90275
MMP2	-0.816833333333333
C10orf90	-2.66
ZHX3	-0.255166666666667
ERCC5	0.663
GPR98	-0.964875
RXFP3	1.07
APBB2	0.42775
PRO0478	-1.0475
KLHL13	-0.65
PRSSL1	-0.1985
PDCL3	0.205833333333333
DECR1	1.592125
SALL1	-1.307
CADM4	-0.894666666666667
RPS18	0.680428571428571
HNRPD	-1.09708333333333
CFHR5	0.449333333333333
SLC10A7	0.41325
OR2K2	-0.553
LMAN1	-1.17225
SUHW1	-3.78775
CHD8	-0.7372
SUMO1	0.5553
GP1BA	1.6248
DDB1	-1.01433333333333
MYO9B	-0.1668
MMP7	-0.242
CRNKL1	0.1245
C9orf45	-1.44133333333333
XAB2	-0.0135
RTN1	0.97625
KLHL14	-0.6175
TBX10	1.617
CENPQ	-1.5425
UTY	-1.31942857142857
ZBTB12	0.067
DTNBP1	0.451
KBTBD8	0.724666666666667
ZEB1	-0.995833333333333
ZG16	5.7725
MIER1	1.2146
ADAM5P	-0.015
CHD9	-0.0828125
STK16	0.44625
KIAA1486	-0.27
TOB2	1.17833333333333
BANK1	4.574
OR2V2	0.16025
GRM2	0.032
PROSC	1.291375
SPIN2B	0.2005
PIR	-1.95388888888889
IPO9	-0.9663
EVC	-1.11516666666667
CXCL13	5.1685
KIAA1199	-2.3971
SORL1	2.19175
NAT10	-0.53
CHD1	-0.5125
SYN3	0.65975
SLC22A2	-0.34525
SERPINF1	-0.567
WDR34	-0.8905
OR7A17	0.42725
C9orf11	0.078
RNF216L	-0.2318
LHB	0.1695
STK25	-0.039625
TAOK3	1.46875
LOC152573	0.09675
C3orf39	-0.641125
C14orf108	1.6852
CDC25B	-1.60909090909091
BMP3	4.0365
TMEM180	0.485
MAP1LC3C	0.1865
CRYGC	-0.0995
POU3F1	-1.1877
C20orf32	-1.286
CCDC95	-0.356
HIGD1B	3.24325
USP6NL	-0.09375
ABCD4	0.475666666666667
DIMT1L	-0.90225
TEK	1.6545
SLC25A46	0.30025
LARP7	-1.0775
CD160	2.163
MT1JP	2.13333333333333
PHF20	-1.072125
CPNE4	-0.865
GTPBP1	-0.0355
RAB33B	0.815
ALDOC	-2.16875
ZNF212	-0.3065
NUDT1	-1.038
RFPL2	-1.117
ZNF83	-1.29516666666667
