Hybridization REF	TCGA-AA-A01G-01A-01R-A002-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.403083333333333
CREB3L1	0.5575
RPS11	1.487875
PNMA1	-1.9915
MMP2	-1.26516666666667
C10orf90	-2.36275
ZHX3	0.0345
ERCC5	0.16125
GPR98	-1.547875
RXFP3	0.7165
APBB2	0.85525
PRO0478	-0.51825
KLHL13	-3.6105
PRSSL1	-0.806166666666667
PDCL3	0.1545
DECR1	-0.0325
SALL1	-2.358
CADM4	-0.283
RPS18	0.266857142857143
HNRPD	0.0369166666666666
CFHR5	0.284
SLC10A7	0.2735
OR2K2	-0.092
LMAN1	-0.654875
SUHW1	-3.80525
CHD8	-0.4585
SUMO1	0.7916
GP1BA	-0.1476
DDB1	-0.653833333333333
MYO9B	-0.4639
MMP7	7.2085
CRNKL1	0.708375
C9orf45	-1.28966666666667
XAB2	-0.149
RTN1	0.068375
KLHL14	-1.62175
TBX10	-1.2895
CENPQ	-1.44975
UTY	2.15257142857143
ZBTB12	-0.049
DTNBP1	0.275875
KBTBD8	1.06366666666667
ZEB1	-0.8095
ZG16	5.73675
MIER1	0.8554
ADAM5P	0.5615
CHD9	0.099625
STK16	0.9135
KIAA1486	-0.6755
TOB2	1.11683333333333
BANK1	4.88575
OR2V2	-0.10575
GRM2	-0.0105
PROSC	-0.2235
SPIN2B	0.224
PIR	-1.82544444444444
IPO9	-0.4876
EVC	-1.57433333333333
CXCL13	2.86483333333333
KIAA1199	1.9316
SORL1	0.94875
NAT10	-0.148
CHD1	-0.25625
SYN3	1.765
SLC22A2	0.05825
SERPINF1	-2.18833333333333
WDR34	-0.95525
OR7A17	0.296
C9orf11	-0.152
RNF216L	-0.5524
LHB	-0.022
STK25	-0.45975
TAOK3	1.112
LOC152573	-2.26225
C3orf39	-0.094375
C14orf108	0.8296
CDC25B	0.478
BMP3	0.948
TMEM180	0.117
MAP1LC3C	-1.2005
CRYGC	-1.1455
POU3F1	-1.4683
C20orf32	-1.5745
CCDC95	-0.3765
HIGD1B	1.766
USP6NL	1.007375
ABCD4	-0.288
DIMT1L	-0.0596666666666667
TEK	0.11225
SLC25A46	-0.1745
LARP7	-1.3882
CD160	0.444833333333333
MT1JP	-0.458333333333333
PHF20	0.05575
CPNE4	-1.554
GTPBP1	-0.2165
RAB33B	0.502833333333333
ALDOC	-1.845
ZNF212	-0.26275
NUDT1	-0.580166666666667
RFPL2	-1.5105
ZNF83	0.0168333333333333
GDPD5	-0.13625
PDCD4	0.3948
CEP350	-0.50275
OR10A2	0.7295
CST7	0.41875
CIAO1	-1.00375
SELL	0.138
OR8J3	1.6635
LTBP4	-0.2705
SIRT6	0.65675
CCL19	2.62575
PPIL1	-0.186166666666667
GBP7	-0.329
STK17A	-1.2616
ABR	0.797
OR9G1	0.6315
FOXE1	-1.1005
CNGA3	0.2085
GML	0.3945
CD38	-2.7575
ZDHHC6	0.647833333333333
NEFH	-3.6415
CTDSP2	0.78375
PGBD5	-0.577166666666667
CCNY	0.315214285714286
RMND5B	-0.14075
ZNF257	-4.4395
FLJ22167	-0.252875
EXOSC7	-0.241666666666667
ROR2	-1.202125
MAOA	2.198625
TNNT3	-0.7166
GYPC	-2.49525
C7orf33	0.002
PLIN	0.421333333333333
LOC90826	-0.37225
RNF4	-0.0362
