Hybridization REF	TCGA-A6-2670-01A-02R-0821-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.587583333333333
CREB3L1	0.5685
RPS11	0.80825
PNMA1	-1.66125
MMP2	1.0735
C10orf90	-2.06175
ZHX3	-0.828333333333333
ERCC5	0.7745
GPR98	-1.3925
RXFP3	0.853
APBB2	-0.89225
PRO0478	-1.49
KLHL13	-3.2115
PRSSL1	-0.142666666666667
PDCL3	0.505833333333333
DECR1	0.417
SALL1	-2.66683333333333
CADM4	-0.483166666666667
RPS18	0.552
HNRPD	-0.163333333333333
CFHR5	0.766333333333333
SLC10A7	0.3055
OR2K2	1.3705
LMAN1	-1.296625
SUHW1	-2.6535
CHD8	-1.6957
SUMO1	-0.0391
GP1BA	-0.199
DDB1	-0.520333333333333
MYO9B	-0.0537
MMP7	5.697
CRNKL1	1.421625
C9orf45	-2.40033333333333
XAB2	0.183
RTN1	1.002875
KLHL14	-1.515375
TBX10	0.11
CENPQ	-0.85175
UTY	-0.118142857142857
ZBTB12	-0.2375
DTNBP1	-0.4415
KBTBD8	-0.5515
ZEB1	-0.8405
ZG16	4.31775
MIER1	-0.2186
ADAM5P	0.22
CHD9	-0.7538125
STK16	0.81175
KIAA1486	-0.9665
TOB2	0.180333333333333
BANK1	3.02025
OR2V2	0.14125
GRM2	0.116166666666667
PROSC	1.333375
SPIN2B	1.388
PIR	-1.58911111111111
IPO9	-0.559888888888889
EVC	-0.7545
CXCL13	4.131
KIAA1199	1.0247
SORL1	1.8755
NAT10	0.154
CHD1	-0.5915
SYN3	3.0985
SLC22A2	0.5855
SERPINF1	-0.282
WDR34	-1.039
OR7A17	0.17075
C9orf11	-0.83
RNF216L	-0.3191
LHB	0.243
STK25	0.96775
TAOK3	1.10725
LOC152573	-0.19225
C3orf39	-0.392875
C14orf108	0.0843
CDC25B	-0.650272727272727
BMP3	-0.078
TMEM180	0.4035
MAP1LC3C	0.13775
CRYGC	-0.7725
POU3F1	-1.57255555555556
C20orf32	-1.403
CCDC95	0.123
HIGD1B	3.3535
USP6NL	1.523375
ABCD4	-0.512833333333333
DIMT1L	-0.502916666666667
TEK	0.403375
SLC25A46	0.138
LARP7	-2.0387
CD160	0.00800000000000001
MT1JP	-2.02883333333333
PHF20	-0.532375
CPNE4	-1.321
GTPBP1	-0.577857142857143
RAB33B	0.8855
ALDOC	-1.433
ZNF212	-0.2545
NUDT1	-0.774666666666667
RFPL2	-2.0985
ZNF83	-0.925666666666667
GDPD5	1.71825
PDCD4	0.68125
CEP350	-0.87225
OR10A2	0.116
CST7	0.5265
CIAO1	-0.23975
SELL	1.317375
OR8J3	-0.269
LTBP4	0.6955
SIRT6	1.05725
CCL19	3.337
PPIL1	-0.8205
GBP7	0.440333333333333
STK17A	-0.8072
ABR	1.2475
OR9G1	-0.131
FOXE1	-0.571375
CNGA3	0.8955
GML	0.2205
CD38	-2.05975
ZDHHC6	0.875666666666667
NEFH	-3.298
CTDSP2	0.830833333333333
PGBD5	-0.19
CCNY	0.802142857142857
RMND5B	-0.536
ZNF257	0.09825
FLJ22167	0.86175
EXOSC7	-0.348
ROR2	0.31525
MAOA	3.157625
TNNT3	-0.1625
GYPC	-1.979
C7orf33	0.7375
PLIN	0.357666666666667
LOC90826	-0.6485
RNF4	-0.6736
F8A1	0.7195
PLEKHG4	-0.4895
GRB2	0.15465
HIST1H2AD	-1.2625
DUS3L	0.445333333333333
EIF1	0.171333333333333
RP5-1077B9.4	-0.756333333333333
FPGT	0.74875
GDF10	2.96283333333333
COQ9	0.39425
GCC2	-0.400214285714286
RARRES3	1.2185
PLXNA1	-0.0458
KIAA0100	-0.7919
PMF1	0.094
FNDC1	6.0015
HS2ST1	0.488583333333333
CRELD2	-0.46275
C8G	-1.6945
CD82	0.2605
LIM2	-1.1895
UNQ6490	0.6505
MMP16	-0.31825
DRD3	0.58025
C5orf26	-0.89975
C11orf73	-0.319
PTP4A2	-0.290875
OR4M2	0.554
HPCA	0.565166666666667
SEC14L1	-1.1265
CHFR	-0.16575
EMILIN1	0.938
NDUFS4	-1.047
COL18A1	-1.123375
PDZD3	4.1597
C9orf16	0.377666666666667
ERBB2IP	-0.270666666666667
EMX2	-0.543
FUS	-0.6175
TF	-4.8471
CLCN4	-0.307833333333333
CXorf56	1.5245
C11orf72	0.43475
ELAC2	-1.41783333333333
NPR1	-1.2155
ASS1	1.53383333333333
USP42	-0.26
POLR2J	-0.3515
SEC23IP	0.0693333333333334
UQCRC1	0.62775
LOC729603	-0.23325
C1orf71	-0.870875
POLG	-1.5965
ADAM23	-3.7665
TFR2	-0.335
RICTOR	-1.1947
MGC39606	0.944
C19orf55	-0.63
SNAPC1	-2.72416666666667
GNA11	1.45525
CCDC52	0.671
FSIP1	-0.204
UPF3A	0.67775
IGSF11	-2.406
LAGE3	-0.6375
CHST6	-2.3415
UNC13B	0.8945
TTLL4	-0.070125
ZNF687	-0.290875
SDC2	-0.3791
COX7A2	-0.26275
LAMB4	-0.33075
FAM24A	-0.132
LRRTM3	-1.3406
GPHB5	0.5425
OR4C13	0.3235
EIF3EIP	0.226428571428571
HABP4	0.713
TMEM125	3.909
CNTN2	-0.2115
ASNSD1	0.0765
FUT4	2.408375
ACF	1.28075
LOC158381	0.175
CDH8	-0.07975
AGPS	-0.321333333333333
C4orf18	0.729875
PECI	-2.02541666666667
UNG	-0.149125
GSTP1	-3.195
DCUN1D5	-0.828333333333333
DKFZP564J0863	-0.629
SLC9A3R1	0.159375
BCDO2	-0.700125
CHMP7	0.7665
REM2	1.677
DNHD1	-1.21371428571429
FKBP4	-0.433875
ZNF350	0.7485
MGC11102	-0.14525
BST1	2.045
KISS1R	1.461
NCR2	0.1615
DEFB125	1.216
UBE2W	0.81575
KRT15	-0.20125
C10orf99	4.224
SCN11A	0.32875
GFI1	-2.01825
RDHE2	2.28533333333333
FHL1	-0.0526666666666667
OSGEP	-0.660666666666667
GATA1	-3.91416666666667
SMC6	-1.108
TTTY14	-0.82025
LPIN3	0.74375
RPL4	-0.658
RBPMS	0.1911
PRPF3	-0.531333333333333
EMR1	-1.8395
SPATA19	-0.024
XCR1	0.0005
IRX3	-2.1295
RBM6	-0.52025
KLF4	0.9978
UNC5CL	2.86525
SEBOX	0.0415
BTK	-0.88025
KRCC1	1.8845
C6orf27	0.5835
SYTL5	-0.1835
PRND	1.328125
LOC653319	-1.1625
PIGL	-0.421375
HUS1	0.735166666666667
SFRS6	2.02941666666667
C17orf77	0.6135
UIMC1	-0.628833333333333
FXYD2	-2.2524
LOC283152	0.02725
ZNF667	-1.78725
ZCCHC12	0.0505
TFEC	2.4172
ATP7B	1.488
POLD2	-0.206833333333333
RG9MTD1	0.15
ACOT2	-0.181666666666667
HIST1H4I	-1.129375
PPARGC1A	-0.3686
ETFA	-0.8711
POLRMT	-0.609
ZNF146	0.131625
MIA2	-1.3455
KLHL6	-1.17333333333333
HOXB5	1.485375
NENF	0.875166666666667
CUGBP1	-1.46575
PRSS22	2.41516666666667
CASC4	-0.0913
CUL4B	0.0864
CENPJ	-0.2518
PITX1	0.242
FLJ31033	0.692
CELSR3	-1.0365
ZNF568	-1.148
ITSN1	-1.04616666666667
EHBP1L1	-0.449666666666667
C19orf2	0.7985
DCTN1	0.1015
LIN28B	-3.865
TNKS2	-0.14875
C1QBP	-0.546625
CADPS2	0.725
SRMS	0.6355
GJA9	0.2855
MGC24975	-0.831166666666667
TRIM45	-3.19516666666667
TSP50	-0.146
TCP1	-0.71875
TMED7	0.044
CMA1	-0.2835
CENPL	0.153666666666667
PTCRA	-0.621
FST	-5.40375
VWCE	-2.485
PAWR	-0.71225
ABCC12	0.1685
LDLR	-0.1815
ASTN2	-0.1386
LOC441212	0.014875
GPATCH8	0.159
TANC2	-2.71833333333333
KIF4A	-0.5745
C18orf18	0.64875
PGM1	-0.35175
KIAA0258	1.04625
CPD	0.49875
SNCAIP	-0.058
DCT	-4.647
HLA-DOA	2.27831818181818
OR11L1	0.6995
UPK1B	-0.249
DNAJB4	-0.40275
UGT1A8	2.65225
HIST1H4L	-2.2455
PECR	-0.526333333333333
HSPA2	1.29
WFIKKN1	-2.733
SERP1	0.786625
SYDE2	-0.60525
TACR2	0.3555
NUP85	-0.217
CD177	0.584
LGR5	0.811166666666667
PIGG	-0.627833333333333
PTHR1	-2.6995
RAB5A	0.508
FLJ13224	-0.0595
USP9Y	-0.557833333333333
C7orf53	-0.776
LRP1B	-1.20675
XAF1	1.5229
ABCG8	-0.2175
ANKDD1A	-1.2415
DAND5	-2.0225
SPAG6	0.286833333333333
LINCR	1.7365
ZDHHC22	-1.76225
CCDC60	0.024
THOC7	-0.492666666666667
TCTA	1.0004
OR8K3	0.4305
NY-REN-7	-0.337666666666667
B2M	0.751
C6orf141	-1.982875
LPPR4	1.872
SQLE	-0.6355
SEPHS1	-0.0945
BTBD14B	-0.0445
PLRG1	-0.255
SPG7	-0.00412499999999999
ZNF614	-0.174666666666667
PARD6G	-0.000500000000000019
INPP5B	-1.0159
GRPEL2	0.02275
PPID	-1.0271
TRIM56	-0.34
UBE2J1	0.72
IL20RA	6.12975
LOC387856	-0.885
C1orf107	0.770416666666667
UTS2R	1.76025
C19orf22	1.38825
SAFB2	-0.70275
KIAA0652	0.80625
KLRG1	-1.2115
MS4A8B	4.43483333333333
FRAG1	1.5265
KIAA1546	-0.632
E2F4	0.9938
CLEC4M	-0.293
BTBD14A	-1.1665
KIAA0999	-0.166
GYPA	-4.5292
TAC1	2.7063
TRAIP	-0.449
KIAA0232	-0.4183
ERCC8	-1.1525
GPX4	0.244125
KIAA0368	-0.09475
GPR157	-0.42
CTAGE4	1.124
C9orf30	-0.604333333333333
OR52A1	0.684
HSP90B3P	-0.0405
ALG9	-0.7332
BTBD10	1.27625
SDK2	-0.54175
BAIAP3	-1.483
RABGGTB	-1.532625
ANKRD40	-0.211166666666667
KRT74	0.3505
CALCOCO2	0.978642857142857
SNCA	-3.74225
TMSL8	-4.36425
C2orf53	0.4155
ESRRB	-0.03325
ARHGAP26	-0.231125
TDRD9	-3.53675
HRAS	-0.0325
KLRC4	-2.005
JAGN1	0.406
BSDC1	-0.3235
RNF43	1.5875
NDUFAF1	-0.707
PHF12	0.23575
OR1L3	0.2625
FOLR2	2.07266666666667
LYZL6	0.0798333333333333
tcag7.1260	0.866
WSB1	-1.19666666666667
PROS1	0.3014
