Hybridization REF	TCGA-07-0249-20A-01R-0821-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.41575
CREB3L1	2.32775
RPS11	-0.769625
PNMA1	0.99275
MMP2	3.19566666666667
C10orf90	3.82775
ZHX3	0.849
ERCC5	1.30875
GPR98	-1.11775
RXFP3	0.7645
APBB2	0.7025
PRO0478	-1.401125
KLHL13	0.2655
PRSSL1	-0.828166666666667
PDCL3	-0.671166666666667
DECR1	-0.205875
SALL1	2.19516666666667
CADM4	0.113666666666667
RPS18	-1.10007142857143
HNRPD	-0.301583333333333
CFHR5	0.964833333333333
SLC10A7	0.225625
OR2K2	0.802
LMAN1	0.952375
SUHW1	-2.467
CHD8	-1.4534
SUMO1	0.292
GP1BA	-0.4619
DDB1	-0.672
MYO9B	0.4247
MMP7	4.021
CRNKL1	-0.853375
C9orf45	-1.89333333333333
XAB2	0.324625
RTN1	2.92471428571429
KLHL14	-0.7255
TBX10	-0.6255
CENPQ	-0.048
UTY	-0.660833333333333
ZBTB12	-0.0045
DTNBP1	-1.92725
KBTBD8	-0.854333333333333
ZEB1	0.441333333333333
ZG16	0.80175
MIER1	0.4038
ADAM5P	0.942
CHD9	-0.0233125
STK16	1.02325
KIAA1486	1.021
TOB2	-0.10175
BANK1	1.6515
OR2V2	-0.164
GRM2	0.19
PROSC	-0.3905
SPIN2B	0.22
PIR	-0.343
IPO9	-0.2068
EVC	2.05416666666667
CXCL13	0.221333333333333
KIAA1199	-0.2695
SORL1	-5.6915
NAT10	-0.51925
CHD1	-0.64775
SYN3	0.64875
SLC22A2	0.02425
SERPINF1	-4.755
WDR34	-0.911
OR7A17	0.2305
C9orf11	0.8525
RNF216L	0.1244
LHB	0.7065
STK25	-0.043125
TAOK3	1.217375
LOC152573	-2.8125
C3orf39	0.830625
C14orf108	0.273
CDC25B	-1.331
BMP3	0.5675
TMEM180	0.3405
MAP1LC3C	0.09175
CRYGC	-0.09
POU3F1	-1.0481
C20orf32	-0.598
CCDC95	0.6905
HIGD1B	-0.3185
USP6NL	-0.235625
ABCD4	-0.796
DIMT1L	0.197833333333333
TEK	0.24675
SLC25A46	0.28275
LARP7	-1.9474
CD160	0.186166666666667
MT1JP	3.4765
PHF20	-0.0211875
CPNE4	1.0815
GTPBP1	-0.680428571428571
RAB33B	0.8474
ALDOC	1.059375
ZNF212	-0.13525
NUDT1	-0.768
RFPL2	-1.25625
ZNF83	-6.20116666666667
GDPD5	-1.708125
PDCD4	0.1705
CEP350	-1.4175
OR10A2	0.47225
CST7	-0.918333333333333
CIAO1	0.5135
SELL	-0.373333333333333
OR8J3	0.3495
LTBP4	-0.019
SIRT6	0.38325
CCL19	0.39225
PPIL1	-1.9615
GBP7	0.494666666666667
STK17A	1.0844
ABR	1.4385
OR9G1	0.3155
FOXE1	0.37125
CNGA3	4.103
GML	0.2645
CD38	-2.578
ZDHHC6	0.596166666666667
NEFH	-4.875
CTDSP2	-0.25125
PGBD5	-1.94516666666667
CCNY	0.720571428571429
RMND5B	-0.182666666666667
ZNF257	-3.13525
FLJ22167	0.47725
EXOSC7	-0.3335
ROR2	-0.91925
MAOA	1.18275
TNNT3	-0.0603333333333333
GYPC	-0.645
C7orf33	1.859
PLIN	0.419333333333333
LOC90826	0.094
RNF4	0.2148
F8A1	-0.9845
PLEKHG4	-0.5875
GRB2	-0.0772
HIST1H2AD	-1.1365
DUS3L	-0.556333333333333
EIF1	0.0126666666666667
RP5-1077B9.4	-1.0625
FPGT	0.9335
GDF10	-1.928
COQ9	0.132
GCC2	-0.176928571428571
RARRES3	0.560875
PLXNA1	0.2011
KIAA0100	-0.0069
PMF1	-0.2715
FNDC1	0.049
HS2ST1	-0.0705833333333333
CRELD2	0.53975
C8G	-2.4035
CD82	3.348
LIM2	-0.7015
UNQ6490	0.863
MMP16	0.07725
DRD3	0.507
C5orf26	-1.21425
C11orf73	-0.599
PTP4A2	0.39875
OR4M2	-2.704
HPCA	1.1935
SEC14L1	-0.690666666666667
CHFR	-3.795
EMILIN1	-1.108375
NDUFS4	0.346
COL18A1	-3.4245
PDZD3	-0.2449
C9orf16	1.03533333333333
ERBB2IP	-0.232333333333333
EMX2	0.10275
FUS	-1.004
TF	-4.6188
CLCN4	1.682
CXorf56	-0.525
C11orf72	0.22375
ELAC2	-1.513
NPR1	-2.57775
ASS1	-0.0591666666666667
USP42	-0.736625
POLR2J	0.0415
SEC23IP	0.696
UQCRC1	1.043
LOC729603	-0.133
C1orf71	-0.69675
POLG	-1.493
ADAM23	0.24025
TFR2	-0.0195
RICTOR	-1.1954
MGC39606	0.17775
C19orf55	-0.145
SNAPC1	0.764666666666667
GNA11	0.540375
CCDC52	0.461166666666667
FSIP1	0.919
UPF3A	0.369875
IGSF11	-2.33616666666667
LAGE3	0.4195
CHST6	-1.4175
UNC13B	-1.02875
TTLL4	-0.86075
ZNF687	-0.42175
SDC2	0.4333
COX7A2	-0.719
LAMB4	0.193666666666667
FAM24A	0.719
LRRTM3	-0.8184
GPHB5	0.55875
OR4C13	0.1835
EIF3EIP	-0.100071428571429
HABP4	0.7975
TMEM125	-3.611
CNTN2	0.19675
ASNSD1	0.095
FUT4	-0.5325
ACF	-2.373
LOC158381	0.608
CDH8	-0.180333333333333
AGPS	-1.0605
C4orf18	-2.245625
PECI	-0.323
UNG	-0.450375
GSTP1	-0.64575
DCUN1D5	-1.0835
DKFZP564J0863	0.2785
SLC9A3R1	-1.7955
BCDO2	-1.189375
CHMP7	0.683375
REM2	-1.633
DNHD1	-0.029
FKBP4	-0.802125
ZNF350	-2.4275
MGC11102	0.88225
BST1	0.23425
KISS1R	0.435
