Hybridization REF	TCGA-AA-3818-01A-01R-0905-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.472916666666667
CREB3L1	1.5915
RPS11	1.937
PNMA1	-2.17875
MMP2	-1.117
C10orf90	-2.372
ZHX3	-0.450166666666667
ERCC5	0.16775
GPR98	-1.208625
RXFP3	0.876
APBB2	0.045
PRO0478	-1.328625
KLHL13	-2.5605
PRSSL1	0.344166666666667
PDCL3	0.59
DECR1	-0.157625
SALL1	-3.45316666666667
CADM4	0.521166666666667
RPS18	0.805214285714286
HNRPD	-0.981
CFHR5	0.2935
SLC10A7	0.174375
OR2K2	0.23
LMAN1	-0.911625
SUHW1	-1.784
CHD8	-1.2675
SUMO1	0.2556
GP1BA	-0.3374
DDB1	-1.17583333333333
MYO9B	0.1672
MMP7	7.34025
CRNKL1	0.473625
C9orf45	-2.315
XAB2	-0.102125
RTN1	0.175
KLHL14	-1.685625
TBX10	-0.438
CENPQ	-1.3845
UTY	-1.09564285714286
ZBTB12	-0.2705
DTNBP1	-0.018125
KBTBD8	0.680833333333333
ZEB1	-0.731333333333333
ZG16	5.2785
MIER1	0.411
ADAM5P	0.4715
CHD9	-0.5434375
STK16	1.1155
KIAA1486	-1.15
TOB2	0.772166666666667
BANK1	5.051
OR2V2	0.2775
GRM2	0.234833333333333
PROSC	0.469125
SPIN2B	1.1845
PIR	-0.8
IPO9	-0.6518
EVC	-1.81283333333333
CXCL13	4.14916666666667
KIAA1199	2.4517
SORL1	1.35425
NAT10	-0.2165
CHD1	-0.33575
SYN3	1.33475
SLC22A2	-0.6715
SERPINF1	-1.439
WDR34	-1.01225
OR7A17	0.344
C9orf11	-0.056
RNF216L	0.3502
LHB	0.2215
STK25	-0.310875
TAOK3	1.193375
LOC152573	-1.03375
C3orf39	0.204375
C14orf108	0.8798
CDC25B	-0.206909090909091
BMP3	0.3565
TMEM180	-0.279
MAP1LC3C	-0.3535
CRYGC	-0.795
POU3F1	-1.2652
C20orf32	-1.3145
CCDC95	-0.291
HIGD1B	3.56575
USP6NL	0.89325
ABCD4	-0.319666666666667
DIMT1L	-0.160083333333333
TEK	0.226
SLC25A46	-0.2825
LARP7	-1.4375
CD160	0.212666666666667
MT1JP	-1.59683333333333
PHF20	-0.6460625
CPNE4	-1.48175
GTPBP1	-0.777428571428571
RAB33B	1.112
ALDOC	-0.95775
ZNF212	-0.25775
NUDT1	-0.257833333333333
RFPL2	-0.398
ZNF83	-0.479
GDPD5	-0.16225
PDCD4	0.549
CEP350	-0.9215
OR10A2	0.328
CST7	0.1955
CIAO1	-0.683
SELL	0.335875
OR8J3	1.272
LTBP4	-0.1745
