Hybridization REF	TCGA-A6-2685-11A-01R-1758-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.162666666666667
CREB3L1	2.5115
RPS11	0.564625
PNMA1	-1.32025
MMP2	-0.4505
C10orf90	-2.21166666666667
ZHX3	-0.788
ERCC5	0.7975
GPR98	-0.8355
RXFP3	0.4095
APBB2	-0.35675
PRO0478	-1.041375
KLHL13	-1.3175
PRSSL1	-1.042
PDCL3	0.192166666666667
DECR1	1.23275
SALL1	-1.79616666666667
CADM4	-0.753333333333333
RPS18	-0.113428571428571
HNRPD	-0.581833333333333
CFHR5	0.5874
SLC10A7	0.283625
OR2K2	-0.865
LMAN1	-0.988875
SUHW1	-4.09075
CHD8	-0.3069
SUMO1	-0.0657
GP1BA	1.2398
DDB1	-0.543
MYO9B	0.2585
MMP7	-0.66475
CRNKL1	0.15225
C9orf45	-1.1795
XAB2	0.236125
RTN1	1.74975
KLHL14	-1.38775
TBX10	2.6435
CENPQ	-1.74875
UTY	-1.94392857142857
ZBTB12	-0.201
DTNBP1	0.151
KBTBD8	-0.2145
ZEB1	-0.606666666666667
ZG16	5.46775
MIER1	1.5474
ADAM5P	-0.211
CHD9	0.1225625
STK16	0.97425
KIAA1486	-0.4405
TOB2	0.498416666666667
BANK1	3.49725
OR2V2	0.394
GRM2	0.2765
PROSC	1.73425
SPIN2B	0.238
PIR	-2.32244444444444
IPO9	-0.5558
EVC	-1.025
CXCL13	3.39316666666667
KIAA1199	-3.1564
SORL1	1.6175
NAT10	-0.27025
CHD1	-0.31925
SYN3	-0.34175
SLC22A2	0.2035
SERPINF1	-1.06166666666667
WDR34	-0.53225
OR7A17	0.651
C9orf11	1.5055
RNF216L	-0.5883
LHB	0.24
STK25	0.17425
TAOK3	1.98975
LOC152573	-0.08225
C3orf39	-0.71875
C14orf108	1.7809
CDC25B	-1.39890909090909
BMP3	5.3375
TMEM180	0.1875
MAP1LC3C	-0.17525
CRYGC	-0.486
POU3F1	-1.1803
C20orf32	-1.4245
CCDC95	-0.0935
HIGD1B	2.56525
USP6NL	-0.2135
ABCD4	0.3075
DIMT1L	-0.926
TEK	1.223
SLC25A46	-0.13375
LARP7	-1.2682
CD160	3.01933333333333
MT1JP	1.89533333333333
PHF20	-0.9638125
CPNE4	-0.086
GTPBP1	0.0897857142857143
RAB33B	0.4265
ALDOC	-1.541625
