Hybridization REF	TCGA-AA-3549-01A-02R-0821-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.258666666666667
CREB3L1	1.5545
RPS11	1.196625
PNMA1	-1.68675
MMP2	-0.091
C10orf90	-1.52925
ZHX3	-0.234666666666667
ERCC5	1.57825
GPR98	-0.0595000000000001
RXFP3	0.079
APBB2	-0.97475
PRO0478	-0.963
KLHL13	1.49775
PRSSL1	-0.04
PDCL3	0.5355
DECR1	-0.259375
SALL1	-1.5755
CADM4	-0.417166666666667
RPS18	1.11578571428571
HNRPD	-1.06116666666667
CFHR5	-0.0826666666666667
SLC10A7	-0.00250000000000001
OR2K2	0.0205
LMAN1	-1.384875
SUHW1	-1.74875
CHD8	-0.7113
SUMO1	-0.1485
GP1BA	-0.0518
DDB1	-0.589833333333333
MYO9B	-0.3309
MMP7	4.15025
CRNKL1	0.452125
C9orf45	-0.758
XAB2	-0.1925
RTN1	0.616125
KLHL14	-0.431857142857143
TBX10	1.95
CENPQ	-0.95975
UTY	-0.184076923076923
ZBTB12	-0.459
DTNBP1	0.564625
KBTBD8	0.549166666666667
ZEB1	-1.09066666666667
ZG16	4.23575
MIER1	-0.00170000000000001
ADAM5P	0.5305
CHD9	-0.106875
STK16	0.484
KIAA1486	0.235
TOB2	1.006
BANK1	1.1945
OR2V2	1.18875
GRM2	0.132166666666667
PROSC	0.145125
SPIN2B	1.216
PIR	-1.38544444444444
IPO9	-0.3114
EVC	-1.25683333333333
CXCL13	1.96183333333333
KIAA1199	1.7389
SORL1	2.04425
NAT10	0.3815
CHD1	0.13725
SYN3	1.133
SLC22A2	0.37125
SERPINF1	-1.0925
WDR34	-0.71325
OR7A17	1.6245
C9orf11	-0.277
RNF216L	-0.3941
LHB	-0.2345
STK25	-0.16125
TAOK3	1.0055
LOC152573	-1.76
C3orf39	-0.741125
C14orf108	0.553
CDC25B	1.89854545454545
BMP3	1.953
TMEM180	-0.0705
MAP1LC3C	0.2995
