Hybridization REF	TCGA-A6-3808-01A-01R-1022-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.7745
CREB3L1	1.3045
RPS11	0.80175
PNMA1	-0.66125
MMP2	0.485833333333333
C10orf90	-3.0165
ZHX3	-0.8715
ERCC5	0.08425
GPR98	-1.32475
RXFP3	0.7805
APBB2	0.95525
PRO0478	-0.971875
KLHL13	-1.42975
PRSSL1	-0.669
PDCL3	0.5445
DECR1	0.637125
SALL1	-2.76716666666667
CADM4	-0.465166666666667
RPS18	0.630785714285714
HNRPD	-0.452916666666667
CFHR5	1.03233333333333
SLC10A7	0.279375
OR2K2	0.00650000000000001
LMAN1	-0.206
SUHW1	-2.3355
CHD8	-1.049
SUMO1	0.4354
GP1BA	0.417
DDB1	-0.728666666666667
MYO9B	-0.4215
MMP7	6.517
CRNKL1	0.036375
C9orf45	-1.94483333333333
XAB2	-0.877
RTN1	0.9985
KLHL14	-1.40657142857143
TBX10	0.0215
CENPQ	-0.3005
UTY	1.776
ZBTB12	0.058
DTNBP1	-0.00637499999999999
KBTBD8	0.969833333333333
ZEB1	1.4375
ZG16	5.2185
MIER1	1.2144
ADAM5P	-0.232
CHD9	-0.00825000000000002
STK16	1.037
KIAA1486	-0.4775
TOB2	0.80675
BANK1	4.26675
OR2V2	0.05125
GRM2	-0.0404
PROSC	0.40525
SPIN2B	0.433
PIR	-1.45533333333333
IPO9	-0.5633
EVC	-0.575
CXCL13	4.98016666666667
KIAA1199	2.2821
SORL1	0.2765
NAT10	-0.04175
CHD1	-0.16175
SYN3	0.027
SLC22A2	-0.33125
SERPINF1	0.046
WDR34	-1.05125
OR7A17	0.42675
C9orf11	-0.305
RNF216L	-0.5924
LHB	0.013
STK25	-0.176375
TAOK3	0.885125
LOC152573	0.74975
C3orf39	-0.48525
C14orf108	0.8482
CDC25B	-1.06963636363636
BMP3	1.152
TMEM180	0.092
MAP1LC3C	-0.745
CRYGC	-0.859
POU3F1	-1.2607
C20orf32	-0.679
CCDC95	-0.238
HIGD1B	3.22075
USP6NL	0.90825
ABCD4	0.0573333333333333
DIMT1L	-0.275583333333333
TEK	1.22375
SLC25A46	0.57375
LARP7	-1.1709
CD160	0.243
MT1JP	0.313666666666667
PHF20	-0.729625
CPNE4	-0.82575
GTPBP1	-0.878785714285714
RAB33B	1.38633333333333
ALDOC	-0.943125
ZNF212	-0.7895
NUDT1	-0.917166666666667
RFPL2	-1.25833333333333
ZNF83	-0.399166666666667
GDPD5	-0.949
PDCD4	0.2551
CEP350	-0.68425
OR10A2	0.59325
CST7	1.27925
CIAO1	-0.5405
SELL	1.889625
OR8J3	1.2065
LTBP4	-0.123
SIRT6	0.1295
CCL19	4.78925
PPIL1	-0.264
GBP7	0.0601666666666667
STK17A	-0.4902
ABR	0.73175
OR9G1	-0.177
FOXE1	-0.894625
CNGA3	1.5605
GML	-0.423
CD38	-1.11425
ZDHHC6	-0.169833333333333
NEFH	-2.89125
CTDSP2	0.0469166666666667
PGBD5	-1.72816666666667
CCNY	0.473142857142857
RMND5B	-0.266833333333333
ZNF257	0.121
FLJ22167	-0.117125
EXOSC7	0.0216666666666667
ROR2	0.222875
MAOA	2.959625
TNNT3	0.202666666666667
GYPC	-1.41175
C7orf33	0.3745
PLIN	0.158
LOC90826	0.0295
RNF4	-0.4294
F8A1	-0.227833333333333
PLEKHG4	-1.2695
GRB2	-0.10875
HIST1H2AD	-1.04625
DUS3L	0.266166666666667
EIF1	-0.497166666666667
RP5-1077B9.4	-0.8445
FPGT	1.5305
GDF10	-0.2195
COQ9	0.23625
GCC2	-0.0241428571428572
RARRES3	2.058625
PLXNA1	-0.5847
KIAA0100	-0.5901
PMF1	-0.025
FNDC1	5.15325
HS2ST1	0.08375
CRELD2	0.6855
C8G	-1.7595
CD82	-0.27
LIM2	-0.752
UNQ6490	0.265
MMP16	-0.69375
DRD3	-0.10325
C5orf26	-0.459
C11orf73	0.00612499999999999
PTP4A2	0.2025
OR4M2	1.438
HPCA	-1.03983333333333
SEC14L1	-1.12733333333333
CHFR	0.29
EMILIN1	0.57475
NDUFS4	-0.10875
COL18A1	-1.100125
PDZD3	1.57788888888889
C9orf16	0.147666666666667
ERBB2IP	-0.168
EMX2	1.3675
FUS	-1.6805
TF	-3.9187
CLCN4	0.469166666666667
CXorf56	0.4825
C11orf72	0.49975
ELAC2	-0.897
NPR1	-0.815
ASS1	0.531833333333333
USP42	-0.5485
POLR2J	-0.4855
SEC23IP	0.058
UQCRC1	0.6665
LOC729603	-0.21325
C1orf71	-0.430625
POLG	-1.9475
ADAM23	-2.53175
TFR2	-1.00325
RICTOR	-0.8831
MGC39606	-0.058
C19orf55	-0.50975
SNAPC1	-1.06866666666667
GNA11	0.379125
CCDC52	0.145833333333333
FSIP1	-0.3035
UPF3A	-0.238
IGSF11	-2.2186
LAGE3	-0.79475
CHST6	-1.193
UNC13B	0.369875
TTLL4	-0.925375
ZNF687	-0.64225
SDC2	-0.2163
COX7A2	0.6295
LAMB4	-0.31025
FAM24A	-0.2035
LRRTM3	-0.650166666666667
GPHB5	0.33225
OR4C13	-0.1905
EIF3EIP	0.3
HABP4	-0.438
TMEM125	3.953
CNTN2	-0.00062499999999998
ASNSD1	-0.08775
FUT4	2.028375
ACF	0.454
LOC158381	0.4555
CDH8	-0.64075
AGPS	0.266833333333333
C4orf18	1.76575
PECI	-0.335
UNG	-0.199
GSTP1	-0.00199999999999999
DCUN1D5	-0.393666666666667
DKFZP564J0863	-0.1065
SLC9A3R1	-1.29975
BCDO2	-0.931125
CHMP7	-0.047875
REM2	0.2325
DNHD1	-0.642
FKBP4	-1.23375
ZNF350	1.5375
MGC11102	-0.091375
BST1	1.705
KISS1R	1.0855
NCR2	0.3535
DEFB125	1.16
UBE2W	1.1405
KRT15	-1.957125
C10orf99	3.263
SCN11A	0.175142857142857
GFI1	-0.48575
RDHE2	3.5645
FHL1	0.309666666666667
OSGEP	0.710666666666667
GATA1	-2.89
SMC6	-0.68875
TTTY14	0.134
LPIN3	-0.3415
RPL4	-0.4427
RBPMS	-0.0792
PRPF3	-0.671833333333333
EMR1	-1.915
SPATA19	0.27225
XCR1	0.1985
IRX3	-0.5015
RBM6	-0.59425
KLF4	1.4116
UNC5CL	1.46875
SEBOX	0.295
BTK	-0.297
KRCC1	1.63475
C6orf27	0.265
SYTL5	-0.882
PRND	2.168625
LOC653319	-1.234
PIGL	-0.644625
HUS1	0.284666666666667
SFRS6	-0.0305
C17orf77	0.524
UIMC1	0.0883333333333333
FXYD2	-1.6809
LOC283152	-0.06525
ZNF667	-1.53475
ZCCHC12	0.63925
TFEC	2.2502
ATP7B	0.283166666666667
POLD2	-1.451
RG9MTD1	0.49575
ACOT2	-0.193833333333333
HIST1H4I	-0.337
PPARGC1A	0.5582
ETFA	0.5923
POLRMT	-0.65225
ZNF146	-0.204625
MIA2	0.4415
KLHL6	-0.723333333333333
HOXB5	1.88125
NENF	0.627166666666667
CUGBP1	-0.03425
PRSS22	1.698
CASC4	1.0842
CUL4B	0.0058
CENPJ	-1.2459
PITX1	-0.0393333333333333
FLJ31033	0.480666666666667
CELSR3	-0.0595
ZNF568	0.07
ITSN1	-0.481909090909091
EHBP1L1	-0.510666666666667
C19orf2	-0.44
DCTN1	-1.113
LIN28B	-3.17616666666667
TNKS2	-0.23375
C1QBP	0.735375
CADPS2	1.69575
SRMS	0.524333333333333
GJA9	0.5
MGC24975	-0.806666666666667
TRIM45	-1.77633333333333
TSP50	-0.354
TCP1	-0.8055
TMED7	0.9725
CMA1	2.6155
CENPL	-0.651166666666667
PTCRA	0.219
FST	-3.93675
VWCE	-2.338
PAWR	0.96625
ABCC12	0.3742
LDLR	-0.0225
ASTN2	0.5123
LOC441212	-0.414125
GPATCH8	-0.1985
TANC2	-1.04258333333333
KIF4A	-1.22875
C18orf18	1.192
PGM1	-0.577
KIAA0258	0.13225
CPD	0.124375
SNCAIP	-0.23825
DCT	-3.65066666666667
HLA-DOA	2.32845454545455
OR11L1	0.671
UPK1B	-0.3605
DNAJB4	0.066625
UGT1A8	1.92975
HIST1H4L	0.076
PECR	-0.563833333333333
HSPA2	1.897
WFIKKN1	-3.1385
SERP1	0.5935
SYDE2	0.662
TACR2	1.67
NUP85	-0.5675
CD177	0.073
LGR5	1.99966666666667
PIGG	-0.146416666666667
PTHR1	-1.4975
RAB5A	-0.0228
FLJ13224	-0.4555
USP9Y	0.639333333333333
C7orf53	-0.9435
LRP1B	-0.8755
XAF1	1.7723
ABCG8	-1.2595
ANKDD1A	-0.192666666666667
DAND5	-1.0105
SPAG6	-4.62592926927149e-18
LINCR	0.8135
ZDHHC22	-1.00175
CCDC60	0.855
THOC7	-0.756333333333333
TCTA	0.4593
OR8K3	-0.01425
NY-REN-7	-0.6285
B2M	1.7405
C6orf141	-1.286625
LPPR4	2.37775
SQLE	-1.040625
SEPHS1	-0.37025
BTBD14B	0.163071428571429
PLRG1	0.1605
SPG7	-0.5141875
ZNF614	1.068
PARD6G	0.494166666666667
INPP5B	-1.1747
GRPEL2	0.491375
PPID	-0.5004
TRIM56	-0.8
UBE2J1	0.841
IL20RA	5.37525
LOC387856	0.439
C1orf107	0.235083333333333
UTS2R	0.98925
C19orf22	0.511
SAFB2	-0.1985
KIAA0652	-0.15825
KLRG1	-0.707833333333333
MS4A8B	3.93916666666667
FRAG1	0.6435
KIAA1546	0.52025
E2F4	-0.6469
CLEC4M	0.755166666666667
BTBD14A	0.0465
KIAA0999	-0.1307
GYPA	-3.53883333333333
TAC1	3.1397
TRAIP	-0.890333333333333
KIAA0232	0.6216
ERCC8	-0.166375
GPX4	-0.377375
KIAA0368	-0.463
GPR157	-0.554833333333333
CTAGE4	0.816
C9orf30	-0.527166666666667
OR52A1	1.0175
HSP90B3P	0.037
ALG9	-0.4147
BTBD10	1.15375
SDK2	-0.19225
BAIAP3	-1.85525
RABGGTB	-0.929375
ANKRD40	-0.364
KRT74	0.453
CALCOCO2	0.336285714285714
SNCA	-2.494
TMSL8	-2.992625
C2orf53	0.592
ESRRB	-0.273
ARHGAP26	0.375875
TDRD9	-2.73275
HRAS	-0.139333333333333
KLRC4	-1.7815
JAGN1	-0.127
BSDC1	-0.01575
RNF43	1.5874
NDUFAF1	0.72
PHF12	-0.17975
OR1L3	0.39025
FOLR2	2.62758333333333
LYZL6	-0.4892
tcag7.1260	0.085
WSB1	-0.982166666666667
PROS1	-0.2665
OSTN	0.8255
PSMB8	2.149
SOCS4	0.150625
DDIT4L	2.776
MAS1	0.166
MGC34796	1.0505
CSHL1	-0.142666666666667
TBCCD1	-0.8735
ZBTB7C	0.022
AP2S1	-0.089875
P15RS	0.4312
VAT1	-1.1917
SHANK3	0.8115
TUFM	0.253833333333333
THEG	0.0745
KRT34	-0.38225
SGSM3	-0.35875
TOMM22	0.565125
SOCS3	1.37166666666667
CPO	-0.5275
POP4	0.761
BHLHB3	0.67075
MALL	2.73525
OR1B1	-0.674
PARK2	-0.0908333333333334
GPR124	0.56775
LCE1E	0.607
RUVBL2	-0.35575
CGRRF1	0.5968
ACPL2	0.4425
WNT10B	-1.738875
BAIAP2L2	0.807625
ISCA1	0.4415
C1orf125	3.64125
RPAP1	-0.89925
RAI16	-0.507833333333333
RPL27	0.332625
NLRP9	0.1735
EPN1	-0.079
LOC388610	-1.2335
SLC35A1	1.2684
GAL	-1.9265
SLC14A2	0.6435
RDH11	0.00566666666666666
FAM138F	0.035
AUH	0.3835
FLJ40243	0.849666666666667
C14orf129	2.19116666666667
MBD2	-0.314166666666667
ABHD14B	0.577125
PIGT	-0.09675
ALS2CR4	-0.631625
ALAS1	0.4897
FOXO1	0.553666666666667
CRLF3	-0.16975
C20orf107	-0.431
FARS2	-0.1545
CCDC28A	0.7095
NPHP3	-0.9215
OR13F1	0.725
TSEN54	-0.738
DEFB106B	0.488222222222222
OR8B4	0.5665
STH	-1.162
ZC3H14	-0.240375
CBX2	-0.2865
TMEM49	-0.5985
C6orf21	0.6865
FLJ20920	-1.140125
CRTAP	-0.411928571428571
DDX50	-0.16725
STYXL1	-0.4965
BLVRB	-0.536166666666667
LOC147650	-1.14466666666667
MMP24	-0.1875
GRID1	1.00083333333333
BANF1	-0.1605
CTAGEP	0.424
HMBS	-0.71125
SLC25A24	0.840333333333333
C14orf50	2.87975
MRO	1.15083333333333
SLC25A15	-0.09
FAM84B	0.2596
TDP1	-0.262
C16orf78	0.165
C11orf57	0.366
RFK	0.848625
ZFYVE9	-0.80225
STCH	-0.6788
WIBG	0.789
LOC283871	-0.581166666666667
GBA2	-0.8427
NDUFB3	0.3435
HSD17B13	-0.62925
GRIN3A	1.51466666666667
