Hybridization REF	TCGA-A6-3809-01A-01R-1022-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.587916666666667
CREB3L1	1.65775
RPS11	0.87875
PNMA1	0.248
MMP2	0.488666666666667
C10orf90	-2.18325
ZHX3	-1.23866666666667
ERCC5	-0.11075
GPR98	-1.602375
RXFP3	0.0945
APBB2	-0.21275
PRO0478	-1.97175
KLHL13	-4.0185
PRSSL1	-0.496666666666667
PDCL3	0.814333333333333
DECR1	-0.702875
SALL1	-3.8152
CADM4	-0.482666666666667
RPS18	0.657642857142857
HNRPD	-0.18
CFHR5	0.749166666666667
SLC10A7	0.8195
OR2K2	2.3355
LMAN1	-0.214125
SUHW1	-3.05675
CHD8	-1.5719
SUMO1	0.3032
GP1BA	0.1815
DDB1	-0.986333333333333
MYO9B	-0.2419
MMP7	7.25925
CRNKL1	0.280625
C9orf45	-2.26916666666667
XAB2	0.418625
RTN1	1.238625
KLHL14	-1.02371428571429
TBX10	-0.21
CENPQ	-0.53375
UTY	-1.342
ZBTB12	0.0735
DTNBP1	-0.155875
KBTBD8	1.33566666666667
ZEB1	-1.67333333333333
ZG16	4.85425
MIER1	0.4173
ADAM5P	-0.099
CHD9	-1.1020625
STK16	0.55625
KIAA1486	-0.746
TOB2	0.781083333333333
BANK1	2.86025
OR2V2	0.02675
GRM2	-0.00549999999999999
PROSC	-0.601875
SPIN2B	0.07275
PIR	-2.97088888888889
IPO9	-0.197
EVC	-1.56133333333333
CXCL13	7.01283333333333
KIAA1199	-0.363
SORL1	-0.43175
NAT10	0.236
CHD1	-0.14225
SYN3	-1.09775
SLC22A2	-0.36625
SERPINF1	-1.059
WDR34	-0.409
OR7A17	0.248
C9orf11	0.098
RNF216L	-0.6557
LHB	0.5725
STK25	0.226875
TAOK3	1.310625
LOC152573	-1.2615
C3orf39	0.314375
C14orf108	0.7113
CDC25B	0.260818181818182
BMP3	-1.044
TMEM180	-0.169
MAP1LC3C	-0.4915
CRYGC	-2.024
POU3F1	-1.2688
C20orf32	-0.432
CCDC95	-0.058
HIGD1B	2.69775
USP6NL	0.493625
ABCD4	0.0941666666666667
DIMT1L	-0.0915833333333333
TEK	0.40225
SLC25A46	0.02175
LARP7	-2.1657
CD160	0.755333333333333
MT1JP	1.36516666666667
PHF20	-1.146
