Hybridization REF	TCGA-07-0249-20A-01R-1022-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.573833333333333
CREB3L1	2.0175
RPS11	-0.725125
PNMA1	1.48825
MMP2	2.76883333333333
C10orf90	3.03675
ZHX3	0.909
ERCC5	1.16825
GPR98	-0.82725
RXFP3	0.8235
APBB2	0.7345
PRO0478	-1.36075
KLHL13	0.4585
PRSSL1	-0.669666666666667
PDCL3	-0.375333333333333
DECR1	-0.206
SALL1	2.103
CADM4	0.549833333333333
RPS18	-0.962857142857143
HNRPD	-0.12625
CFHR5	0.726
SLC10A7	0.4035
OR2K2	-0.2575
LMAN1	1.321625
SUHW1	-2.54075
CHD8	-1.5276
SUMO1	0.4577
GP1BA	-0.5488
DDB1	-0.520166666666667
MYO9B	0.5401
MMP7	4.51
CRNKL1	-0.70975
C9orf45	-2.1545
XAB2	0.25825
RTN1	2.672375
KLHL14	-0.831875
TBX10	-1.2755
CENPQ	0.167
UTY	-0.195714285714286
ZBTB12	-0.1065
DTNBP1	-1.883
KBTBD8	-0.587833333333333
ZEB1	1.37416666666667
ZG16	-1.603
MIER1	0.7204
ADAM5P	-0.4515
CHD9	0.2126875
STK16	0.971
KIAA1486	-1.0055
TOB2	0.2165
BANK1	2.853
OR2V2	0.20825
GRM2	0.157166666666667
PROSC	-0.287625
SPIN2B	0.19825
PIR	-0.215222222222222
IPO9	-0.4391
EVC	2.2625
CXCL13	0.310333333333333
KIAA1199	-0.319
SORL1	-5.477
NAT10	-0.63475
CHD1	-0.582
SYN3	0.098
SLC22A2	-0.2875
SERPINF1	-4.017
WDR34	-1.04825
OR7A17	0.55375
C9orf11	-0.5515
RNF216L	0.2043
LHB	0.7345
STK25	-0.1895
TAOK3	1.205375
LOC152573	-3.43875
C3orf39	1.006875
C14orf108	0.4644
CDC25B	-1.36254545454545
BMP3	0.684
TMEM180	0.2915
MAP1LC3C	0.65725
CRYGC	-0.5915
POU3F1	-1.4715
C20orf32	-1.687
CCDC95	0.078
HIGD1B	0.63375
USP6NL	0.00637499999999999
ABCD4	-0.4995
DIMT1L	0.169166666666667
TEK	0.3795
SLC25A46	0.58475
LARP7	-1.3259
CD160	-0.231333333333333
MT1JP	3.05066666666667
PHF20	0.0438125
CPNE4	1.261
GTPBP1	-0.794928571428571
RAB33B	0.904833333333333
ALDOC	0.76225
ZNF212	-0.17225
NUDT1	-0.706333333333333
RFPL2	-1.239
ZNF83	-5.59683333333333
GDPD5	-2.114125
PDCD4	0.2061
CEP350	-0.923
OR10A2	-0.58225
CST7	-2.4705
CIAO1	0.24225
SELL	0.268714285714286
OR8J3	0.1375
LTBP4	-0.166333333333333
SIRT6	0.21175
CCL19	0.7175
PPIL1	-1.255
GBP7	0.166
STK17A	1.2988
ABR	1.5545
OR9G1	0.58
FOXE1	-0.6725
CNGA3	3.3255
GML	0.5765
CD38	-2.57225
ZDHHC6	0.528333333333333
NEFH	-3.82275
CTDSP2	-0.246583333333333
PGBD5	-2.088
CCNY	0.9305
RMND5B	-0.4595
ZNF257	-4.384
FLJ22167	0.733875
EXOSC7	-0.178333333333333
ROR2	-1.5365
MAOA	1.268875
TNNT3	-0.383
GYPC	-0.764
C7orf33	0.6755
PLIN	0.2575
LOC90826	0.04875
RNF4	0.234
F8A1	-1.029
PLEKHG4	-0.20975
GRB2	0.046
HIST1H2AD	-1.24575
DUS3L	-0.607333333333333
EIF1	0.315
RP5-1077B9.4	-1.31783333333333
FPGT	1.447
GDF10	-1.466
COQ9	-0.26275
GCC2	0.0986428571428572
RARRES3	0.35625
PLXNA1	0.3885
KIAA0100	0.0327
PMF1	-0.81475
FNDC1	-0.00725
HS2ST1	-0.3125
CRELD2	0.40425
C8G	-1.9975
CD82	2.92175
LIM2	-0.6835
UNQ6490	0.499
MMP16	0.92375
DRD3	0.06075
C5orf26	-1.1905
C11orf73	-0.232625
PTP4A2	0.600625
OR4M2	0.5165
HPCA	1.07866666666667
SEC14L1	-0.579166666666667
CHFR	-4.20375
EMILIN1	-1.12275
NDUFS4	0.42075
COL18A1	-3.433
PDZD3	-0.3205
C9orf16	0.456833333333333
