Hybridization REF	TCGA-AA-A00Z-01A-01R-A002-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.05275
CREB3L1	0.6955
RPS11	0.567625
PNMA1	-1.9105
MMP2	-0.663666666666667
C10orf90	-1.93025
ZHX3	-0.0698333333333333
ERCC5	-0.13625
GPR98	-0.885125
RXFP3	0.397
APBB2	-0.301
PRO0478	-0.207375
KLHL13	2.075
PRSSL1	-0.249333333333333
PDCL3	0.569
DECR1	0.33475
SALL1	-1.94016666666667
CADM4	-0.967
RPS18	0.336
HNRPD	-0.40925
CFHR5	0.149833333333333
SLC10A7	0.433625
OR2K2	0.046
LMAN1	-1.174875
SUHW1	-2.3345
CHD8	-0.9958
SUMO1	0.1762
GP1BA	-0.1582
DDB1	-0.537833333333333
MYO9B	0.2497
MMP7	7.54775
CRNKL1	1.051875
C9orf45	-0.792
XAB2	0.1245
RTN1	0.312625
KLHL14	-1.666125
TBX10	1.317
CENPQ	-0.49775
UTY	1.78057142857143
ZBTB12	0.0145
DTNBP1	0.1545
KBTBD8	0.619833333333333
ZEB1	-0.645666666666667
ZG16	5.41075
MIER1	0.3362
ADAM5P	0.3665
CHD9	-0.3885
STK16	0.3165
KIAA1486	-0.2785
TOB2	0.637083333333333
BANK1	3.286
OR2V2	0.079
GRM2	0.0191666666666667
PROSC	0.751625
SPIN2B	1.332
PIR	-0.571444444444444
IPO9	-0.5394
EVC	-1.36683333333333
CXCL13	1.20966666666667
KIAA1199	1.3983
SORL1	0.9545
NAT10	0.30175
CHD1	-0.00325
SYN3	1.42825
SLC22A2	-0.062
SERPINF1	-1.75033333333333
WDR34	-0.202
OR7A17	0.1645
C9orf11	-0.043
RNF216L	-0.323
LHB	-0.006
STK25	-0.382125
TAOK3	0.709625
LOC152573	-1.28625
C3orf39	-0.130375
C14orf108	0.4771
CDC25B	1.08372727272727
BMP3	0.5555
TMEM180	0.0135
MAP1LC3C	-0.2525
CRYGC	0.1805
POU3F1	-1.2881
C20orf32	-1.267
CCDC95	-0.24
HIGD1B	2.2335
USP6NL	-0.252125
ABCD4	-0.451
DIMT1L	-0.0705833333333333
TEK	0.207125
SLC25A46	0.09475
LARP7	-1.2012
CD160	0.0305
MT1JP	-0.669166666666667
PHF20	-0.05425
CPNE4	-1.3965
GTPBP1	-0.573
RAB33B	0.488166666666667
ALDOC	-1.563
ZNF212	-0.57925
NUDT1	-0.770333333333333
RFPL2	-1.12125
ZNF83	-0.968833333333333
GDPD5	-0.460875
PDCD4	0.9211
CEP350	-0.164
OR10A2	0.2715
CST7	-0.11725
CIAO1	-0.40325
SELL	0.420875
OR8J3	0.6845
LTBP4	-0.531833333333333
SIRT6	0.409
CCL19	2.89
PPIL1	-0.0788333333333333
GBP7	0.3895
STK17A	-1.3656
ABR	0.539
OR9G1	0.434
FOXE1	-0.584375
CNGA3	-0.4225
GML	0.2015
CD38	-1.63625
ZDHHC6	0.597166666666667
NEFH	-3.687
CTDSP2	0.0159166666666667
PGBD5	-0.537166666666667
CCNY	-0.113714285714286
RMND5B	-0.4175
ZNF257	-3.26
FLJ22167	-0.486125
EXOSC7	-0.0898333333333333
ROR2	-0.772125
MAOA	2.818625
TNNT3	-0.240333333333333
GYPC	-2.20125
C7orf33	0.432
PLIN	0.492333333333333
LOC90826	0.02925
RNF4	-0.3955
F8A1	0.85
PLEKHG4	0.156
GRB2	0.196
HIST1H2AD	-1.288
DUS3L	0.1965
EIF1	0.4635
RP5-1077B9.4	-0.3075
FPGT	1.29125
GDF10	3.5875
COQ9	0.36375
GCC2	0.774785714285714
RARRES3	0.659
PLXNA1	-0.442
KIAA0100	0.1883
PMF1	-0.39025
FNDC1	4.02525
HS2ST1	0.2415
CRELD2	-0.12025
C8G	-1.614
CD82	-0.38275
LIM2	-1.533
UNQ6490	0.0805
MMP16	-0.6045
DRD3	0.045
C5orf26	-0.73675
C11orf73	-0.332
PTP4A2	0.354
OR4M2	0.3775
HPCA	-1.2325
SEC14L1	-1.3155
CHFR	-0.07925
EMILIN1	0.249375
NDUFS4	-0.0175
COL18A1	-1.4065
PDZD3	1.9522
C9orf16	0.410666666666667
ERBB2IP	0.179666666666667
EMX2	-0.291
FUS	-1.58375
TF	-3.8133
CLCN4	1.68766666666667
CXorf56	0.709
C11orf72	0.36675
ELAC2	-1.08741666666667
NPR1	-1.70275
ASS1	0.743333333333333
USP42	-0.34675
POLR2J	-0.305
SEC23IP	0.6405
UQCRC1	0.75475
LOC729603	0.124
C1orf71	-0.918
POLG	-0.684
ADAM23	-3.6355
TFR2	-1.32225
RICTOR	-0.2403
MGC39606	-0.283
C19orf55	0.152375
SNAPC1	-1.98066666666667
GNA11	1.486
CCDC52	0.148833333333333
FSIP1	1.466
UPF3A	-0.151125
IGSF11	-2.2885
LAGE3	0.50575
CHST6	-2.561
UNC13B	0.605375
TTLL4	-0.214625
ZNF687	-0.3545
SDC2	-1.8607
COX7A2	0.50925
LAMB4	-0.16575
FAM24A	0.2625
LRRTM3	-0.5915
GPHB5	0.0155
OR4C13	0.3285
EIF3EIP	0.0647142857142857
HABP4	-0.3655
TMEM125	3.68225
CNTN2	-0.173125
ASNSD1	-0.06225
FUT4	2.12975
ACF	0.94225
LOC158381	-0.1105
CDH8	-0.1565
AGPS	0.623666666666667
C4orf18	-0.298375
PECI	-0.903916666666667
UNG	0.369125
GSTP1	0.033875
DCUN1D5	-0.4055
DKFZP564J0863	-1.79725
SLC9A3R1	-0.192125
BCDO2	-0.15225
CHMP7	0.041
REM2	0.1985
DNHD1	-0.395375
FKBP4	-0.753375
ZNF350	0.237
MGC11102	0.048
BST1	-0.89025
KISS1R	0.6355
NCR2	0.2935
DEFB125	0.369
UBE2W	0.44775
KRT15	-0.389125
C10orf99	3.477
SCN11A	0.0635
GFI1	-1.6125
RDHE2	1.31566666666667
FHL1	-1.83016666666667
OSGEP	-0.0328333333333333
GATA1	-3.32016666666667
SMC6	-0.0445
TTTY14	-0.3835
LPIN3	0.08925
RPL4	-0.4196
RBPMS	-0.1745
PRPF3	0.189666666666667
EMR1	-2.0735
SPATA19	-0.11425
XCR1	0.0845
IRX3	-2.3768
RBM6	-0.176
KLF4	1.6427
UNC5CL	2.119
SEBOX	-0.04
BTK	-1.8705
KRCC1	0.502
C6orf27	0.1525
SYTL5	-0.239
PRND	0.61575
LOC653319	-0.5685
PIGL	-0.36375
HUS1	0.457166666666667
SFRS6	0.06025
C17orf77	1.302
UIMC1	-0.153666666666667
FXYD2	-1.724
LOC283152	0.88225
ZNF667	-2.36125
ZCCHC12	-0.3245
TFEC	1.0145
ATP7B	0.9875
POLD2	-1.18866666666667
RG9MTD1	0.28175
ACOT2	-1.51083333333333
HIST1H4I	-0.83525
PPARGC1A	-0.7454
ETFA	-0.4309
POLRMT	0.732
ZNF146	-0.3885
MIA2	-0.495
KLHL6	-2.05483333333333
HOXB5	1.36425
NENF	-0.119
CUGBP1	-0.47475
PRSS22	1.03
CASC4	0.5424
CUL4B	0.3662
CENPJ	-0.4646
PITX1	-0.0381666666666667
FLJ31033	0.768333333333333
CELSR3	0.242166666666667
ZNF568	-1.525
ITSN1	-0.820583333333333
EHBP1L1	-1.0855
C19orf2	1.87625
