Hybridization REF	TCGA-A6-2676-11A-01R-1758-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.921333333333333
CREB3L1	1.2155
RPS11	1.45925
PNMA1	1.67475
MMP2	0.556833333333333
C10orf90	-2.03275
ZHX3	0.652666666666667
ERCC5	0.541
GPR98	-1.90857142857143
RXFP3	0.3205
APBB2	0.35175
PRO0478	-0.764125
KLHL13	0.344
PRSSL1	0.427166666666667
PDCL3	0.556166666666667
DECR1	0.71325
SALL1	-2.94466666666667
CADM4	0.0505
RPS18	0.513428571428571
HNRPD	-0.177916666666667
CFHR5	0.221666666666667
SLC10A7	-0.1255
OR2K2	-0.3875
LMAN1	-1.626375
SUHW1	-3.64325
CHD8	-1.0337
SUMO1	0.8867
GP1BA	3.1146
DDB1	-1.47533333333333
MYO9B	-0.35
MMP7	1.38875
CRNKL1	-0.089375
C9orf45	-1.3945
XAB2	-1.143875
RTN1	2.514375
KLHL14	-0.476125
TBX10	0.963
CENPQ	-1.848
UTY	-1.29121428571429
ZBTB12	0.2645
DTNBP1	1.086625
KBTBD8	0.406833333333333
ZEB1	1.88266666666667
ZG16	7.03425
MIER1	1.0876
ADAM5P	0.654
CHD9	-0.403
STK16	0.871
KIAA1486	-1.0525
TOB2	1.29641666666667
BANK1	5.903
OR2V2	0.4895
GRM2	-0.0175
PROSC	0.58125
SPIN2B	1.391
PIR	-1.62388888888889
IPO9	-1.439
EVC	0.547833333333333
CXCL13	8.01233333333333
KIAA1199	-2.2479
SORL1	2.00125
NAT10	-0.526
CHD1	-0.46575
SYN3	0.56825
SLC22A2	0.27025
SERPINF1	0.618166666666667
WDR34	-2.505
OR7A17	0.1885
C9orf11	-0.905
RNF216L	0.0761
LHB	0.4325
STK25	-0.021625
TAOK3	1.472125
LOC152573	2.4305
C3orf39	0.44625
C14orf108	0.2774
CDC25B	-2.01672727272727
BMP3	4.9485
TMEM180	-0.23
MAP1LC3C	0.83625
CRYGC	-0.9235
POU3F1	-1.6791
C20orf32	-0.8665
CCDC95	-1.125
HIGD1B	3.63575
USP6NL	-0.296625
ABCD4	0.617166666666667
DIMT1L	-0.742666666666667
TEK	2.065625
SLC25A46	0.336
LARP7	-1.2453
CD160	1.46133333333333
MT1JP	2.11
PHF20	-0.7511875
CPNE4	1.202
GTPBP1	-0.348785714285714
RAB33B	1.65666666666667
ALDOC	-2.514
