Hybridization REF	TCGA-AA-A00R-01A-01R-A002-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.149166666666667
CREB3L1	1.96525
RPS11	-0.081625
PNMA1	-1.97425
MMP2	-0.601
C10orf90	-2.64325
ZHX3	-1.15833333333333
ERCC5	0.247
GPR98	-0.354875
RXFP3	0.715
APBB2	1.2895
PRO0478	-0.596
KLHL13	-3.941
PRSSL1	-0.321333333333333
PDCL3	0.822333333333333
DECR1	0.879625
SALL1	-4.8955
CADM4	-0.244666666666667
RPS18	-0.507928571428571
HNRPD	-0.366666666666667
CFHR5	0.2702
SLC10A7	0.532875
OR2K2	-0.435
LMAN1	0.195125
SUHW1	-3.68525
CHD8	-0.8279
SUMO1	0.4069
GP1BA	0.981222222222222
DDB1	0.0376666666666667
MYO9B	0.277
MMP7	0.11475
CRNKL1	0.16575
C9orf45	-1.75366666666667
XAB2	-0.118
RTN1	0.830125
KLHL14	-1.932125
TBX10	-1.915
CENPQ	-1.556
UTY	-1.119
ZBTB12	0.354
DTNBP1	-0.025
KBTBD8	0.5475
ZEB1	0.734166666666667
ZG16	-2.02425
MIER1	1.0721
ADAM5P	-0.4405
CHD9	-0.5774375
STK16	0.91525
KIAA1486	-0.0705
TOB2	0.95725
BANK1	3.63775
OR2V2	0.29825
GRM2	0.1725
PROSC	0.189875
SPIN2B	-2.7945
PIR	-1.85022222222222
IPO9	-0.0776
EVC	-0.9715
CXCL13	7.15783333333333
KIAA1199	-0.6117
SORL1	-0.17475
NAT10	0.163
CHD1	-0.02625
SYN3	-1.74675
SLC22A2	-0.52825
SERPINF1	-1.792
WDR34	0.172
OR7A17	0.50125
C9orf11	0.831
RNF216L	-0.2701
LHB	-0.081
STK25	-0.14925
TAOK3	0.70775
LOC152573	-2.26225
C3orf39	0.267
C14orf108	1.0624
CDC25B	0.181
BMP3	0.888
TMEM180	0.7065
MAP1LC3C	-0.2625
CRYGC	-0.6755
POU3F1	-1.7192
C20orf32	-0.968
CCDC95	-0.4195
HIGD1B	2.32775
USP6NL	0.428625
ABCD4	0.239
DIMT1L	-0.337833333333333
TEK	0.708625
SLC25A46	-0.328
LARP7	-1.2165
CD160	3.10416666666667
MT1JP	-0.43
PHF20	-0.3406875
CPNE4	-3.11966666666667
GTPBP1	-0.240571428571429
RAB33B	0.958166666666666
ALDOC	-1.801125
ZNF212	-0.204
NUDT1	-0.320666666666667
RFPL2	-1.36475
ZNF83	-0.6395
GDPD5	-0.268
PDCD4	0.1001
CEP350	-0.042
OR10A2	0.3605
CST7	2.409
CIAO1	-0.43475
SELL	1.85075
OR8J3	0.13
LTBP4	0.016
SIRT6	0.108
CCL19	4.7225
PPIL1	-0.175166666666667
GBP7	0.675333333333333
STK17A	-0.2302
ABR	0.93875
OR9G1	-0.339
FOXE1	-1.22325
CNGA3	-0.218
GML	0.9065
CD38	0.77025
ZDHHC6	1.01033333333333
