Hybridization REF	TCGA-A6-2671-11A-01R-1758-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.625333333333333
CREB3L1	2.09225
RPS11	0.730375
PNMA1	-0.21975
MMP2	-0.230333333333333
C10orf90	-1.85175
ZHX3	-0.143333333333333
ERCC5	0.64875
GPR98	-1.151375
RXFP3	0.6015
APBB2	-0.2175
PRO0478	-0.8575
KLHL13	-0.763
PRSSL1	-0.4885
PDCL3	0.245
DECR1	1.179875
SALL1	-2.21483333333333
CADM4	-0.489333333333333
RPS18	0.230857142857143
HNRPD	-1.03341666666667
CFHR5	0.896666666666667
SLC10A7	0.02025
OR2K2	-0.463
LMAN1	-1.266625
SUHW1	-3.902
CHD8	-0.3263
SUMO1	0.1189
GP1BA	0.541
DDB1	-0.859833333333333
MYO9B	0.0993
MMP7	0.93675
CRNKL1	0.095
C9orf45	-1.02266666666667
XAB2	0.069625
RTN1	1.423875
KLHL14	-1.08375
TBX10	3.392
CENPQ	-1.97425
UTY	1.94778571428571
ZBTB12	0.315
DTNBP1	0.34425
KBTBD8	-0.281
ZEB1	0.434666666666667
ZG16	5.69175
MIER1	0.9474
ADAM5P	-0.1105
CHD9	-0.1833125
STK16	0.6755
KIAA1486	0.04
TOB2	0.533333333333333
BANK1	3.14625
OR2V2	0.479
GRM2	0.331333333333333
PROSC	1.402625
SPIN2B	0.3945
PIR	-2.32411111111111
IPO9	-0.9423
EVC	-0.242333333333333
CXCL13	2.82966666666667
KIAA1199	-3.1387
SORL1	2.109
NAT10	-0.65625
CHD1	-0.488
SYN3	0.6775
SLC22A2	-0.12625
SERPINF1	-0.3965
WDR34	-1.066
OR7A17	0.93725
C9orf11	0.36
RNF216L	-0.3679
LHB	0.331
STK25	-0.10125
TAOK3	1.784125
LOC152573	2.40575
C3orf39	-0.51975
C14orf108	1.5239
CDC25B	-1.62463636363636
BMP3	5.0105
TMEM180	0.557
MAP1LC3C	-0.02775
CRYGC	-1.048
POU3F1	-1.4333
C20orf32	-1.049
CCDC95	-0.1525
HIGD1B	2.2305
USP6NL	-0.0565
ABCD4	0.558666666666667
DIMT1L	-0.898333333333333
TEK	1.44275
SLC25A46	0.10225
LARP7	-1.1544
CD160	3.13966666666667
MT1JP	3.15833333333333
PHF20	-0.921875
CPNE4	0.28225
GTPBP1	-0.0647857142857143
RAB33B	0.654333333333333
ALDOC	-1.277
ZNF212	-0.39425
NUDT1	-1.23133333333333
RFPL2	-0.94425
ZNF83	-1.32183333333333
GDPD5	-1.42975
PDCD4	2.5867
CEP350	-0.07725
OR10A2	0.47825
CST7	1.561
CIAO1	-1.042
SELL	0.05975
OR8J3	2.315
LTBP4	1.51516666666667
SIRT6	1.70225
CCL19	3.9805
PPIL1	-1.474
GBP7	-0.242333333333333
STK17A	-0.1006
ABR	1.71875
OR9G1	-0.045
FOXE1	-0.599375
CNGA3	2.486
GML	0.574
CD38	0.24425
ZDHHC6	0.3635
NEFH	-2.23925
CTDSP2	1.25975
PGBD5	-0.905333333333333
CCNY	0.437857142857143
RMND5B	0.2155
ZNF257	-3.85925
FLJ22167	-0.59925
EXOSC7	-1.06816666666667
ROR2	0.84375
MAOA	4.58025
TNNT3	0.837666666666667
GYPC	-1.2
C7orf33	-0.0605
PLIN	2.101
LOC90826	-0.3205
RNF4	-0.4054
F8A1	0.452
PLEKHG4	-2.0605
GRB2	-0.14905
HIST1H2AD	-0.68125
DUS3L	-0.492666666666667
EIF1	-0.041
RP5-1077B9.4	-1.16933333333333
FPGT	1.305
GDF10	1.1365
COQ9	1.0415
GCC2	0.399071428571429
RARRES3	2.706
PLXNA1	-0.9335
KIAA0100	-0.0236
PMF1	0.435
FNDC1	4.95775
HS2ST1	-0.299666666666667
CRELD2	0.25125
C8G	1.9245
CD82	-0.248
LIM2	-1.1
UNQ6490	-0.531
MMP16	-0.779
DRD3	0.34875
C5orf26	-0.35875
C11orf73	-0.711125
PTP4A2	0.363625
OR4M2	-1.035
HPCA	-0.516333333333333
SEC14L1	-0.561333333333333
CHFR	0.452125
EMILIN1	0.902625
NDUFS4	0.61525
COL18A1	-1.5535
PDZD3	3.0801
C9orf16	0.340166666666667
ERBB2IP	0.647666666666667
EMX2	1.2595
FUS	-2.3945
TF	-3.7279
CLCN4	-0.4375
CXorf56	0.02875
C11orf72	0.48375
ELAC2	-1.31375
NPR1	-0.2835
ASS1	0.712333333333333
USP42	-0.083625
POLR2J	0.1915
SEC23IP	0.397333333333333
UQCRC1	1.6735
LOC729603	0.61075
C1orf71	0.027
POLG	-2.3065
ADAM23	-3.07675
TFR2	-0.9845
RICTOR	-0.8774
MGC39606	0.47525
C19orf55	-0.365375
SNAPC1	-2.44016666666667
GNA11	2.390375
CCDC52	-0.4285
FSIP1	2.9625
UPF3A	-0.816375
IGSF11	-1.6285
LAGE3	-1.2635
CHST6	0.1175
UNC13B	1.391125
TTLL4	-1.942
ZNF687	0.18375
SDC2	-1.0106
COX7A2	1.042
LAMB4	0.0505
FAM24A	0.092
LRRTM3	-1.407
GPHB5	0.59925
OR4C13	0.0745
EIF3EIP	0.766785714285714
HABP4	-0.491
TMEM125	4.44
CNTN2	0.823375
ASNSD1	-0.6895
FUT4	1.337125
ACF	2.17075
LOC158381	0.7625
CDH8	-0.46225
AGPS	-0.270833333333333
C4orf18	0.82875
PECI	0.55475
UNG	-0.556875
GSTP1	-0.123125
DCUN1D5	-2.39466666666667
DKFZP564J0863	-0.431
SLC9A3R1	0.810125
BCDO2	-0.285625
CHMP7	0.08575
REM2	-0.045
DNHD1	-0.942625
FKBP4	-1.3945
