Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_D01_433680
Composite Element REF	Signal
AACS	5.871007209518
FSTL1	10.4410456471449
ELMO2	5.91260998081546
CREB3L1	4.55519644453787
RPS11	9.79321075329262
PNMA1	7.73359320344777
MMP2	6.85405140748897
SAMD4A	3.66941235316306
SMARCD3	5.60699995634801
A4GNT	3.68806724960933
C9orf39	3.86640791918083
PKNOX2	4.52018799138643
RALYL	3.27647672474425
ZHX3	4.09307320158924
ERCC5	6.06645943442703
RXFP3	2.99602128954102
APBB2	4.57643371565764
BBOX1	2.77521189314076
PRO0478	3.27560308161006
GCSH	8.0304576744534
XDH	3.87225525422713
EDN1	5.83887306285204
MTERF	6.50128615828984
PDCL3	6.73417778091951
CLK4	6.17976439909272
KCNG1	5.91394287256325
CXCR4	6.4459864096372
DECR1	6.89853136597293
SALL1	3.33933462533989
PTPRR	3.22374028290587
CADM4	3.74064195389362
IRAK1	7.46370496226524
CFHR5	3.47555557834886
HNRPD	8.57116460245435
TMSB10	12.4036311380002
CXCL3	3.63978704316251
LMAN1	3.56021771650621
SUHW1	3.48334086557597
CHD8	7.44154139731374
SUMO1	8.12892288946795
GP1BA	3.39454577542676
OR7A10	3.83474319467680
DDB1	7.11113296329366
CHRNA10	3.63227826812782
STYK1	3.77974720393331
MYO9B	4.65963883862741
CCNI	9.39921754631954
MMP7	4.20669379970716
EP300	6.32073417899456
CRNKL1	6.36224323710947
C9orf45	3.17193266696171
XAB2	4.96520978676164
RTN1	3.3137290607919
HIC2	4.17472503084996
TBX10	3.73825897729934
CENPQ	5.35615304888872
UTY	3.33880383325682
OR2W1	2.89763120956647
ATP5G2	9.44004057812054
ZEB1	3.80692617931489
ZG16	3.60267995144758
ERG	4.47047691924380
PARN	6.73461970198713
SOD2	4.6591560223316
JOSD3	6.94862914504517
ADAM5P	3.35087202615745
CHD9	6.11887946450051
hCG_40738	4.15370710552024
STK16	4.93750843361676
PDE1C	3.73462745378017
SEMA4D	5.30081238474338
AGPAT1	6.27061499886321
TOB2	5.88617845505564
BANK1	3.20273708930124
MAP3K3	5.27387227198812
MAX	5.03628732496626
GRM2	3.87933121422744
OSBPL8	7.29942254942794
PROSC	5.94463646836886
NR4A2	4.15719980950416
RICS	4.70226042068972
PIR	3.96593502714724
PPCS	8.46987305206184
IPO9	7.27388222919226
LONP1	7.31345436966157
EVC	4.39401476079062
CXCL13	3.98211327707426
SCYL3	5.61963308234724
KIAA1199	3.2402362598374
SORL1	8.1489537852568
NAT10	6.88016801523488
CHD1	5.80411841368415
SYN3	3.69494242925560
DMC1	4.0195493299824
SLC22A2	3.80342148100962
SERPINF1	6.66602609551365
C20orf27	6.06693975581802
OR7A17	2.94020523823016
RPS6KA5	5.34918496911161
LHB	3.57048923428772
TAOK3	4.70982845932718
STK25	6.02736271904708
SLC12A4	3.73980213419691
BRCA1	4.84483867890109
GBL	5.33124130559852
C14orf108	7.90344260627872
CDC25B	7.54510941585768
BMP3	3.26947343477555
MAP1LC3C	3.44788672612939
TMEM180	3.93468026026829
CRYGC	3.57632229782755
SLK	6.03573545084927
POU3F1	3.41087066842304
C20orf32	4.0932994004626
USP52	4.71048380907235
HIGD1B	3.94699887656212
BAZ1B	6.74312128860661
USP6NL	6.32050351300772
SLCO2B1	3.95671522045149
ABCD4	4.30229028658552
DIMT1L	5.26994648621722
SLC25A46	6.093011607442
LARP7	7.1794421705247
TEK	4.14619854041371
CD160	3.75406174916696
TERF2IP	7.47704747546432
PHF20	6.62707795187384
COL1A1	7.19871345344359
KIAA0090	6.05722198511429
GTPBP1	4.40528574682867
GRK5	4.34449625326339
AP1S2	4.82480213566292
RAB33B	4.90633023611409
CA11	4.5312262847755
ALDOC	4.07981483068830
NUDT1	5.38642365927789
ZNF212	4.76141153455621
ACBD3	7.46842977416025
ZNF83	6.22768615079021
PRDM2	4.69135877242078
GDPD5	4.92371157586875
PDCD4	6.89602625746989
CEP350	7.17751838749771
FOXP3	3.32435815700621
SMYD3	8.01853181213841
CST7	3.99530498154088
SELL	3.47951422425197
CIAO1	6.29606368229936
LGI2	3.75402299852847
WDR45	5.26295004587717
ANKRD6	5.35157551921894
LTBP4	4.39620285941388
PSCD3	3.53325034980030
PYY	3.23465738845909
KCNC1	3.38671058666548
SIRT6	3.90733016215485
CCL19	3.91585330845164
ARHGEF9	4.78680125096086
ABR	5.04290491935153
C10orf22	6.86156904554298
STK17A	4.45488687752396
FOXE1	3.32452970266102
GML	3.24072670844675
CNGA3	3.00076769824305
CD38	3.54546144011441
ZDHHC6	6.92644187111495
NEFH	6.57750650807665
PGBD5	3.49272616764419
CTDSP2	6.3053654269616
RMND5B	5.44109036537889
ZNF257	3.27813804129888
DUSP4	3.4167700866136
FLJ22167	5.20289144823911
EXOSC7	6.48113350742082
ROR2	3.73450724462434
FOXM1	6.54573173455504
ZBTB48	4.50796819994147
BUD31	7.04647408880792
MAOA	4.58669424348918
CCDC41	4.95270837053199
TNNT3	4.22736872162897
FBXO11	6.84716145962298
GYPC	5.99095975810845
PLIN	3.72633448719967
RFXAP	3.52855319172586
C6orf15	4.36274287338213
RNF4	7.9904156297205
F8A1	7.8195791083496
PPP1R3D	5.18054476862253
GRB2	6.48573904017198
TPM3	3.47733744240311
SYT13	3.77248191425039
EPB42	3.49539504241935
RP5-1077B9.4	5.11551060812666
EIF1	9.5472794730655
CETN3	6.3420118476495
FPGT	4.88118539280347
PRY	3.54772462312840
NTHL1	5.06394355216989
POLR2B	7.74698189081572
RPS28	10.9211626624748
GDF10	3.16741906466745
COQ9	6.95644404716693
P2RX3	3.08490016977679
GCC2	6.01695209254469
RARRES3	4.9800849126842
PLXNA1	7.6590673686751
WBP4	5.63660227472526
KIAA0100	6.31056979348152
PMF1	7.09926304382565
HS2ST1	6.11621718803044
CRELD2	6.74493861723144
C8G	3.04351146375061
CD82	5.31665566568112
PMM1	3.9683846728717
CBLL1	4.82791444034344
LIM2	3.37388908441248
VAX2	4.5359521267482
SETDB1	5.52060117732265
LRAP	3.26340303221139
GCLM	5.98102944447762
CPEB3	3.55255688443243
PPM1A	5.20832739751766
INTS1	4.22775238934520
MMP16	3.40544352030782
CAMTA1	3.88637682491462
SAMSN1	3.90727009993433
DRD3	2.77751920553817
GMPPA	5.18689979473103
C11orf73	4.73679766053232
AIPL1	3.63837857206566
PTP4A2	8.62598658006573
IL24	3.54051143248345
BDKRB1	3.41843260937563
HPCA	3.77606781351696
