Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_A06_471872
Composite Element REF	Signal
AACS	5.88957516700481
FSTL1	9.42764187824
ELMO2	5.5493642448411
CREB3L1	3.51931686773532
RPS11	9.65740960964605
PNMA1	8.00346729990162
MMP2	6.48078970813496
SAMD4A	3.56980914692228
SMARCD3	5.16626439228735
A4GNT	4.18039877553485
C9orf39	3.58485552354619
PKNOX2	3.63562447225184
RALYL	3.58298862467108
ZHX3	4.41888241780663
ERCC5	5.35584425521842
RXFP3	3.18894223016058
APBB2	3.98660427202886
BBOX1	3.13136920035855
PRO0478	3.00149358385263
GCSH	9.45154744317317
XDH	3.92619399927737
EDN1	3.36292823656714
MTERF	6.15520874281379
PDCL3	7.7056149871435
CLK4	5.54412005897537
KCNG1	4.59215234807768
CXCR4	6.65554939312169
DECR1	6.79294008942374
SALL1	6.52985968454233
PTPRR	3.29252946723057
CADM4	3.7406867264315
IRAK1	6.92920241352705
CFHR5	3.24454603164852
HNRPD	7.45399335908778
TMSB10	12.1664381807598
CXCL3	3.78367660352833
LMAN1	4.32401885132847
SUHW1	3.30115495849414
CHD8	6.39109055030271
SUMO1	8.80342749218783
GP1BA	3.55710454159929
OR7A10	3.82828100746646
DDB1	7.08430575364745
CHRNA10	3.35348984960611
STYK1	3.54601693807308
MYO9B	4.16562729537928
CCNI	10.1901607575660
MMP7	5.59199341874591
EP300	6.45007273912753
CRNKL1	8.39627865296914
C9orf45	3.83109293788034
XAB2	4.49970114834574
RTN1	3.52644300216224
HIC2	3.90577305530985
TBX10	3.33086656002728
CENPQ	4.47823588329909
UTY	3.1927868921656
OR2W1	3.22267862121554
ATP5G2	10.9456841371760
ZEB1	3.47220567994317
ZG16	3.48245138481854
ERG	3.73401555417039
PARN	6.60601769554907
SOD2	3.55353613878887
JOSD3	7.91439361827132
ADAM5P	3.18488865702265
CHD9	6.37612247397966
hCG_40738	4.82840905151373
STK16	5.72658187364044
PDE1C	3.51950536389106
SEMA4D	6.0995797692287
AGPAT1	7.60227443921796
TOB2	6.1637637516314
BANK1	3.55067880523114
MAP3K3	4.8671011101016
MAX	5.12363992667374
GRM2	3.92520344434243
OSBPL8	8.11206464714365
PROSC	5.95681481509483
NR4A2	3.43911574231971
RICS	4.64706981170073
PIR	3.79443946651507
PPCS	8.82146862705234
IPO9	6.7448424582545
LONP1	6.49049041153089
EVC	4.00645466665526
CXCL13	4.13636755336907
SCYL3	5.48331220104926
KIAA1199	5.55202900236753
SORL1	8.04066380224255
NAT10	6.4977721832354
CHD1	5.4884398612469
SYN3	3.62617278548829
DMC1	3.77703874857565
SLC22A2	3.47589357850554
SERPINF1	4.19538272140828
C20orf27	6.30832611347921
OR7A17	3.19616730058488
RPS6KA5	4.94380924717445
LHB	3.68467693342973
TAOK3	4.2791269406788
STK25	6.90921283036287
SLC12A4	3.62900090916039
BRCA1	4.09066310334917
GBL	5.2659437672112
C14orf108	6.89585148553566
CDC25B	5.71776750808543
BMP3	3.18783606859394
MAP1LC3C	3.42043289852558
TMEM180	3.85488483406848
CRYGC	4.10060315320418
SLK	3.95945988460086
POU3F1	3.35229025544406
C20orf32	4.01166234591163
USP52	5.63174524908397
HIGD1B	3.92187443394156
BAZ1B	6.42029641922637
USP6NL	6.20188968885026
SLCO2B1	3.85203843164412
ABCD4	4.23834365343894
DIMT1L	5.53400893961211
SLC25A46	4.91973724699232
LARP7	6.99059342224824
TEK	3.56984506485075
CD160	3.63069250463558
TERF2IP	8.29671446396043
PHF20	6.62470856922069
COL1A1	5.92602682689939
KIAA0090	5.62495137023916
GTPBP1	4.435605410223
GRK5	3.63262740370507
AP1S2	4.36640106144615
RAB33B	4.02123755551359
CA11	3.85214056672231
ALDOC	4.66581482716204
NUDT1	5.42977321880153
ZNF212	5.51892683887041
ACBD3	7.11666298693588
ZNF83	6.39560578060869
PRDM2	5.15273185781537
GDPD5	5.16385433015037
PDCD4	7.03699623208667
CEP350	5.99017331533602
FOXP3	3.22366281362818
SMYD3	7.13197514739564
CST7	3.48914567550609
SELL	3.72808679438132
CIAO1	6.2279337587369
LGI2	3.88738156045892
WDR45	5.47986239713662
ANKRD6	5.64259832457139
LTBP4	4.27684244386143
PSCD3	3.32594729792592
PYY	3.10702131330986
KCNC1	3.32477071113264
SIRT6	4.38085379162098
CCL19	3.80592980896426
ARHGEF9	3.88476339490665
ABR	4.00644901655205
C10orf22	7.15399370855216
STK17A	5.31912977036874
FOXE1	3.61432983174761
GML	3.33310606590707
CNGA3	3.13905431743131
CD38	3.37502152846351
ZDHHC6	6.96711339256761
NEFH	4.8540001230001
PGBD5	3.32213487200768
CTDSP2	7.2413095271405
RMND5B	6.97922543289536
ZNF257	3.42751311246161
DUSP4	4.57971149829886
FLJ22167	6.0004304083655
EXOSC7	7.20499732775985
ROR2	3.40563788909381
FOXM1	5.8079952433293
ZBTB48	4.52277127725476
BUD31	7.62515789181384
MAOA	4.78422825716122
CCDC41	5.27841826283363
TNNT3	4.28647752981467
FBXO11	6.10467600966407
GYPC	3.90513695823651
PLIN	3.64544723857399
RFXAP	3.98632772146088
C6orf15	3.86193473175679
RNF4	6.91166883655894
F8A1	6.68323205585759
PPP1R3D	3.97130182064896
GRB2	6.40947536298561
TPM3	3.20705097209578
SYT13	3.89553682420009
EPB42	3.72538113304845
RP5-1077B9.4	4.93882427148554
EIF1	10.4899115203825
CETN3	6.60329287409008
FPGT	4.8846477082351
PRY	3.37544053029821
NTHL1	5.58578331235446
