Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_G02_297998
Composite Element REF	Signal
AACS	5.97113172348729
FSTL1	8.16867349518814
ELMO2	4.80994216810429
CREB3L1	4.08770659089055
RPS11	10.2369245376440
PNMA1	7.79767963145527
MMP2	7.62377010547678
SAMD4A	3.92438203829934
SMARCD3	8.03688123440436
A4GNT	4.06384269393425
C9orf39	3.60570071273996
PKNOX2	4.08625270906304
RALYL	3.54476579411828
ZHX3	4.2623944024442
ERCC5	5.38577078882161
RXFP3	3.32989759463113
APBB2	3.82487786735480
BBOX1	5.05203779855012
PRO0478	3.02867113093219
GCSH	8.04163225029746
XDH	3.92532316913258
EDN1	4.2121972710679
MTERF	5.93163907932122
PDCL3	6.98753075537765
CLK4	5.64404659640029
KCNG1	3.54132861306424
CXCR4	9.699732881532
DECR1	7.88858719341513
SALL1	3.25820298548571
PTPRR	3.39164191335642
CADM4	3.54676602083776
IRAK1	8.07568005458917
CFHR5	3.23920153469127
HNRPD	6.84022893905825
TMSB10	12.6693322219514
CXCL3	4.15329951794007
LMAN1	3.5816381471957
SUHW1	3.72164337936049
CHD8	5.44977018815559
SUMO1	7.5828878161451
GP1BA	3.2627885070158
OR7A10	3.85007578661509
DDB1	8.00811295696337
CHRNA10	3.7708407987624
STYK1	3.66972288714741
MYO9B	4.48771604002194
CCNI	10.9683932867074
MMP7	8.4369835597901
EP300	5.63490242522983
CRNKL1	5.58555548967202
C9orf45	3.98517781037227
XAB2	4.09251037196048
RTN1	4.76477391709861
HIC2	3.8056968430655
TBX10	3.54411368980452
CENPQ	3.91972370119895
UTY	3.08269449004523
OR2W1	3.09411603304497
ATP5G2	10.8104500390320
ZEB1	3.22221782381225
ZG16	6.42494498830355
ERG	3.65013229562005
PARN	7.12263323375255
SOD2	6.88129258104797
JOSD3	7.94137175249615
ADAM5P	3.32755264408124
CHD9	5.19967429163186
hCG_40738	3.72608331538362
STK16	4.56697344483481
PDE1C	3.6505949150962
SEMA4D	4.76017385164413
AGPAT1	6.68903362688498
TOB2	5.63983825847416
BANK1	3.53992636703259
MAP3K3	5.24288712194979
MAX	5.19891574103784
GRM2	4.11717857747937
OSBPL8	6.20380605586235
PROSC	4.97976830344502
NR4A2	3.82444740598987
RICS	4.18060243333953
PIR	4.03835740307813
PPCS	8.38864391767604
IPO9	5.66220993804898
LONP1	6.36390547971081
EVC	4.00448246437529
CXCL13	4.34423982248945
SCYL3	5.03622292257644
KIAA1199	5.88955650773279
SORL1	7.33800455756188
NAT10	7.10251047259749
CHD1	4.88187861427228
SYN3	3.78871753626182
DMC1	3.75938353000608
SLC22A2	3.43000020925852
SERPINF1	7.53886798687377
C20orf27	6.70018664331884
OR7A17	3.08385860430936
RPS6KA5	4.31140242685289
LHB	3.51917286935606
TAOK3	4.16649028257196
STK25	6.55792698293134
SLC12A4	3.71172672588891
BRCA1	3.85316351931017
GBL	4.86151850087159
C14orf108	7.55409825911631
CDC25B	7.3615834789385
BMP3	3.21389212371567
MAP1LC3C	3.92713955686171
TMEM180	3.63559004453856
CRYGC	3.66414679161744
SLK	5.04675466590487
POU3F1	3.43342027264034
C20orf32	3.69774336961008
USP52	5.33990259039898
HIGD1B	4.09855726505586
BAZ1B	6.31177256286652
USP6NL	4.93087473669976
SLCO2B1	4.33447693675776
ABCD4	4.44267259971882
DIMT1L	4.99072766099773
SLC25A46	7.39262492774302
