Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_D08
Composite Element REF	Signal
AACS	6.3600678370892
FSTL1	9.24242575689956
ELMO2	5.82288236947587
CREB3L1	4.84795912720466
RPS11	10.0259786305386
PNMA1	7.97812991160606
MMP2	9.68159069648542
SAMD4A	4.23120389191569
SMARCD3	4.4250165967877
A4GNT	3.50579011530673
C9orf39	3.18753104205462
PKNOX2	4.29544637986098
RALYL	3.12843224805385
ZHX3	4.40385421935073
ERCC5	5.99611958702691
RXFP3	2.90397072535572
APBB2	5.11041257724187
BBOX1	5.86160236241046
PRO0478	2.96256139238297
GCSH	7.59819054125724
XDH	3.78092938002726
EDN1	4.33830957511017
MTERF	6.39743061673988
PDCL3	7.34843992050117
CLK4	6.90408110493354
KCNG1	3.76827469961813
CXCR4	8.23828795951782
DECR1	8.04739287960999
SALL1	3.30133430961502
PTPRR	3.38145053655748
CADM4	3.18160831179968
IRAK1	8.86682972073189
CFHR5	3.15564914086091
HNRPD	7.96235716269172
TMSB10	11.8782672444690
CXCL3	4.71598617641636
LMAN1	3.98161675217906
SUHW1	3.30727016738439
CHD8	6.93696927571916
SUMO1	7.98010705790757
GP1BA	3.14095658328681
OR7A10	3.77734492291581
DDB1	7.5889919253733
CHRNA10	3.61365178398023
STYK1	4.30632499610486
MYO9B	4.84248817474186
CCNI	10.1842620039769
MMP7	8.36737168958545
EP300	6.14876965569727
CRNKL1	6.61000403285922
C9orf45	3.11434237362998
XAB2	3.8246811508917
RTN1	4.52711364345977
HIC2	4.23548065155778
TBX10	3.44327783882070
CENPQ	4.39491441336435
UTY	3.17409196492505
OR2W1	2.87186426372503
ATP5G2	10.2095774109172
ZEB1	4.78649518269419
ZG16	3.46405572421222
ERG	3.61248260008192
PARN	7.66989618189487
SOD2	6.20883536004247
JOSD3	8.03260758913403
ADAM5P	3.17941194841428
CHD9	6.42358477715208
hCG_40738	4.06513949263939
STK16	4.98116910634683
PDE1C	3.57123092964452
SEMA4D	5.63578641539251
AGPAT1	6.23511086961413
TOB2	6.14985501399399
BANK1	4.64827407810496
MAP3K3	5.71323766841268
MAX	5.39410100834913
GRM2	3.41202035059674
OSBPL8	7.21241638009625
PROSC	5.95942751447475
NR4A2	7.6076935518224
RICS	5.33999648220191
PIR	6.48641352268259
PPCS	8.97314011632572
IPO9	5.88233836887285
LONP1	7.63624790343124
EVC	4.76181162079483
CXCL13	3.97878385104887
SCYL3	6.15282993822328
KIAA1199	7.63508692982649
SORL1	9.23100109938954
NAT10	7.07571660945451
CHD1	7.00443514363971
SYN3	3.42888661812636
DMC1	3.89298973946381
SLC22A2	3.76251626962769
SERPINF1	9.26430585775133
C20orf27	5.51440718282474
OR7A17	3.29771646050319
RPS6KA5	5.06667802101446
LHB	3.35674814353117
TAOK3	5.21583320017149
STK25	6.32559477944701
SLC12A4	3.65061047196027
BRCA1	3.43188229197927
