Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_C09
Composite Element REF	Signal
AACS	6.51119333505399
FSTL1	9.41336503085106
ELMO2	5.97371943464929
CREB3L1	3.98992394614816
RPS11	9.90360028086735
PNMA1	7.45941648408464
MMP2	7.88446680114109
SAMD4A	3.82621979479274
SMARCD3	7.03529312820167
A4GNT	3.6300272173858
C9orf39	3.18688921872168
PKNOX2	4.59957726323653
RALYL	3.26167372556851
ZHX3	4.72036837569221
ERCC5	6.86645225564459
RXFP3	2.96372099938055
APBB2	4.80359737152432
BBOX1	6.13304670511397
PRO0478	2.92132131831786
GCSH	7.31893262675393
XDH	3.42254757655777
EDN1	4.03837331267300
MTERF	6.96886380526459
PDCL3	7.5959148705742
CLK4	6.70213399556356
KCNG1	3.67788058322594
CXCR4	8.2606591483365
DECR1	7.9014530475126
SALL1	3.21223126780684
PTPRR	3.20946348003264
CADM4	3.36547703785363
IRAK1	8.73782404808627
CFHR5	3.00699936966776
HNRPD	7.78496097203614
TMSB10	11.6309668407212
CXCL3	4.16060868689751
LMAN1	3.84516296567819
SUHW1	3.74573853049812
CHD8	6.89483089751985
SUMO1	7.67037217587258
GP1BA	3.11933979960687
OR7A10	3.57644294242133
DDB1	7.79032811117702
CHRNA10	3.6796257052538
STYK1	3.37925831095527
MYO9B	4.31828944798863
CCNI	10.9257675673138
MMP7	7.74397889539964
EP300	7.12898013844733
CRNKL1	6.32497351156818
C9orf45	3.28960439383598
XAB2	4.61576331292229
RTN1	3.90027047055116
HIC2	4.90158534667257
TBX10	3.35344892793753
CENPQ	4.76967503838498
UTY	3.07510386673457
OR2W1	2.73645519697096
ATP5G2	10.0643987250293
ZEB1	3.91163464477808
ZG16	3.35152200755905
ERG	3.78480006423616
PARN	7.09437009892304
SOD2	6.99442750485024
JOSD3	8.27006857563913
ADAM5P	3.01710828985512
CHD9	5.88348697494971
hCG_40738	3.86611884977083
STK16	4.60758034603665
PDE1C	3.50797557727976
SEMA4D	5.80649003236778
AGPAT1	6.77091437714244
TOB2	5.95563430049468
BANK1	4.4568941766009
MAP3K3	5.31202513207201
MAX	4.93937932790568
GRM2	3.5322754189044
OSBPL8	7.7651117486693
PROSC	6.19824103891978
NR4A2	5.31257057501404
RICS	6.5890366297898
PIR	6.12360440829153
PPCS	8.93999862568503
IPO9	6.56410773008533
LONP1	7.6429533423782
EVC	4.35826418933385
CXCL13	7.77865959983678
SCYL3	5.14321176492729
KIAA1199	5.68490567737924
SORL1	8.82178585233533
NAT10	7.36010709752629
CHD1	7.08138542417696
SYN3	3.60002075105927
DMC1	3.90930422087055
SLC22A2	3.78045326161382
SERPINF1	8.67604336312648
C20orf27	5.67595714058859
OR7A17	3.03565407768908
RPS6KA5	4.39807862469305
LHB	3.42214524579174
TAOK3	5.35566698477901
STK25	6.2363746909428
SLC12A4	3.52353766891128
BRCA1	5.16407461179757
GBL	5.77417929098017
C14orf108	8.29440634398886
CDC25B	7.29725326880908
BMP3	3.11682239403133
MAP1LC3C	3.3523394277039
TMEM180	4.06603760500789
CRYGC	3.4386889487642
SLK	6.59269517704889
POU3F1	3.26104325046257
C20orf32	3.67016143496982
USP52	7.01594107516897
HIGD1B	3.74976295961584
BAZ1B	7.08692712712508
USP6NL	5.49350782780274
SLCO2B1	4.11247196033508
ABCD4	4.70120576358360
DIMT1L	6.05913433462459
SLC25A46	7.62376977064056
LARP7	6.89407539349419
TEK	3.63832277474869
CD160	3.59850293118038
TERF2IP	7.98540480825655
PHF20	6.49727589268946
COL1A1	8.36137879891505
KIAA0090	6.60369017787494
GTPBP1	4.71762883905324
GRK5	3.95166596992724
AP1S2	6.67870618816165
RAB33B	4.67631017900684
CA11	5.39822374693398
ALDOC	6.57152363573988
NUDT1	6.21485624596042
ZNF212	5.73606329745858
ACBD3	7.6051515630802
ZNF83	6.63117972067354
PRDM2	5.41098812258566
GDPD5	7.19514072966833
PDCD4	5.76018583365506
CEP350	6.75195393726926
FOXP3	3.19269224341341
SMYD3	7.1816800359537
CST7	4.84188438178549
SELL	4.31906359929188
CIAO1	6.53153769039332
LGI2	3.62650591176794
WDR45	7.06764164057747
ANKRD6	7.36628045416916
LTBP4	4.71986829172518
PSCD3	3.51658553075518
PYY	3.15306026173480
KCNC1	3.05362647963454
SIRT6	3.74651421862959
CCL19	4.29467823595975
ARHGEF9	4.62478987921125
ABR	4.91242578493548
C10orf22	7.97675569066345
STK17A	4.62013299853518
FOXE1	3.27890199904751
GML	3.16314904917868
CNGA3	2.99442353393551
CD38	6.05931706197107
ZDHHC6	7.22013443943091
NEFH	3.0696669181954
PGBD5	3.38480811816981
CTDSP2	7.73687784594926
RMND5B	6.61427568054315
ZNF257	4.19581913523367
DUSP4	4.5073245331393
FLJ22167	5.9697648671839
EXOSC7	6.16594756525285
ROR2	3.62750972755697
FOXM1	5.30677777676735
ZBTB48	5.85135464543941
BUD31	8.84471514926612
MAOA	3.76545051287157
CCDC41	5.14231401094612
TNNT3	4.18668130885255
FBXO11	5.88629634512216
GYPC	5.16854557638476
PLIN	3.37393580071275
RFXAP	3.61545385275574
C6orf15	3.80514536676829
RNF4	7.9793535806256
F8A1	8.28505136687423
PPP1R3D	4.64617930366374
GRB2	7.276878357704
TPM3	3.16349904553696
SYT13	3.81739748151333
EPB42	3.46332554957587
RP5-1077B9.4	5.63698708332283
EIF1	10.9968121357741
CETN3	7.66256135823507
FPGT	5.25284081026135
PRY	3.3161237836024
NTHL1	5.3682594597482
POLR2B	9.01923710724985
RPS28	11.9993350478452
GDF10	2.96843336673591
COQ9	7.51787851889512
P2RX3	2.87221391441087
GCC2	7.23588115390585
RARRES3	7.92084248235801
PLXNA1	6.25935910262394
WBP4	6.21893698784279
KIAA0100	7.03381113123328
PMF1	6.57707852438287
HS2ST1	5.93587902778697
CRELD2	7.30630482904143
C8G	3.06198831177930
CD82	5.84671129865444
PMM1	4.73524808218738
CBLL1	5.06452635162999
LIM2	3.3348814263127
VAX2	4.33754078557014
SETDB1	5.85233252680346
LRAP	7.07886272995539
GCLM	6.80953833315721
CPEB3	4.27673299339646
PPM1A	6.95983995814175
INTS1	4.92875003784811
MMP16	3.17760643389512
CAMTA1	6.78552430737206
SAMSN1	6.14826585516055
DRD3	2.67619964852369
GMPPA	5.58620505607779
C11orf73	6.67580976454486
AIPL1	3.68148818353899
PTP4A2	10.2728828945399
IL24	3.29259490079254
BDKRB1	3.22271296138600
HPCA	3.49599381068728
MLF1	6.49979079077134
SEC14L1	6.20283765609885
CHFR	6.4424022855303
EMILIN1	3.46010225761688
THADA	6.03942379494532
TAF12	5.9972066209582
NDUFS4	8.35300490705997
ID1	8.56364224056957
PIK3CB	4.04689818039301
COL18A1	7.97660441407758
PDZD3	3.06840173993376
TBC1D17	4.89573335692295
COX8A	10.4943530397074
CDCA4	6.77786710580285
C2orf44	4.74346227634939
C9orf16	7.18746383694463
ERBB2IP	8.32465124187988
EMX2	8.51938250222782
FUS	6.23151066399841
NIPSNAP3B	3.52775426951403
TF	3.42553683650766
CXorf56	5.06702562207442
CLCN4	3.50075145159223
PWP2	5.72669827611224
MMP15	4.31812709104494
