Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A06_547380
Composite Element REF	Signal
AACS	6.03456491340566
FSTL1	7.04018368304662
ELMO2	5.27516911712056
CREB3L1	5.37457401681598
RPS11	9.90420112509857
PNMA1	5.62582988590721
MMP2	3.86459905650065
SAMD4A	3.50899207977259
SMARCD3	3.480179293378
A4GNT	3.78353993102705
C9orf39	3.09374363371954
PKNOX2	3.91565019855814
RALYL	3.17758636161417
ZHX3	4.63567007940437
ERCC5	7.1634714052093
RXFP3	3.00928959545394
APBB2	3.47380977723094
BBOX1	2.98011246338292
PRO0478	3.19246108776979
GCSH	7.54711834737147
XDH	5.13534981990451
EDN1	4.05204791779282
MTERF	5.38957094984317
PDCL3	7.31687410729928
CLK4	7.06784495265604
KCNG1	3.76883499824254
CXCR4	5.90562360504995
DECR1	8.98290360252994
SALL1	3.16284797516808
PTPRR	8.65048436888581
CADM4	3.38823872039914
IRAK1	7.83034604999822
CFHR5	3.21707584215415
HNRPD	7.70265622036555
TMSB10	11.4301369224969
CXCL3	3.31354321755316
LMAN1	3.67050379226521
SUHW1	3.30461953580561
CHD8	5.81141467791727
SUMO1	7.08060009720469
GP1BA	3.14404655015957
OR7A10	4.03574836946490
DDB1	7.16265439440609
CHRNA10	3.7759215795258
STYK1	5.94076755851418
MYO9B	4.42433290460037
CCNI	10.4454172913146
MMP7	4.19806864103691
EP300	7.14947238618599
CRNKL1	4.53492097651799
C9orf45	3.47511815069123
XAB2	4.59445491505649
RTN1	3.69082253288400
HIC2	4.59609737495002
TBX10	3.52021569269342
CENPQ	3.85948246420168
UTY	3.2919172528769
OR2W1	3.00303659538627
ATP5G2	10.4562204146927
ZEB1	3.48624582173419
ZG16	3.38648260179367
ERG	3.60173146338568
PARN	6.72403717345478
SOD2	5.91102088335183
JOSD3	8.2581684731596
ADAM5P	3.1116916001248
CHD9	6.95787917995387
hCG_40738	4.13481593500248
STK16	4.96414438308546
PDE1C	3.90631986722914
SEMA4D	5.74807653023388
AGPAT1	5.95316324581171
TOB2	6.53719327557573
