Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_C11
Composite Element REF	Signal
AACS	6.60549884710426
FSTL1	7.5859036267187
ELMO2	5.4063965466502
CREB3L1	3.6849193709085
RPS11	9.96833562576582
PNMA1	6.91640351237194
MMP2	7.68318128701309
SAMD4A	3.64956088403048
SMARCD3	8.67264492349993
A4GNT	3.61285556448916
C9orf39	3.13930074825287
PKNOX2	3.97233802382215
RALYL	3.2131913077527
ZHX3	4.48042832250973
ERCC5	6.2476168250144
RXFP3	2.91516737872966
APBB2	3.72874646164938
BBOX1	5.49088379759684
PRO0478	2.88043999020227
GCSH	8.04740070155288
XDH	5.35357263166937
EDN1	3.75892484133866
MTERF	6.82323427652368
PDCL3	8.11713433685637
CLK4	5.90465979317743
KCNG1	3.65095114713115
CXCR4	7.32832225292335
DECR1	7.96720936904431
SALL1	3.63907745780256
PTPRR	3.32111115241712
CADM4	3.37405258484564
IRAK1	8.46496758047985
CFHR5	3.2326972898338
HNRPD	8.01079988590182
TMSB10	12.4393799510297
CXCL3	3.88283257928283
LMAN1	4.19327719066321
SUHW1	3.45601205630445
CHD8	4.99476732286414
SUMO1	8.04371970637304
GP1BA	3.27657412639261
OR7A10	3.53778418888682
DDB1	7.28498079100204
CHRNA10	3.72383808522508
STYK1	3.7618481342974
MYO9B	4.03508366561582
CCNI	9.66531357790612
MMP7	7.81100547139071
EP300	5.76766024106128
CRNKL1	6.61622922999716
C9orf45	3.35410837923699
XAB2	3.78817098299458
RTN1	3.65058636970512
HIC2	3.84324490935444
TBX10	3.45389555180386
CENPQ	5.54174240530904
UTY	3.1334384172831
OR2W1	2.83805371065721
ATP5G2	10.8755210180081
ZEB1	3.53311130105361
ZG16	3.44128100405506
ERG	3.94442861277248
PARN	7.19786038690482
SOD2	8.00935230661146
JOSD3	7.23293818569942
ADAM5P	3.21424618441557
CHD9	5.40524172300133
hCG_40738	3.73816195964551
STK16	5.21754686336032
PDE1C	3.49437965443545
SEMA4D	4.78288596176541
AGPAT1	6.10643961807577
TOB2	5.43492531944186
BANK1	4.25354888882676
MAP3K3	5.13083069862708
MAX	4.93994959007717
GRM2	3.88050472969357
OSBPL8	7.5883041488582
PROSC	5.58175547533738
NR4A2	5.47135272299192
RICS	3.90175445465512
PIR	6.04951373501517
PPCS	9.07235507648719
IPO9	6.55513440921282
LONP1	6.69069584728268
EVC	3.98722679420795
CXCL13	5.2197193507502
SCYL3	6.17486702867839
KIAA1199	4.51906522117952
SORL1	8.21133253448057
NAT10	7.02318040061028
CHD1	5.87205333556956
SYN3	3.43061984668814
DMC1	3.79502280333491
