Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_B02_443102
Composite Element REF	Signal
AACS	8.32398477898112
FSTL1	7.06479110792622
ELMO2	5.71133015099182
CREB3L1	3.70196949946706
RPS11	10.1918720453347
PNMA1	8.5273163979504
MMP2	5.28577852073991
SAMD4A	3.95221317526858
SMARCD3	7.0895442311088
A4GNT	3.60439351076425
C9orf39	3.70690793705161
PKNOX2	5.48587327418536
RALYL	3.42460841925023
ZHX3	4.27466337101823
ERCC5	5.08991674630906
RXFP3	2.99130982352979
APBB2	3.82232740681648
BBOX1	3.79788876930905
PRO0478	2.92850554418323
GCSH	8.46344230256978
XDH	3.62164590425395
EDN1	4.00598563277214
MTERF	7.40602044773875
PDCL3	7.05313474248685
CLK4	6.28252683938927
KCNG1	4.20567872100709
CXCR4	6.74945404608142
DECR1	8.56495037146936
SALL1	3.22570110848234
PTPRR	3.22723150480508
CADM4	3.43563745446933
IRAK1	8.86947175631455
CFHR5	3.05939991715198
HNRPD	7.40521834697175
TMSB10	11.648940109463
CXCL3	4.01901613489909
LMAN1	4.29308190845324
SUHW1	4.19334156851578
CHD8	4.8393149101443
SUMO1	7.92063752978562
GP1BA	3.35436723241461
OR7A10	4.04943230437374
DDB1	7.82843936587628
CHRNA10	3.75083556243084
STYK1	4.39373072251846
MYO9B	4.20629971972987
CCNI	9.4885083865686
MMP7	8.12400011259856
EP300	5.91649217062898
CRNKL1	6.64457531075858
C9orf45	3.29150531212527
XAB2	4.45001268724012
RTN1	3.3808148275699
HIC2	4.2637982938178
TBX10	3.53947466242835
CENPQ	4.99736471219867
UTY	3.11468709801148
OR2W1	2.91808545002531
ATP5G2	10.4116859239161
ZEB1	3.23445595794480
ZG16	3.66331476493225
ERG	4.20833052352986
PARN	7.5010294022842
SOD2	5.6131471428968
JOSD3	8.59423962196859
ADAM5P	3.29924561603473
CHD9	6.32658666105936
hCG_40738	4.05292735716677
STK16	5.68865818681345
PDE1C	3.70403037146448
SEMA4D	5.84079885693889
AGPAT1	5.01063873609152
TOB2	6.09550986415128
BANK1	3.50357428597633
MAP3K3	5.22576052596619
MAX	6.10458771664097
GRM2	3.80564095713725
OSBPL8	7.7405184362404
PROSC	6.39246666324171
NR4A2	6.3143322290535
RICS	6.65535078033697
PIR	6.35492124276
PPCS	8.52190303006531
IPO9	5.75133912740575
LONP1	6.67255148404502
EVC	4.38596637827355
