Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_D11_547280
Composite Element REF	Signal
AACS	8.3062363980078
FSTL1	7.5539719827113
ELMO2	6.49883934821954
CREB3L1	3.93849802687151
RPS11	9.78745843027564
PNMA1	8.23461573060868
MMP2	6.96556597951057
SAMD4A	3.68988027551771
SMARCD3	7.75728918247984
A4GNT	3.82148215433939
C9orf39	2.96291153401184
PKNOX2	4.95898204192456
RALYL	3.29199184484792
ZHX3	4.14238662469179
ERCC5	5.37724628164731
RXFP3	3.06804019717311
APBB2	3.67970558889040
BBOX1	8.18113041357035
PRO0478	3.06896962529887
GCSH	8.5636258334252
XDH	3.37312309298292
EDN1	3.69159402002949
MTERF	6.74989386989945
PDCL3	7.96420088950422
CLK4	4.92741792180397
KCNG1	3.96839935152006
CXCR4	10.1717117497614
DECR1	7.09441311008702
SALL1	3.14460643562247
PTPRR	3.40169736146793
CADM4	3.45650782967488
IRAK1	9.07790674164121
CFHR5	3.40120205187264
HNRPD	7.89213347135529
TMSB10	11.9799976362698
CXCL3	3.71500709820802
LMAN1	4.30298901020637
SUHW1	3.48631936210486
CHD8	5.88603477805158
SUMO1	8.0456355291507
GP1BA	3.36655447427493
OR7A10	3.41468175230387
DDB1	8.20693862952949
CHRNA10	3.80633386835838
STYK1	4.15241281832089
MYO9B	4.76513846414785
CCNI	10.4670845876282
MMP7	4.53108501749846
EP300	5.80007597422347
CRNKL1	6.10984436053058
C9orf45	3.42629611119814
XAB2	4.22658079599056
RTN1	4.8903991834009
HIC2	3.80394199563502
TBX10	3.62861262936941
CENPQ	4.81727089643716
UTY	3.23107788257202
OR2W1	2.93027145438679
ATP5G2	10.5917210418429
ZEB1	3.5495388680836
ZG16	3.59494279380959
ERG	3.84084129884141
PARN	7.66903815309581
SOD2	4.57938603465667
JOSD3	6.0822262093651
ADAM5P	3.26637322281957
CHD9	6.59472301824716
hCG_40738	3.87648912462671
STK16	4.27049452405355
PDE1C	3.72052400320211
SEMA4D	4.77552428255427
AGPAT1	6.83810037015386
TOB2	6.28614273600889
BANK1	4.40810229571565
MAP3K3	4.896366405905
MAX	5.23770946121989
GRM2	4.20827782699048
OSBPL8	7.24573823385634
PROSC	4.92332594377368
NR4A2	6.24991173327591
RICS	4.19226572033412
PIR	6.8177554121973
PPCS	8.77635009559468
IPO9	6.76180523083687
LONP1	6.77559732107769
EVC	4.37353547790263
CXCL13	4.54608525603043
SCYL3	5.66731720597307
KIAA1199	6.1544933499471
SORL1	7.15219755831983
NAT10	7.87883851495362
CHD1	5.82523336480411
SYN3	3.51084769413753
DMC1	3.79731124163067
SLC22A2	3.69620867350747
SERPINF1	6.8028285178004
C20orf27	5.9226900105499
OR7A17	3.0261718546117
RPS6KA5	4.7265728312696
LHB	3.6940205068678
TAOK3	5.22045302130114
STK25	5.52726806883087
SLC12A4	3.66322604066758
BRCA1	3.60074560774065
GBL	5.4037880525485
C14orf108	6.85868317764255
CDC25B	7.68968761304356
BMP3	3.34893868783765
MAP1LC3C	3.30198230012850
TMEM180	3.24529939862427
CRYGC	3.55383327677936
SLK	6.14312595488496
POU3F1	3.25745690387671
C20orf32	3.76563099273719
USP52	5.27686288505140
HIGD1B	4.09412570028908
BAZ1B	6.7524727314004
USP6NL	5.77744506023693
SLCO2B1	4.45610696214196
ABCD4	4.57162975451884
DIMT1L	6.12276986936206
SLC25A46	8.02835025225937
LARP7	6.92665676750235
TEK	3.63671267297377
CD160	3.43414626169318
TERF2IP	8.46446274057421
PHF20	6.06721260566533
COL1A1	7.72832194248819
KIAA0090	5.80417189630187
GTPBP1	4.33126522804094
GRK5	4.12260874854778
AP1S2	4.97936823532487
RAB33B	4.54122638739027
CA11	5.17937747317359
ALDOC	4.57827962291129
NUDT1	5.36400624114801
ZNF212	5.94640140816164
ACBD3	7.80707746279402
ZNF83	7.40533080817511
PRDM2	4.70853349462524
GDPD5	7.75892809352174
PDCD4	6.43390082609002
CEP350	6.4306932155783
FOXP3	3.32030242480627
SMYD3	6.53061279639353
CST7	4.473656210025
SELL	4.22712836322598
CIAO1	6.56479492801658
LGI2	3.82323923371702
WDR45	6.87426650812699
ANKRD6	8.042712754826
LTBP4	3.46165629608619
PSCD3	3.26684729172882
PYY	3.22202939399662
KCNC1	3.14533296682844
SIRT6	4.26200033360631
CCL19	4.06527905309598
ARHGEF9	4.94386566165753
ABR	5.11410038192432
C10orf22	6.50844051535669
STK17A	5.17165754583301
FOXE1	3.40724896001025
GML	3.20522857213943
CNGA3	3.04999042751199
CD38	4.17275985172392
ZDHHC6	6.77554477791893
NEFH	3.36975028651602
PGBD5	4.13116600984496
CTDSP2	7.61437634174046
RMND5B	4.9301419404748
ZNF257	4.72530072217932
DUSP4	4.32880145821509
FLJ22167	5.68447586986076
EXOSC7	5.87205380539915
ROR2	3.31033638691945
FOXM1	5.7062012061782
ZBTB48	4.43870506365629
BUD31	7.51526406805892
MAOA	3.66447799229039
CCDC41	4.16881455995183
TNNT3	3.51313011886237
FBXO11	5.95714544836144
GYPC	6.75078997949091
PLIN	4.36235468369969
RFXAP	3.51020748459342
C6orf15	5.02614820969872
RNF4	8.91034107013238
F8A1	8.57599976044834
PPP1R3D	6.32186425351485
GRB2	8.05174215262433
TPM3	3.08955053476904
SYT13	4.2501418187803
EPB42	3.60070784251285
RP5-1077B9.4	5.03823464209391
EIF1	10.3043312662658
CETN3	5.9957683582932
FPGT	5.93185653857974
PRY	3.64200441349833
NTHL1	3.88209577256597
POLR2B	9.10934080936333
RPS28	11.6971927387922
GDF10	3.13247101827564
COQ9	7.53684420665162
P2RX3	2.85740994716893
GCC2	6.90253207776522
RARRES3	7.75717033811063
PLXNA1	5.71549493984395
WBP4	4.38394734630469
KIAA0100	5.89227913672665
PMF1	7.17378417076108
HS2ST1	5.77320904531655
CRELD2	6.74825663694446
C8G	3.06471316608789
CD82	6.29458415227205
PMM1	5.63691110309475
CBLL1	4.39620102986505
LIM2	3.38443359466196
VAX2	4.96273029691297
SETDB1	5.42550072548148
LRAP	3.67282941088800
GCLM	9.20209960473245
CPEB3	4.26670891859270
PPM1A	5.13413956420741
INTS1	3.92317358479679
MMP16	3.18364037857354
CAMTA1	3.53540163881081
SAMSN1	5.54141452430049
DRD3	2.8897934904048
GMPPA	5.43518724386381
C11orf73	5.27929771414744
AIPL1	3.75887666751822
PTP4A2	9.13537925691492
IL24	3.21717097597785
BDKRB1	3.42511855908576
HPCA	3.66135841605278
MLF1	6.05455612902402
SEC14L1	5.70875522539527
CHFR	6.46252785890338
EMILIN1	3.65210895078357
THADA	5.61720579848043
TAF12	5.64923698729564
NDUFS4	7.94996479665492
ID1	6.50086399951342
PIK3CB	4.02133770849998
COL18A1	6.375777897442
PDZD3	3.43528747239271
TBC1D17	4.84042854158032
COX8A	9.32815348655626
CDCA4	6.77552779893655
C2orf44	4.05669079524965
C9orf16	8.4627039552669
ERBB2IP	7.8028080120534
EMX2	8.17636796836439
FUS	6.03639515898919
NIPSNAP3B	3.76868318385604
TF	3.32199496019247
CXorf56	5.53032679356981
CLCN4	3.96855992793741
PWP2	6.08597274269543
MMP15	6.50251668890501
MTMR14	5.58913952471758
