Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_E03
Composite Element REF	Signal
AACS	7.00122502812193
FSTL1	8.91465082427028
ELMO2	6.31918408352635
CREB3L1	4.22427082092073
RPS11	10.0506655692347
PNMA1	8.83266107200572
MMP2	9.04121412897058
SAMD4A	4.11375360999016
SMARCD3	7.02430152772448
A4GNT	3.80408187101332
C9orf39	3.51342581600781
PKNOX2	4.29246150304991
RALYL	3.22418572415756
ZHX3	4.51062438345492
ERCC5	6.20194874946902
RXFP3	2.91065297684688
APBB2	5.18428168087511
BBOX1	4.19110681925017
PRO0478	2.87362959836464
GCSH	8.94260389999043
XDH	3.64210822783419
EDN1	3.58303971514092
MTERF	6.5243199162594
PDCL3	7.45498700144868
CLK4	6.94756702718261
KCNG1	3.75548389114717
CXCR4	9.04074154946188
DECR1	8.69880501008698
SALL1	3.21443355826617
PTPRR	3.19791346532647
CADM4	3.26784667205848
IRAK1	8.50860033722082
CFHR5	3.07223435679424
HNRPD	7.86386638978354
TMSB10	11.9387016243677
CXCL3	3.60301254496548
LMAN1	4.06741614234137
SUHW1	3.79961947247141
CHD8	7.07779447040804
SUMO1	8.04331520761467
GP1BA	3.17586488521256
OR7A10	3.76296277128494
DDB1	7.92630260116224
CHRNA10	3.7365793726292
STYK1	3.93743524642161
MYO9B	4.77498074775287
CCNI	10.5175863760785
MMP7	7.52102395290125
EP300	6.6680969245751
CRNKL1	8.251771612714
C9orf45	3.24276663472676
XAB2	4.73324656424195
RTN1	4.00135596172896
HIC2	4.01923473138306
TBX10	3.52442645566874
CENPQ	5.17318562116898
UTY	3.11765071009203
OR2W1	2.94305848317032
ATP5G2	11.3010307255812
ZEB1	4.19415672265043
ZG16	3.49394105923495
ERG	3.60244492682128
PARN	7.16138764312464
SOD2	5.47362487535326
JOSD3	7.97087386391533
ADAM5P	3.25018013869682
CHD9	6.96738397531495
hCG_40738	3.85139172592165
STK16	5.52240205765716
PDE1C	3.55788854734024
SEMA4D	6.2532753378161
AGPAT1	7.0346540714768
TOB2	6.79907219128967
BANK1	3.88238352460500
MAP3K3	6.16977013230772
MAX	5.52161601401414
GRM2	3.84805161510979
OSBPL8	8.1921204569802
PROSC	6.91536535896254
NR4A2	4.4144633069412
RICS	4.84353965227557
PIR	4.0053116969012
PPCS	8.2779618822911
IPO9	6.92670562368855
LONP1	7.1454052732928
EVC	4.78622614790934
CXCL13	4.45709276101641
SCYL3	5.42227988187857
KIAA1199	7.75200377247657
SORL1	7.84136250264505
NAT10	7.06530305153143
CHD1	7.0788695689593
SYN3	3.54245108258023
DMC1	3.75737495191388
SLC22A2	3.72291194304498
SERPINF1	8.65959300306583
C20orf27	7.46021664653033
OR7A17	3.26040804873725
RPS6KA5	5.09190488340595
LHB	3.61560056557849
TAOK3	4.68252284393494
STK25	6.46956978163577
SLC12A4	3.66280254333148
BRCA1	3.4904483003817
GBL	6.21544886725624
C14orf108	8.42768944322746
CDC25B	6.56997007544219
BMP3	3.18940337079026
MAP1LC3C	3.52179989773138
TMEM180	4.0057415515409
CRYGC	7.27221657148081
SLK	6.11265600908055
POU3F1	3.13858820134372
C20orf32	3.59677530621836
USP52	6.21991989587461
HIGD1B	3.91406663859896
BAZ1B	6.04301893711379
USP6NL	6.48000507071294
SLCO2B1	4.25171499029480
ABCD4	4.52059985857726
DIMT1L	5.86228130990947
SLC25A46	7.65706064042094
LARP7	6.93336657932605
TEK	3.63302835605667
CD160	3.51605610475204
TERF2IP	8.12368617818958
PHF20	6.75337836157008
COL1A1	9.44675115207992
KIAA0090	5.90084479403348
GTPBP1	4.54384533344664
GRK5	3.79166558971912
AP1S2	5.52166393385321
RAB33B	4.7961365751546
CA11	5.72949959785789
ALDOC	6.6022977762528
NUDT1	4.88101647112209
ZNF212	5.74257403980519
ACBD3	8.36816898843658
ZNF83	6.00766567497551
PRDM2	5.26699494181248
GDPD5	4.77413433911265
PDCD4	6.91598648123982
CEP350	5.83554765966908
FOXP3	3.30384957442761
SMYD3	7.63808077725108
CST7	6.25876484505132
SELL	4.59572301128311
CIAO1	6.46274251637847
LGI2	3.87307269366013
WDR45	6.72928041031634
ANKRD6	8.18141556390147
LTBP4	5.5618385487908
PSCD3	3.22151351887896
PYY	3.18342245863384
KCNC1	3.11141907478135
SIRT6	4.09033940628343
CCL19	3.68328496494627
ARHGEF9	5.42556385515951
ABR	4.6265037951548
C10orf22	7.30952783983886
STK17A	4.66751190443696
FOXE1	3.51182936824082
GML	3.09571009156949
CNGA3	2.97716277398948
CD38	3.3425788955456
ZDHHC6	7.01980380939843
NEFH	6.14328589072794
PGBD5	4.55091713262607
CTDSP2	8.35555192877408
RMND5B	6.42458407356328
ZNF257	3.46025302405444
DUSP4	5.60781182714241
FLJ22167	5.99152374903375
EXOSC7	7.36198110969241
ROR2	4.29855710232157
FOXM1	5.10262211826772
ZBTB48	5.34926462346406
BUD31	7.83975633387588
MAOA	4.56901837838401
CCDC41	4.85141021814531
TNNT3	3.46528091358107
FBXO11	5.89698403091014
GYPC	4.88533563735615
PLIN	3.87895036656074
RFXAP	3.21894319405176
C6orf15	3.79802972734304
RNF4	8.30337566563875
F8A1	7.76942464155275
PPP1R3D	4.48519337868851
GRB2	7.42393696840319
TPM3	3.26786895517856
SYT13	3.648462915127
EPB42	3.47641174110655
RP5-1077B9.4	5.89938781103672
EIF1	10.8981906203079
CETN3	7.84941359621319
FPGT	5.32244917699727
PRY	3.7131056971989
NTHL1	5.67946775025932
POLR2B	8.25681853749797
RPS28	12.6260209033985
GDF10	3.16470180810217
COQ9	7.60300246750049
P2RX3	2.90446502406672
GCC2	7.5880135694093
RARRES3	4.27894112185067
PLXNA1	5.70839088279152
WBP4	4.99174214004522
KIAA0100	7.04655302224332
PMF1	7.28688794813531
HS2ST1	6.50870538446088
CRELD2	6.82516240822012
C8G	2.98075347887781
CD82	5.14342603414523
PMM1	4.8990828656815
CBLL1	4.63584153611521
LIM2	3.45303044085837
VAX2	5.18257909060878
SETDB1	5.82704172497166
LRAP	3.15651888714598
GCLM	6.8535743628142
CPEB3	3.76042098586313
PPM1A	6.1894291613502
INTS1	4.23275568809018
MMP16	3.18798644408281
CAMTA1	5.92233260026629
SAMSN1	4.54257848945404
DRD3	2.90311129559309
GMPPA	5.53193277058772
C11orf73	6.408632945069
AIPL1	3.75147949751217
PTP4A2	8.77390201519123
IL24	3.31397008166413
BDKRB1	3.17941255590012
HPCA	3.35533052767828
MLF1	6.81652824200654
SEC14L1	6.60161280185103
CHFR	4.4581449900918
EMILIN1	3.64412418264531
THADA	6.51354171661059
TAF12	5.53235009853739
NDUFS4	8.35417242415998
ID1	5.97009122931677
PIK3CB	3.46864591671216
COL18A1	7.85420696245868
PDZD3	3.09941989018439
TBC1D17	5.20272080070557
COX8A	9.80312493130493
CDCA4	5.5852912940804
C2orf44	4.81055369021256
C9orf16	7.29494320770847
ERBB2IP	8.09259311684468
EMX2	8.7277002999732
FUS	6.44255415366822
NIPSNAP3B	3.94345810459303
TF	3.20281972493971
CXorf56	5.65720405517864
CLCN4	4.22912802430936
PWP2	5.5977600139061
MMP15	4.29724431137108
MTMR14	5.93391185621751
NPR1	6.24525558030656
DNAL4	6.23890805271111
ELAC2	4.73318210975191
ASS1	10.1468580982888
IPP	5.40963902304799
TMEM59	9.3817542943885
POLR2J	8.51194479412514
SEC23IP	6.03497355129204
RGS4	4.10796475157025
UQCRC1	9.30092728305025
SNX6	8.45953130259171
DDX18	7.45887754049871
POLG	4.69562262680278
ADAM23	4.00461413129771
ZNHIT2	4.46110207238934
TFR2	3.46510425938936
NCDN	4.22578082147671
RAG1	3.49960724284375
POMT1	4.45521971881302
CYP1A1	3.33688624328075
SNAPC1	6.21726980198485
GNA11	5.16908838817447
CCDC52	2.83188649344214
CAPN1	6.38825803686032
DDHD2	7.50613503239499
UPF3A	6.4502951737122
LAGE3	5.98499691622369
GNRHR	3.21689132679437
UNC13B	5.24443047381033
TTLL4	5.15075211697454
PPBP	2.98549636178028
HTR3A	4.00150543832781
SDC2	6.89839731019506
ANKRD49	6.95164169427335
BTF3	10.8467740312905
COX7A2	11.2629894603343
