Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_D05_547304
Composite Element REF	Signal
AACS	7.2692214387567
FSTL1	6.77155868278945
ELMO2	5.81337657013771
CREB3L1	3.95591493529386
RPS11	10.0172457770837
PNMA1	9.83205121917204
MMP2	6.78920695832447
SAMD4A	4.06694780086591
SMARCD3	5.29034022637844
A4GNT	3.59226950874292
C9orf39	2.85719046492548
PKNOX2	5.3922648770272
RALYL	3.16711413222352
ZHX3	4.65433457759631
ERCC5	6.49296656376691
RXFP3	3.13714781978122
APBB2	3.24589574677401
BBOX1	6.49845311712378
PRO0478	3.02759456497659
GCSH	7.85772164570194
XDH	3.5544331074922
EDN1	3.506936815464
MTERF	7.07531788291094
PDCL3	7.76063843708335
CLK4	5.3897946405895
KCNG1	3.59513817236214
CXCR4	7.86506718258977
DECR1	8.14591753465911
SALL1	3.07859533205615
PTPRR	3.20376349757248
CADM4	3.39561610872141
IRAK1	8.4181250223102
CFHR5	3.36673321299436
HNRPD	7.85352896255164
TMSB10	12.0742510782239
CXCL3	3.92264192546625
LMAN1	3.81505840328503
SUHW1	3.4924500354303
CHD8	6.38501160846773
SUMO1	8.0812467629348
GP1BA	3.50495654825692
OR7A10	4.05735718989805
DDB1	6.93523232610214
CHRNA10	3.71728022521971
STYK1	3.42607928948942
MYO9B	3.98194836825627
CCNI	9.7416295088882
MMP7	4.3482010777965
EP300	6.12484860892334
CRNKL1	6.80434326371104
C9orf45	3.37240478914056
XAB2	4.0426000486915
RTN1	4.08621172201165
HIC2	4.18424323499314
TBX10	3.55510163475664
CENPQ	4.26372853278515
UTY	3.19703562122524
OR2W1	3.00820256773034
ATP5G2	10.9326267586347
ZEB1	3.26617960464779
ZG16	3.4377010286562
ERG	3.53832950546475
PARN	6.52482767154212
SOD2	6.05174464147925
JOSD3	7.12445723928367
ADAM5P	3.19844024525077
CHD9	5.78058642241357
hCG_40738	3.92913331979126
STK16	5.11009216622711
PDE1C	3.38899003208923
SEMA4D	6.35245218077744
AGPAT1	5.97925003395514
TOB2	5.39764617304479
BANK1	5.01515860628816
MAP3K3	5.35599180717584
MAX	5.88934279079959
GRM2	3.67526351296382
OSBPL8	7.35185342443169
PROSC	6.23438944169264
NR4A2	5.3002053520353
RICS	4.4190216035577
PIR	5.96032600215346
PPCS	8.62848125124622
IPO9	5.93850179579486
LONP1	6.96380697343056
EVC	4.02561390025007
CXCL13	7.48657568053659
SCYL3	5.52143905621751
KIAA1199	6.25142360969639
SORL1	7.71877167641483
NAT10	6.73904312705999
CHD1	5.91898303456243
SYN3	3.43356672215381
DMC1	3.74553195180238
SLC22A2	3.60397094114471
SERPINF1	7.54020633395598
C20orf27	6.16421121557367
OR7A17	3.10389958169751
RPS6KA5	4.60089665876688
LHB	3.52797220127
TAOK3	5.02834131452224
STK25	6.34766137463617
SLC12A4	3.60349448264717
BRCA1	3.98922574293289
GBL	5.67484159585044
C14orf108	8.87818266187207
CDC25B	8.18925269040897
BMP3	3.27024584363854
MAP1LC3C	3.30596055465099
TMEM180	3.66102725972534
CRYGC	3.5530762510043
SLK	5.97887521487322
POU3F1	3.13847321121636
C20orf32	3.97345967234646
USP52	6.27548444351181
HIGD1B	3.65827599693976
BAZ1B	6.465503008714
USP6NL	5.63161071471742
SLCO2B1	4.66013074433532
ABCD4	5.12913504531157
DIMT1L	5.97079462798525
SLC25A46	7.19038595179075
LARP7	6.84772052307188
TEK	3.38236557649806
CD160	3.57608386244432
TERF2IP	8.17530390429575
PHF20	5.90338238199
COL1A1	6.74065934844695
KIAA0090	5.54826913621088
GTPBP1	4.34030284493294
GRK5	4.09834602635268
AP1S2	6.11232925469851
RAB33B	4.79709954561381
CA11	6.26366163351351
ALDOC	5.73640544113112
NUDT1	4.95319202606351
ZNF212	5.88514336313916
ACBD3	7.26891687293442
ZNF83	7.03446433111445
PRDM2	4.81461561453682
GDPD5	7.47554123045042
PDCD4	5.9546178836724
CEP350	5.71301169444169
FOXP3	3.37177465063578
SMYD3	6.62508663852022
CST7	6.50714363539275
SELL	4.9171495114239
CIAO1	6.56180837299802
LGI2	3.77213402194353
WDR45	6.98322874621937
ANKRD6	5.9144332194854
LTBP4	4.6899116193861
PSCD3	3.34914689547786
PYY	3.3044695592767
KCNC1	3.07918380250363
SIRT6	3.77222928531228
CCL19	4.31523872049125
ARHGEF9	4.65335538361185
ABR	4.55947290345007
C10orf22	7.24537513443266
STK17A	4.89220482327945
FOXE1	3.28419123512649
GML	3.02026684677528
CNGA3	2.86463258682038
CD38	5.01571517426284
ZDHHC6	7.98260171101295
NEFH	4.43711618314697
PGBD5	3.45826529255912
CTDSP2	7.33480356475071
RMND5B	5.96157625151809
ZNF257	3.94470294724305
DUSP4	6.28709713055213
FLJ22167	6.0446389184976
EXOSC7	6.83028936975332
ROR2	3.88937714361499
FOXM1	5.31031100531992
ZBTB48	5.05848015598192
BUD31	9.00217995211237
MAOA	4.14369974169271
CCDC41	4.86789932879671
TNNT3	3.57037770386687
FBXO11	5.41591657869295
GYPC	5.28768532876383
PLIN	4.96896089542888
RFXAP	3.5123877170505
C6orf15	8.07233168579098
RNF4	7.76794124390146
F8A1	8.54329301105331
PPP1R3D	4.46921451898353
GRB2	7.6824045366003
TPM3	3.18180709874507
SYT13	3.41159684242931
EPB42	3.56114667709427
RP5-1077B9.4	5.36047378933133
EIF1	10.5492795108738
CETN3	7.48455298899186
FPGT	5.16366502992144
PRY	3.36207370940176
NTHL1	5.70355891369
POLR2B	8.36473341243329
RPS28	11.4730871257889
GDF10	3.04771321172302
COQ9	8.02369987821188
P2RX3	3.41281364132805
GCC2	6.89704904813265
RARRES3	7.24317238511185
PLXNA1	6.15987272226034
WBP4	5.74979988160945
KIAA0100	5.99117780191163
PMF1	8.2924798986297
HS2ST1	5.91793335580117
CRELD2	6.70167259785603
C8G	3.20357757032075
CD82	5.41685588629127
PMM1	5.90785392710332
CBLL1	4.84271489157918
LIM2	3.32220929351177
VAX2	4.5395503901968
SETDB1	5.92744649684137
LRAP	5.2861184766572
GCLM	5.92039738208342
CPEB3	3.85943004533135
PPM1A	6.7102505706429
INTS1	4.00575114428463
MMP16	3.09361614825675
CAMTA1	5.19505479856494
SAMSN1	6.3710095301993
DRD3	2.86657959748476
GMPPA	5.68954813793232
C11orf73	6.05852177335218
AIPL1	3.94666242949817
PTP4A2	9.29049927217205
IL24	3.31856501293653
BDKRB1	3.07366974348309
HPCA	3.57233292687606
MLF1	6.95242480050334
SEC14L1	6.38300495482518
CHFR	7.16801633717841
EMILIN1	3.42825422151025
THADA	5.87847390829412
TAF12	6.01682936636372
NDUFS4	7.90536983462719
ID1	5.48811901157183
PIK3CB	3.84455205479572
COL18A1	8.68709370863097
PDZD3	3.19713043551884
TBC1D17	5.2222182661068
COX8A	9.8864419497839
CDCA4	7.55383046503472
C2orf44	3.95995118455176
C9orf16	7.85431874237043
ERBB2IP	7.41303104493394
EMX2	9.48980632042272
FUS	5.92844120636993
NIPSNAP3B	3.41020068643423
TF	3.25587327690268
CXorf56	5.08497556932525
CLCN4	4.04556637703359
PWP2	6.07893144418785
MMP15	3.45638086273738
MTMR14	6.49785902262052
NPR1	5.74546917227674
DNAL4	6.22968254603216
ELAC2	4.61916020165966
ASS1	11.677684698711
IPP	5.76163025670449
TMEM59	10.2487745056130
POLR2J	9.12783425480624
SEC23IP	6.04182338930972
RGS4	4.13213145927027
