Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_C02_472034
Composite Element REF	Signal
AACS	5.89132741287208
FSTL1	9.22657359364115
ELMO2	5.78332670406213
CREB3L1	3.87482595341807
RPS11	9.24655114072326
PNMA1	8.97381908828413
MMP2	6.35023686208758
SAMD4A	3.55868964169674
SMARCD3	5.15899221117451
A4GNT	3.59403648797565
C9orf39	3.2946193467394
PKNOX2	3.81958787851801
RALYL	3.15761539367471
ZHX3	4.23534361975771
ERCC5	5.94576119283595
RXFP3	3.08375231294500
APBB2	3.7622048023261
BBOX1	2.86161173264081
PRO0478	2.99532594539373
GCSH	8.05321066027361
XDH	3.3574842166929
EDN1	5.15982022695887
MTERF	6.01047483646567
PDCL3	7.7713125424212
CLK4	4.45463490587544
KCNG1	5.22962901024099
CXCR4	7.91665389185319
DECR1	9.4557846079244
SALL1	5.07781288414104
PTPRR	3.19719554172582
CADM4	3.41337200421089
IRAK1	8.78176380990164
CFHR5	3.27236125238575
HNRPD	7.85064306845323
TMSB10	11.5080783723307
CXCL3	3.8704364977705
LMAN1	4.24175626813458
SUHW1	3.54716048424312
CHD8	6.66821706034082
SUMO1	8.77627026688367
GP1BA	3.20253787760795
OR7A10	3.81556818993829
DDB1	7.7695719390702
CHRNA10	3.64002080860934
STYK1	3.62144581041223
MYO9B	3.97503644350226
CCNI	9.56656833706967
MMP7	10.4261999917815
EP300	5.5591937328327
CRNKL1	6.70973087779245
C9orf45	3.09397101660944
XAB2	4.06366267819031
RTN1	5.29769743199128
HIC2	3.79034402189430
TBX10	3.57295829798251
CENPQ	4.54984846097195
UTY	3.27359799512014
OR2W1	2.86828093769379
ATP5G2	10.4574111907575
ZEB1	3.27807265789718
ZG16	3.49327900663513
ERG	3.62642013074849
PARN	5.96037921128724
SOD2	3.98109243774934
JOSD3	7.2026157423171
ADAM5P	3.0464814161441
CHD9	5.82186709360358
hCG_40738	4.52209585936492
STK16	5.09215740286214
PDE1C	3.30034515837233
SEMA4D	4.98109182786916
AGPAT1	6.1121605988469
TOB2	6.1644699598562
BANK1	3.6961054955944
MAP3K3	5.61340572464777
MAX	5.62278713810257
GRM2	3.64255051220996
OSBPL8	6.37636601344158
PROSC	6.02060766943978
NR4A2	3.92670897118148
RICS	4.38073702840102
PIR	5.20439338135799
PPCS	9.91385533545366
IPO9	6.76039265997215
LONP1	5.98056000135486
EVC	3.80980099570570
CXCL13	3.72812749383834
SCYL3	5.70986746906385
KIAA1199	7.19227339705783
SORL1	7.96991677480529
NAT10	7.80631272394698
CHD1	5.80566752290126
SYN3	3.32987953319761
DMC1	3.88410342793532
SLC22A2	3.47294488160402
SERPINF1	7.89599871681471
C20orf27	5.78679188045308
OR7A17	3.32869327773334
RPS6KA5	3.85189826996802
LHB	3.26050438771296
TAOK3	4.44289364769418
STK25	6.4997553966663
SLC12A4	3.54486152133122
BRCA1	3.29119178179764
GBL	4.55100916577185
C14orf108	8.61643958399315
CDC25B	7.78700290150233
BMP3	3.09561287851239
MAP1LC3C	3.38225883194602
TMEM180	3.90396769232554
CRYGC	3.61262567864829
SLK	6.44389736391302
POU3F1	3.45604929223195
C20orf32	3.98784176350098
USP52	4.31774657727682
HIGD1B	4.09104840845932
BAZ1B	5.78983976570622
USP6NL	5.40104120895095
SLCO2B1	3.71850392471941
ABCD4	4.53083767719500
DIMT1L	5.86066957800482
SLC25A46	7.0426281008191
LARP7	6.73717553531031
TEK	3.58259166471203
CD160	3.48761386897093
TERF2IP	7.18769790862186
PHF20	5.17823157604789
COL1A1	6.34070366748884
KIAA0090	6.31122265975766
GTPBP1	3.92885944121687
GRK5	3.84250141046034
AP1S2	5.27342185000968
RAB33B	3.84741229552892
CA11	5.05854571931079
ALDOC	5.11912097268133
NUDT1	4.73458342304206
ZNF212	4.83906170090019
ACBD3	7.11569569821901
ZNF83	5.21219623185365
PRDM2	4.47872506672432
GDPD5	5.70056438694682
PDCD4	6.89612883716341
CEP350	6.61223780384341
FOXP3	3.21894245521876
SMYD3	5.84748560708681
