Hybridization REF	APEEK_p_TCGA_GBM16-Ov15_Expr_HT_HG-U133A_96-HTA_B08_464068
Composite Element REF	Signal
AACS	7.60657543878264
FSTL1	8.0477950722078
ELMO2	5.20391222212362
CREB3L1	3.91498451241717
RPS11	10.1220592228397
PNMA1	7.39461511480748
MMP2	8.11979967131983
SAMD4A	3.95745413047757
SMARCD3	5.25916324742523
A4GNT	3.75592452871058
C9orf39	3.55778702105189
PKNOX2	3.80870558186910
RALYL	3.30116068132563
ZHX3	4.53709478624255
ERCC5	6.63656167524876
RXFP3	3.27133720903865
APBB2	4.6036776152424
BBOX1	4.36686658567080
PRO0478	2.95807890995566
GCSH	9.50097264976
XDH	3.93892313523705
EDN1	3.89933977281928
MTERF	6.71179508623374
PDCL3	7.19068706022337
CLK4	6.35107429195386
KCNG1	3.70191198483844
CXCR4	8.21581054292066
DECR1	7.93735433208455
SALL1	2.92271895155407
PTPRR	3.30262149392826
CADM4	3.46766027256434
IRAK1	8.98716137866461
CFHR5	3.11416489582844
HNRPD	7.82964493484079
TMSB10	11.9181565310557
CXCL3	5.19845043716009
LMAN1	3.89597330131412
SUHW1	3.64506072107209
CHD8	5.59105899839278
SUMO1	7.71272219881686
GP1BA	3.48221526282423
OR7A10	4.08001041454675
DDB1	7.68180406304544
CHRNA10	3.56225267398667
STYK1	3.30123409905247
MYO9B	4.24742241155662
CCNI	9.86398838500596
MMP7	9.6051372041611
EP300	6.1192056889236
CRNKL1	6.73709516007715
C9orf45	3.15747307535771
XAB2	4.37710313887272
RTN1	4.56990403783256
HIC2	3.69012898210403
TBX10	3.51364544095946
CENPQ	4.53463380823584
UTY	3.20790651489096
OR2W1	2.91745202802987
ATP5G2	11.0380204133935
ZEB1	3.72767682868142
ZG16	3.36376728878955
ERG	3.59050561661994
PARN	6.03622761868121
SOD2	7.32886732109249
JOSD3	7.269775172775
ADAM5P	3.33652481087147
CHD9	5.7662917165356
hCG_40738	3.45527880172106
STK16	5.18921452761459
PDE1C	3.38795945694499
SEMA4D	5.34139788236196
AGPAT1	5.72392701191946
TOB2	6.36937915542309
BANK1	5.62385716025754
MAP3K3	4.88915067849212
MAX	5.14267081159044
GRM2	3.78208598540376
OSBPL8	7.51602134798718
PROSC	6.344926921884
NR4A2	3.89290453377468
RICS	3.99604715794981
PIR	4.88568529659608
PPCS	8.61846907377881
IPO9	6.47802006155137
LONP1	6.65073875491592
EVC	3.82266252983108
CXCL13	4.26370933716589
SCYL3	5.5620956582273
KIAA1199	8.09564844895048
SORL1	9.02125755277367
NAT10	5.68743826582623
CHD1	6.65838572981838
SYN3	3.64955584083364
DMC1	3.67811438420201
SLC22A2	3.60174585624145
SERPINF1	8.31105409909562
C20orf27	5.7548077000064
OR7A17	3.15275722941195
RPS6KA5	4.89460769216227
LHB	3.16241422597916
TAOK3	5.36521509683258
STK25	6.02103621172188
SLC12A4	3.64108276133801
BRCA1	3.65700785147576
GBL	4.72939503928486
C14orf108	8.50908259693867
CDC25B	6.143190273962
BMP3	3.14177646207568
MAP1LC3C	3.50449472898134
TMEM180	3.98454884054600
CRYGC	3.59260530899108
SLK	6.4866468720199
POU3F1	3.33675442763191
C20orf32	3.71571015786432
USP52	4.80327050353274
HIGD1B	3.61602501704626
BAZ1B	6.26730219992945
USP6NL	5.83193596144378
SLCO2B1	4.11366571183679
ABCD4	4.54740280621451
DIMT1L	6.47888500594
SLC25A46	7.53890492018502
LARP7	6.64594224757705
TEK	3.62379399026005
CD160	3.62838724346798
TERF2IP	7.67903857513658
PHF20	6.3333692606045
COL1A1	8.1404991947384
KIAA0090	5.48723541735183
GTPBP1	4.36323819191297
GRK5	4.02180398077759
AP1S2	5.40417773001937
RAB33B	4.11777593089648
CA11	4.2041418489989
ALDOC	6.62875878876804
NUDT1	5.66236392582846
ZNF212	5.46767743509682
ACBD3	7.88946738549265
ZNF83	6.98379228842719
PRDM2	5.11893077847343
GDPD5	5.41705258791421
PDCD4	6.42427164349574
CEP350	6.58335448436816
FOXP3	3.15728925887922
SMYD3	7.67760093975002
CST7	5.22011435962549
SELL	4.14034909227103
CIAO1	6.14151455069279
LGI2	3.5959724461432
WDR45	6.61996223849822
ANKRD6	6.8662728260652
LTBP4	4.55626724533372
PSCD3	3.03239420480800
PYY	3.08340612204992
KCNC1	3.13061580718743
SIRT6	3.87045258387304
CCL19	3.52304202612402
ARHGEF9	4.33715256129217
ABR	4.36184621393139
C10orf22	6.88265946632419
STK17A	4.72147629492506
FOXE1	3.53858918089270
GML	2.96113956927596
CNGA3	3.14172844854819
CD38	3.48494406481286
ZDHHC6	7.44225204690106
NEFH	7.07907667772034
PGBD5	3.40467747573191
CTDSP2	7.63850662151122
RMND5B	6.02487993688429
ZNF257	3.88981604489353
DUSP4	3.83840376437943
FLJ22167	5.49917412800899
EXOSC7	6.91859276991561
ROR2	3.7305759652917
FOXM1	4.38632458306109
ZBTB48	4.24966410813151
BUD31	7.61387858451247
MAOA	4.08668097839332
CCDC41	5.56536174493371
TNNT3	3.57663565296027
FBXO11	5.66582902831359
GYPC	6.38175693433268
PLIN	4.03444669910564
RFXAP	3.45156303778797
C6orf15	3.49097680413606
RNF4	7.70148658028157
F8A1	7.56615010566111
PPP1R3D	4.03799729690199
GRB2	7.15987072100821
TPM3	3.30036526925824
SYT13	3.56998977028442
EPB42	3.24620405101442
RP5-1077B9.4	5.35605590291469
EIF1	10.1168766360115
CETN3	7.80845705717254
FPGT	5.2513497800815
PRY	3.21582194563385
NTHL1	5.12615366880276
POLR2B	8.12819009065261
RPS28	12.4271019312774
GDF10	3.03088683639717
COQ9	6.74212056528557
P2RX3	3.0603218963028
GCC2	7.59535549422295
RARRES3	7.1620861002006
PLXNA1	6.08377357184436
WBP4	4.61339886720829
KIAA0100	5.98021420460044
PMF1	6.87943994260722
HS2ST1	6.04675533189835
CRELD2	6.41805538785035
C8G	3.25764493497112
CD82	5.72056021993956
PMM1	4.34859471484568
CBLL1	4.66786755653484
LIM2	3.17461867568293
VAX2	3.35813820372876
SETDB1	5.30101997683764
LRAP	5.73713612208412
GCLM	7.22771376279697
CPEB3	3.90023370385108
PPM1A	5.85203080933342
INTS1	4.09185744031418
MMP16	3.17939873553393
CAMTA1	3.69046663421125
SAMSN1	5.33036574471647
DRD3	2.92300769473357
GMPPA	5.2198089940267
C11orf73	5.09164199031956
AIPL1	3.58833949488501
PTP4A2	9.24294292926809
IL24	3.46472508994924
BDKRB1	3.48354728255954
HPCA	3.58501432389583
MLF1	5.52154329261786
SEC14L1	5.58308207867525
CHFR	4.67896520735189
EMILIN1	3.62539972534268
THADA	6.74974015137479
TAF12	5.36217740866854
NDUFS4	9.35823078208234
ID1	6.09125781237287
PIK3CB	4.22093179517952
COL18A1	8.08946890831968
PDZD3	3.20432650937848
TBC1D17	5.17370183726771
COX8A	9.91351627299774
CDCA4	6.37335426080004
C2orf44	4.53445060323399
C9orf16	7.20643894182208
ERBB2IP	8.1572695188044
EMX2	8.6153714535491
FUS	6.41095888929363
NIPSNAP3B	3.64086505081835
TF	3.50345588335634
CXorf56	5.58555617731976
CLCN4	3.62202622960779
PWP2	5.65116285100583
MMP15	4.2290417462153
MTMR14	5.73479891279265
NPR1	7.42464519327208
DNAL4	5.06041623888681
ELAC2	4.48097936238902
ASS1	10.9596563892868
IPP	4.77556999485535
TMEM59	9.60634590559482
POLR2J	8.5679742896001
SEC23IP	5.41251092684424
RGS4	4.26535135775593
UQCRC1	9.23979050430792
SNX6	7.84329571486848
DDX18	6.9485393209475
POLG	4.43766039559015
ADAM23	4.10108571132141
ZNHIT2	4.15341704362428
TFR2	3.44727484059471
NCDN	4.08072678651756
RAG1	3.54354742892086
POMT1	4.33574348609864
CYP1A1	3.42286127819791
SNAPC1	5.90349354211171
GNA11	4.98902499352786
CCDC52	2.80179093597402
CAPN1	6.99514442111033
DDHD2	7.42339691520662
UPF3A	6.92833050608543
LAGE3	6.29354980879308
GNRHR	3.11305822577179
UNC13B	5.48135317567598
TTLL4	4.47363156344309
PPBP	2.85318275046228
HTR3A	4.53543284665269
SDC2	4.80964705397587
ANKRD49	6.08419251920552
BTF3	11.2804973769750
COX7A2	10.4112346417443
SARS	8.69741271937723
C13orf18	4.30319935580907
CACNB1	3.83109603138125
QKI	5.79811983435075
SETMAR	5.48847712765742
LAMB4	3.44902858812446
MAN2B1	7.32994726240744
EML3	5.17740615476599
ACADL	3.22011391668546
OFD1	7.43953733706177
CGA	3.35733708580161
EIF3EIP	11.2229105857062
PEX16	5.4894250134421
GNG12	7.83472448757783
HABP4	5.14419144408501
CNTN2	3.69653843243605
ASNSD1	7.23242092717608
FUT4	3.74615529041355
DBH	3.35358972591023
CD53	7.49465004688816
HIST1H2BJ	3.72362772157636
TFAP2B	3.14904297183506
ACF	3.56721431913748
TMEM11	5.56795909179314
