Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_G06_298038
Composite Element REF	Signal
AACS	7.5645681853953
FSTL1	6.49376678075309
ELMO2	4.49767693402812
CREB3L1	3.72734133441355
RPS11	9.8713276421208
PNMA1	7.7163876493415
MMP2	4.68061835336296
SAMD4A	4.15153873435736
SMARCD3	7.40709449664362
A4GNT	3.73682862068094
C9orf39	3.23733674871615
PKNOX2	3.75701474707946
RALYL	3.65137047243250
ZHX3	4.13790109285386
ERCC5	6.77913270264981
RXFP3	3.15599771972366
APBB2	3.65369519265565
BBOX1	6.33971954496083
PRO0478	3.27697260954477
GCSH	8.89752578236178
XDH	4.23008422109988
EDN1	3.6959420093068
MTERF	4.86006737886944
PDCL3	6.79271583765831
CLK4	6.76762559170147
KCNG1	4.13681342687011
CXCR4	7.0959308889455
DECR1	8.20211470434128
SALL1	3.23477285480916
PTPRR	3.65856496766157
CADM4	3.67454272158824
IRAK1	9.25162875239181
CFHR5	3.39725603300252
HNRPD	7.10332831319735
TMSB10	12.2710662978809
CXCL3	4.93563627888171
LMAN1	3.79636594043622
SUHW1	3.44742846692635
CHD8	6.39452732797366
SUMO1	6.55332906679094
GP1BA	3.93770525732215
OR7A10	3.54109330589166
DDB1	7.7490919602331
CHRNA10	3.95207050403333
STYK1	3.48649466526482
MYO9B	4.68190515989932
CCNI	10.5559862838397
MMP7	11.3870837305457
EP300	5.64953106313221
CRNKL1	4.78465870610059
C9orf45	3.43561418431359
XAB2	4.38794736525923
RTN1	4.14113937334781
HIC2	3.69783763028139
TBX10	3.55713727058648
CENPQ	3.91653818330131
UTY	3.23598279545529
OR2W1	2.82141646308882
ATP5G2	10.8621349492213
ZEB1	3.2583473530995
ZG16	3.41790349326362
ERG	3.6703152248282
PARN	6.06318274584814
SOD2	8.5004727179184
JOSD3	7.82911425236491
ADAM5P	3.34172104741408
CHD9	6.04674950444503
hCG_40738	4.15834542162203
STK16	4.33824305358769
PDE1C	3.73623943828197
SEMA4D	5.29217233865078
AGPAT1	6.48672910608476
TOB2	5.41475761336275
BANK1	3.42896314116488
MAP3K3	5.87802124879747
MAX	5.74681412842238
GRM2	3.69084575914662
OSBPL8	6.60048032295619
PROSC	6.17701540117135
NR4A2	3.40713911244636
RICS	4.7986319823155
PIR	4.48281804826316
PPCS	8.59403341169421
IPO9	6.25195720888988
LONP1	6.07599547300786
EVC	4.21428769337958
CXCL13	4.26853186339653
SCYL3	5.69557207974014
KIAA1199	6.39227378766346
SORL1	8.34706833321268
NAT10	7.12591412317802
CHD1	4.72204630490856
SYN3	3.49139244561222
DMC1	3.70557153841037
SLC22A2	3.71354835106021
SERPINF1	5.24254888922771
C20orf27	4.97759245037028
OR7A17	3.21650801577861
RPS6KA5	4.63537017487708
LHB	3.75268699478648
TAOK3	5.23003627234255
STK25	5.7585964347329
SLC12A4	3.69177748440918
BRCA1	3.55723171292978
GBL	5.00525412194691
C14orf108	7.94549581118025
CDC25B	8.11965816359063
BMP3	3.11562347463591
MAP1LC3C	3.55414710333256
TMEM180	3.61558013668397
CRYGC	3.79524421921707
SLK	5.50655964674337
POU3F1	3.45880371407036
C20orf32	3.92908806837498
USP52	5.87287596066325
HIGD1B	4.28562798354848
BAZ1B	6.2379317300033
USP6NL	5.0919486135815
SLCO2B1	4.07187262796927
ABCD4	4.49091965477546
DIMT1L	5.40529211004362
SLC25A46	6.48491334301964
LARP7	6.16983587345775
TEK	3.20888446501585
CD160	3.73729954582003
TERF2IP	8.3804146917313
PHF20	5.0528686671799
COL1A1	5.27510118289916
KIAA0090	5.31275488201572
GTPBP1	4.79377673023043
GRK5	3.6208977018178
AP1S2	4.40921688729
RAB33B	4.59859618066185
CA11	3.91564737232111
ALDOC	8.28772041015379
NUDT1	4.91630846977225
ZNF212	4.65694120812742
ACBD3	7.05700576335685
ZNF83	4.97394115022865
PRDM2	4.89770081314827
GDPD5	5.33974522979723
PDCD4	5.66799290706155
CEP350	6.02412158352078
FOXP3	3.40232549858046
SMYD3	6.64043063449911
CST7	4.55563810576308
SELL	3.41473593918153
CIAO1	5.88095530333615
LGI2	3.51405773475098
WDR45	7.91452035657829
ANKRD6	6.41387696665047
LTBP4	3.50838151461175
PSCD3	3.45603098782203
PYY	3.2458513664213
KCNC1	3.28260545314491
SIRT6	4.27293371039874
CCL19	3.95558455194795
ARHGEF9	4.77351321637371
ABR	4.78224039608981
C10orf22	6.19233014333668
STK17A	4.32376054087992
FOXE1	4.01722742355144
GML	3.21315169592478
CNGA3	3.05539349322588
CD38	3.23060114532737
ZDHHC6	7.32921260697417
NEFH	3.78997126724642
PGBD5	3.63591270292942
CTDSP2	7.61341730352896
RMND5B	5.94444514580566
ZNF257	3.54882484754512
DUSP4	3.86229616274994
FLJ22167	5.493853861561
EXOSC7	6.74680972145026
ROR2	3.85015506876507
FOXM1	5.22816693543131
ZBTB48	4.73018319097535
BUD31	6.68013757105751
MAOA	4.24631990185152
CCDC41	4.42016172643131
TNNT3	4.16384327680525
FBXO11	5.14631835531566
GYPC	6.25585916169386
PLIN	3.24656273793513
RFXAP	4.05349838225838
