Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_F05_491260
Composite Element REF	Signal
AACS	6.84677623070843
FSTL1	8.16107174277739
ELMO2	4.95177231559652
CREB3L1	4.15256275400928
RPS11	10.6448378903885
PNMA1	6.80470041069587
MMP2	7.7677921636607
SAMD4A	3.84755948836896
SMARCD3	8.98778678255977
A4GNT	3.59475410770429
C9orf39	3.46448031511109
PKNOX2	4.35115128034895
RALYL	3.77970903693008
ZHX3	4.17568979243699
ERCC5	5.68852971031487
RXFP3	3.0480545991342
APBB2	4.11508747855342
BBOX1	7.80930447713488
PRO0478	3.03717407488312
GCSH	7.77805636923876
XDH	3.92262142077334
EDN1	4.43856459157436
MTERF	5.75202103057944
PDCL3	6.95202685537279
CLK4	6.33276662675405
KCNG1	3.62171151557778
CXCR4	8.67079108059232
DECR1	7.31906428858958
SALL1	3.20605552691195
PTPRR	3.79743266333538
CADM4	3.39451816957599
IRAK1	8.91191720546667
CFHR5	3.16363877464365
HNRPD	6.1822976562487
TMSB10	12.4888801318092
CXCL3	6.24759321285506
LMAN1	4.24495607113546
SUHW1	3.59764591228073
CHD8	4.88646651039976
SUMO1	8.37808274061542
GP1BA	3.29917670956142
OR7A10	3.47612356626585
DDB1	7.16366149853762
CHRNA10	3.66582740223462
STYK1	4.30174931379509
MYO9B	4.07869695561035
CCNI	9.72553913307197
MMP7	9.12522883460042
EP300	5.49795036275665
CRNKL1	5.64056986494245
C9orf45	3.12036572169482
XAB2	3.89587339095235
RTN1	4.47576583290691
HIC2	3.76778448702529
TBX10	3.37236121186956
CENPQ	5.26466665804409
UTY	3.23107465893280
OR2W1	3.00642419007878
ATP5G2	10.294805260236
ZEB1	3.43376676090104
ZG16	3.53211796064135
ERG	4.32176848615874
PARN	5.87964223224886
SOD2	9.39463526185175
JOSD3	8.02604214060654
ADAM5P	3.36548464705010
CHD9	6.07729183139785
hCG_40738	3.54708550800645
STK16	6.22275864875763
PDE1C	3.72341368153272
SEMA4D	4.94735825560301
AGPAT1	6.59491284708918
TOB2	5.85234910181103
BANK1	3.75192207451324
MAP3K3	4.8932402335672
MAX	5.24204219122376
GRM2	4.01517085956077
OSBPL8	7.05741652393831
PROSC	6.02388664137763
NR4A2	5.18492088272267
RICS	3.89793175482333
PIR	6.55839338555966
PPCS	9.51724406607954
IPO9	5.77770520417851
LONP1	5.62208254902408
EVC	3.89302789516283
CXCL13	6.2540169504848
SCYL3	5.63346101556966
KIAA1199	6.64842067308172
SORL1	6.67979792199147
