Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_C06_452022
Composite Element REF	Signal
AACS	5.92821645331689
FSTL1	7.15863279960869
ELMO2	5.03399591820386
CREB3L1	3.75980561014336
RPS11	9.71744110219652
PNMA1	8.29410662853861
MMP2	5.56528410557432
SAMD4A	3.63851015679630
SMARCD3	7.48110060974368
A4GNT	3.83675606846918
C9orf39	3.4726627059472
PKNOX2	4.16336022432018
RALYL	3.06651067632846
ZHX3	4.36263707462624
ERCC5	6.6754930004318
RXFP3	2.87532471236944
APBB2	3.68446795087098
BBOX1	3.03626636096226
PRO0478	3.05933422757863
GCSH	7.10463074416963
XDH	3.61221203932343
EDN1	3.98565304901729
MTERF	6.11790874817533
PDCL3	6.50603149326512
CLK4	5.66550486033811
KCNG1	3.93483473764571
CXCR4	7.71171401953849
DECR1	7.3229850569491
SALL1	3.078724314575
PTPRR	3.76727682935567
CADM4	3.37994162475279
IRAK1	8.19954744492695
CFHR5	3.30810873512806
HNRPD	7.52199801069906
TMSB10	11.1954896595115
CXCL3	3.19166153944416
LMAN1	3.9337598909035
SUHW1	3.63771516249507
CHD8	5.93163457111252
SUMO1	7.37258492998821
GP1BA	3.18486717282273
OR7A10	3.9690274928675
DDB1	7.22349136492341
CHRNA10	3.57766081848049
STYK1	3.47129801633778
MYO9B	4.60890868469190
CCNI	9.2379215215575
MMP7	9.4337146847379
EP300	6.3255239634777
CRNKL1	6.26897410881268
C9orf45	3.07757218344265
XAB2	4.50450939795589
RTN1	3.40667810242727
HIC2	3.6740853478113
TBX10	3.67024962567788
CENPQ	4.17974663435917
UTY	3.20175466270793
OR2W1	2.97989753653917
ATP5G2	10.4475708530804
ZEB1	3.39571311093123
ZG16	3.3783227739434
ERG	3.6374153511543
PARN	6.45229843426977
SOD2	5.89587052570578
JOSD3	8.59612661446544
ADAM5P	3.38669466967639
CHD9	6.51198145830415
hCG_40738	3.84831977740507
STK16	5.10714873745396
PDE1C	3.52280192158657
SEMA4D	4.34148611184048
AGPAT1	6.15390915575761
TOB2	6.00083095280265
BANK1	5.21767317267141
MAP3K3	5.2364736700569
MAX	5.283040013771
GRM2	3.74075650706493
OSBPL8	6.07416106672705
PROSC	4.88060346817175
NR4A2	5.99265668784409
RICS	5.56872875804056
PIR	4.72059591393242
PPCS	8.45642097196056
IPO9	6.34163337518127
LONP1	6.57054378029474
EVC	4.09690025939838
CXCL13	4.20333515688341
SCYL3	5.62445914538046
KIAA1199	6.05443672613252
SORL1	8.78420868370912
NAT10	6.79071827090815
CHD1	6.58261417389626
SYN3	3.18758933428877
DMC1	4.00273639895494
SLC22A2	3.59524438980789
SERPINF1	4.9292609373971
C20orf27	5.4844911593194
OR7A17	3.31601008926231
RPS6KA5	4.90414221905237
LHB	3.42690442033087
TAOK3	4.94708781537792
STK25	5.52584396027145
SLC12A4	3.67997580759716
BRCA1	3.79641456198369
GBL	5.69706809652539
C14orf108	7.8951330438708
CDC25B	5.71219121843471
BMP3	3.42785757033226
MAP1LC3C	3.62334022339114
TMEM180	3.52720315013227
CRYGC	3.80766278728962
SLK	5.55584121985283
POU3F1	3.32262315009801
C20orf32	3.88189140017412
USP52	6.03499470195147
HIGD1B	4.08685199143915
BAZ1B	6.17612915893141
USP6NL	5.96576094986731
SLCO2B1	4.17255630448886
ABCD4	4.52955589915191
DIMT1L	6.09680473472161
SLC25A46	7.05098002924579
LARP7	6.95700804807853
TEK	3.32953769161571
CD160	3.98712164204563
TERF2IP	6.31808874068803
PHF20	5.77339409118795
COL1A1	6.22259357787567
KIAA0090	4.564696677256
GTPBP1	4.34339231497092
GRK5	3.48376744452577
AP1S2	4.50487667985274
RAB33B	4.07470350104947
CA11	4.16715119927652
ALDOC	5.51488798711797
NUDT1	5.39345671003323
ZNF212	5.67164364106824
ACBD3	7.58861765733663
ZNF83	6.62112191256997
PRDM2	4.61629587346232
GDPD5	4.16495402158818
PDCD4	6.14454964780525
CEP350	6.60627552466934
FOXP3	3.53369367131558
SMYD3	6.16375945284847
CST7	4.07102611279985
SELL	4.16868053345338
CIAO1	5.83354815326729
LGI2	3.75700670758401
WDR45	6.90187724574289
ANKRD6	7.49996519440126
LTBP4	3.74894460344034
PSCD3	3.41216549893341
PYY	3.36444528643147
KCNC1	3.25317736046672
SIRT6	4.00255580474501
CCL19	3.74059975321809
ARHGEF9	4.35518546263549
ABR	4.39573350409709
C10orf22	6.05640800939473
STK17A	4.79411269880779
FOXE1	3.57985234098768
GML	3.28582563974442
CNGA3	2.86576668044509
CD38	4.66995725711613
ZDHHC6	7.29590314743331
NEFH	3.35869988858246
PGBD5	3.73475251028507
CTDSP2	7.09789678024979
RMND5B	5.67815834530291
ZNF257	4.31905243262336
DUSP4	5.40970414526669
FLJ22167	6.59700125043504
EXOSC7	6.45770650847297
ROR2	3.4984902475171
FOXM1	4.51483406411868
ZBTB48	4.65302227557869
BUD31	7.63539209692125
MAOA	4.1633834133067
CCDC41	5.43890299567842
TNNT3	3.72578135230632
FBXO11	5.58837655580834
GYPC	5.17150408423076
PLIN	3.51060506847448
RFXAP	3.46853604725916
C6orf15	3.85464432930129
RNF4	7.33767865355616
F8A1	7.18640943962817
PPP1R3D	4.38505454191232
GRB2	6.80962978479029
TPM3	3.08757954193376
SYT13	3.78625686309029
EPB42	3.70484885317931
RP5-1077B9.4	4.75090444512757
EIF1	9.7311195982993
CETN3	7.4793082163155
FPGT	5.03140068624748
PRY	3.28642761182526
NTHL1	6.12334138719180
POLR2B	7.60572704587179
RPS28	11.9126392160941
GDF10	3.31545184854663
COQ9	7.58611478281532
P2RX3	2.91423876161343
GCC2	7.36639545823405
RARRES3	7.47028289984513
PLXNA1	5.67627089699109
WBP4	4.19074447166444
KIAA0100	5.50668505781228
PMF1	6.46575234231774
HS2ST1	5.48272143736452
CRELD2	6.67764889476947
C8G	3.07229111920887
CD82	6.16399632739925
PMM1	4.746875004753
CBLL1	4.73989317174824
LIM2	3.36080637066886
VAX2	3.90168164031095
SETDB1	5.60824974512045
LRAP	5.78374943029703
GCLM	6.4521648108385
CPEB3	3.44990743303857
PPM1A	5.97490992420873
INTS1	4.01318907224794
MMP16	3.26069029944184
CAMTA1	3.79719327367583
SAMSN1	4.85286159470045
DRD3	2.97524684694116
GMPPA	5.32121480972465
C11orf73	6.05353185770283
AIPL1	3.89640890727192
PTP4A2	8.21319768708398
IL24	3.71238131906478
BDKRB1	3.21774859801685
HPCA	3.64890742394409
MLF1	6.21815848800364
SEC14L1	6.9417297602289
CHFR	5.26388180207591
EMILIN1	3.59751213822626
THADA	6.15450988321851
TAF12	4.26922343663323
NDUFS4	8.41841124770693
ID1	3.79443440936937
PIK3CB	4.38066265956896
COL18A1	6.6128209265009
PDZD3	3.2705190475522
TBC1D17	4.20329228594335
COX8A	9.36675175253422
CDCA4	5.16025321760599
C2orf44	4.17347158348227
C9orf16	7.21275878264871
ERBB2IP	8.24080937970947
EMX2	8.74253765196173
FUS	6.97989369982593
NIPSNAP3B	3.52547923023160
TF	3.30329747872100
CXorf56	5.36240592216008
CLCN4	3.78999772526066
PWP2	4.80167520837381
MMP15	4.33988546909313
MTMR14	6.07335071043896
NPR1	7.14725399891719
