Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_A03_451974
Composite Element REF	Signal
AACS	6.24411336807531
FSTL1	7.96091525895292
ELMO2	6.75895685469673
CREB3L1	4.26780396178296
RPS11	10.1224540872329
PNMA1	8.10143393813905
MMP2	8.41027083045497
SAMD4A	3.74583309141188
SMARCD3	6.76729966515932
A4GNT	3.81817968117518
C9orf39	3.20814667272659
PKNOX2	5.48434696173573
RALYL	3.16174160310236
ZHX3	4.69337964962784
ERCC5	6.29202696214309
RXFP3	2.96318052412676
APBB2	3.57393593777893
BBOX1	3.53238458305048
PRO0478	3.29542676083669
GCSH	7.38386787062604
XDH	3.59375344262162
EDN1	3.49546897185106
MTERF	6.65254424163878
PDCL3	6.62589296682557
CLK4	6.71183225778059
KCNG1	4.34650223590789
CXCR4	7.0855870519019
DECR1	8.03257665120379
SALL1	2.85877223041277
PTPRR	4.54217887357261
CADM4	3.25281944850775
IRAK1	8.61483888850918
CFHR5	3.07287595282024
HNRPD	8.10989615623648
TMSB10	11.0133071667806
CXCL3	3.44949905966332
LMAN1	4.49376714716301
SUHW1	3.57366948999499
CHD8	5.5017122019499
SUMO1	8.23432482296812
GP1BA	3.25163770866182
OR7A10	3.80766406460186
DDB1	7.04865914907238
CHRNA10	3.81386738481805
STYK1	3.14088608127249
MYO9B	4.32927585023083
CCNI	9.97655459682529
MMP7	8.08422009861324
EP300	6.51480457412594
CRNKL1	5.50137315090709
C9orf45	3.15559479325443
XAB2	4.26223194096042
RTN1	3.62384298631151
HIC2	4.57691988573333
TBX10	3.743489703919
CENPQ	4.0933358340282
UTY	3.14701591242417
OR2W1	2.84182911260957
ATP5G2	10.0587927523445
ZEB1	3.81748082445105
ZG16	3.60070171832870
ERG	3.70763612098948
PARN	6.87689721960938
SOD2	4.85740339736042
JOSD3	7.2445495156607
ADAM5P	3.09437750917755
CHD9	6.30504236617173
hCG_40738	4.08779123003668
STK16	5.20914647875654
PDE1C	3.74177998015892
SEMA4D	4.92403818990746
AGPAT1	5.64895327120779
TOB2	6.16609763375502
BANK1	3.79988799716342
MAP3K3	5.5389226762481
MAX	5.20878312837277
GRM2	3.62198745285868
OSBPL8	7.20894829898263
PROSC	6.47325846928082
NR4A2	4.23259424554093
RICS	4.46484982937748
PIR	4.5976868262519
PPCS	8.31125079748945
IPO9	6.28508891183133
LONP1	6.65974814131053
EVC	4.25684473392133
CXCL13	4.00019123203311
SCYL3	5.2452136469616
KIAA1199	5.78255046763295
SORL1	6.87137850237099
NAT10	6.48419930716127
CHD1	6.8356947188454
SYN3	3.46652410661225
DMC1	3.85620409148319
SLC22A2	3.6079149715576
SERPINF1	8.19360972852235
C20orf27	5.74217536812347
OR7A17	3.09794900667153
RPS6KA5	5.0193390961277
LHB	3.39975434105918
TAOK3	5.1714400989001
STK25	5.59721681394273
SLC12A4	3.77962007684569
BRCA1	4.46726585115927
GBL	5.78400883954528
C14orf108	8.26918861610332
CDC25B	5.95768632927353
BMP3	3.34664722990871
MAP1LC3C	3.33691211477312
TMEM180	3.40228437737214
CRYGC	3.72619008954124
SLK	6.02830623758486
POU3F1	3.32877968583344
C20orf32	3.98188454156858
USP52	6.29601297426307
HIGD1B	4.22618211391175
BAZ1B	6.0430641744611
USP6NL	6.03500695576309
SLCO2B1	4.60498931028453
ABCD4	4.73548020672166
DIMT1L	6.20781076816648
SLC25A46	7.1498844665474
LARP7	6.87625481826566
TEK	3.55106738779131
CD160	3.76248595724187
TERF2IP	6.52081779486115
PHF20	6.9748617984664
COL1A1	8.66660965975965
KIAA0090	5.75047903680560
GTPBP1	4.26580459216453
GRK5	3.89017473452886
AP1S2	5.24881083552143
RAB33B	3.96757738096776
CA11	7.55127807082676
ALDOC	5.02159424467226
NUDT1	4.94527066282838
ZNF212	5.29295613611552
ACBD3	7.1869404361027
ZNF83	7.81282214797304
