Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_D04_458648
Composite Element REF	Signal
AACS	5.86549060338464
FSTL1	8.6880355453962
ELMO2	6.18652822814842
CREB3L1	3.53409505028352
RPS11	10.0896572079194
PNMA1	7.75953327846506
MMP2	5.38045802642456
SAMD4A	3.52842239388103
SMARCD3	6.18935782142371
A4GNT	3.84653427463258
C9orf39	3.87215716418842
PKNOX2	4.1556814087836
RALYL	3.53782849466819
ZHX3	4.43386301409296
ERCC5	5.32385384025519
RXFP3	3.25995857326904
APBB2	3.94616452946832
BBOX1	3.23255384548589
PRO0478	3.08490471007616
GCSH	7.76650777925986
XDH	3.69775195829521
EDN1	3.48334369509065
MTERF	6.07118294872531
PDCL3	7.00604403485986
CLK4	4.80917639472056
KCNG1	3.4146244668201
CXCR4	8.38342138108142
DECR1	6.33169808736651
SALL1	3.12166915062408
PTPRR	3.2423873758437
CADM4	3.52634556731063
IRAK1	8.63171028467547
CFHR5	3.62631395574818
HNRPD	7.56409202618886
TMSB10	11.4771020880939
CXCL3	3.33941156310889
LMAN1	3.61768873515047
SUHW1	3.34737860525779
CHD8	6.22513504896594
SUMO1	7.91766681091463
GP1BA	3.22586214772338
OR7A10	3.72322013283097
DDB1	7.79624066555945
CHRNA10	3.96614552957723
STYK1	3.50649500010035
MYO9B	4.12765732718655
CCNI	10.0165490287679
MMP7	3.60186813305879
EP300	6.062902382277
CRNKL1	6.4208205475425
C9orf45	3.55148825371382
XAB2	3.96119425012093
RTN1	3.39089867112064
HIC2	3.86284428643066
TBX10	3.53915585226369
CENPQ	5.03103395786964
UTY	3.41523552371027
OR2W1	3.14496826932137
ATP5G2	10.1307722664041
ZEB1	4.20709939291784
ZG16	3.63668347025085
ERG	3.36802294324403
PARN	7.29255038944331
SOD2	4.28307845915668
JOSD3	7.25132305022870
ADAM5P	3.46225050410786
CHD9	5.27095241735289
hCG_40738	3.89833678265136
STK16	4.58283155319888
PDE1C	3.48218509847191
SEMA4D	5.40264297731148
AGPAT1	5.81185247387734
TOB2	6.03497120119963
BANK1	3.2995205103227
MAP3K3	4.36903456232827
MAX	5.31261641163713
GRM2	3.50227508637228
OSBPL8	7.81569199321248
PROSC	6.45287477132492
NR4A2	4.50714206226938
RICS	5.41084376127749
PIR	6.43351769505901
PPCS	8.56413239067405
IPO9	6.87947219493592
LONP1	6.08540891870067
EVC	4.22179448574976
CXCL13	3.90926283029574
SCYL3	5.32469298858237
KIAA1199	6.0793729608878
SORL1	7.63680790956497
NAT10	7.41795241021532
CHD1	5.06867595332667
SYN3	3.49900072396677
DMC1	4.11233020929816
SLC22A2	3.64628402674787
SERPINF1	8.07188260904049
C20orf27	5.33812836817807
OR7A17	3.28288297069232
RPS6KA5	5.48393813917234
LHB	3.31210118511786
TAOK3	4.98551755550599
STK25	6.15399108084339
SLC12A4	3.72698196779688
BRCA1	4.47006762322096
GBL	5.73677712326719
C14orf108	8.68562548129355
CDC25B	8.93411124139829
BMP3	3.46616572766114
MAP1LC3C	3.50559267129580
TMEM180	3.81929901960054
CRYGC	3.37409558025908
SLK	5.67085233399821
POU3F1	3.23643279454971
C20orf32	3.90473071200235
USP52	6.20734311120928
HIGD1B	3.71332022296242
BAZ1B	6.71524040702691
USP6NL	6.29778026015282
SLCO2B1	3.84379428084452
ABCD4	4.6174879795805
DIMT1L	5.94575976426324
SLC25A46	5.395947222821
LARP7	6.40468410146229
TEK	3.56300920843942
CD160	3.60687664568217
TERF2IP	6.54176319813234
PHF20	6.34984515734525
COL1A1	5.24871617320878
KIAA0090	6.60045990568826
GTPBP1	4.32803785923986
GRK5	3.64335672074157
AP1S2	5.24285747343387
RAB33B	3.70567066710214
CA11	4.18611469304432
ALDOC	3.78997047150915
NUDT1	5.54205603794122
ZNF212	5.97154337854216
ACBD3	5.12858564058266
ZNF83	7.10731478711783
PRDM2	5.11972084657906
GDPD5	3.88148667607647
PDCD4	5.17573379601192
CEP350	6.50492624968632
FOXP3	3.33720756154569
SMYD3	7.96561723443365
CST7	4.03066679951605
SELL	3.78795555086433
CIAO1	6.2197736985744
LGI2	4.24122455650445
WDR45	5.96659592449169
ANKRD6	6.54532179564106
LTBP4	3.72240335888606
PSCD3	3.58825038463275
PYY	3.50449400159029
KCNC1	3.70870766191225
SIRT6	4.03668893645981
CCL19	3.85637622831625
ARHGEF9	3.66509808370049
ABR	4.25859838030508
C10orf22	5.55951596467679
STK17A	5.26767296619589
FOXE1	3.18984250150637
GML	3.13522470590894
CNGA3	2.98147878858654
CD38	4.26398048742214
ZDHHC6	6.74194616941994
NEFH	9.27204082732298
PGBD5	4.74403485991585
CTDSP2	7.08257414521509
RMND5B	5.11465088199492
ZNF257	4.41981928278055
DUSP4	3.57524850870711
FLJ22167	5.45488311333111
EXOSC7	7.35844087265433
ROR2	4.7774532876437
FOXM1	6.80342837908086
ZBTB48	4.97399526046976
BUD31	7.53212664270019
MAOA	5.04295767246705
CCDC41	4.73305039844491
TNNT3	3.4225779874325
FBXO11	6.02978362074772
GYPC	4.48553600745321
PLIN	3.82722774822993
RFXAP	3.51237348967758
C6orf15	3.57750961980124
RNF4	7.69848541300164
F8A1	8.2125820258086
PPP1R3D	4.57427152725286
GRB2	6.28051649211156
TPM3	3.24725361856824
SYT13	3.68750949537829
EPB42	3.41907485592184
RP5-1077B9.4	5.27849454854206
EIF1	9.40189106407208
CETN3	6.28604484984798
FPGT	4.06988010386853
PRY	3.63196378518572
NTHL1	5.35145690127623
POLR2B	8.11982847768065
RPS28	10.8070689111295
GDF10	3.17883851958506
COQ9	6.31686458051016
P2RX3	2.87677490625989
GCC2	6.46839434805424
RARRES3	6.19905043385991
PLXNA1	5.58705252443207
WBP4	4.46850708706199
KIAA0100	5.85584331649363
PMF1	6.24815806039434
HS2ST1	6.52209430246136
CRELD2	6.51337665784658
C8G	3.39084725418150
CD82	5.08478568464891
PMM1	4.90505880398872
CBLL1	4.67996754182379
LIM2	3.75798861926206
VAX2	4.32192355453823
SETDB1	5.23720251945832
LRAP	5.4083963475157
GCLM	6.38528196250055
CPEB3	3.66800264887435
PPM1A	5.90763190258766
INTS1	4.39676990773777
MMP16	3.23497073387318
CAMTA1	3.06452224012427
SAMSN1	4.16398036300049
DRD3	3.01156868457213
GMPPA	4.24948617363807
C11orf73	5.34978577841539
AIPL1	3.76473474456961
PTP4A2	9.2375440500201
IL24	3.45081166368535
BDKRB1	3.38739919003117
HPCA	3.8188588955952
MLF1	4.45700368331229
SEC14L1	6.64687519046457
CHFR	4.74836464922819
EMILIN1	3.35818435947662
THADA	5.58169376721046
TAF12	5.77020897897079
NDUFS4	6.1171019880153
ID1	9.85518357853869
PIK3CB	3.53878156870122
COL18A1	5.60701949086185
PDZD3	3.28145027667058
TBC1D17	5.67776662510823
COX8A	9.64900756213584
CDCA4	7.00436158767584
C2orf44	4.65702312120391
C9orf16	7.6484653289208
ERBB2IP	7.16519744862754
EMX2	6.03608874169652
FUS	6.85174303764557
NIPSNAP3B	3.37359667502058
TF	3.21640780533529
CXorf56	5.32353805454577
CLCN4	3.36280493124180
PWP2	5.88823786520176
MMP15	4.97037011955746
MTMR14	5.5900439982697
NPR1	4.56963186146646
DNAL4	5.16205704940456
ELAC2	4.60007158230553
ASS1	10.4994225766326
IPP	4.90128261505642
TMEM59	8.96719934063694
POLR2J	8.80311497626935
SEC23IP	4.32985216695840
RGS4	3.67331522269089
UQCRC1	8.93562270171832
SNX6	7.28573027154178
DDX18	6.86704019809853
POLG	4.71341903045667
ADAM23	3.9231643339122
ZNHIT2	4.54930007782810
TFR2	3.43477671756966
NCDN	4.42278186488540
RAG1	3.38714882683389
POMT1	4.50970844810092
CYP1A1	3.25326769033899
SNAPC1	6.07277996871094
GNA11	5.12210220651883
CCDC52	2.82456841036376
CAPN1	5.85004792711154
