Hybridization REF	TARRE_p_MultiPlate_TCGA_SS_MA_Ref_HT_HG-U133A_96-HTA_A06_586078
Composite Element REF	Signal
AACS	7.2955710945624
FSTL1	10.2178317092230
ELMO2	5.96234921886118
CREB3L1	4.48920840873432
RPS11	10.0231719385148
PNMA1	8.23289574645499
MMP2	8.93784091715401
SAMD4A	4.2087091674748
SMARCD3	6.23861276183077
A4GNT	3.51075946037139
C9orf39	3.19358852418978
PKNOX2	3.69761941116388
RALYL	3.09631157240211
ZHX3	4.66350424952758
ERCC5	6.27463906003661
RXFP3	2.77783320225789
APBB2	6.08199420550527
BBOX1	7.2287033336805
PRO0478	2.95661464415035
GCSH	8.18747848641521
XDH	4.95955495659168
EDN1	5.72679024820894
MTERF	6.86928959508597
PDCL3	7.13329933871023
CLK4	6.55611367074766
KCNG1	4.74727299476731
CXCR4	8.57564368588656
DECR1	8.74191994652024
SALL1	3.68199424361982
PTPRR	3.48809228109588
CADM4	3.30866163135116
IRAK1	8.53566706191191
CFHR5	3.28457095925951
HNRPD	8.48667448845996
TMSB10	12.2656775635478
CXCL3	5.37905268503746
LMAN1	4.25599483482192
SUHW1	5.35274325042232
CHD8	6.7436011551576
SUMO1	8.96961961800295
GP1BA	3.07163715283252
OR7A10	3.6419029062719
DDB1	7.46892912754257
CHRNA10	3.61660649909859
STYK1	4.71403668613168
MYO9B	4.68663944240329
CCNI	10.0927669785459
MMP7	8.24613488406465
EP300	6.79992533769857
CRNKL1	7.03922949245865
C9orf45	3.14248042502184
XAB2	4.50216981271418
RTN1	3.440100285931
HIC2	4.36987499601419
TBX10	3.44380898499199
CENPQ	5.05997366598063
UTY	3.11975092078346
OR2W1	2.86044822301897
ATP5G2	9.35573217014901
ZEB1	4.10959906268627
ZG16	6.75499522297852
ERG	4.1291702705412
PARN	7.19675144106565
SOD2	6.22113453252635
JOSD3	7.5797858336536
ADAM5P	3.11427341886816
CHD9	6.94664065721596
hCG_40738	3.83070561783294
STK16	6.40266964754828
PDE1C	3.80081095361273
SEMA4D	6.281573943288
AGPAT1	6.68351896264661
TOB2	6.83717334317765
BANK1	5.94721599537953
MAP3K3	6.11451331638383
MAX	5.60094122260243
GRM2	3.76217245535041
OSBPL8	7.1906700322438
PROSC	6.09211981011397
NR4A2	7.33796809262965
RICS	5.60450040635255
PIR	5.41927086942944
PPCS	9.17318684139527
IPO9	6.17346517854703
LONP1	7.3217031240402
EVC	4.54329301105331
CXCL13	5.9028651771255
SCYL3	5.81376573256919
KIAA1199	6.37870034202522
SORL1	8.473881229947
NAT10	7.46275474590084
CHD1	7.46516617802448
SYN3	3.36284746073333
DMC1	4.07617330400072
SLC22A2	3.64105221326184
SERPINF1	8.04206060706012
C20orf27	5.8408399545469
OR7A17	3.00575919528818
RPS6KA5	5.27984858651487
LHB	3.21286429215313
TAOK3	5.34798354522825
STK25	7.5690899049602
SLC12A4	3.66054022940058
BRCA1	4.17841958260206
GBL	6.24753686080268
C14orf108	8.21370067531115
CDC25B	7.04674700695784
BMP3	3.16350764464201
MAP1LC3C	5.46661745226614
TMEM180	3.30848152239301
CRYGC	3.40904450125417
SLK	7.31211877787442
POU3F1	3.05567101740456
C20orf32	3.49928387895474
USP52	5.12036587991101
HIGD1B	3.81336952373516
BAZ1B	7.43649971146315
USP6NL	6.20779423892856
SLCO2B1	4.18084748267634
ABCD4	4.6355379032541
DIMT1L	6.30353286287355
SLC25A46	7.85388289446508
LARP7	7.69293916770112
TEK	3.85202337754171
CD160	3.4962439048993
TERF2IP	7.50144932588844
PHF20	6.06477482928256
COL1A1	9.34892113329087
KIAA0090	6.63951526253136
GTPBP1	4.28046325228665
GRK5	4.40361059614153
AP1S2	5.7733258714918
RAB33B	5.25874702072902
CA11	6.60677534689292
ALDOC	4.30454016298321
NUDT1	5.48714572755512
ZNF212	5.76189610757799
ACBD3	8.33970432410126
ZNF83	6.63077869843494
PRDM2	5.02051085686024
GDPD5	5.93402086886615
PDCD4	6.80955982284956
CEP350	6.7378381765815
FOXP3	3.27915273514604
SMYD3	6.83181953502726
CST7	4.59297728988339
SELL	5.30788840645808
CIAO1	6.2944925865476
LGI2	6.25584994352376
WDR45	6.76326140933726
ANKRD6	5.84140089665743
LTBP4	4.39083846589884
PSCD3	3.192548678446
PYY	3.09698387850276
KCNC1	3.01769145831949
SIRT6	4.45152467976347
CCL19	4.25867284618417
