Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_E05_516410
Composite Element REF	Signal
AACS	5.53744533497676
FSTL1	10.0018184299539
ELMO2	4.92184193563733
CREB3L1	4.38970774137942
RPS11	9.91177094996819
PNMA1	7.82111541291926
MMP2	9.04015959762451
SAMD4A	3.96637554165606
SMARCD3	6.78166037040697
A4GNT	3.7592719705086
C9orf39	4.23305144846727
PKNOX2	5.4325895589554
RALYL	3.32690671629442
ZHX3	4.70964885372451
ERCC5	5.53996126236747
RXFP3	3.22454345010326
APBB2	4.27725007733359
BBOX1	3.0280942400562
PRO0478	3.05379979898663
GCSH	7.4318153583318
XDH	3.46699413395813
EDN1	4.4242478047896
MTERF	6.25055056027936
PDCL3	6.43589467276996
CLK4	5.46885544091344
KCNG1	3.83364649118870
CXCR4	5.16413662230577
DECR1	8.1043695201256
SALL1	3.23480924671807
PTPRR	3.36199823841037
CADM4	3.14918224697613
IRAK1	7.15766796926325
CFHR5	3.43221729602430
HNRPD	7.79289958969207
TMSB10	12.0253548671704
CXCL3	3.59212086023975
LMAN1	3.79161511884127
SUHW1	3.5051924917524
CHD8	5.06859182521433
SUMO1	7.02187004641806
GP1BA	3.72165693717373
OR7A10	3.62306219974981
DDB1	7.14019710151138
CHRNA10	3.67300632400069
STYK1	3.20279342550316
MYO9B	3.97684062931414
CCNI	11.0570191541776
MMP7	5.33042538121727
EP300	5.81063154627736
CRNKL1	6.14544787798578
C9orf45	3.292138910374
XAB2	4.46036027615767
RTN1	4.28650798740044
HIC2	4.09995692367744
TBX10	3.27699290695165
CENPQ	3.9761521501903
UTY	3.29657766593189
OR2W1	2.97509418720999
ATP5G2	10.4016718449390
ZEB1	4.81377757116879
ZG16	3.91241609938226
ERG	5.29010872787062
PARN	6.06565196998341
SOD2	4.06523171254603
JOSD3	7.05765251373694
ADAM5P	3.32091785913926
CHD9	6.63883039559111
hCG_40738	3.78001774998705
STK16	4.56629471757031
PDE1C	3.49826282407744
SEMA4D	4.5285475880504
AGPAT1	6.08863686330135
TOB2	5.92143228530376
BANK1	3.86147278197501
MAP3K3	6.03777247808068
MAX	5.49968995785542
GRM2	3.89527156426097
OSBPL8	7.58304993301778
PROSC	6.08709471094736
