Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_C01_451998
Composite Element REF	Signal
AACS	6.31963477627466
FSTL1	7.20660244354852
ELMO2	5.7165853611764
CREB3L1	4.17034213282581
RPS11	9.79635425517651
PNMA1	7.6140956862082
MMP2	7.18712096664737
SAMD4A	4.11731826745925
SMARCD3	6.85591220991702
A4GNT	3.89209362393993
C9orf39	3.28094347240264
PKNOX2	4.8915134877388
RALYL	3.6226747754658
ZHX3	4.66947928797001
ERCC5	6.30588501194559
RXFP3	2.8967303064203
APBB2	4.34701019202936
BBOX1	5.41086006085828
PRO0478	3.26381634232421
GCSH	7.99625288151476
XDH	3.98359417350462
EDN1	4.37411336193823
MTERF	6.05923387190265
PDCL3	6.62434445840979
CLK4	5.96180725807818
KCNG1	4.82719130158096
CXCR4	6.37153219591545
DECR1	7.01914868842796
SALL1	3.20469352074714
PTPRR	3.29425950943077
CADM4	3.41958541287442
IRAK1	8.63114385421216
CFHR5	3.22925596463694
HNRPD	7.15157635858078
TMSB10	10.5077816979737
CXCL3	3.41930250690888
LMAN1	4.12718027006347
SUHW1	3.37695428710455
CHD8	5.65793050725858
SUMO1	7.2925269396944
GP1BA	3.07490010558783
OR7A10	3.79632296198101
DDB1	6.97877250652168
CHRNA10	3.62570226678123
STYK1	3.45340076380708
MYO9B	4.4146452395219
CCNI	9.11622591495366
MMP7	8.42669626262813
EP300	6.42251934648008
CRNKL1	6.10891347394625
C9orf45	3.03045565377353
XAB2	4.22047826273244
RTN1	4.13508501638875
HIC2	4.01493973169312
TBX10	3.67553661076882
CENPQ	3.89879261439265
UTY	3.1721529397884
OR2W1	2.88410482569991
ATP5G2	9.7804317344658
ZEB1	3.72683472526647
ZG16	3.71766763844363
ERG	3.66287901883415
PARN	6.3532420134402
SOD2	5.54619232025226
JOSD3	7.3733124382359
ADAM5P	3.24169212399346
CHD9	6.1996988509802
hCG_40738	3.98494382530721
STK16	4.6661487882255
PDE1C	3.50265094900326
SEMA4D	4.80762358307935
AGPAT1	5.88847933806496
TOB2	5.98814689565577
BANK1	3.26796194063795
MAP3K3	5.33062506347934
MAX	5.04188537038759
GRM2	3.95197520423352
OSBPL8	6.83362178670837
PROSC	5.94652741820386
NR4A2	5.38003136083001
RICS	5.14200699828365
PIR	4.05164973010455
PPCS	8.61851556254236
IPO9	6.05269258289262
LONP1	6.58982370365365
EVC	3.9867314188908
CXCL13	3.9727157717927
SCYL3	5.19126363254511
KIAA1199	5.74572735097823
SORL1	8.59890507620543
NAT10	5.93169407833317
CHD1	4.76342058339464
SYN3	3.58913529473742
DMC1	3.91592422608662
SLC22A2	3.81270015433157
SERPINF1	7.03722402113161
C20orf27	5.9472296422663
OR7A17	3.20911047514559
RPS6KA5	5.01436873140043
LHB	3.68736788714768
TAOK3	5.10082641052215
STK25	4.88850655813452
SLC12A4	3.62391039501587
BRCA1	4.33238503784986
GBL	5.48472199296506
C14orf108	7.85864239551869
CDC25B	5.81326646616533
BMP3	3.39764695635240
MAP1LC3C	3.3754654544206
TMEM180	3.45455408492991
CRYGC	3.96344434861997
SLK	5.99598033027847
POU3F1	3.29880640320334
C20orf32	4.55228200172304
USP52	5.2459235925728
HIGD1B	4.27119356548119
BAZ1B	6.31541342700832
USP6NL	5.06187248818033
SLCO2B1	4.59126163878043
ABCD4	4.45052625787332
DIMT1L	4.94117327871979
SLC25A46	6.54033382095563
LARP7	6.60764648728544
TEK	3.43989909497227
CD160	3.70854517659356
TERF2IP	6.61757575052787
PHF20	6.448701875997
COL1A1	8.03340401242727
KIAA0090	5.03567018490574
GTPBP1	4.26199947307622
GRK5	3.50042445371863
AP1S2	4.74425192008633
RAB33B	4.08511987145147
CA11	5.90753407995331
ALDOC	4.72701739935949
NUDT1	5.33571186998222
ZNF212	5.4072282102257
ACBD3	6.75844313239682
ZNF83	7.1976147613241
PRDM2	4.85472231467799
GDPD5	6.91887196998707
PDCD4	5.82552773425992
CEP350	6.31373680950608
FOXP3	3.62470622688968
SMYD3	6.47006638162477
CST7	3.7097014337918
SELL	3.68662330755278
CIAO1	6.06457404424007
LGI2	4.14281490910453
WDR45	6.37137532301652
ANKRD6	8.21535687876138
LTBP4	4.02599771763479
PSCD3	3.5165382835025
PYY	3.23630870109393
KCNC1	3.12285358189734
SIRT6	4.03859937743020
CCL19	3.48967000219654
ARHGEF9	4.09013180781671
ABR	4.29884792586149
C10orf22	6.44731608670891
STK17A	5.40573811446689
FOXE1	3.9923678094071
GML	3.26554165343139
CNGA3	2.92293322393647
CD38	3.78955682765677
ZDHHC6	6.97889083427934
NEFH	3.71670163113263
PGBD5	3.4771211155381
CTDSP2	6.87584644778161
RMND5B	5.51993721639308
ZNF257	3.75888835540726
DUSP4	3.37553691002296
FLJ22167	4.69731556718895
EXOSC7	6.41399649976959
ROR2	3.5350686340261
FOXM1	4.76560529799123
ZBTB48	4.13667999216250
BUD31	6.88739652901106
MAOA	3.67552648898092
CCDC41	5.1180566079218
TNNT3	4.06721654535739
FBXO11	5.35176852211666
GYPC	7.463433072442
PLIN	3.48567799825078
RFXAP	3.4234797570046
C6orf15	4.40943949512778
RNF4	7.67742770777975
F8A1	7.17808139638096
PPP1R3D	4.46499698560466
GRB2	6.82691423817372
TPM3	3.19384866927947
SYT13	3.49582746366473
EPB42	3.91533927928801
RP5-1077B9.4	5.02908009298152
EIF1	9.87352033731958
CETN3	5.93496554015043
FPGT	4.84500576223690
PRY	3.44499210548676
NTHL1	5.28959623300748
POLR2B	7.94077096313279
RPS28	11.3900790610667
GDF10	3.20011315208704
COQ9	7.64196462704349
P2RX3	2.88500470495654
GCC2	6.85320864547004
RARRES3	6.90354144222
PLXNA1	6.46971509114623
WBP4	4.00173580813555
KIAA0100	6.23584858620495
PMF1	6.01045434770315
HS2ST1	5.45384608063967
CRELD2	6.41252992104185
C8G	3.32709345094451
CD82	6.12776342339929
PMM1	5.10565055273574
CBLL1	4.3430467457138
LIM2	3.43234984844275
VAX2	4.0084817961226
SETDB1	5.21864984760415
LRAP	4.12697270884406
GCLM	7.07353916420315
CPEB3	3.84601263997444
PPM1A	5.88983386547477
INTS1	4.01820017881323
MMP16	3.18967422407512
CAMTA1	3.64381997665327
SAMSN1	5.14240376474236
DRD3	2.75472819921558
GMPPA	4.99753734355274
C11orf73	5.52317797986675
AIPL1	3.88922505656725
PTP4A2	8.52276888313892
IL24	3.76113575130386
BDKRB1	3.54093243344687
HPCA	3.87090066495597
MLF1	6.16276762694145
SEC14L1	5.89029591713251
CHFR	5.15157759722166
EMILIN1	3.91059360173915
THADA	6.06444132330723
TAF12	5.2372223628309
NDUFS4	7.35618959450511
ID1	6.04514239376984
PIK3CB	4.17924898109887
COL18A1	6.360470976194
PDZD3	3.30125266225855
TBC1D17	4.73584975207699
COX8A	9.5142584790523
CDCA4	5.65436200469674
C2orf44	4.46530782092491
C9orf16	7.63325246371458
ERBB2IP	6.93527729527417
EMX2	8.35490349190398
FUS	6.04182856842358
NIPSNAP3B	3.44631297989253
TF	3.40148006597111
CXorf56	4.96299023358785
CLCN4	4.09935439244799
PWP2	5.14688885476005
MMP15	4.59226494570131
MTMR14	6.06006027777442
NPR1	7.70601587706062
DNAL4	5.15008860271982
ELAC2	4.62933060356039
ASS1	10.2882435711021
IPP	4.99194934308991
TMEM59	9.29612657459749
POLR2J	8.13671190498563
SEC23IP	4.80884961036856
RGS4	4.06474720449723
UQCRC1	8.29278444479014
SNX6	6.99596092811664
DDX18	6.3677754588336
POLG	4.74442110990615
ADAM23	4.41186238986552
ZNHIT2	4.50359612146381
TFR2	3.49177751370753
NCDN	4.46817717322797
RAG1	3.37161022718264
POMT1	4.79960860397382
CYP1A1	3.74004578063838
SNAPC1	5.64432731778646
GNA11	5.31513490936803
CCDC52	2.67568756773107
CAPN1	6.52860135859178
DDHD2	6.67292186148302
UPF3A	6.41706585496916
LAGE3	6.09539670083597
GNRHR	3.16941049048982
UNC13B	5.2263530961575
TTLL4	4.40018824647953
