Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_C06_472028
Composite Element REF	Signal
AACS	5.84476322174557
FSTL1	7.79487173736892
ELMO2	4.99431553812924
CREB3L1	3.49033003982605
RPS11	9.30972988034085
PNMA1	8.13661960616358
MMP2	6.65851059938604
SAMD4A	3.59595116848320
SMARCD3	6.58946473876045
A4GNT	3.64549726385379
C9orf39	3.19974018162261
PKNOX2	3.50752694232219
RALYL	3.10549182464496
ZHX3	4.07834319655922
ERCC5	5.40882843918012
RXFP3	3.05973855061187
APBB2	4.1893920589957
BBOX1	6.21933752910946
PRO0478	3.20997788242845
GCSH	7.44449728710381
XDH	3.61955786169594
EDN1	3.83835374816377
MTERF	5.97795118758017
PDCL3	7.40161768591279
CLK4	6.06602413334463
KCNG1	3.9597670108877
CXCR4	10.3682991640701
DECR1	9.1609599153188
SALL1	3.04688053320953
PTPRR	3.55399060859025
CADM4	3.41658442750271
IRAK1	8.13286084768976
CFHR5	3.00004265106695
HNRPD	7.93047747938928
TMSB10	12.1167462614964
CXCL3	4.1703823263647
LMAN1	4.04427453955611
SUHW1	3.30431845294929
CHD8	6.34482630861811
SUMO1	7.95442495152423
GP1BA	3.44645976725437
OR7A10	3.55464599269658
DDB1	7.40573214268377
CHRNA10	3.51655186874891
STYK1	3.84916912257119
MYO9B	4.52162583771085
CCNI	10.6027625124576
MMP7	10.8101788633020
EP300	5.69269637180149
CRNKL1	5.48144445814172
C9orf45	3.45514256869822
XAB2	4.52970351110178
RTN1	3.79069808939168
HIC2	3.92083757691846
TBX10	3.4965763618639
CENPQ	4.2196570254534
UTY	3.06959694185695
OR2W1	3.04740985483646
ATP5G2	10.3632590493291
ZEB1	3.47238382202351
ZG16	3.35462913271904
ERG	3.68896087233241
PARN	5.61114955542942
SOD2	7.46921352511913
JOSD3	7.5177493923385
ADAM5P	3.15937432474641
CHD9	5.29624926971921
hCG_40738	3.95725316244996
STK16	4.84106654650263
PDE1C	3.50470092955519
SEMA4D	5.09366869103848
AGPAT1	6.30332145091804
TOB2	5.51935850458782
BANK1	3.16411897107109
MAP3K3	5.22344643728036
MAX	5.16590586827068
GRM2	3.68139960477143
OSBPL8	6.63762507087122
PROSC	5.1029851872723
NR4A2	6.27282538647917
RICS	4.02105790667981
PIR	5.02883415649355
PPCS	8.81026968587791
IPO9	6.5886621446289
LONP1	7.77995004310954
EVC	4.06530601021501
CXCL13	6.5953675603759
SCYL3	4.67589987133594
KIAA1199	4.27152002038203
SORL1	6.3112458075869
NAT10	6.03524042974115
CHD1	5.48556229400096
SYN3	3.50210472619468
DMC1	3.95692636356521
SLC22A2	3.43735777022749
SERPINF1	7.73965485540592
C20orf27	4.8391261129331
OR7A17	3.45218090161547
RPS6KA5	4.80810545563858
LHB	3.58122782587501
TAOK3	4.45350337719349
STK25	5.99336420428796
SLC12A4	3.51402618151674
BRCA1	3.95427601936963
GBL	4.9309223677518
C14orf108	6.52309121509281
CDC25B	5.27354336113465
BMP3	3.1778025801235
MAP1LC3C	3.75850758642467
TMEM180	3.41880651603687
CRYGC	3.67039227570444
SLK	5.78542602643627
POU3F1	3.42207041401184
C20orf32	3.98115560251448
USP52	4.81212245367566
HIGD1B	3.80701917285777
BAZ1B	6.35610655937708
