Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_G09_297992
Composite Element REF	Signal
AACS	7.32847922080008
FSTL1	8.85658424707993
ELMO2	5.64085126358508
CREB3L1	4.00533877004379
RPS11	10.0725439874408
PNMA1	8.6515817863449
MMP2	7.3979752553462
SAMD4A	3.76046880357849
SMARCD3	5.14030071912574
A4GNT	3.34323018293572
C9orf39	3.50827837841599
PKNOX2	5.07002969191597
RALYL	4.93623956937969
ZHX3	4.31475609437702
ERCC5	6.85664408253934
RXFP3	2.87521801739457
APBB2	3.56200829042757
BBOX1	6.41522610892177
PRO0478	2.99938236410209
GCSH	8.83203875670996
XDH	3.53769367766064
EDN1	4.41755536263282
MTERF	5.50388322738139
PDCL3	7.35815618317821
CLK4	5.52265312289808
KCNG1	4.3109343203404
CXCR4	9.57011847525136
DECR1	8.67550172260467
SALL1	4.40608391643995
PTPRR	3.30287274241870
CADM4	3.18532901262981
IRAK1	8.34804907867771
CFHR5	3.13424455799568
HNRPD	8.35974768395636
TMSB10	11.5808746492131
CXCL3	3.46216349208885
LMAN1	4.27471028578955
SUHW1	3.34053742996782
CHD8	5.61976661172952
SUMO1	7.48937147786066
GP1BA	3.33374608601345
OR7A10	3.35640669937492
DDB1	7.8529200612262
CHRNA10	3.65758308137062
STYK1	4.30815665840967
MYO9B	3.77084009319813
CCNI	10.6805965713799
MMP7	7.2933756620591
EP300	5.9483943252125
CRNKL1	6.83748694185956
C9orf45	3.24642602987274
XAB2	4.42599250047653
RTN1	6.8780863776374
HIC2	4.00810936557617
TBX10	3.55559797096678
CENPQ	3.85180021539801
UTY	3.07249394071364
OR2W1	2.87670765759624
ATP5G2	10.6889620458220
ZEB1	3.74530318318145
ZG16	3.46636254212784
ERG	4.43977509564345
PARN	6.99329371015299
SOD2	3.92241817265845
JOSD3	7.00038776876062
ADAM5P	3.15201306840432
CHD9	6.70656462670067
hCG_40738	3.726044741666
STK16	5.72425414000763
PDE1C	3.81710613376548
SEMA4D	5.71562732105461
AGPAT1	6.30541302394485
TOB2	6.11260351701754
BANK1	5.60901614834149
MAP3K3	5.40555596396049
MAX	5.52742546068071
GRM2	3.54300632417831
OSBPL8	6.60139755415978
PROSC	6.63652516793191
NR4A2	6.65177938611753
RICS	7.36539426856264
PIR	6.84624033426591
PPCS	9.3618697680684
IPO9	5.93553709970611
LONP1	6.96505139190734
EVC	4.39360491627222
CXCL13	3.57149748094870
SCYL3	5.69963090841656
KIAA1199	2.85792880634475
SORL1	10.8402817720571
NAT10	6.64259072317286
CHD1	6.21801640008132
SYN3	3.54099697370217
DMC1	3.67733791145335
SLC22A2	3.53268694125650
SERPINF1	8.6998187536118
C20orf27	5.1992769411506
OR7A17	3.22876937878749
RPS6KA5	5.71606752689216
LHB	3.46809710740266
TAOK3	4.93295721612238
STK25	5.79118385863934
SLC12A4	3.6588841629007
BRCA1	3.81379801943019
GBL	5.62540507666357
C14orf108	7.72079419781296
CDC25B	4.49606319758115
BMP3	3.18667178900601
MAP1LC3C	3.60346991983269
TMEM180	3.25980459931199
CRYGC	3.81119984671128
SLK	6.14412156687647
POU3F1	3.27431999374877
C20orf32	3.86046347363878
USP52	5.67347902864304
HIGD1B	4.10673241163249
BAZ1B	5.91068911304292
USP6NL	5.75331224959825
SLCO2B1	4.02602981041312
ABCD4	4.68649261929907
DIMT1L	6.96384823915479
SLC25A46	7.43419972241708
LARP7	7.26964564003132
TEK	3.83426165071441
CD160	3.50262934198295
TERF2IP	8.78713067534378
PHF20	5.760414082113
COL1A1	6.28188249762732
KIAA0090	5.92964543798258
GTPBP1	4.64136086244718
GRK5	3.978120657266
AP1S2	4.92913810678422
RAB33B	4.03529463863873
CA11	4.27771562076821
ALDOC	4.87913795104248
NUDT1	4.64708211193512
ZNF212	5.24049162254292
ACBD3	7.27247573368498
ZNF83	6.55709004709632
PRDM2	4.73449049930397
GDPD5	3.89296269646413
PDCD4	7.09401726232248
CEP350	6.05300610410439
FOXP3	3.09927219500281
SMYD3	7.0761225673009
CST7	4.08619697934873
SELL	4.06335706072755
CIAO1	6.00612897913094
LGI2	3.93196128959243
WDR45	7.13124217038424
ANKRD6	7.36894280786518
LTBP4	5.47798462320143
PSCD3	3.31742462123089
PYY	3.37719569997679
KCNC1	3.18291895132967
SIRT6	3.86217478123472
CCL19	3.81222098959422
